Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.73662,-0.890857,-3.41916,-3.35117,-0.890857,1
1,19,99,-1.61234,-1.35999,-3.41916,-3.35117,-1.35999,1
1,18,99,-1.36856,-1.08025,-3.41916,-3.35117,-1.08025,1
1,17,99,-0.947509,-1.86758,-3.41916,-3.35117,-1.86758,0
1,15,99,-1.13513,-0.826459,-3.41916,-3.35117,-0.826459,1
1,13,99,-1.16305,-0.469646,-3.41916,-3.35117,-0.469646,1
1,12,99,-1.61079,-0.320869,-3.41916,-3.35117,-1.61079,1
1,10,99,-1.5571,-0.955737,-3.41916,-3.35117,-0.955737,1
1,9,99,-0.959176,-0.704627,-3.41916,-3.35117,-0.704627,1
1,7,99,-1.27432,-0.796585,-3.41916,-3.35117,-0.796585,1
1,4,99,-1.63294,0.591539,-3.41916,-3.35117,0.591539,1
1,3,99,-1.50229,-0.556961,-3.41916,-3.35117,-0.556961,1
1,2,99,-0.711651,-0.107571,-3.41916,-3.35117,-0.107571,1
1,1,99,-0.680704,-0.533714,-3.41916,-3.35117,-0.533714,1
1,20,98,-1.37909,-1.19912,-3.41916,-3.12829,-1.19912,1
1,19,98,-1.67299,-1.1727,-3.41916,-3.12829,-1.1727,1
1,18,98,-1.40415,-1.18631,-3.41916,-3.12829,-1.18631,1
1,17,98,-0.755727,-1.71575,-3.41916,-3.12829,-1.71575,0
1,15,98,-1.24514,-0.66746,-3.41916,-3.12829,-0.66746,1
1,13,98,-1.14138,-0.474584,-3.41916,-3.12829,-1.14138,1
1,12,98,-1.28583,-0.0557932,-3.41916,-3.12829,-0.0557932,1
1,9,98,-1.01437,-0.762671,-3.41916,-3.12829,-0.762671,1
1,7,98,-0.758477,-0.742618,-3.41916,-3.12829,-0.742618,1
1,4,98,-1.35837,0.605497,-3.41916,-3.12829,0.605497,1
1,3,98,-1.24434,-0.494949,-3.41916,-3.12829,-0.494949,1
1,2,98,-0.608617,0.053277,-3.41916,-3.12829,0.053277,1
1,1,98,-0.496999,-0.374141,-3.41916,-3.12829,-0.374141,1
1,20,97,-1.57722,-0.951375,-3.41916,-2.81209,-1.57722,1
1,19,97,-1.79936,-1.26051,-3.41916,-2.81209,-1.26051,1
1,18,97,-0.978815,-0.820417,-3.41916,-2.81209,-0.820417,1
1,17,97,-0.814619,-1.09945,-3.41916,-2.81209,-1.09945,0
1,15,97,-0.859515,-0.663721,-3.41916,-2.81209,-0.663721,1
1,13,97,-0.837682,-0.236765,-3.41916,-2.81209,-0.236765,1
1,12,97,-1.18005,-0.0537751,-3.41916,-2.81209,-0.0537751,1
1,7,97,-0.58966,-0.699733,-3.41916,-2.81209,-0.699733,0
1,4,97,-0.785866,0.872179,-3.41916,-2.81209,0.872179,1
1,3,97,-0.798243,-0.198169,-3.41916,-2.81209,-0.198169,1
1,2,97,-0.630277,0.278705,-3.41916,-2.81209,0.278705,1
1,20,96,-1.44423,-0.731734,-3.41916,-2.99602,-0.731734,1
1,19,96,-1.59146,-1.20194,-3.41916,-2.99602,-1.20194,1
1,18,96,-1.06374,-1.01118,-3.41916,-2.99602,-1.01118,1
1,17,96,-0.515776,-1.64712,-3.41916,-2.99602,-1.64712,0
1,15,96,-0.822106,-0.47217,-3.41916,-2.99602,-0.47217,1
1,13,96,-0.857155,-0.405612,-3.41916,-2.99602,-0.857155,1
1,12,96,-0.861871,0.100098,-3.41916,-2.99602,0.100098,1
1,9,96,-0.804368,-0.439543,-3.41916,-2.99602,-0.439543,1
1,7,96,-0.834434,-0.884118,-3.41916,-2.99602,-0.884118,0
1,4,96,-0.722079,1.13442,-3.41916,-2.99602,1.13442,1
