Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.59896,-1.33304,-3.41916,-3.35117,-1.33304,1
1,19,99,-1.6461,-1.43093,-3.41916,-3.35117,-1.43093,1
1,18,99,-1.56615,-1.45691,-3.41916,-3.35117,-1.45691,1
1,17,99,-1.37487,-1.4816,-3.41916,-3.35117,-1.4816,0
1,15,99,-1.39491,-1.1081,-3.41916,-3.35117,-1.1081,1
1,13,99,-1.10559,-0.688519,-3.41916,-3.35117,-0.688519,1
1,12,99,-1.55759,-0.831633,-3.41916,-3.35117,-1.55759,1
1,10,99,-1.88475,-1.96411,-3.41916,-3.35117,-1.96411,0
1,9,99,-1.18123,-0.989918,-3.41916,-3.35117,-0.989918,1
1,7,99,-0.936902,-0.642915,-3.41916,-3.35117,-0.642915,1
1,4,99,-1.43706,-0.0894461,-3.41916,-3.35117,-0.0894461,1
1,3,99,-1.89747,-0.126957,-3.41916,-3.35117,-0.126957,1
1,2,99,-1.46193,-0.706483,-3.41916,-3.35117,-0.706483,1
1,1,99,-1.48927,-1.12634,-3.41916,-3.35117,-1.12634,1
1,20,98,-1.26135,-1.1951,-3.41916,-3.12829,-1.1951,1
1,19,98,-1.76777,-1.42808,-3.41916,-3.12829,-1.42808,1
1,18,98,-1.50833,-1.40218,-3.41916,-3.12829,-1.40218,1
1,17,98,-1.09321,-1.35275,-3.41916,-3.12829,-1.35275,0
1,15,98,-1.52894,-1.211,-3.41916,-3.12829,-1.211,1
1,13,98,-1.14092,-0.73273,-3.41916,-3.12829,-1.14092,1
1,12,98,-1.43448,-0.586677,-3.41916,-3.12829,-0.586677,1
1,9,98,-1.00134,-0.862454,-3.41916,-3.12829,-0.862454,1
1,7,98,-0.713193,-0.499344,-3.41916,-3.12829,-0.499344,1
1,4,98,-1.25004,-0.107457,-3.41916,-3.12829,-0.107457,1
1,3,98,-1.87471,-0.143317,-3.41916,-3.12829,-0.143317,1
1,2,98,-1.07258,-0.520515,-3.41916,-3.12829,-0.520515,1
1,1,98,-1.29454,-1.0375,-3.41916,-3.12829,-1.0375,1
1,20,97,-1.46367,-1.22634,-3.41916,-2.81209,-1.46367,1
1,19,97,-1.64604,-1.63146,-3.41916,-2.81209,-1.63146,1
1,18,97,-1.47685,-1.50245,-3.41916,-2.81209,-1.50245,0
1,17,97,-1.1226,-1.12251,-3.41916,-2.81209,-1.12251,1
1,15,97,-1.0997,-0.964094,-3.41916,-2.81209,-0.964094,1
1,13,97,-0.982602,-0.355208,-3.41916,-2.81209,-0.355208,1
1,12,97,-1.43779,-0.51831,-3.41916,-2.81209,-0.51831,1
1,7,97,-0.586391,-0.420454,-3.41916,-2.81209,-0.420454,1
1,4,97,-0.898644,0.121086,-3.41916,-2.81209,0.121086,1
1,3,97,-1.44667,0.0206106,-3.41916,-2.81209,0.0206106,1
1,2,97,-1.04444,-0.248304,-3.41916,-2.81209,-0.248304,1
1,20,96,-1.22869,-0.996375,-3.41916,-2.99602,-0.996375,1
1,19,96,-1.60544,-1.41649,-3.41916,-2.99602,-1.41649,1
1,18,96,-1.33268,-1.51713,-3.41916,-2.99602,-1.51713,0
1,17,96,-1.06772,-1.30532,-3.41916,-2.99602,-1.30532,0
1,15,96,-1.03161,-0.727939,-3.41916,-2.99602,-0.727939,1
1,13,96,-1.02798,-0.527914,-3.41916,-2.99602,-1.02798,1
1,12,96,-1.28327,-0.434166,-3.41916,-2.99602,-0.434166,1
1,9,96,-0.651849,-0.614864,-3.41916,-2.99602,-0.614864,1
1,7,96,-0.548352,-0.307415,-3.41916,-2.99602,-0.307415,1
1,4,96,-0.698025,0.231386,-3.41916,-2.99602,0.231386,1
1,3,96,-1.29115,0.161841,-3.41916,-2.99602,0.161841,1
1,2,96,-0.944139,-0.163563,-3.41916,-2.99602,-0.163563,1
1,19,95,-1.41724,-1.08081,-3.41916,-2.85377,-1.08081,1
1,17,95,-1.06779,-1.27179,-3.41916,-2.85377,-1.27179,0
1,15,95,-1.03536,-0.604735,-3.41916,-2.85377,-0.604735,1
1,13,95,-0.866205,-0.26125,-3.41916,-2.85377,-0.26125,1
1,7,95,-0.441455,-0.295169,-3.41916,-2.85377,-0.295169,1
1,4,95,-0.6219,0.282778,-3.41916,-2.85377,0.282778,1
1,2,95,-0.799089,-0.0891594,-3.41916,-2.85377,-0.0891594,1
1,1,95,-0.988499,-0.740164,-3.41916,-2.85377,-0.740164,1
1,19,94,-1.31606,-1.03465,-3.41916,-2.55553,-1.03465,1
1,17,94,-1.00599,-1.18283,-3.41916,-2.55553,-1.18283,0
1,15,94,-0.940655,-0.667092,-3.41916,-2.55553,-0.667092,1
1,13,94,-0.676192,-0.182863,-3.41916,-2.55553,-0.182863,1
1,7,94,-0.277205,-0.0857811,-3.41916,-2.55553,-0.0857811,1
1,4,94,-0.499002,0.414206,-3.41916,-2.55553,0.414206,1
1,2,94,-0.627573,0.0578599,-3.41916,-2.55553,0.0578599,1
1,1,94,-0.91064,-0.638481,-3.41916,-2.55553,-0.638481,1
1,19,93,-1.41399,-0.855032,-3.41916,-2.51688,-0.855032,1
1,17,93,-0.652232,-0.865897,-3.41916,-2.51688,-0.865897,0
1,15,93,-0.837764,-0.699718,-3.41916,-2.51688,-0.699718,1
1,13,93,-0.621833,-0.146932,-3.41916,-2.51688,-0.146932,1
1,7,93,-0.205029,-0.00620094,-3.41916,-2.51688,-0.00620094,1
1,4,93,-0.357161,0.599208,-3.41916,-2.51688,0.599208,1
1,2,93,-0.501989,0.0191185,-3.41916,-2.51688,0.0191185,1
1,1,93,-0.670361,-0.457218,-3.41916,-2.51688,-0.457218,1
1,19,92,-1.3698,-0.868589,-6.43894,-2.39982,-0.868589,1
1,17,92,-0.577408,-0.824075,-6.43894,-2.39982,-0.824075,0
1,15,92,-0.91463,-0.507863,-6.43894,-2.39982,-0.507863,1
1,13,92,-0.53031,-0.0755071,-6.43894,-2.39982,-0.0755071,1
1,7,92,-0.145583,-0.00449067,-6.43894,-2.39982,-0.00449067,1
1,4,92,-0.594707,0.698412,-6.43894,-2.39982,0.698412,1
1,2,92,-0.393658,0.105324,-6.43894,-2.39982,0.105324,1
1,1,92,-0.530559,-0.374021,-6.43894,-2.39982,-0.374021,1
1,19,91,-1.21229,-0.693893,-6.29331,-2.45927,-1.21229,1
1,17,91,-0.68004,-0.7778,-6.29331,-2.45927,-0.7778,0
1,15,91,-0.633226,-0.234948,-6.29331,-2.45927,-0.633226,1
1,13,91,-0.634054,-0.140935,-6.29331,-2.45927,-0.140935,1
1,7,91,-0.111472,0.106992,-6.29331,-2.45927,0.106992,1
1,4,91,-0.189071,0.816011,-6.29331,-2.45927,0.816011,1
1,2,91,-0.281907,0.422327,-6.29331,-2.45927,0.422327,1
1,1,91,-0.453847,-0.237136,-6.29331,-2.45927,-0.237136,1
1,19,90,-1.37467,-0.852178,-6.05291,-2.36134,-0.852178,1
1,17,90,-0.51259,-0.778484,-6.05291,-2.36134,-0.778484,0
1,15,90,-0.611085,-0.145488,-6.05291,-2.36134,-0.145488,1
1,13,90,-0.523221,-0.205641,-6.05291,-2.36134,-0.205641,1
1,7,90,-0.0890803,0.0701373,-6.05291,-2.36134,0.0701373,1
1,4,90,-0.0595232,0.892877,-6.05291,-2.36134,0.892877,1
1,2,90,-0.276391,0.508383,-6.05291,-2.36134,0.508383,1
1,1,90,-0.300972,-0.0242406,-6.05291,-2.36134,-0.0242406,1
1,19,89,-1.33616,-0.887774,-5.75042,-2.39784,-0.887774,1
1,17,89,-0.454672,-0.680451,-5.75042,-2.39784,-0.454672,0
1,15,89,-0.655088,-0.161149,-5.75042,-2.39784,-0.161149,1
1,13,89,-0.193059,0.179368,-5.75042,-2.39784,0.179368,1
1,7,89,0.0356968,0.289258,-5.75042,-2.39784,0.289258,1
1,4,89,0.00129319,0.911286,-5.75042,-2.39784,0.911286,1
1,2,89,-0.0550629,0.486934,-5.75042,-2.39784,0.486934,1
1,1,89,-0.267317,-0.40267,-5.75042,-2.39784,-0.40267,0
1,19,88,-0.924977,-0.416811,-5.55605,-2.24038,-0.924977,1
1,17,88,-0.695946,-0.662272,-5.55605,-2.24038,-0.662272,1
1,15,88,-0.414496,-0.155558,-5.55605,-2.24038,-0.155558,1
1,13,88,-0.194766,0.262577,-5.55605,-2.24038,0.262577,1
1,7,88,0.168076,0.439468,-5.55605,-2.24038,0.439468,1
1,4,88,-0.123292,1.06376,-5.55605,-2.24038,1.06376,1
1,2,88,0.146481,0.467445,-5.55605,-2.24038,0.467445,1
1,1,88,-0.19053,0.130885,-5.55605,-2.24038,0.130885,1
1,19,87,-0.778202,-0.460479,-5.60239,-2.09737,-0.460479,1
1,17,87,-0.657983,-0.610944,-5.60239,-2.09737,-0.610944,1
1,15,87,-0.368117,0.00415804,-5.60239,-2.09737,0.00415804,1
1,13,87,-0.178998,0.211764,-5.60239,-2.09737,0.211764,1
1,7,87,0.210952,0.578849,-5.60239,-2.09737,0.578849,1
1,4,87,0.0833124,1.10619,-5.60239,-2.09737,1.10619,1
1,2,87,0.246775,0.683684,-5.60239,-2.09737,0.683684,1
1,1,87,0.085043,0.249901,-5.60239,-2.09737,0.249901,1
1,19,86,-0.783199,-0.375687,-5.61978,-2.01828,-0.375687,1
1,17,86,-0.312717,-0.315567,-5.61978,-2.01828,-0.312717,0
1,15,86,-0.54793,-0.0488718,-5.61978,-2.01828,-0.0488718,1
1,13,86,-0.0638825,0.313938,-5.61978,-2.01828,-0.0638825,1
1,7,86,0.31207,0.620615,-5.61978,-2.01828,0.620615,1
1,4,86,0.0248792,1.11501,-5.61978,-2.01828,1.11501,1
1,2,86,0.294293,0.703639,-5.61978,-2.01828,0.703639,1
1,1,86,0.26716,0.332354,-5.61978,-2.01828,0.332354,1
1,19,85,-0.3083,0.196894,-5.14185,-2.10808,0.196894,1
1,17,85,-0.328539,-0.904282,-5.14185,-2.10808,-0.904282,0
1,15,85,-0.386065,0.118176,-5.14185,-2.10808,0.118176,1
1,13,85,0.225748,-0.0685307,-5.14185,-2.10808,-0.0685307,0
1,7,85,-0.374735,0.187969,-5.14185,-2.10808,0.187969,1
1,4,85,0.0586806,0.0881044,-5.14185,-2.10808,0.0881044,1
1,2,85,-0.0396503,-0.0358592,-5.14185,-2.10808,-0.0358592,1
1,1,85,0.406371,-0.150045,-5.14185,-2.10808,-0.150045,0
1,19,84,-0.041479,0.533528,-5.35927,-2.00544,0.533528,1
1,17,84,-0.356268,-1.04066,-5.35927,-2.00544,-1.04066,0
1,15,84,0.0428387,0.388448,-5.35927,-2.00544,0.388448,1
1,13,84,0.0456132,-0.0786538,-5.35927,-2.00544,-0.0786538,0
1,7,84,-0.307948,0.180036,-5.35927,-2.00544,0.180036,1
1,4,84,0.103565,0.179322,-5.35927,-2.00544,0.179322,1
1,2,84,-0.0136697,0.158177,-5.35927,-2.00544,0.158177,1
1,1,84,0.443244,-0.11757,-5.35927,-2.00544,-0.11757,0
1,19,83,-0.204109,0.584549,-5.22327,-1.89942,-0.204109,1
1,17,83,-0.436127,-1.08013,-5.22327,-1.89942,-1.08013,0
1,15,83,0.108181,0.441261,-5.22327,-1.89942,0.441261,1
1,13,83,0.0364142,-0.0119316,-5.22327,-1.89942,-0.0119316,0
1,7,83,0.0653245,0.279839,-5.22327,-1.89942,0.279839,1
1,4,83,0.218157,0.29477,-5.22327,-1.89942,0.29477,1
1,2,83,0.203634,0.227634,-5.22327,-1.89942,0.227634,1
1,1,83,0.55684,-0.047499,-5.22327,-1.89942,-0.047499,0
1,19,82,-0.204825,0.370545,-5.04662,-1.89873,0.370545,1
1,17,82,-0.206027,-0.758236,-5.04662,-1.89873,-0.206027,0
1,15,82,0.00518781,0.470918,-5.04662,-1.89873,0.470918,1
1,13,82,0.576185,0.154957,-5.04662,-1.89873,0.154957,0
1,9,82,0.362055,0.08796,-5.04662,-1.89873,0.08796,0
1,7,82,0.0908894,0.428294,-5.04662,-1.89873,0.428294,1
1,4,82,0.115547,0.247622,-5.04662,-1.89873,0.247622,1
1,2,82,0.252428,0.317008,-5.04662,-1.89873,0.317008,1
1,1,82,0.572745,0.112062,-5.04662,-1.89873,0.112062,0
1,19,81,-0.232033,0.306688,-4.70389,-1.77463,0.306688,1
1,17,81,-0.205621,-0.658248,-4.70389,-1.77463,-0.658248,0
1,15,81,-0.216561,0.423911,-4.70389,-1.77463,0.423911,1
1,13,81,0.561859,0.304193,-4.70389,-1.77463,0.304193,0
1,7,81,0.0968044,0.5333,-4.70389,-1.77463,0.5333,1
1,4,81,0.00601561,0.247984,-4.70389,-1.77463,0.247984,1
1,2,81,0.348274,0.352191,-4.70389,-1.77463,0.352191,1
1,1,81,0.560251,0.180099,-4.70389,-1.77463,0.180099,0
1,19,80,0.150923,0.610722,-4.82344,-1.66435,0.610722,1
1,17,80,-0.423744,-0.78967,-4.82344,-1.66435,-0.78967,0
1,15,80,0.125946,0.62743,-4.82344,-1.66435,0.62743,1
1,13,80,0.526663,0.236782,-4.82344,-1.66435,0.236782,0
1,7,80,0.125638,0.605822,-4.82344,-1.66435,0.605822,1
1,4,80,0.465712,0.469949,-4.82344,-1.66435,0.469949,1
1,2,80,0.246663,0.405544,-4.82344,-1.66435,0.405544,1
1,1,80,0.760091,0.293427,-4.82344,-1.66435,0.293427,0
1,19,79,0.205681,0.657144,-4.30456,-1.7295,0.657144,1
1,17,79,-0.223766,-0.870892,-4.30456,-1.7295,-0.870892,0
1,15,79,0.152085,0.669418,-4.30456,-1.7295,0.669418,1
1,13,79,0.404632,0.156258,-4.30456,-1.7295,0.156258,0
1,9,79,0.472051,0.121902,-4.30456,-1.7295,0.121902,0
1,7,79,0.268013,0.714216,-4.30456,-1.7295,0.714216,1
1,4,79,0.442186,0.517015,-4.30456,-1.7295,0.517015,1
1,2,79,0.3628,0.333584,-4.30456,-1.7295,0.333584,0
1,1,79,0.809175,0.222962,-4.30456,-1.7295,0.222962,0
1,19,78,-0.0374149,0.756795,-4.65291,-1.66623,0.756795,1
1,17,78,-0.04112,-0.39197,-4.65291,-1.66623,-0.39197,0
1,15,78,-0.0749261,0.579504,-4.65291,-1.66623,0.579504,1
1,13,78,0.624965,0.422809,-4.65291,-1.66623,0.422809,0
1,9,78,0.776743,0.620052,-4.65291,-1.66623,0.620052,0
1,7,78,0.227288,0.706419,-4.65291,-1.66623,0.706419,1
1,4,78,0.510029,0.501597,-4.65291,-1.66623,0.501597,0
1,2,78,0.595879,0.653726,-4.65291,-1.66623,0.653726,1
1,1,78,0.868382,0.35749,-4.65291,-1.66623,0.35749,0
1,19,77,0.112272,0.872597,-4.67517,-1.58996,0.872597,1
1,17,77,0.0349658,-0.236121,-4.67517,-1.58996,-0.236121,0
1,15,77,-0.0510411,0.699571,-4.67517,-1.58996,0.699571,1
1,13,77,0.718014,0.498339,-4.67517,-1.58996,0.498339,0
1,9,77,0.840096,0.65441,-4.67517,-1.58996,0.65441,0
1,7,77,0.310293,0.877345,-4.67517,-1.58996,0.877345,1
1,4,77,0.619234,0.646144,-4.67517,-1.58996,0.646144,1
1,2,77,0.48378,0.659654,-4.67517,-1.58996,0.659654,1
1,1,77,0.951169,0.604528,-4.67517,-1.58996,0.604528,0
1,19,76,0.277186,0.799531,-4.75214,-1.45125,0.799531,1
1,17,76,-0.100603,-0.336916,-4.75214,-1.45125,-0.336916,0
1,15,76,0.362695,0.903484,-4.75214,-1.45125,0.903484,1
1,13,76,0.503964,0.357832,-4.75214,-1.45125,0.357832,0
1,9,76,0.775849,0.630217,-4.75214,-1.45125,0.630217,0
1,7,76,0.682214,1.047,-4.75214,-1.45125,1.047,1
1,4,76,0.73432,0.794704,-4.75214,-1.45125,0.794704,1
1,2,76,0.478439,0.708773,-4.75214,-1.45125,0.708773,1
1,1,76,1.13384,0.547834,-4.75214,-1.45125,0.547834,0
1,19,75,0.346663,0.842762,-4.90201,-1.41384,0.842762,1
1,17,75,0.0769946,-0.301102,-4.90201,-1.41384,-0.301102,0
1,15,75,0.320296,0.999418,-4.90201,-1.41384,0.999418,1
1,13,75,0.518265,0.467046,-4.90201,-1.41384,0.467046,0
1,9,75,0.792572,0.601146,-4.90201,-1.41384,0.601146,0
1,7,75,0.717823,1.04791,-4.90201,-1.41384,1.04791,1
1,4,75,0.416012,0.757283,-4.90201,-1.41384,0.757283,1
1,2,75,0.671891,1.03949,-4.90201,-1.41384,1.03949,1
1,1,75,1.26478,0.617853,-4.90201,-1.41384,0.617853,0
1,19,74,0.16683,0.672467,-4.86797,-1.45906,0.672467,1
1,17,74,0.107373,-0.0944768,-4.86797,-1.45906,0.107373,0
1,15,74,0.271414,0.968371,-4.86797,-1.45906,0.968371,1
1,13,74,0.897444,0.544296,-4.86797,-1.45906,0.544296,0
1,9,74,1.01237,0.695578,-4.86797,-1.45906,0.695578,0
1,7,74,0.652099,1.01858,-4.86797,-1.45906,1.01858,1
1,4,74,0.618339,0.814926,-4.86797,-1.45906,0.814926,1
1,2,74,0.860081,1.08749,-4.86797,-1.45906,1.08749,1
1,1,74,1.19809,0.766816,-4.86797,-1.45906,0.766816,0
1,19,73,0.249889,0.78732,-4.58061,-1.30758,0.78732,1
1,17,73,0.223514,-0.131682,-4.58061,-1.30758,-0.131682,0
1,15,73,0.340028,1.10856,-4.58061,-1.30758,1.10856,1
1,13,73,0.885057,0.626505,-4.58061,-1.30758,0.626505,0
1,9,73,1.0632,0.876154,-4.58061,-1.30758,0.876154,0
1,7,73,0.569001,0.992635,-4.58061,-1.30758,0.992635,1
1,4,73,0.976566,0.936553,-4.58061,-1.30758,0.936553,0
1,2,73,0.507948,1.04148,-4.58061,-1.30758,1.04148,1
1,1,73,1.36511,0.694879,-4.58061,-1.30758,0.694879,0
1,19,72,0.288213,0.885216,-4.69937,-1.21867,0.885216,1
1,17,72,-0.243431,-0.125136,-4.69937,-1.21867,-0.125136,1
1,15,72,0.495182,1.12533,-4.69937,-1.21867,1.12533,1
