Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.36988,-0.954738,-3.41916,-3.35117,-0.954738,1
1,19,99,-2.45225,-1.12346,-3.41916,-3.35117,-1.12346,1
1,18,99,-2.20679,-1.12436,-3.41916,-3.35117,-1.12436,1
1,17,99,-1.52869,-1.73714,-3.41916,-3.35117,-1.73714,0
1,15,99,-1.26222,-1.45716,-3.41916,-3.35117,-1.45716,0
1,13,99,-1.76498,-0.936058,-3.41916,-3.35117,-0.936058,1
1,12,99,-1.13151,-0.840383,-3.41916,-3.35117,-1.13151,1
1,10,99,-0.859119,-0.526525,-3.41916,-3.35117,-0.526525,1
1,9,99,-0.595809,-0.526828,-3.41916,-3.35117,-0.526828,1
1,7,99,-0.444168,-0.607408,-3.41916,-3.35117,-0.607408,0
1,4,99,-0.274506,-0.181538,-3.41916,-3.35117,-0.181538,1
1,3,99,-0.609398,-0.213387,-3.41916,-3.35117,-0.213387,1
1,2,99,-0.590535,-0.186874,-3.41916,-3.35117,-0.186874,1
1,1,99,-1.06624,-0.943146,-3.41916,-3.35117,-0.943146,1
1,20,98,-2.09677,-1.00342,-3.41916,-3.12829,-1.00342,1
1,19,98,-2.05786,-0.956178,-3.41916,-3.12829,-0.956178,1
1,18,98,-2.11544,-1.13592,-3.41916,-3.12829,-1.13592,1
1,17,98,-1.37751,-1.61252,-3.41916,-3.12829,-1.61252,0
1,15,98,-0.99142,-1.32781,-3.41916,-3.12829,-1.32781,0
1,13,98,-1.28362,-1.29389,-3.41916,-3.12829,-1.28362,0
1,12,98,-0.78724,-0.563582,-3.41916,-3.12829,-0.563582,1
1,9,98,-0.54133,-0.439386,-3.41916,-3.12829,-0.439386,1
1,7,98,-0.356963,-0.493265,-3.41916,-3.12829,-0.493265,0
1,4,98,-0.276823,-0.0513667,-3.41916,-3.12829,-0.0513667,1
1,3,98,-0.571805,-0.142071,-3.41916,-3.12829,-0.142071,1
1,2,98,-0.628938,-0.343086,-3.41916,-3.12829,-0.343086,1
1,1,98,-0.753411,-0.614244,-3.41916,-3.12829,-0.614244,1
1,20,97,-1.83488,-0.843322,-3.41916,-2.81209,-1.83488,1
1,19,97,-1.67083,-0.927309,-3.41916,-2.81209,-0.927309,1
1,18,97,-1.93911,-0.969416,-3.41916,-2.81209,-0.969416,1
1,17,97,-1.23344,-1.60459,-3.41916,-2.81209,-1.60459,0
1,15,97,-0.928588,-1.21867,-3.41916,-2.81209,-1.21867,0
1,13,97,-1.18743,-0.849775,-3.41916,-2.81209,-0.849775,1
1,12,97,-0.673479,-0.539729,-3.41916,-2.81209,-0.539729,1
1,7,97,-0.33924,-0.21493,-3.41916,-2.81209,-0.21493,1
1,4,97,-0.0801822,0.0149326,-3.41916,-2.81209,0.0149326,1
1,3,97,-0.295815,-0.0397879,-3.41916,-2.81209,-0.0397879,1
1,2,97,-0.0673008,-0.0252627,-3.41916,-2.81209,-0.0252627,1
1,20,96,-1.60843,-0.690676,-3.41916,-2.99602,-0.690676,1
1,19,96,-1.72236,-1.01247,-3.41916,-2.99602,-1.01247,1
1,18,96,-1.51906,-0.92137,-3.41916,-2.99602,-0.92137,1
1,17,96,-1.00448,-1.46378,-3.41916,-2.99602,-1.46378,0
1,15,96,-0.715366,-1.1396,-3.41916,-2.99602,-1.1396,0
1,13,96,-0.966669,-0.869377,-3.41916,-2.99602,-0.966669,1
1,12,96,-0.510725,-0.498012,-3.41916,-2.99602,-0.498012,1
1,9,96,-0.480409,-0.520998,-3.41916,-2.99602,-0.520998,0
1,7,96,-0.231431,-0.248073,-3.41916,-2.99602,-0.248073,0
1,4,96,0.0311456,-0.0314144,-3.41916,-2.99602,-0.0314144,0
1,3,96,-0.237026,0.0401157,-3.41916,-2.99602,0.0401157,1
1,2,96,0.0226488,-0.103456,-3.41916,-2.99602,-0.103456,0
1,19,95,-1.50985,-0.761403,-3.41916,-2.85377,-0.761403,1
1,17,95,-1.09108,-1.36659,-3.41916,-2.85377,-1.36659,0
1,15,95,-0.862517,-1.21472,-3.41916,-2.85377,-1.21472,0
1,13,95,-0.787546,-0.61027,-3.41916,-2.85377,-0.61027,1
1,7,95,-0.420637,-0.347922,-3.41916,-2.85377,-0.347922,1
1,4,95,-0.00346323,0.191365,-3.41916,-2.85377,0.191365,1
