Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.33522,-1.49165,-3.41916,-3.35117,-1.49165,1
1,19,99,-2.8939,-0.905867,-3.41916,-3.35117,-0.905867,1
1,18,99,-2.31035,-0.715763,-3.41916,-3.35117,-0.715763,1
1,17,99,-2.11217,-0.911797,-3.41916,-3.35117,-0.911797,1
1,15,99,-1.27807,-1.64528,-3.41916,-3.35117,-1.64528,0
1,13,99,-1.36799,-1.50829,-3.41916,-3.35117,-1.50829,0
1,12,99,-0.594531,-1.03843,-3.41916,-3.35117,-0.594531,0
1,10,99,-1.28575,-0.475573,-3.41916,-3.35117,-1.28575,1
1,9,99,-0.570942,0.113602,-3.41916,-3.35117,0.113602,1
1,7,99,-0.891308,-1.80614,-3.41916,-3.35117,-1.80614,0
1,4,99,-0.531292,-0.318507,-3.41916,-3.35117,-0.318507,1
1,3,99,-1.14824,-0.440188,-3.41916,-3.35117,-0.440188,1
1,2,99,-0.580851,-0.753564,-3.41916,-3.35117,-0.753564,0
1,1,99,-2.4757,-1.3428,-3.41916,-3.35117,-1.3428,1
1,20,98,-2.08488,-1.44132,-3.41916,-3.12829,-1.44132,1
1,19,98,-2.65475,-0.785418,-3.41916,-3.12829,-0.785418,1
1,18,98,-2.28891,-0.803024,-3.41916,-3.12829,-0.803024,1
1,17,98,-1.61092,-1.04495,-3.41916,-3.12829,-1.04495,1
1,15,98,-1.23039,-1.35565,-3.41916,-3.12829,-1.35565,0
1,13,98,-1.0538,-1.49005,-3.41916,-3.12829,-1.0538,0
1,12,98,-0.244868,-0.784975,-3.41916,-3.12829,-0.784975,0
1,9,98,-0.537654,0.184695,-3.41916,-3.12829,0.184695,1
1,7,98,-0.646285,-1.73708,-3.41916,-3.12829,-1.73708,0
1,4,98,-0.51015,-0.253149,-3.41916,-3.12829,-0.253149,1
1,3,98,-0.778289,-0.294396,-3.41916,-3.12829,-0.294396,1
1,2,98,-0.455633,-0.513254,-3.41916,-3.12829,-0.513254,0
1,1,98,-2.47587,-1.20227,-3.41916,-3.12829,-1.20227,1
1,20,97,-1.9903,-1.45997,-3.41916,-2.81209,-1.9903,1
1,19,97,-1.84307,-0.67362,-3.41916,-2.81209,-0.67362,1
1,18,97,-2.04489,-0.713305,-3.41916,-2.81209,-0.713305,1
1,17,97,-1.72291,-1.03454,-3.41916,-2.81209,-1.03454,1
1,15,97,-0.972835,-1.40611,-3.41916,-2.81209,-1.40611,0
1,13,97,-0.967438,-1.34452,-3.41916,-2.81209,-1.34452,0
1,12,97,-0.21686,-0.642992,-3.41916,-2.81209,-0.642992,0
1,7,97,-0.613343,-1.44042,-3.41916,-2.81209,-1.44042,0
1,4,97,-0.445042,-0.274455,-3.41916,-2.81209,-0.274455,1
1,3,97,-0.521533,-0.290215,-3.41916,-2.81209,-0.290215,1
1,2,97,-0.4308,-0.440499,-3.41916,-2.81209,-0.440499,0
1,20,96,-1.69839,-1.39912,-3.41916,-2.99602,-1.39912,1
1,19,96,-2.13905,-0.904965,-3.41916,-2.99602,-0.904965,1
1,18,96,-1.6799,-0.796497,-3.41916,-2.99602,-0.796497,1
1,17,96,-1.51924,-0.888653,-3.41916,-2.99602,-0.888653,1
1,15,96,-0.821022,-1.47647,-3.41916,-2.99602,-1.47647,0
1,13,96,-0.876981,-1.33638,-3.41916,-2.99602,-0.876981,0
1,12,96,-0.0917745,-0.65608,-3.41916,-2.99602,-0.65608,0
1,9,96,-0.452672,0.213451,-3.41916,-2.99602,0.213451,1
1,7,96,-0.569764,-1.43632,-3.41916,-2.99602,-1.43632,0
1,4,96,-0.433939,-0.162096,-3.41916,-2.99602,-0.162096,1
1,3,96,-0.378854,-0.325628,-3.41916,-2.99602,-0.325628,1
1,2,96,-0.397651,-0.218645,-3.41916,-2.99602,-0.218645,1
1,19,95,-2.07674,-0.758628,-3.41916,-2.85377,-0.758628,1
1,17,95,-1.45047,-0.877143,-3.41916,-2.85377,-0.877143,1
1,15,95,-0.940552,-1.5906,-3.41916,-2.85377,-1.5906,0
1,13,95,-0.524959,-1.082,-3.41916,-2.85377,-1.082,0
1,7,95,-0.502344,-1.1795,-3.41916,-2.85377,-1.1795,0
1,4,95,-0.440961,-0.164809,-3.41916,-2.85377,-0.164809,1
1,2,95,-0.394233,-0.436688,-3.41916,-2.85377,-0.436688,0
1,1,95,-0.564394,-0.989519,-3.41916,-2.85377,-0.989519,0
1,19,94,-1.82747,-0.537266,-3.41916,-2.55553,-0.537266,1
1,17,94,-1.54717,-0.590318,-3.41916,-2.55553,-0.590318,1
1,15,94,-0.779834,-1.29203,-3.41916,-2.55553,-1.29203,0
1,13,94,-0.648148,-1.05697,-3.41916,-2.55553,-1.05697,0
1,7,94,-0.492727,-1.19392,-3.41916,-2.55553,-1.19392,0
1,4,94,-0.342758,-0.0544556,-3.41916,-2.55553,-0.0544556,1
1,2,94,-0.297656,-0.247526,-3.41916,-2.55553,-0.247526,1
1,1,94,-0.622315,-0.856542,-3.41916,-2.55553,-0.856542,0
1,19,93,-2.07457,-0.642086,-3.41916,-2.51688,-0.642086,1
1,17,93,-1.56903,-0.636851,-3.41916,-2.51688,-0.636851,1
1,15,93,-0.927534,-1.41975,-3.41916,-2.51688,-1.41975,0
1,13,93,-0.64725,-1.23164,-3.41916,-2.51688,-1.23164,0
1,7,93,-0.454022,-1.17343,-3.41916,-2.51688,-1.17343,0
1,4,93,-0.32015,-0.0473958,-3.41916,-2.51688,-0.0473958,1
1,2,93,-0.30808,-0.219465,-3.41916,-2.51688,-0.219465,1
1,1,93,-0.493107,-0.892684,-3.41916,-2.51688,-0.892684,0
1,19,92,-2.03181,-0.646671,-6.43894,-2.39982,-0.646671,1
1,17,92,-1.37259,-0.398289,-6.43894,-2.39982,-0.398289,1
1,15,92,-0.787638,-1.15103,-6.43894,-2.39982,-1.15103,0
1,13,92,-0.433705,-0.94545,-6.43894,-2.39982,-0.94545,0
1,7,92,-0.504636,-1.09342,-6.43894,-2.39982,-1.09342,0
1,4,92,-0.237481,-0.0282958,-6.43894,-2.39982,-0.0282958,1
1,2,92,-0.263459,-0.276489,-6.43894,-2.39982,-0.276489,0
1,1,92,-0.608254,-0.793021,-6.43894,-2.39982,-0.793021,0
1,19,91,-1.9051,-0.471615,-6.29331,-2.45927,-0.471615,1
1,17,91,-1.56024,-0.296306,-6.29331,-2.45927,-0.296306,1
1,15,91,-0.915099,-1.21557,-6.29331,-2.45927,-0.915099,0
1,13,91,-0.555121,-0.972903,-6.29331,-2.45927,-0.972903,0
1,7,91,-0.15819,-0.993448,-6.29331,-2.45927,-0.993448,0
1,4,91,-0.223506,-0.063395,-6.29331,-2.45927,-0.063395,1
1,2,91,-0.175798,-0.0907944,-6.29331,-2.45927,-0.0907944,1
1,1,91,-0.536708,-0.778713,-6.29331,-2.45927,-0.778713,0
1,19,90,-1.77177,-0.488062,-6.05291,-2.36134,-0.488062,1
1,17,90,-1.57736,-0.272847,-6.05291,-2.36134,-0.272847,1
1,15,90,-0.847052,-1.04797,-6.05291,-2.36134,-1.04797,0
1,13,90,-0.468631,-1.03789,-6.05291,-2.36134,-1.03789,0
1,7,90,-0.346422,-0.808351,-6.05291,-2.36134,-0.808351,0
1,4,90,-0.158675,-0.0255609,-6.05291,-2.36134,-0.0255609,1
1,2,90,-0.0142981,0.0559547,-6.05291,-2.36134,0.0559547,1
1,1,90,-0.414983,-0.716774,-6.05291,-2.36134,-0.716774,0
1,19,89,-1.82966,-0.522132,-5.75042,-2.39784,-0.522132,1
1,17,89,-1.40224,-0.100379,-5.75042,-2.39784,-1.40224,1
1,15,89,-0.900545,-1.12324,-5.75042,-2.39784,-1.12324,0
1,13,89,-0.429475,-1.01569,-5.75042,-2.39784,-1.01569,0
1,7,89,0.0644988,-0.781188,-5.75042,-2.39784,-0.781188,0
1,4,89,-0.165246,-0.0770554,-5.75042,-2.39784,-0.0770554,1
1,2,89,-0.0922644,-0.121018,-5.75042,-2.39784,-0.121018,0
1,1,89,-0.380837,-0.347711,-5.75042,-2.39784,-0.347711,1
1,19,88,-1.81241,-0.296798,-5.55605,-2.24038,-1.81241,1
1,17,88,-1.17325,-0.125793,-5.55605,-2.24038,-0.125793,1
1,15,88,-0.923122,-0.982576,-5.55605,-2.24038,-0.982576,0
1,13,88,-0.408634,-0.876017,-5.55605,-2.24038,-0.876017,0
1,7,88,0.108386,-0.696248,-5.55605,-2.24038,-0.696248,0
1,4,88,0.0575457,-0.00363017,-5.55605,-2.24038,-0.00363017,0
