Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-0.317924,0.744394,-1000,0,0.744394,1
1,19,99,-4.3905,1.35711,-1000,0,1.35711,1
1,18,99,-4.3905,1.69922,-1000,0,1.69922,1
1,17,99,-2.75075,1.24153,-1000,0,1.24153,1
1,15,99,1.48347,0.636396,-1000,0,1.48347,0
1,13,99,-4.3905,1.04857,-1000,0,1.04857,1
1,12,99,-4.3905,0.911574,-1000,0,0.911574,1
1,10,99,1.1103,1.3031,-1000,0,1.3031,1
1,9,99,1.16691,1.42873,-1000,0,1.42873,1
1,7,99,1.65968,1.755,-1000,0,1.755,1
1,4,99,1.64854,1.6289,-1000,0,1.64854,0
1,3,99,1.53181,1.02891,-1000,0,1.53181,0
1,2,99,1.5236,0.941688,-1000,0,1.5236,0
1,1,99,1.45437,0.493569,-1000,0,1.45437,0
2,20,99,0.409694,0.618843,-1000,0,0.618843,1
2,18,99,0.0971739,0.647381,-1000,0,0.647381,1
2,17,99,0.684004,0.370535,-1000,0,0.684004,0
2,16,99,0.682283,-1.4655,-1000,0,0.682283,0
2,15,99,0.67234,0.0354165,-1000,0,0.67234,0
2,13,99,0.42486,0.794195,-1000,0,0.794195,1
2,10,99,0.912839,0.868031,-1000,0,0.912839,0
2,8,99,0.464587,1.21243,-1000,0,1.21243,1
2,7,99,1.46384,0.772355,-1000,0,1.46384,0
2,4,99,1.4089,1.63291,-1000,0,1.63291,1
2,3,99,1.66288,1.51079,-1000,0,1.66288,0
2,2,99,-0.762158,1.49276,-1000,0,1.49276,1
2,1,99,1.38976,1.40659,-1000,0,1.40659,1
3,20,99,0,0,-1000,0,0,0
3,16,99,0,-0.3963,-1000,0,0,0
3,15,99,0,-1.66333,-1000,0,0,0
3,13,99,0,1.18636,-1000,0,1.18636,1
3,11,99,-1.31715,0.506012,-1000,0,0.506012,1
3,10,99,-4.3905,0.693182,-1000,0,0.693182,1
3,9,99,0.818221,0.783284,-1000,0,0.818221,0
3,8,99,-4.3905,0.970033,-1000,0,0.970033,1
3,5,99,0.906638,0.650386,-1000,0,0.906638,0
3,4,99,1.07001,1.10882,-1000,0,1.10882,1
3,2,99,1.49276,0.339506,-1000,0,1.49276,0
3,1,99,1.27547,1.40659,-1000,0,1.40659,1
4,17,99,-5.09646,-6.44355,-1000,0,0,3
4,16,99,-6.12028,-6.44355,-1000,0,0,3
4,15,99,-5.82544,-6.44355,-1000,0,0,3
4,14,99,-5.83508,-6.44355,-1000,0,0,3
4,13,99,-5.47741,-6.44355,-1000,0,0,3
4,12,99,-4.06014,-6.44355,-1000,0,0,3
4,9,99,-2.83818,-6.44355,-1000,0,0,3
4,8,99,-4.98921,-6.44355,-1000,0,0,3
4,7,99,-4.12107,-2.05165,-1000,0,0,3
4,5,99,-2.06491,-0.521488,-1000,0,0,3
4,3,99,-3.18882,-1.26285,-1000,0,0,3
4,1,99,0.869709,-0.680517,-1000,0,0.869709,0
1,20,98,-0.306674,0.820691,-1000,0,0.820691,1
1,19,98,0,1.37305,-1000,0,1.37305,1
1,18,98,0,1.71637,-1000,0,1.71637,1
1,17,98,-2.74115,1.26183,-1000,0,1.26183,1
1,15,98,1.50008,0.673778,-1000,0,1.50008,0
1,13,98,-1.31715,1.06554,-1000,0,1.06554,1
1,12,98,0,0.974532,-1000,0,0.974532,1
1,10,98,1.31445,1.37346,-1000,0,1.37346,1
1,9,98,1.36642,1.4719,-1000,0,1.4719,1
1,7,98,1.71254,1.78724,-1000,0,1.78724,1
1,4,98,1.70681,1.70479,-1000,0,1.70681,0
1,3,98,1.58731,1.10223,-1000,0,1.58731,0
1,2,98,1.59593,1.06536,-1000,0,1.59593,0
1,1,98,1.50293,0.48987,-1000,0,1.50293,0
2,20,98,0.410548,0.631113,-1000,0,0.631113,1
2,18,98,0.0936212,0.655646,-1000,0,0.655646,1
2,17,98,0.725733,0.38955,-1000,0,0.725733,0
2,16,98,0.697225,-1.46313,-1000,0,0.697225,0
2,15,98,0.68698,0.0489615,-1000,0,0.68698,0
2,13,98,0.844851,0.821623,-1000,0,0.844851,0
2,10,98,1.06399,0.90462,-1000,0,1.06399,0
2,7,98,1.51469,0.994507,-1000,0,1.51469,0
2,4,98,1.44865,1.65704,-1000,0,1.65704,1
2,3,98,1.71217,1.55751,-1000,0,1.71217,0
2,2,98,-0.734577,1.56422,-1000,0,1.56422,1
2,1,98,1.43638,1.39785,-1000,0,1.43638,0
3,20,98,0,0,-1000,0,0,0
3,16,98,0,-0.391588,-1000,0,0,0
3,15,98,0,-1.61225,-1000,0,0,0
3,13,98,0,1.21288,-1000,0,1.21288,1
3,11,98,0,0.515153,-1000,0,0.515153,1
3,10,98,0,0.708395,-1000,0,0.708395,1
3,9,98,0.843914,0.804564,-1000,0,0.843914,0
3,8,98,0,0.978085,-1000,0,0.978085,1
3,5,98,0.899157,0.665752,-1000,0,0.899157,0
3,4,98,1.13036,1.13152,-1000,0,1.13152,1
3,2,98,1.56422,0.37645,-1000,0,1.56422,0
3,1,98,1.31547,1.39785,-1000,0,1.39785,1
4,17,98,-5.19173,-6.38925,-1000,0,0,3
4,16,98,-5.94666,-6.38925,-1000,0,0,3
4,15,98,-5.83742,-6.38925,-1000,0,0,3
4,14,98,-5.96133,-6.38925,-1000,0,0,3
4,13,98,-5.83865,-6.38925,-1000,0,0,3
4,12,98,-4.09952,-6.38925,-1000,0,0,3
4,9,98,-2.76021,-6.38925,-1000,0,0,3
4,8,98,-4.71672,-6.38925,-1000,0,0,3
4,7,98,-4.18182,-2.02886,-1000,0,0,3
4,5,98,-1.90801,-0.449409,-1000,0,0,3
4,3,98,-2.96701,-1.21899,-1000,0,0,3
4,1,98,0.923285,-0.64622,-1000,0,0.923285,0
1,20,97,0.586988,0.837374,-1000,0,0.837374,1
1,19,97,0,1.40757,-1000,0,1.40757,1
1,18,97,0,1.77234,-1000,0,1.77234,1
1,17,97,-0.972387,1.30593,-1000,0,1.30593,1
1,15,97,1.50776,0.689389,-1000,0,1.50776,0
1,13,97,-1.31715,1.15055,-1000,0,1.15055,1
1,12,97,0,0.999316,-1000,0,0.999316,1
1,7,97,1.73464,1.81158,-1000,0,1.81158,1
1,4,97,1.74784,1.7439,-1000,0,1.74784,0
1,3,97,1.65748,1.14816,-1000,0,1.65748,0
1,2,97,1.65717,0.997261,-1000,0,1.65717,0
1,10,97,1.40906,1.4278,-1000,0,1.4278,1
1,1,97,2.03418,0.967413,-1000,0,2.03418,0
2,20,97,0.420116,0.646667,-1000,0,0.646667,1
2,18,97,0.0938114,0.661218,-1000,0,0.661218,1
2,17,97,0.737963,0.416981,-1000,0,0.737963,0
2,16,97,0.712798,0.297269,-1000,0,0.712798,0
2,15,97,0.687188,0.459128,-1000,0,0.687188,0
2,13,97,0.905517,1.28272,-1000,0,1.28272,1
2,12,97,0.987256,0.931879,-1000,0,0.987256,0
2,10,97,1.07109,0.909241,-1000,0,1.07109,0
2,6,99,0.993078,1.37684,-1000,0,1.37684,1
1,14,97,-4.3905,0.933472,-1000,0,0.933472,1
2,8,97,0.831034,1.2401,-1000,0,1.2401,1
2,7,97,1.54731,1.01267,-1000,0,1.54731,0
1,14,99,-4.3905,0.884246,-1000,0,0.884246,1
2,6,97,1.08537,1.51899,-1000,0,1.51899,1
2,4,97,1.48243,1.68075,-1000,0,1.68075,1
2,3,97,1.69955,1.59564,-1000,0,1.69955,0
2,2,97,1.05171,1.59959,-1000,0,1.59959,1
2,1,97,1.47539,1.43959,-1000,0,1.47539,0
3,20,97,0,0,-1000,0,0,0
3,16,97,0,-0.427624,-1000,0,0,0
3,15,97,0,-1.57153,-1000,0,0,0
3,13,97,0,1.23153,-1000,0,1.23153,1
3,11,97,0,0.900183,-1000,0,0.900183,1
3,10,97,0,0.715345,-1000,0,0.715345,1
3,9,97,0.824549,0.821824,-1000,0,0.824549,0
3,8,97,0,1.00268,-1000,0,1.00268,1
3,5,97,0.887345,0.928791,-1000,0,0.928791,1
3,4,97,1.10649,1.13514,-1000,0,1.13514,1
3,2,97,1.59959,0.446137,-1000,0,1.59959,0
3,1,97,1.37233,1.43959,-1000,0,1.43959,1
4,17,97,-4.76147,-5.98965,-1000,0,0,3
4,16,97,-5.7448,-5.98965,-1000,0,0,3
4,15,97,-5.80629,-5.98965,-1000,0,0,3
4,13,97,-5.72308,-5.98965,-1000,0,0,3
4,12,97,-4.05153,-5.98965,-1000,0,0,3
4,9,97,-2.89096,-5.98965,-1000,0,0,3
4,8,97,-4.73901,-5.98965,-1000,0,0,3
4,7,97,-4.12778,-2.1402,-1000,0,0,3
4,5,97,-1.8531,-0.333302,-1000,0,0,3
4,1,97,1.00295,-0.495483,-1000,0,1.00295,0
1,20,96,0.609025,0.858119,-1000,0,0.858119,1
1,19,96,0,1.44576,-1000,0,1.44576,1
1,18,96,0,1.86469,-1000,0,1.86469,1
1,17,96,0.337039,1.30121,-1000,0,1.30121,1
1,15,96,1.50864,0.693315,-1000,0,1.50864,0
