Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.57532,-0.158789,-1000,-3.861,-0.158789,1
1,19,99,-2.31813,0.23262,-1000,-3.861,0.23262,1
1,18,99,-1.31503,1.87877,-1000,-3.861,1.87877,1
1,17,99,-3.55832,1.02258,-1000,-3.861,1.02258,1
1,15,99,0.917956,-1.39793,-1000,-3.861,0.917956,0
1,13,99,-2.18512,1.47558,-1000,-3.861,1.47558,1
1,12,99,0.25915,2.56594,-1000,-3.861,2.56594,1
1,10,99,-0.336183,1.32055,-1000,-3.861,1.32055,1
1,9,99,1.23674,1.15311,-1000,-3.861,1.23674,0
1,7,99,1.5181,1.0653,-1000,-3.861,1.5181,0
1,4,99,2.38688,2.38688,-1000,-3.861,2.38688,0
1,3,99,1.8572,2.12676,-1000,-3.861,2.12676,1
1,2,99,1.67883,1.67883,-1000,-3.861,1.67883,0
1,1,99,1.78366,1.76356,-1000,-3.861,1.78366,0
2,20,99,-2.51877,-2.55716,-1000,-3.861,-2.51877,0
2,18,99,-2.35362,-1.4186,-1000,-3.861,-1.4186,1
2,17,99,-0.724473,-1.59081,-1000,-3.861,-0.724473,0
2,16,99,-2.29134,-2.50045,-1000,-3.861,-2.29134,0
2,15,99,-2.75812,-1.64872,-1000,-3.861,-1.64872,1
2,13,99,-0.289954,0.562252,-1000,-3.861,0.562252,1
2,10,99,-0.0190007,-0.459354,-1000,-3.861,-0.0190007,0
2,8,99,1.19192,-0.418806,-1000,-3.861,1.19192,0
2,7,99,0.725719,-0.399164,-1000,-3.861,0.725719,0
2,4,99,0.435383,2.38688,-1000,-3.861,2.38688,1
2,3,99,1.75648,1.8202,-1000,-3.861,1.8202,1
2,2,99,1.67883,-0.832336,-1000,-3.861,1.67883,0
2,1,99,1.80377,1.04516,-1000,-3.861,1.80377,0
3,20,99,-3.48653,-3.64296,-1000,-3.861,-3.48653,0
3,16,99,-2.86591,-3.29169,-1000,-3.861,-2.86591,0
3,15,99,-3.73048,-3.26844,-1000,-3.861,-3.26844,1
3,13,99,-3.53912,-2.00695,-1000,-3.861,-2.00695,1
3,11,99,-3.71919,-3.41,-1000,-3.861,-3.41,1
3,10,99,-3.7566,-2.27125,-1000,-3.861,-2.27125,1
3,9,99,-3.49002,0.143631,-1000,-3.861,0.143631,1
3,8,99,-3.95735,-1.35222,-1000,-3.861,-1.35222,1
3,5,99,-2.73751,0.528547,-1000,-3.861,0.528547,1
3,4,99,-3.8933,1.48317,-1000,-3.861,1.48317,1
3,2,99,-2.78506,-1.47954,-1000,-3.861,-1.47954,1
3,1,99,0.537874,0.232438,-1000,-3.861,0.537874,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.50738,0.0101581,-1000,-3.60207,0.0101581,1
1,19,98,-1.39465,0.300982,-1000,-3.60207,0.300982,1
1,18,98,-0.36076,1.99806,-1000,-3.60207,1.99806,1
1,17,98,-2.65742,1.06929,-1000,-3.60207,1.06929,1
1,15,98,2.03908,-1.15073,-1000,-3.60207,2.03908,0
1,13,98,-0.36594,1.63951,-1000,-3.60207,1.63951,1
1,12,98,1.29676,2.6773,-1000,-3.60207,2.6773,1
1,10,98,0.611732,1.45255,-1000,-3.60207,1.45255,1
1,9,98,1.3631,1.2717,-1000,-3.60207,1.3631,0
1,7,98,1.84864,1.45233,-1000,-3.60207,1.84864,0
1,4,98,2.39331,2.39331,-1000,-3.60207,2.39331,0
1,3,98,1.93908,2.22736,-1000,-3.60207,2.22736,1
1,2,98,1.77558,1.77558,-1000,-3.60207,1.77558,0
1,1,98,1.86041,1.83442,-1000,-3.60207,1.86041,0
2,20,98,-2.45148,-2.44381,-1000,-3.60207,-2.44381,1
2,18,98,-2.26811,-1.3582,-1000,-3.60207,-1.3582,1
2,17,98,-0.682969,-1.58818,-1000,-3.60207,-0.682969,0
2,16,98,-2.26541,-2.44889,-1000,-3.60207,-2.26541,0
2,15,98,-0.794102,-1.62161,-1000,-3.60207,-0.794102,0
2,13,98,-0.171199,0.564833,-1000,-3.60207,0.564833,1
2,10,98,0.062864,-0.412153,-1000,-3.60207,0.062864,0
2,7,98,1.18225,-0.383559,-1000,-3.60207,1.18225,0
2,4,98,0.469305,2.39331,-1000,-3.60207,2.39331,1
2,3,98,1.90971,1.97233,-1000,-3.60207,1.97233,1
2,2,98,1.77558,-0.519344,-1000,-3.60207,1.77558,0
2,1,98,1.88639,1.36534,-1000,-3.60207,1.88639,0
3,20,98,-3.32845,-3.44611,-1000,-3.60207,-3.32845,0
3,16,98,-2.70996,-3.13317,-1000,-3.60207,-2.70996,0
3,15,98,-3.50951,-3.30109,-1000,-3.60207,-3.30109,1
3,13,98,-2.54214,-1.75794,-1000,-3.60207,-1.75794,1
3,11,98,-2.84523,-3.26476,-1000,-3.60207,-2.84523,0
3,10,98,-2.75551,-2.06221,-1000,-3.60207,-2.06221,1
3,9,98,-2.57433,0.20215,-1000,-3.60207,0.20215,1
3,8,98,-1.26544,-1.10583,-1000,-3.60207,-1.10583,1
3,5,98,-2.49972,0.637199,-1000,-3.60207,0.637199,1
3,4,98,-2.86952,1.45539,-1000,-3.60207,1.45539,1
3,2,98,-2.55335,-1.12661,-1000,-3.60207,-1.12661,1
3,1,98,0.700078,0.40535,-1000,-3.60207,0.700078,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,-0.575027,0.0809803,-1000,-3.42571,0.0809803,1
1,19,97,0.522203,0.442194,-1000,-3.42571,0.522203,0
1,18,97,0.0342482,2.28517,-1000,-3.42571,2.28517,1
1,17,97,-0.899175,1.02357,-1000,-3.42571,1.02357,1
1,15,97,2.011,-1.2133,-1000,-3.42571,2.011,0
1,13,97,-0.368001,1.65737,-1000,-3.42571,1.65737,1
1,12,97,1.36503,2.80112,-1000,-3.42571,2.80112,1
1,7,97,1.95604,1.51919,-1000,-3.42571,1.95604,0
1,4,97,2.46136,2.46136,-1000,-3.42571,2.46136,0
1,3,97,2.08787,2.2992,-1000,-3.42571,2.2992,1
1,2,97,1.9459,1.9459,-1000,-3.42571,1.9459,0
1,10,97,0.73731,1.51871,-1000,-3.42571,1.51871,1
1,1,97,2.09898,2.05166,-1000,-3.42571,2.09898,0
2,20,97,-2.37699,-2.36462,-1000,-3.42571,-2.36462,1
2,18,97,-2.19559,-1.28096,-1000,-3.42571,-1.28096,1
2,17,97,-0.57853,-1.48859,-1000,-3.42571,-0.57853,0
2,16,97,-2.24318,-2.37908,-1000,-3.42571,-2.24318,0
2,15,97,-0.774992,-1.49733,-1000,-3.42571,-0.774992,0
2,13,97,-0.126583,0.489432,-1000,-3.42571,0.489432,1
2,12,97,1.46418,0.485493,-1000,-3.42571,1.46418,0
2,10,97,0.0843518,-0.314483,-1000,-3.42571,0.0843518,0
2,6,99,0.822191,1.39737,-1000,-3.861,1.39737,1
1,14,97,1.69859,1.1842,-1000,-3.42571,1.69859,0
2,8,97,1.53094,-0.160297,-1000,-3.42571,1.53094,0
2,7,97,1.26243,-0.0878342,-1000,-3.42571,1.26243,0
1,14,99,0.442006,0.913653,-1000,-3.861,0.913653,1
2,6,97,1.328,1.89851,-1000,-3.42571,1.89851,1
2,4,97,0.569507,2.46136,-1000,-3.42571,2.46136,1
2,3,97,1.95386,2.01903,-1000,-3.42571,2.01903,1
2,2,97,1.9459,-0.4184,-1000,-3.42571,1.9459,0
2,1,97,2.1463,1.44704,-1000,-3.42571,2.1463,0
3,20,97,-3.1911,-3.26228,-1000,-3.42571,-3.1911,0
3,16,97,-2.58123,-3.09306,-1000,-3.42571,-2.58123,0
3,15,97,-3.33595,-3.17539,-1000,-3.42571,-3.17539,1
3,13,97,-2.54507,-1.74525,-1000,-3.42571,-1.74525,1
3,11,97,-2.74698,-3.17163,-1000,-3.42571,-2.74698,0
3,10,97,-2.70854,-1.91606,-1000,-3.42571,-1.91606,1
3,9,97,-2.56247,0.291559,-1000,-3.42571,0.291559,1
3,8,97,-1.24102,-0.982452,-1000,-3.42571,-0.982452,1
3,5,97,-2.3498,1.76433,-1000,-3.42571,1.76433,1
3,4,97,-2.74271,1.60679,-1000,-3.42571,1.60679,1
3,2,97,-2.39992,-1.01147,-1000,-3.42571,-1.01147,1
3,1,97,0.777704,0.508772,-1000,-3.42571,0.777704,0
4,17,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,16,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,15,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,13,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,12,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,9,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,8,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,7,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,5,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,1,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
1,20,96,-0.534765,0.108633,-1000,-3.54136,0.108633,1
1,19,96,0.563936,0.540113,-1000,-3.54136,0.563936,0
1,18,96,0.976116,2.40916,-1000,-3.54136,2.40916,1
1,17,96,0.00957077,1.55185,-1000,-3.54136,1.55185,1
1,15,96,1.92841,-1.20599,-1000,-3.54136,1.92841,0
2,8,98,1.33782,-0.28293,-1000,-3.60207,1.33782,0
2,6,98,1.28947,1.59559,-1000,-3.60207,1.59559,1
1,14,96,1.65464,1.29193,-1000,-3.54136,1.65464,0
1,13,96,0.569459,1.90116,-1000,-3.54136,1.90116,1
1,12,96,1.41121,2.87024,-1000,-3.54136,2.87024,1
1,9,96,1.70606,1.46443,-1000,-3.54136,1.70606,0
1,7,96,2.03284,1.6919,-1000,-3.54136,2.03284,0
1,4,96,2.3637,2.3637,-1000,-3.54136,2.3637,0
1,3,96,2.25342,2.42337,-1000,-3.54136,2.42337,1
1,2,96,2.07745,2.07745,-1000,-3.54136,2.07745,0
1,10,96,0.849838,1.64152,-1000,-3.54136,1.64152,1
1,1,96,2.15643,2.10579,-1000,-3.54136,2.15643,0
2,20,96,-2.36667,-2.33046,-1000,-3.54136,-2.33046,1
2,18,96,-2.12609,-1.21813,-1000,-3.54136,-1.21813,1
2,17,96,-0.51889,-1.44325,-1000,-3.54136,-0.51889,0
2,16,96,-2.26164,-2.37657,-1000,-3.54136,-2.26164,0
2,15,96,-0.736823,-1.43274,-1000,-3.54136,-0.736823,0
2,13,96,0.20435,0.674568,-1000,-3.54136,0.674568,1
2,12,96,1.53481,0.528562,-1000,-3.54136,1.53481,0
