Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.08126,-0.883496,-1000,-3.861,-0.883496,1
1,19,99,-2.69264,1.03788,-1000,-3.861,1.03788,1
1,18,99,-3.64993,0.789561,-1000,-3.861,0.789561,1
1,17,99,-2.31878,-0.160044,-1000,-3.861,-0.160044,1
1,15,99,-1.85899,0.00937715,-1000,-3.861,0.00937715,1
1,13,99,-0.854786,-1.37992,-1000,-3.861,-0.854786,0
1,12,99,-0.765749,-0.181909,-1000,-3.861,-0.181909,1
1,10,99,0.643008,0.53635,-1000,-3.861,0.643008,0
1,9,99,-0.309879,0.798936,-1000,-3.861,0.798936,1
1,7,99,0.735859,0.789566,-1000,-3.861,0.789566,1
1,4,99,0.832683,0.782321,-1000,-3.861,0.832683,0
1,3,99,-0.0919383,-0.0919383,-1000,-3.861,-0.0919383,0
1,2,99,0.515579,0.191815,-1000,-3.861,0.515579,0
1,1,99,0.636222,0.636222,-1000,-3.861,0.636222,0
2,20,99,-2.17743,-1.82044,-1000,-3.861,-1.82044,1
2,18,99,-2.049,-2.22737,-1000,-3.861,-2.049,0
2,17,99,-2.06918,-2.0043,-1000,-3.861,-2.0043,1
2,16,99,-1.6791,-1.51083,-1000,-3.861,-1.51083,1
2,15,99,-1.73877,-3.05277,-1000,-3.861,-1.73877,0
2,13,99,-1.4733,-0.00596451,-1000,-3.861,-0.00596451,1
2,10,99,-1.3405,-0.0437162,-1000,-3.861,-0.0437162,1
2,8,99,-0.306931,0.346064,-1000,-3.861,0.346064,1
2,7,99,0.789566,-0.392662,-1000,-3.861,0.789566,0
2,4,99,-0.783677,0.782321,-1000,-3.861,0.782321,1
2,3,99,-0.906798,-0.0919383,-1000,-3.861,-0.0919383,1
2,2,99,-0.404517,-0.0238338,-1000,-3.861,-0.0238338,1
2,1,99,0.636222,-0.419548,-1000,-3.861,0.636222,0
3,20,99,-3.10056,-3.43262,-1000,-3.861,-3.10056,0
3,16,99,-2.90165,-3.76722,-1000,-3.861,-2.90165,0
3,15,99,-3.4518,-4.00363,-1000,-3.861,-3.4518,0
3,13,99,-3.8193,-2.81595,-1000,-3.861,-2.81595,1
3,11,99,-3.92433,-1.9227,-1000,-3.861,-1.9227,1
3,10,99,-3.83844,-1.0533,-1000,-3.861,-1.0533,1
3,9,99,-3.46675,0.123966,-1000,-3.861,0.123966,1
3,8,99,-3.8933,-0.863796,-1000,-3.861,-0.863796,1
3,5,99,-3.27595,-0.397009,-1000,-3.861,-0.397009,1
3,4,99,-3.83511,-0.556848,-1000,-3.861,-0.556848,1
3,2,99,-1.76173,-1.36575,-1000,-3.861,-1.36575,1
3,1,99,-1.22926,-1.86911,-1000,-3.861,-1.22926,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
