Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.15213,-0.753972,-1000,-3.861,-0.753972,1
1,19,99,-3.061,-0.922371,-1000,-3.861,-0.922371,1
1,18,99,-2.87778,-1.3331,-1000,-3.861,-1.3331,1
1,17,99,-0.404424,-0.968697,-1000,-3.861,-0.404424,0
1,15,99,-0.0785546,-1.64997,-1000,-3.861,-0.0785546,0
1,13,99,-2.13205,1.47383,-1000,-3.861,1.47383,1
1,12,99,0.328072,0.208073,-1000,-3.861,0.328072,0
1,10,99,-0.0996246,2.37811,-1000,-3.861,2.37811,1
1,9,99,1.44487,0.61867,-1000,-3.861,1.44487,0
1,7,99,1.64812,1.46541,-1000,-3.861,1.64812,0
1,4,99,1.00022,1.00022,-1000,-3.861,1.00022,0
1,3,99,1.78945,1.79762,-1000,-3.861,1.79762,1
1,2,99,2.00914,1.53958,-1000,-3.861,2.00914,0
1,1,99,2.20117,2.08264,-1000,-3.861,2.20117,0
2,20,99,-2.85645,-2.53617,-1000,-3.861,-2.53617,1
2,18,99,-2.71364,-1.50901,-1000,-3.861,-1.50901,1
2,17,99,-2.48491,-1.99773,-1000,-3.861,-1.99773,1
2,16,99,-1.48294,-2.38778,-1000,-3.861,-1.48294,0
2,15,99,-3.44344,-1.47631,-1000,-3.861,-1.47631,1
2,13,99,-2.65892,-1.62836,-1000,-3.861,-1.62836,1
2,10,99,-0.28606,0.977742,-1000,-3.861,0.977742,1
2,8,99,0.66901,-0.382237,-1000,-3.861,0.66901,0
2,7,99,1.46541,-0.861737,-1000,-3.861,1.46541,0
2,4,99,0.532659,1.00022,-1000,-3.861,1.00022,1
2,3,99,1.42327,1.79762,-1000,-3.861,1.79762,1
2,2,99,1.43225,1.76551,-1000,-3.861,1.76551,1
2,1,99,2.08264,2.04473,-1000,-3.861,2.08264,0
3,20,99,-3.55903,-5.04864,-1000,-3.861,-3.55903,0
3,16,99,-3.5088,-3.25923,-1000,-3.861,-3.25923,1
3,15,99,-3.44344,-3.86489,-1000,-3.861,-3.44344,0
3,13,99,-3.77608,-3.40788,-1000,-3.861,-3.40788,1
3,11,99,-3.95088,-0.118294,-1000,-3.861,-0.118294,1
3,10,99,-4.09972,-2.28763,-1000,-3.861,-2.28763,1
3,9,99,-4.19,1.02378,-1000,-3.861,1.02378,1
3,8,99,-3.861,-1.17652,-1000,-3.861,-1.17652,1
3,5,99,-2.79396,0.217846,-1000,-3.861,0.217846,1
3,4,99,-3.68688,-0.388699,-1000,-3.861,-0.388699,1
3,2,99,-0.287408,-1.48353,-1000,-3.861,-0.287408,0
3,1,99,1.9077,-0.888147,-1000,-3.861,1.9077,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-2.08749,-0.611202,-1000,-3.60207,-0.611202,1
1,19,98,-2.09022,-1.04078,-1000,-3.60207,-1.04078,1
1,18,98,-1.95535,-1.27097,-1000,-3.60207,-1.27097,1
1,17,98,-0.367188,-0.943414,-1000,-3.60207,-0.367188,0
1,15,98,0.811644,-1.60905,-1000,-3.60207,0.811644,0
1,13,98,-0.102383,1.02192,-1000,-3.60207,1.02192,1
1,12,98,0.386691,0.526826,-1000,-3.60207,0.526826,1
1,10,98,0.757808,2.21394,-1000,-3.60207,2.21394,1
1,9,98,1.37685,0.560826,-1000,-3.60207,1.37685,0
1,7,98,1.72537,1.56182,-1000,-3.60207,1.72537,0
1,4,98,1.06844,1.06844,-1000,-3.60207,1.06844,0
1,3,98,1.87633,1.88316,-1000,-3.60207,1.88316,1
