Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.32395,-0.28007,-1000,-3.861,-0.28007,1
1,19,99,-2.48159,-1.08442,-1000,-3.861,-1.08442,1
1,18,99,-2.24304,0.427167,-1000,-3.861,0.427167,1
1,17,99,1.55598,1.5732,-1000,-3.861,1.5732,1
1,15,99,1.74554,0.763921,-1000,-3.861,1.74554,0
1,13,99,-2.62226,0.224304,-1000,-3.861,0.224304,1
1,12,99,0.57654,0.703419,-1000,-3.861,0.703419,1
1,10,99,2.32196,2.85126,-1000,-3.861,2.85126,1
1,9,99,0.923773,0.614928,-1000,-3.861,0.923773,0
1,7,99,1.44396,1.78903,-1000,-3.861,1.78903,1
1,4,99,3.10243,3.06387,-1000,-3.861,3.10243,0
1,3,99,2.54123,2.54123,-1000,-3.861,2.54123,0
1,2,99,1.25856,1.25856,-1000,-3.861,1.25856,0
1,1,99,2.82189,2.85699,-1000,-3.861,2.85699,1
2,20,99,-3.31135,-2.19639,-1000,-3.861,-2.19639,1
2,18,99,-1.94669,-1.39492,-1000,-3.861,-1.39492,1
2,17,99,-2.18009,-0.190853,-1000,-3.861,-0.190853,1
2,16,99,-1.6711,0.365459,-1000,-3.861,0.365459,1
2,15,99,0.439077,-0.0767894,-1000,-3.861,0.439077,0
2,13,99,-2.50994,-0.0879429,-1000,-3.861,-0.0879429,1
2,10,99,0.61759,0.728486,-1000,-3.861,0.728486,1
2,8,99,1.08883,0.59362,-1000,-3.861,1.08883,0
2,7,99,0.618686,1.44396,-1000,-3.861,1.44396,1
2,4,99,0.464931,3.10243,-1000,-3.861,3.10243,1
2,3,99,2.32027,2.54123,-1000,-3.861,2.54123,1
2,2,99,0.845783,0.528569,-1000,-3.861,0.845783,0
2,1,99,2.82189,2.75292,-1000,-3.861,2.82189,0
3,20,99,-3.59983,-3.70197,-1000,-3.861,-3.59983,0
3,16,99,-3.47557,-2.47156,-1000,-3.861,-2.47156,1
3,15,99,-2.5854,-3.79353,-1000,-3.861,-2.5854,0
3,13,99,-3.67786,-4.72828,-1000,-3.861,-3.67786,0
3,11,99,-2.91459,-2.1318,-1000,-3.861,-2.1318,1
3,10,99,-4.0358,-0.699823,-1000,-3.861,-0.699823,1
3,9,99,-3.99615,-1.41102,-1000,-3.861,-1.41102,1
3,8,99,-2.48131,-2.06733,-1000,-3.861,-2.06733,1
3,5,99,-3.77394,0.314057,-1000,-3.861,0.314057,1
3,4,99,0.314749,-1.06065,-1000,-3.861,0.314749,0
3,2,99,-2.52861,-1.05986,-1000,-3.861,-1.05986,1
3,1,99,1.51659,1.5227,-1000,-3.861,1.5227,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-2.17125,-0.064001,-1000,-3.60207,-0.064001,1
1,19,98,-1.82343,-1.00739,-1000,-3.60207,-1.00739,1
1,18,98,-2.2125,0.468533,-1000,-3.60207,0.468533,1
1,17,98,1.37679,1.5622,-1000,-3.60207,1.5622,1
1,15,98,1.94819,0.81056,-1000,-3.60207,1.94819,0
1,13,98,-2.55123,0.296652,-1000,-3.60207,0.296652,1
