Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.25017,-1.49692,-1000,-3.861,-1.49692,1
1,19,99,-2.99592,0.273598,-1000,-3.861,0.273598,1
1,18,99,-3.85473,-0.0156595,-1000,-3.861,-0.0156595,1
1,17,99,-3.51196,-0.675729,-1000,-3.861,-0.675729,1
1,15,99,-1.31588,-0.701066,-1000,-3.861,-0.701066,1
1,13,99,-1.55096,-1.49196,-1000,-3.861,-1.49196,1
1,12,99,-1.76974,-0.729956,-1000,-3.861,-0.729956,1
1,10,99,0.290406,1.56432,-1000,-3.861,1.56432,1
1,9,99,0.365989,0.547639,-1000,-3.861,0.547639,1
1,7,99,0.924681,1.16801,-1000,-3.861,1.16801,1
1,4,99,0.881373,1.12195,-1000,-3.861,1.12195,1
1,3,99,0.386406,0.386406,-1000,-3.861,0.386406,0
1,2,99,1.2068,1.12104,-1000,-3.861,1.2068,0
1,1,99,1.57765,1.58113,-1000,-3.861,1.58113,1
2,20,99,-3.15199,-2.8341,-1000,-3.861,-2.8341,1
2,18,99,-2.42227,-2.1524,-1000,-3.861,-2.1524,1
2,17,99,-2.53531,-2.08104,-1000,-3.861,-2.08104,1
2,16,99,-2.62166,0.242609,-1000,-3.861,0.242609,1
2,15,99,-2.74856,-2.09756,-1000,-3.861,-2.09756,1
2,13,99,-1.85384,-1.66299,-1000,-3.861,-1.66299,1
2,10,99,0.0313979,-0.575664,-1000,-3.861,0.0313979,0
2,8,99,0.0586713,-0.301895,-1000,-3.861,0.0586713,0
2,7,99,0.889877,0.234558,-1000,-3.861,0.889877,0
2,4,99,0.881373,0.613073,-1000,-3.861,0.881373,0
2,3,99,-0.0385585,0.386406,-1000,-3.861,0.386406,1
2,2,99,0.459283,1.02813,-1000,-3.861,1.02813,1
2,1,99,1.58113,0.928928,-1000,-3.861,1.58113,0
3,20,99,-3.60115,-3.65831,-1000,-3.861,-3.60115,0
3,16,99,-3.43976,-3.70792,-1000,-3.861,-3.43976,0
3,15,99,-3.47042,-4.11715,-1000,-3.861,-3.47042,0
3,13,99,-3.69369,-2.85346,-1000,-3.861,-2.85346,1
3,11,99,-3.54343,-3.06094,-1000,-3.861,-3.06094,1
3,10,99,-3.73767,-2.06786,-1000,-3.861,-2.06786,1
3,9,99,-3.78078,0.168658,-1000,-3.861,0.168658,1
3,8,99,-3.47056,-0.375341,-1000,-3.861,-0.375341,1
3,5,99,-2.17167,-0.488719,-1000,-3.861,-0.488719,1
3,4,99,-3.21062,0.0254778,-1000,-3.861,0.0254778,1
3,2,99,-2.10821,0.0193351,-1000,-3.861,0.0193351,1
3,1,99,-1.69024,-3.02157,-1000,-3.861,-1.69024,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.88576,-1.38706,-1000,-3.60207,-1.38706,1
1,19,98,-1.44899,0.362401,-1000,-3.60207,0.362401,1
1,18,98,-1.08194,0.0866413,-1000,-3.60207,0.0866413,1
1,17,98,-2.60584,-0.636299,-1000,-3.60207,-0.636299,1
1,15,98,0.0822837,-0.586576,-1000,-3.60207,0.0822837,0
1,13,98,-1.06009,-1.4422,-1000,-3.60207,-1.06009,0
1,12,98,-1.5001,-0.56167,-1000,-3.60207,-0.56167,1
1,10,98,0.306908,1.56591,-1000,-3.60207,1.56591,1
1,9,98,0.399198,0.578526,-1000,-3.60207,0.578526,1
1,7,98,0.964917,1.21343,-1000,-3.60207,1.21343,1
1,4,98,0.954975,1.19483,-1000,-3.60207,1.19483,1
1,3,98,0.468886,0.468886,-1000,-3.60207,0.468886,0
1,2,98,1.25991,1.16478,-1000,-3.60207,1.25991,0
1,1,98,1.56992,1.5634,-1000,-3.60207,1.56992,0
2,20,98,-3.03636,-2.77109,-1000,-3.60207,-2.77109,1
2,18,98,-2.36413,-2.10288,-1000,-3.60207,-2.10288,1
2,17,98,-2.43144,-2.02399,-1000,-3.60207,-2.02399,1
2,16,98,-2.59811,0.260169,-1000,-3.60207,0.260169,1
2,15,98,-2.59798,-1.99318,-1000,-3.60207,-1.99318,1
2,13,98,-1.75203,-1.57662,-1000,-3.60207,-1.57662,1
2,10,98,0.0946237,-0.534471,-1000,-3.60207,0.0946237,0
2,7,98,0.93799,0.470078,-1000,-3.60207,0.93799,0
2,4,98,0.954975,0.677364,-1000,-3.60207,0.954975,0
2,3,98,0.00407016,0.468886,-1000,-3.60207,0.468886,1
2,2,98,0.482062,1.07128,-1000,-3.60207,1.07128,1
2,1,98,1.5634,0.97436,-1000,-3.60207,1.5634,0
3,20,98,-3.48695,-3.44699,-1000,-3.60207,-3.44699,1
3,16,98,-3.41733,-3.61496,-1000,-3.60207,-3.41733,0
3,15,98,-3.38564,-4.0016,-1000,-3.60207,-3.38564,0
3,13,98,-3.06203,-2.73016,-1000,-3.60207,-2.73016,1
