Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-0.9177,0.231723,-1000,-3.861,0.231723,1
1,19,99,1.4303,0.121091,-1000,-3.861,1.4303,0
1,18,99,-1.4962,0.239088,-1000,-3.861,0.239088,1
1,17,99,-1.42572,0.855956,-1000,-3.861,0.855956,1
1,15,99,2.68546,-0.521042,-1000,-3.861,2.68546,0
1,13,99,1.3693,0.20665,-1000,-3.861,1.3693,0
1,12,99,0.32244,1.75989,-1000,-3.861,1.75989,1
1,10,99,1.94179,2.54729,-1000,-3.861,2.54729,1
1,9,99,0.745586,0.962783,-1000,-3.861,0.962783,1
1,7,99,2.28547,2.08652,-1000,-3.861,2.28547,0
1,4,99,2.91753,2.91753,-1000,-3.861,2.91753,0
1,3,99,0.721912,1.07393,-1000,-3.861,1.07393,1
1,2,99,2.16928,2.03083,-1000,-3.861,2.16928,0
1,1,99,2.77091,2.77091,-1000,-3.861,2.77091,0
2,20,99,-2.05242,-1.64284,-1000,-3.861,-1.64284,1
2,18,99,-2.79582,-2.78027,-1000,-3.861,-2.78027,1
2,17,99,-2.13078,-1.5612,-1000,-3.861,-1.5612,1
2,16,99,-2.05008,-1.6112,-1000,-3.861,-1.6112,1
2,15,99,-1.36928,-2.04929,-1000,-3.861,-1.36928,0
2,13,99,-2.59238,-0.968763,-1000,-3.861,-0.968763,1
2,10,99,-0.289673,0.283572,-1000,-3.861,0.283572,1
2,8,99,2.27295,-0.467336,-1000,-3.861,2.27295,0
2,7,99,2.06024,1.06783,-1000,-3.861,2.06024,0
2,4,99,1.08147,2.91753,-1000,-3.861,2.91753,1
2,3,99,0.721912,0.457969,-1000,-3.861,0.721912,0
2,2,99,2.03083,0.609391,-1000,-3.861,2.03083,0
2,1,99,2.77091,1.54293,-1000,-3.861,2.77091,0
3,20,99,-3.27099,-3.42557,-1000,-3.861,-3.27099,0
3,16,99,-3.12288,-2.24076,-1000,-3.861,-2.24076,1
3,15,99,-2.17113,-3.8951,-1000,-3.861,-2.17113,0
3,13,99,-3.55853,-3.39826,-1000,-3.861,-3.39826,1
3,11,99,-3.7014,-1.40701,-1000,-3.861,-1.40701,1
3,10,99,-3.50736,-3.83192,-1000,-3.861,-3.50736,0
3,9,99,-3.53503,-0.0620984,-1000,-3.861,-0.0620984,1
3,8,99,-2.7378,-2.27612,-1000,-3.861,-2.27612,1
3,5,99,-3.77394,-0.904078,-1000,-3.861,-0.904078,1
3,4,99,-1.33135,3.01449,-1000,-3.861,3.01449,1
3,2,99,-2.4924,-1.10589,-1000,-3.861,-1.10589,1
3,1,99,1.3005,-3.861,-1000,-3.861,1.3005,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-0.844347,0.316191,-1000,-3.60207,0.316191,1
1,19,98,1.48334,0.229334,-1000,-3.60207,1.48334,0
1,18,98,-0.535588,0.286093,-1000,-3.60207,0.286093,1
1,17,98,-1.25541,0.593323,-1000,-3.60207,0.593323,1
1,15,98,2.72029,-0.238759,-1000,-3.60207,2.72029,0
1,13,98,2.32735,0.0312561,-1000,-3.60207,2.32735,0
1,12,98,1.7701,1.50847,-1000,-3.60207,1.7701,0
1,10,98,2.00102,2.51267,-1000,-3.60207,2.51267,1
1,9,98,0.74053,0.942734,-1000,-3.60207,0.942734,1
1,7,98,2.22874,2.01433,-1000,-3.60207,2.22874,0
1,4,98,3.09136,3.09136,-1000,-3.60207,3.09136,0
1,3,98,0.912941,1.22298,-1000,-3.60207,1.22298,1
1,2,98,2.13113,2.04341,-1000,-3.60207,2.13113,0
1,1,98,2.91929,2.91929,-1000,-3.60207,2.91929,0
2,20,98,-1.94705,-1.52357,-1000,-3.60207,-1.52357,1
2,18,98,-2.70272,-2.70369,-1000,-3.60207,-2.70272,0
2,17,98,-2.03291,-1.57219,-1000,-3.60207,-1.57219,1
2,16,98,-1.94006,-1.55485,-1000,-3.60207,-1.55485,1
2,15,98,-1.23853,-1.71132,-1000,-3.60207,-1.23853,0
2,13,98,-0.863016,-0.850915,-1000,-3.60207,-0.850915,1
2,10,98,-0.209931,0.318955,-1000,-3.60207,0.318955,1
2,7,98,1.94668,1.78632,-1000,-3.60207,1.94668,0
2,4,98,1.20617,3.09136,-1000,-3.60207,3.09136,1
2,3,98,0.912941,0.679499,-1000,-3.60207,0.912941,0
2,2,98,2.04341,0.548825,-1000,-3.60207,2.04341,0
2,1,98,2.91929,1.73227,-1000,-3.60207,2.91929,0
3,20,98,-3.21411,-3.29468,-1000,-3.60207,-3.21411,0
3,16,98,-3.10997,-2.18533,-1000,-3.60207,-2.18533,1
3,15,98,-1.99803,-3.84241,-1000,-3.60207,-1.99803,0
3,13,98,-3.38056,-3.30582,-1000,-3.60207,-3.30582,1
3,11,98,-2.68185,-1.26038,-1000,-3.60207,-1.26038,1
3,10,98,-3.40875,-3.66598,-1000,-3.60207,-3.40875,0
3,9,98,-2.55993,0.0685253,-1000,-3.60207,0.0685253,1
3,8,98,-0.0052193,-2.22202,-1000,-3.60207,-0.0052193,0
3,5,98,-3.58993,-0.987891,-1000,-3.60207,-0.987891,1
3,4,98,-1.13569,3.1526,-1000,-3.60207,3.1526,1
