Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.59615,-1.52814,-1000,-3.861,-1.52814,1
1,19,99,-3.50345,-1.73071,-1000,-3.861,-1.73071,1
1,18,99,-3.14894,1.27246,-1000,-3.861,1.27246,1
1,17,99,-2.21084,-0.178954,-1000,-3.861,-0.178954,1
1,15,99,0.994542,-2.0081,-1000,-3.861,0.994542,0
1,13,99,-1.37763,0.777473,-1000,-3.861,0.777473,1
1,12,99,0.569342,1.4225,-1000,-3.861,1.4225,1
1,10,99,0.231848,0.710614,-1000,-3.861,0.710614,1
1,9,99,-0.379139,1.52042,-1000,-3.861,1.52042,1
1,7,99,0.157797,0.214436,-1000,-3.861,0.214436,1
1,4,99,0.735195,0.671389,-1000,-3.861,0.735195,0
1,3,99,0.768031,1.27807,-1000,-3.861,1.27807,1
1,2,99,1.277,1.38227,-1000,-3.861,1.38227,1
1,1,99,0.343679,0.343679,-1000,-3.861,0.343679,0
2,20,99,-3.23884,-2.5396,-1000,-3.861,-2.5396,1
2,18,99,-2.04159,-2.22926,-1000,-3.861,-2.04159,0
2,17,99,-1.07134,-2.4909,-1000,-3.861,-1.07134,0
2,16,99,-2.44007,-1.05463,-1000,-3.861,-1.05463,1
2,15,99,-2.80636,-3.57208,-1000,-3.861,-2.80636,0
2,13,99,-1.77853,-0.632658,-1000,-3.861,-0.632658,1
2,10,99,0.975963,-1.79076,-1000,-3.861,0.975963,0
2,8,99,-0.321832,0.764085,-1000,-3.861,0.764085,1
2,7,99,-0.458575,-0.263589,-1000,-3.861,-0.263589,1
2,4,99,0.188175,0.671389,-1000,-3.861,0.671389,1
2,3,99,0.712434,-0.420468,-1000,-3.861,0.712434,0
2,2,99,1.38227,-0.35102,-1000,-3.861,1.38227,0
2,1,99,0.343679,0.329228,-1000,-3.861,0.343679,0
3,20,99,-3.49907,-3.3973,-1000,-3.861,-3.3973,1
3,16,99,-3.42261,-3.32735,-1000,-3.861,-3.32735,1
3,15,99,-3.42793,-3.66563,-1000,-3.861,-3.42793,0
3,13,99,-3.95088,-1.21693,-1000,-3.861,-1.21693,1
3,11,99,-3.99615,-4.09972,-1000,-3.861,-3.861,3
3,10,99,-4.13416,-2.49185,-1000,-3.861,-2.49185,1
3,9,99,-3.60624,-2.74902,-1000,-3.861,-2.74902,1
3,8,99,-3.98036,-1.4526,-1000,-3.861,-1.4526,1
3,5,99,-3.52366,-3.861,-1000,-3.861,-3.52366,0
3,4,99,-3.72216,-0.344968,-1000,-3.861,-0.344968,1
3,2,99,-1.90798,-2.90164,-1000,-3.861,-1.90798,0
3,1,99,-0.0874786,-2.90164,-1000,-3.861,-0.0874786,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.55022,-1.43724,-1000,-3.60207,-1.43724,1
1,19,98,-1.726,-1.63334,-1000,-3.60207,-1.63334,1
1,18,98,-0.454235,1.55779,-1000,-3.60207,1.55779,1
1,17,98,-1.2797,-0.0987048,-1000,-3.60207,-0.0987048,1
1,15,98,1.90694,-1.81492,-1000,-3.60207,1.90694,0
1,13,98,0.450458,0.893242,-1000,-3.60207,0.893242,1
1,12,98,1.53431,1.53704,-1000,-3.60207,1.53704,1
1,10,98,0.22836,0.765081,-1000,-3.60207,0.765081,1
1,9,98,-0.390064,1.45607,-1000,-3.60207,1.45607,1
1,7,98,0.290811,0.353716,-1000,-3.60207,0.353716,1
1,4,98,0.800426,0.737364,-1000,-3.60207,0.800426,0
1,3,98,0.989922,1.49854,-1000,-3.60207,1.49854,1
1,2,98,1.37692,1.4872,-1000,-3.60207,1.4872,1
1,1,98,0.556951,0.556951,-1000,-3.60207,0.556951,0
2,20,98,-3.15039,-2.49626,-1000,-3.60207,-2.49626,1
2,18,98,-1.96661,-2.17335,-1000,-3.60207,-1.96661,0
2,17,98,-1.00355,-2.45854,-1000,-3.60207,-1.00355,0
2,16,98,-2.34219,-0.996894,-1000,-3.60207,-0.996894,1
2,15,98,-2.72495,-3.51746,-1000,-3.60207,-2.72495,0
2,13,98,-1.60905,-0.56547,-1000,-3.60207,-0.56547,1
2,10,98,1.05404,-0.91365,-1000,-3.60207,1.05404,0
2,7,98,-0.283361,-0.129103,-1000,-3.60207,-0.129103,1
2,4,98,0.317555,0.737364,-1000,-3.60207,0.737364,1
2,3,98,0.974233,-0.282098,-1000,-3.60207,0.974233,0
2,2,98,1.4872,-0.175859,-1000,-3.60207,1.4872,0
2,1,98,0.438017,0.556951,-1000,-3.60207,0.556951,1
3,20,98,-3.37233,-3.33681,-1000,-3.60207,-3.33681,1
3,16,98,-3.29531,-3.20845,-1000,-3.60207,-3.20845,1
3,15,98,-3.35455,-3.60273,-1000,-3.60207,-3.35455,0
3,13,98,-2.04937,-1.00014,-1000,-3.60207,-1.00014,1
3,11,98,-2.0907,-3.94437,-1000,-3.60207,-2.0907,0
3,10,98,-1.3621,-2.3783,-1000,-3.60207,-1.3621,0
3,9,98,-3.36587,-2.58385,-1000,-3.60207,-2.58385,1
3,8,98,-2.88166,-1.2857,-1000,-3.60207,-1.2857,1
3,5,98,-3.34092,-3.60207,-1000,-3.60207,-3.34092,0
3,4,98,-3.55466,-0.215703,-1000,-3.60207,-0.215703,1
3,2,98,-1.59787,-2.68357,-1000,-3.60207,-1.59787,0
3,1,98,0.0282445,-2.68357,-1000,-3.60207,0.0282445,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,-1.49612,-1.35004,-1000,-3.42571,-1.35004,1
1,19,97,-1.73477,-1.53954,-1000,-3.42571,-1.53954,1
1,18,97,-0.448175,1.75172,-1000,-3.42571,1.75172,1
1,17,97,-0.360753,-0.0615261,-1000,-3.42571,-0.0615261,1
1,15,97,1.89258,-1.54371,-1000,-3.42571,1.89258,0
1,13,97,0.548064,1.10624,-1000,-3.42571,1.10624,1
1,12,97,1.58264,1.56928,-1000,-3.42571,1.58264,0
1,7,97,0.31708,0.370673,-1000,-3.42571,0.370673,1
1,4,97,0.965572,0.765915,-1000,-3.42571,0.965572,0
1,3,97,1.4124,1.71298,-1000,-3.42571,1.71298,1
1,2,97,1.4607,1.57827,-1000,-3.42571,1.57827,1
1,10,97,0.25217,0.855902,-1000,-3.42571,0.855902,1
1,1,97,0.769993,0.769993,-1000,-3.42571,0.769993,0
2,20,97,-3.08263,-2.40863,-1000,-3.42571,-2.40863,1
2,18,97,-1.93335,-2.15546,-1000,-3.42571,-1.93335,0
2,17,97,-0.987225,-2.38842,-1000,-3.42571,-0.987225,0
2,16,97,-2.30308,-0.950947,-1000,-3.42571,-0.950947,1
2,15,97,-2.70412,-2.54569,-1000,-3.42571,-2.54569,1
2,13,97,-1.57702,-0.529413,-1000,-3.42571,-0.529413,1
2,12,97,0.763881,0.919796,-1000,-3.42571,0.919796,1
2,10,97,1.17666,-0.869734,-1000,-3.42571,1.17666,0
2,6,99,-1.35482,2.14233,-1000,-3.861,2.14233,1
1,14,97,-0.350681,0.300525,-1000,-3.42571,0.300525,1
2,8,97,-0.196615,0.790102,-1000,-3.42571,0.790102,1
2,7,97,-0.244347,-0.110603,-1000,-3.42571,-0.110603,1
1,14,99,-2.59295,-0.417919,-1000,-3.861,-0.417919,1
2,6,97,-1.21359,2.30494,-1000,-3.42571,2.30494,1
2,4,97,0.381456,0.765915,-1000,-3.42571,0.765915,1
2,3,97,1.32446,-0.213279,-1000,-3.42571,1.32446,0
2,2,97,1.57827,0.0613926,-1000,-3.42571,1.57827,0
2,1,97,0.769993,0.681612,-1000,-3.42571,0.769993,0
3,20,97,-3.2767,-3.17926,-1000,-3.42571,-3.17926,1
3,16,97,-3.14764,-3.15672,-1000,-3.42571,-3.14764,0
3,15,97,-3.21267,-3.41924,-1000,-3.42571,-3.21267,0
3,13,97,-1.95467,-0.884567,-1000,-3.42571,-0.884567,1
3,11,97,-2.10169,-2.05543,-1000,-3.42571,-2.05543,1
3,10,97,-1.31299,-2.29405,-1000,-3.42571,-1.31299,0
3,9,97,-3.25384,-2.45679,-1000,-3.42571,-2.45679,1
3,8,97,-2.74057,-1.26517,-1000,-3.42571,-1.26517,1
3,5,97,-3.31393,-3.42571,-1000,-3.42571,-3.31393,0
3,4,97,-3.45098,-0.181916,-1000,-3.42571,-0.181916,1
3,2,97,-1.28337,-2.53003,-1000,-3.42571,-1.28337,0
3,1,97,0.10719,-2.53003,-1000,-3.42571,0.10719,0
4,17,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,16,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,15,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,13,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,12,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,9,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,8,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,7,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,5,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,1,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
1,20,96,-1.40726,-1.30387,-1000,-3.54136,-1.30387,1
1,19,96,0.0732594,-1.39547,-1000,-3.54136,0.0732594,0
1,18,96,-0.356365,1.82083,-1000,-3.54136,1.82083,1
1,17,96,0.526001,-0.073187,-1000,-3.54136,0.526001,0
1,15,96,1.93922,-1.55003,-1000,-3.54136,1.93922,0
2,8,98,-0.258079,0.813535,-1000,-3.60207,0.813535,1
2,6,98,-1.30758,2.12949,-1000,-3.60207,2.12949,1
1,14,96,0.539188,0.468543,-1000,-3.54136,0.539188,0
1,13,96,0.692839,1.48404,-1000,-3.54136,1.48404,1
1,12,96,1.76915,1.77344,-1000,-3.54136,1.77344,1
1,9,96,-0.337312,1.53781,-1000,-3.54136,1.53781,1
1,7,96,0.278186,0.408022,-1000,-3.54136,0.408022,1
1,4,96,1.09352,0.842879,-1000,-3.54136,1.09352,0
1,3,96,1.58369,1.79165,-1000,-3.54136,1.79165,1
1,2,96,1.66784,1.82163,-1000,-3.54136,1.82163,1
1,10,96,0.398245,0.935824,-1000,-3.54136,0.935824,1
1,1,96,0.91875,0.91875,-1000,-3.54136,0.91875,0
2,20,96,-3.03519,-2.37277,-1000,-3.54136,-2.37277,1
2,18,96,-1.84264,-2.13716,-1000,-3.54136,-1.84264,0
2,17,96,-0.998647,-2.34135,-1000,-3.54136,-0.998647,0
2,16,96,-2.26446,-0.914037,-1000,-3.54136,-0.914037,1
2,15,96,-2.66579,-2.53586,-1000,-3.54136,-2.53586,1
2,13,96,-0.812946,-0.452764,-1000,-3.54136,-0.452764,1
2,12,96,0.888336,1.08596,-1000,-3.54136,1.08596,1
2,10,96,1.26675,-0.815712,-1000,-3.54136,1.26675,0
2,7,96,-0.24815,-0.0639026,-1000,-3.54136,-0.0639026,1
1,14,98,-0.642909,-0.162472,-1000,-3.60207,-0.162472,1
2,8,96,-0.217477,0.790511,-1000,-3.54136,0.790511,1
2,6,96,-1.20087,2.29652,-1000,-3.54136,2.29652,1
2,4,96,0.441398,0.842879,-1000,-3.54136,0.842879,1
2,3,96,1.4556,-0.185707,-1000,-3.54136,1.4556,0
2,2,96,1.82163,0.0983576,-1000,-3.54136,1.82163,0
2,1,96,0.91875,0.698497,-1000,-3.54136,0.91875,0
3,20,96,-3.29515,-3.14723,-1000,-3.54136,-3.14723,1
3,16,96,-3.12043,-3.17075,-1000,-3.54136,-3.12043,0
3,13,96,-1.9315,-0.945152,-1000,-3.54136,-0.945152,1
3,11,96,-2.08283,-2.12482,-1000,-3.54136,-2.08283,0
3,10,96,-1.30365,-2.36769,-1000,-3.54136,-1.30365,0
3,9,96,-3.20269,-2.54104,-1000,-3.54136,-2.54104,1
3,8,96,-2.83309,-1.35471,-1000,-3.54136,-1.35471,1
3,5,96,-3.19317,-3.54136,-1000,-3.54136,-3.19317,0
3,4,96,-3.45378,-0.112428,-1000,-3.54136,-0.112428,1
3,2,96,-1.29796,-2.48025,-1000,-3.54136,-1.29796,0
3,1,96,0.133867,-2.48025,-1000,-3.54136,0.133867,0
4,17,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,16,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,15,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,13,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,12,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,9,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,8,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,7,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,5,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,1,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
1,19,95,0.075115,-1.37289,-1000,-3.43639,0.075115,0
1,17,95,0.338733,-0.192336,-1000,-3.43639,0.338733,0
1,15,95,1.9484,-1.48955,-1000,-3.43639,1.9484,0
1,13,95,0.713427,1.50271,-1000,-3.43639,1.50271,1
1,7,95,0.355667,0.449006,-1000,-3.43639,0.449006,1
1,4,95,1.1047,0.871322,-1000,-3.43639,1.1047,0
1,2,95,2.02657,2.09216,-1000,-3.43639,2.09216,1
1,1,95,1.24973,1.24973,-1000,-3.43639,1.24973,0
2,20,95,-2.97577,-2.4046,-1000,-3.43639,-2.4046,1
2,17,95,-0.885115,-1.68521,-1000,-3.43639,-0.885115,0
2,16,95,-2.21173,-1.0929,-1000,-3.43639,-1.0929,1
2,15,95,-2.54103,-2.46422,-1000,-3.43639,-2.46422,1
2,14,95,-1.95781,-0.362872,-1000,-3.43639,-0.362872,1
2,13,95,-0.823175,-0.37002,-1000,-3.43639,-0.37002,1
2,10,95,1.28731,-0.79457,-1000,-3.43639,1.28731,0
2,9,95,-2.1602,0.0243301,-1000,-3.43639,0.0243301,1
2,7,95,-0.319003,-0.0249372,-1000,-3.43639,-0.0249372,1
2,4,95,0.468416,0.871322,-1000,-3.43639,0.871322,1
2,2,95,2.09216,0.117,-1000,-3.43639,2.09216,0
2,1,95,1.24973,1.1934,-1000,-3.43639,1.24973,0
3,20,95,-3.23367,-3.03234,-1000,-3.43639,-3.03234,1
3,18,95,-3.08637,-2.92371,-1000,-3.43639,-2.92371,1
3,16,95,-3.0763,-3.09755,-1000,-3.43639,-3.0763,0
3,13,95,-1.90642,-0.888435,-1000,-3.43639,-0.888435,1
3,11,95,-1.97064,-2.06184,-1000,-3.43639,-1.97064,0
3,10,95,-1.31103,-2.23411,-1000,-3.43639,-1.31103,0
3,9,95,-3.24582,-2.44292,-1000,-3.43639,-2.44292,1
3,8,95,-2.74911,-1.2658,-1000,-3.43639,-1.2658,1
3,6,95,-2.15971,1.23357,-1000,-3.43639,1.23357,1
3,5,95,-3.12625,-3.43639,-1000,-3.43639,-3.12625,0
3,4,95,-3.33137,-0.0178581,-1000,-3.43639,-0.0178581,1
3,2,95,-1.24808,-2.3299,-1000,-3.43639,-1.24808,0
