Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.24022,-1.99346,-1000,-3.861,-1.99346,1
1,19,99,-2.55471,-2.85787,-1000,-3.861,-2.55471,0
1,18,99,-2.52477,-1.87474,-1000,-3.861,-1.87474,1
1,17,99,0.0373315,0.720507,-1000,-3.861,0.720507,1
1,15,99,1.7565,-0.588538,-1000,-3.861,1.7565,0
1,13,99,0.0713318,-1.08152,-1000,-3.861,0.0713318,0
1,12,99,-1.07826,1.30574,-1000,-3.861,1.30574,1
1,10,99,1.79034,2.228,-1000,-3.861,2.228,1
1,9,99,0.548633,1.97877,-1000,-3.861,1.97877,1
1,7,99,1.70594,1.76961,-1000,-3.861,1.76961,1
1,4,99,2.27838,2.27838,-1000,-3.861,2.27838,0
1,3,99,1.67157,1.51185,-1000,-3.861,1.67157,0
1,2,99,2.34044,2.34044,-1000,-3.861,2.34044,0
1,1,99,2.34178,2.19925,-1000,-3.861,2.34178,0
2,20,99,-2.28141,-3.4381,-1000,-3.861,-2.28141,0
2,18,99,-1.6753,-2.28993,-1000,-3.861,-1.6753,0
2,17,99,-1.5755,-1.55244,-1000,-3.861,-1.55244,1
2,16,99,-2.42983,-2.86907,-1000,-3.861,-2.42983,0
2,15,99,-3.40051,-1.54062,-1000,-3.861,-1.54062,1
2,13,99,-1.78582,-2.67359,-1000,-3.861,-1.78582,0
2,10,99,-1.23656,-0.54008,-1000,-3.861,-0.54008,1
2,8,99,-1.26189,0.966653,-1000,-3.861,0.966653,1
2,7,99,1.76961,-1.17732,-1000,-3.861,1.76961,0
2,4,99,0.7281,2.27838,-1000,-3.861,2.27838,1
2,3,99,1.51185,1.12836,-1000,-3.861,1.51185,0
2,2,99,2.34044,1.96466,-1000,-3.861,2.34044,0
2,1,99,2.24018,2.34178,-1000,-3.861,2.34178,1
3,20,99,-3.73048,-3.98036,-1000,-3.861,-3.73048,0
3,16,99,-3.21707,-4.25688,-1000,-3.861,-3.21707,0
3,15,99,-3.40051,-3.44526,-1000,-3.861,-3.40051,0
3,13,99,-3.5795,-2.67359,-1000,-3.861,-2.67359,1
3,11,99,-4.07064,-3.41976,-1000,-3.861,-3.41976,1
3,10,99,-4.09123,-1.19468,-1000,-3.861,-1.19468,1
3,9,99,-4.13416,0.0649379,-1000,-3.861,0.0649379,1
3,8,99,-3.60624,-3.6324,-1000,-3.861,-3.60624,0
3,5,99,-2.53767,-1.22981,-1000,-3.861,-1.22981,1
3,4,99,-3.77394,2.45992,-1000,-3.861,2.45992,1
3,2,99,1.00221,-1.43024,-1000,-3.861,1.00221,0
3,1,99,2.2357,2.31737,-1000,-3.861,2.31737,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-2.21244,-1.94284,-1000,-3.60207,-1.94284,1
1,19,98,-2.5089,-2.55507,-1000,-3.60207,-2.5089,0
1,18,98,0.168446,-1.86807,-1000,-3.60207,0.168446,0
1,17,98,0.988019,1.0452,-1000,-3.60207,1.0452,1
1,15,98,1.88088,-0.464811,-1000,-3.60207,1.88088,0
1,13,98,0.137696,-1.06441,-1000,-3.60207,0.137696,0
1,12,98,-0.0629675,1.47164,-1000,-3.60207,1.47164,1
1,10,98,1.72387,2.2202,-1000,-3.60207,2.2202,1
1,9,98,1.42449,1.93235,-1000,-3.60207,1.93235,1
