Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.96796,-0.711851,-1000,-3.861,-0.711851,1
1,19,99,-3.71842,0.492393,-1000,-3.861,0.492393,1
1,18,99,-2.28806,-0.140336,-1000,-3.861,-0.140336,1
1,17,99,-2.93535,-1.3475,-1000,-3.861,-1.3475,1
1,15,99,-2.42183,0.108767,-1000,-3.861,0.108767,1
1,13,99,-0.639812,-0.0162963,-1000,-3.861,-0.0162963,1
1,12,99,-1.26746,1.00016,-1000,-3.861,1.00016,1
1,10,99,-0.159668,1.21723,-1000,-3.861,1.21723,1
1,9,99,0.47456,0.63553,-1000,-3.861,0.63553,1
1,7,99,0.833025,0.656848,-1000,-3.861,0.833025,0
1,4,99,0.554908,0.612134,-1000,-3.861,0.612134,1
1,3,99,1.1272,1.1272,-1000,-3.861,1.1272,0
1,2,99,0.918102,0.904978,-1000,-3.861,0.918102,0
1,1,99,1.20823,1.20823,-1000,-3.861,1.20823,0
2,20,99,-2.41088,-1.93588,-1000,-3.861,-1.93588,1
2,18,99,-2.01703,-1.01981,-1000,-3.861,-1.01981,1
2,17,99,-2.64589,-2.45103,-1000,-3.861,-2.45103,1
2,16,99,-1.78174,-2.26773,-1000,-3.861,-1.78174,0
2,15,99,-0.838296,-1.77905,-1000,-3.861,-0.838296,0
2,13,99,-0.77674,-0.199581,-1000,-3.861,-0.199581,1
2,10,99,-1.01159,0.30287,-1000,-3.861,0.30287,1
2,8,99,0.434165,-0.505196,-1000,-3.861,0.434165,0
2,7,99,0.656848,0.183191,-1000,-3.861,0.656848,0
2,4,99,-0.139687,0.503947,-1000,-3.861,0.503947,1
2,3,99,1.1272,0.225468,-1000,-3.861,1.1272,0
2,2,99,0.499881,0.768348,-1000,-3.861,0.768348,1
2,1,99,1.20823,1.00276,-1000,-3.861,1.20823,0
3,20,99,-3.39042,-3.85778,-1000,-3.861,-3.39042,0
3,16,99,-3.71332,-3.08695,-1000,-3.861,-3.08695,1
3,15,99,-3.49459,-4.11187,-1000,-3.861,-3.49459,0
3,13,99,-3.58025,-0.352698,-1000,-3.861,-0.352698,1
3,11,99,-3.35158,-3.79433,-1000,-3.861,-3.35158,0
3,10,99,-3.90056,-0.870656,-1000,-3.861,-0.870656,1
3,9,99,-3.79501,-2.15917,-1000,-3.861,-2.15917,1
3,8,99,-2.82304,-2.63831,-1000,-3.861,-2.63831,1
3,5,99,-3.25883,-0.433968,-1000,-3.861,-0.433968,1
3,4,99,-3.43039,-0.0853869,-1000,-3.861,-0.0853869,1
3,2,99,-0.74801,0.44641,-1000,-3.861,0.44641,1
3,1,99,-0.76488,0.915933,-1000,-3.861,0.915933,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.21847,-0.412941,-1000,-3.60207,-0.412941,1
1,19,98,-0.590538,0.554889,-1000,-3.60207,0.554889,1
1,18,98,-0.707112,0.0445085,-1000,-3.60207,0.0445085,1
1,17,98,-2.00685,-1.26631,-1000,-3.60207,-1.26631,1
1,15,98,-0.605229,0.0145729,-1000,-3.60207,0.0145729,1
1,13,98,-0.605808,0.0488736,-1000,-3.60207,0.0488736,1
1,12,98,-0.361572,1.03345,-1000,-3.60207,1.03345,1
1,10,98,-0.115817,1.24981,-1000,-3.60207,1.24981,1
1,9,98,0.558642,0.721236,-1000,-3.60207,0.721236,1
1,7,98,0.984485,0.82397,-1000,-3.60207,0.984485,0
1,4,98,0.583977,0.647074,-1000,-3.60207,0.647074,1
1,3,98,1.15533,1.15533,-1000,-3.60207,1.15533,0
1,2,98,0.969144,0.953446,-1000,-3.60207,0.969144,0
