Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.17946,0.544322,-1000,-3.861,0.544322,1
1,19,99,-3.41459,1.21102,-1000,-3.861,1.21102,1
1,18,99,-1.62192,-0.0660198,-1000,-3.861,-0.0660198,1
1,17,99,-1.1835,-0.366083,-1000,-3.861,-0.366083,1
1,15,99,0.0305275,0.730938,-1000,-3.861,0.730938,1
1,13,99,-0.821861,1.10015,-1000,-3.861,1.10015,1
1,12,99,1.67681,1.30496,-1000,-3.861,1.67681,0
1,10,99,1.63482,1.79137,-1000,-3.861,1.79137,1
1,9,99,-0.666799,-0.329801,-1000,-3.861,-0.329801,1
1,7,99,0.325331,0.301346,-1000,-3.861,0.325331,0
1,4,99,2.38335,2.38335,-1000,-3.861,2.38335,0
1,3,99,1.32274,1.16472,-1000,-3.861,1.32274,0
1,2,99,1.31933,0.984725,-1000,-3.861,1.31933,0
1,1,99,0.98743,1.56787,-1000,-3.861,1.56787,1
2,20,99,-3.0793,-1.43721,-1000,-3.861,-1.43721,1
2,18,99,-3.23077,-0.79816,-1000,-3.861,-0.79816,1
2,17,99,1.07123,-0.658278,-1000,-3.861,1.07123,0
2,16,99,-2.89915,-2.46513,-1000,-3.861,-2.46513,1
2,15,99,-0.339488,-2.29332,-1000,-3.861,-0.339488,0
2,13,99,1.28663,1.6021,-1000,-3.861,1.6021,1
2,10,99,0.807274,0.80418,-1000,-3.861,0.807274,0
2,8,99,-1.72112,0.424844,-1000,-3.861,0.424844,1
2,7,99,-0.197148,-0.633911,-1000,-3.861,-0.197148,0
2,4,99,0.249917,2.38335,-1000,-3.861,2.38335,1
2,3,99,0.162568,1.16472,-1000,-3.861,1.16472,1
2,2,99,-0.974513,0.7422,-1000,-3.861,0.7422,1
2,1,99,0.98743,0.823407,-1000,-3.861,0.98743,0
3,20,99,-3.44882,-3.01848,-1000,-3.861,-3.01848,1
3,16,99,-3.47337,-4.08006,-1000,-3.861,-3.47337,0
3,15,99,-3.26348,-3.70586,-1000,-3.861,-3.26348,0
3,13,99,-3.56821,3.07215,-1000,-3.861,3.07215,1
3,11,99,-3.71002,0.609845,-1000,-3.861,0.609845,1
3,10,99,-3.9222,-2.12698,-1000,-3.861,-2.12698,1
3,9,99,-3.96088,-1.36186,-1000,-3.861,-1.36186,1
3,8,99,-3.92988,-2.56533,-1000,-3.861,-2.56533,1
3,5,99,-2.40811,-1.35348,-1000,-3.861,-1.35348,1
3,4,99,-2.69784,-0.184652,-1000,-3.861,-0.184652,1
3,2,99,-1.44761,-2.57404,-1000,-3.861,-1.44761,0
3,1,99,-0.397836,-4.4778,-1000,-3.861,-0.397836,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.03192,0.541793,-1000,-3.60207,0.541793,1
1,19,98,-0.668014,1.2014,-1000,-3.60207,1.2014,1
1,18,98,-0.722661,-0.0610798,-1000,-3.60207,-0.0610798,1
1,17,98,0.629415,-0.319815,-1000,-3.60207,0.629415,0
1,15,98,0.99908,1.64112,-1000,-3.60207,1.64112,1
1,13,98,0.141776,1.20055,-1000,-3.60207,1.20055,1
1,12,98,1.68274,1.40631,-1000,-3.60207,1.68274,0
1,10,98,1.67977,1.88824,-1000,-3.60207,1.88824,1
1,9,98,0.26517,-0.271753,-1000,-3.60207,0.26517,0
1,7,98,0.554645,0.550762,-1000,-3.60207,0.554645,0
1,4,98,2.45135,2.45135,-1000,-3.60207,2.45135,0
1,3,98,1.37959,1.21373,-1000,-3.60207,1.37959,0
1,2,98,1.41435,1.11551,-1000,-3.60207,1.41435,0
1,1,98,1.07,1.65382,-1000,-3.60207,1.65382,1
2,20,98,-3.04064,-1.42491,-1000,-3.60207,-1.42491,1
2,18,98,-3.11166,-0.793145,-1000,-3.60207,-0.793145,1
2,17,98,1.15474,-0.635969,-1000,-3.60207,1.15474,0
2,16,98,-2.81453,-2.37761,-1000,-3.60207,-2.37761,1
2,15,98,1.44927,-2.26168,-1000,-3.60207,1.44927,0
2,13,98,1.36893,1.72223,-1000,-3.60207,1.72223,1
2,10,98,1.06185,0.992765,-1000,-3.60207,1.06185,0
2,7,98,0.0988413,-0.177066,-1000,-3.60207,0.0988413,0
2,4,98,0.329321,2.45135,-1000,-3.60207,2.45135,1
2,3,98,0.227925,1.21373,-1000,-3.60207,1.21373,1
2,2,98,-0.809153,0.883628,-1000,-3.60207,0.883628,1
2,1,98,1.07,0.920723,-1000,-3.60207,1.07,0
3,20,98,-3.33667,-3.03175,-1000,-3.60207,-3.03175,1
3,16,98,-3.36781,-3.95491,-1000,-3.60207,-3.36781,0
3,15,98,-3.2357,-3.67689,-1000,-3.60207,-3.2357,0
3,13,98,-3.3698,3.19094,-1000,-3.60207,3.19094,1
3,11,98,-3.55679,0.723998,-1000,-3.60207,0.723998,1
3,10,98,-1.22635,-2.02352,-1000,-3.60207,-1.22635,0
3,9,98,-2.11383,-1.20262,-1000,-3.60207,-1.20262,1
3,8,98,-2.00378,-2.36334,-1000,-3.60207,-2.00378,0
3,5,98,-2.21723,-1.25611,-1000,-3.60207,-1.25611,1
3,4,98,-2.47305,0.0194906,-1000,-3.60207,0.0194906,1
3,2,98,-1.22018,-2.33007,-1000,-3.60207,-1.22018,0
3,1,98,-0.264875,-4.27066,-1000,-3.60207,-0.264875,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,0.8147,0.56297,-1000,-3.42571,0.8147,0
1,19,97,0.346031,1.24313,-1000,-3.42571,1.24313,1
1,18,97,-0.0434362,0.0126615,-1000,-3.42571,0.0126615,1
1,17,97,0.603373,-0.264222,-1000,-3.42571,0.603373,0
1,15,97,0.996608,1.62636,-1000,-3.42571,1.62636,1
1,13,97,0.40656,1.4657,-1000,-3.42571,1.4657,1
1,12,97,1.74797,1.47119,-1000,-3.42571,1.74797,0
1,7,97,0.654047,0.633383,-1000,-3.42571,0.654047,0
1,4,97,2.46534,2.46534,-1000,-3.42571,2.46534,0
1,3,97,1.47531,1.27802,-1000,-3.42571,1.47531,0
1,2,97,1.51273,1.19439,-1000,-3.42571,1.51273,0
1,10,97,1.7382,1.92229,-1000,-3.42571,1.92229,1
1,1,97,1.10064,1.79893,-1000,-3.42571,1.79893,1
2,20,97,-2.96723,-1.40942,-1000,-3.42571,-1.40942,1
2,18,97,-3.03409,-0.739648,-1000,-3.42571,-0.739648,1
2,17,97,1.19669,-0.581598,-1000,-3.42571,1.19669,0
2,16,97,-2.75511,-2.31793,-1000,-3.42571,-2.31793,1
2,15,97,1.45244,-1.37509,-1000,-3.42571,1.45244,0
2,13,97,1.44938,2.16354,-1000,-3.42571,2.16354,1
2,12,97,0.0855812,0.458265,-1000,-3.42571,0.458265,1
2,10,97,1.10231,1.01631,-1000,-3.42571,1.10231,0
2,6,99,-0.675417,2.37845,-1000,-3.861,2.37845,1
1,14,97,1.63922,0.44686,-1000,-3.42571,1.63922,0
2,8,97,-0.619926,0.765581,-1000,-3.42571,0.765581,1
2,7,97,0.187918,-0.0795265,-1000,-3.42571,0.187918,0
1,14,99,1.11241,0.204306,-1000,-3.861,1.11241,0
2,6,97,-0.179929,2.52833,-1000,-3.42571,2.52833,1
2,4,97,0.427101,2.46534,-1000,-3.42571,2.46534,1
2,3,97,0.29306,1.27802,-1000,-3.42571,1.27802,1
2,2,97,-0.77879,0.92687,-1000,-3.42571,0.92687,1
2,1,97,1.10064,0.959276,-1000,-3.42571,1.10064,0
3,20,97,-3.20143,-2.96704,-1000,-3.42571,-2.96704,1
3,16,97,-3.28932,-3.91404,-1000,-3.42571,-3.28932,0
3,15,97,-3.13989,-3.55692,-1000,-3.42571,-3.13989,0
3,13,97,-3.29727,3.27699,-1000,-3.42571,3.27699,1
3,11,97,-3.38439,0.789627,-1000,-3.42571,0.789627,1
3,10,97,-1.23618,-1.92255,-1000,-3.42571,-1.23618,0
3,9,97,-2.08069,-1.07614,-1000,-3.42571,-1.07614,1
3,8,97,-1.94084,-2.28813,-1000,-3.42571,-1.94084,0
3,5,97,-2.16607,-0.324947,-1000,-3.42571,-0.324947,1
3,4,97,-2.28768,0.118984,-1000,-3.42571,0.118984,1
3,2,97,-1.15907,-2.1588,-1000,-3.42571,-1.15907,0
3,1,97,-0.192606,-4.12957,-1000,-3.42571,-0.192606,0
4,17,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,16,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,15,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,13,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,12,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,9,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,8,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,7,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,5,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,1,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
1,20,96,0.807613,0.5918,-1000,-3.54136,0.807613,0
1,19,96,0.332696,1.24832,-1000,-3.54136,1.24832,1
1,18,96,-0.0177073,-0.0029736,-1000,-3.54136,-0.0029736,1
1,17,96,0.695657,0.0140577,-1000,-3.54136,0.695657,0
1,15,96,1.01278,1.57355,-1000,-3.54136,1.57355,1
2,8,98,-0.696214,0.700014,-1000,-3.60207,0.700014,1
2,6,98,-0.26543,2.43265,-1000,-3.60207,2.43265,1
1,14,96,1.62871,0.560556,-1000,-3.54136,1.62871,0
1,13,96,1.36057,1.64825,-1000,-3.54136,1.64825,1
1,12,96,1.89389,1.50364,-1000,-3.54136,1.89389,0
1,9,96,0.321142,-0.193693,-1000,-3.54136,0.321142,0
1,7,96,0.670053,0.630863,-1000,-3.54136,0.670053,0
1,4,96,2.49746,2.49746,-1000,-3.54136,2.49746,0
1,3,96,1.52155,1.32726,-1000,-3.54136,1.52155,0
1,2,96,1.53822,1.21136,-1000,-3.54136,1.53822,0
1,10,96,1.82822,1.97874,-1000,-3.54136,1.97874,1
1,1,96,1.12483,1.82916,-1000,-3.54136,1.82916,1
2,20,96,-2.92218,-1.35642,-1000,-3.54136,-1.35642,1
2,18,96,-2.94057,-0.715705,-1000,-3.54136,-0.715705,1
2,17,96,1.15686,-0.577303,-1000,-3.54136,1.15686,0
2,16,96,-2.7394,-2.27858,-1000,-3.54136,-2.27858,1
2,15,96,1.45827,-1.35335,-1000,-3.54136,1.45827,0
2,13,96,1.53182,2.26761,-1000,-3.54136,2.26761,1
2,12,96,0.0951303,0.476877,-1000,-3.54136,0.476877,1
2,10,96,1.1721,1.14969,-1000,-3.54136,1.1721,0
2,7,96,0.194114,-0.0475672,-1000,-3.54136,0.194114,0
1,14,98,1.45434,0.241973,-1000,-3.60207,1.45434,0
2,8,96,-0.539557,0.877449,-1000,-3.54136,0.877449,1
2,6,96,-0.158034,2.58637,-1000,-3.54136,2.58637,1
2,4,96,0.475615,2.49746,-1000,-3.54136,2.49746,1
2,3,96,0.397795,1.32726,-1000,-3.54136,1.32726,1
2,2,96,-0.735483,0.939525,-1000,-3.54136,0.939525,1
2,1,96,1.12483,0.958634,-1000,-3.54136,1.12483,0
3,20,96,-3.23149,-2.90991,-1000,-3.54136,-2.90991,1
3,16,96,-3.28708,-3.83775,-1000,-3.54136,-3.28708,0
3,13,96,-3.33558,3.29268,-1000,-3.54136,3.29268,1
3,11,96,-3.39435,0.76387,-1000,-3.54136,0.76387,1
3,10,96,-1.19517,-2.01814,-1000,-3.54136,-1.19517,0
3,9,96,-2.03723,-1.10634,-1000,-3.54136,-1.10634,1
3,8,96,-1.89904,-2.30838,-1000,-3.54136,-1.89904,0
3,5,96,-2.11074,-0.236025,-1000,-3.54136,-0.236025,1
3,4,96,-2.37335,0.145686,-1000,-3.54136,0.145686,1
3,2,96,-1.1857,-2.23073,-1000,-3.54136,-1.1857,0
3,1,96,-0.208371,-4.22209,-1000,-3.54136,-0.208371,0
4,17,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,16,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,15,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,13,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,12,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,9,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,8,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,7,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,5,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
4,1,96,-5.72582,-5.72582,-1000,-3.54136,-3.54136,3
1,19,95,0.133053,1.26337,-1000,-3.43639,1.26337,1
1,17,95,0.838924,-0.0236143,-1000,-3.43639,0.838924,0
1,15,95,0.927748,1.54209,-1000,-3.43639,1.54209,1
1,13,95,1.36906,1.66169,-1000,-3.43639,1.66169,1
1,7,95,0.733703,0.685832,-1000,-3.43639,0.733703,0
1,4,95,2.49063,2.49063,-1000,-3.43639,2.49063,0
1,2,95,1.61135,1.26,-1000,-3.43639,1.61135,0
1,1,95,1.29033,1.89332,-1000,-3.43639,1.89332,1
2,20,95,-2.87107,-0.690224,-1000,-3.43639,-0.690224,1
2,17,95,1.16049,0.0422187,-1000,-3.43639,1.16049,0
2,16,95,-2.64769,-0.633573,-1000,-3.43639,-0.633573,1
2,15,95,1.43601,-1.24773,-1000,-3.43639,1.43601,0
2,14,95,-0.520264,0.490946,-1000,-3.43639,0.490946,1
2,13,95,1.511,2.28177,-1000,-3.43639,2.28177,1
2,10,95,1.20882,1.1983,-1000,-3.43639,1.20882,0
2,9,95,-1.24767,-0.111723,-1000,-3.43639,-0.111723,1
2,7,95,0.227649,-0.0323161,-1000,-3.43639,0.227649,0
2,4,95,0.557773,2.49063,-1000,-3.43639,2.49063,1
2,2,95,-0.608107,1.00117,-1000,-3.43639,1.00117,1
2,1,95,1.29033,1.02422,-1000,-3.43639,1.29033,0
3,20,95,-3.13852,-2.80518,-1000,-3.43639,-2.80518,1
3,18,95,-2.98049,-4.2773,-1000,-3.43639,-2.98049,0
3,16,95,-3.17053,-3.82199,-1000,-3.43639,-3.17053,0
3,13,95,-3.24509,3.31446,-1000,-3.43639,3.31446,1
3,11,95,-3.28507,0.838274,-1000,-3.43639,0.838274,1
3,10,95,-1.13034,-1.92791,-1000,-3.43639,-1.13034,0
3,9,95,-1.95681,-0.99549,-1000,-3.43639,-0.99549,1
3,8,95,-1.93479,-2.18875,-1000,-3.43639,-1.93479,0
3,6,95,-3.24582,-2.08531,-1000,-3.43639,-2.08531,1
3,5,95,-2.07276,-0.288888,-1000,-3.43639,-0.288888,1
3,4,95,-2.29005,0.260666,-1000,-3.43639,0.260666,1
3,2,95,-1.07286,-2.12853,-1000,-3.43639,-1.07286,0
3,7,99,-3.89544,-4.59716,-1000,-3.861,-3.861,3
3,1,95,-0.0601655,-4.13811,-1000,-3.43639,-0.0601655,0
4,16,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,13,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,12,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,9,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,5,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,3,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,2,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
4,1,95,-5.27896,-5.27896,-1000,-3.43639,-3.43639,3
1,19,94,0.142548,1.39502,-1000,-3.2084,1.39502,1
1,17,94,0.97257,0.980475,-1000,-3.2084,0.980475,1
1,15,94,1.1121,1.54399,-1000,-3.2084,1.54399,1
1,13,94,1.34939,1.67449,-1000,-3.2084,1.67449,1
1,7,94,0.77275,0.705745,-1000,-3.2084,0.77275,0
1,4,94,2.53856,2.53856,-1000,-3.2084,2.53856,0
1,2,94,1.70403,1.33912,-1000,-3.2084,1.70403,0
1,1,94,1.40799,1.97826,-1000,-3.2084,1.97826,1
2,20,94,-2.84191,-0.725902,-1000,-3.2084,-0.725902,1
2,17,94,1.24555,0.0449382,-1000,-3.2084,1.24555,0
2,16,94,-2.54774,-0.614352,-1000,-3.2084,-0.614352,1
2,15,94,1.44184,-1.21497,-1000,-3.2084,1.44184,0
2,14,94,-0.487844,0.470914,-1000,-3.2084,0.470914,1
2,13,94,1.51709,2.24899,-1000,-3.2084,2.24899,1
2,10,94,1.21545,1.20832,-1000,-3.2084,1.21545,0
2,9,94,-1.20785,-0.0371307,-1000,-3.2084,-0.0371307,1
2,7,94,0.238729,-0.0195606,-1000,-3.2084,0.238729,0
2,4,94,0.634709,2.53856,-1000,-3.2084,2.53856,1
2,2,94,-0.518199,1.08429,-1000,-3.2084,1.08429,1
2,1,94,1.40799,1.12963,-1000,-3.2084,1.40799,0
