Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.96315,-0.407572,-1000,-3.861,-0.407572,1
1,19,99,-3.54752,-0.224591,-1000,-3.861,-0.224591,1
1,18,99,-3.21506,0.993819,-1000,-3.861,0.993819,1
1,17,99,0.289711,0.580608,-1000,-3.861,0.580608,1
1,15,99,0.423439,0.998466,-1000,-3.861,0.998466,1
1,13,99,0.365202,-0.500013,-1000,-3.861,0.365202,0
1,12,99,-0.884952,1.19163,-1000,-3.861,1.19163,1
1,10,99,0.454089,1.40642,-1000,-3.861,1.40642,1
1,9,99,1.3835,1.3505,-1000,-3.861,1.3835,0
1,7,99,0.975962,1.47096,-1000,-3.861,1.47096,1
1,4,99,1.70874,1.70874,-1000,-3.861,1.70874,0
1,3,99,1.39571,1.39571,-1000,-3.861,1.39571,0
1,2,99,1.83637,1.88531,-1000,-3.861,1.88531,1
1,1,99,1.78204,1.83091,-1000,-3.861,1.83091,1
2,20,99,-3.07219,-1.50118,-1000,-3.861,-1.50118,1
2,18,99,-2.33646,-1.34747,-1000,-3.861,-1.34747,1
2,17,99,-1.6206,-1.35766,-1000,-3.861,-1.35766,1
2,16,99,-1.88142,0.816839,-1000,-3.861,0.816839,1
2,15,99,-2.7574,-2.48642,-1000,-3.861,-2.48642,1
2,13,99,-2.50308,-0.378799,-1000,-3.861,-0.378799,1
2,10,99,0.284058,0.884862,-1000,-3.861,0.884862,1
2,8,99,1.50511,1.16208,-1000,-3.861,1.50511,0
2,7,99,0.835076,0.035107,-1000,-3.861,0.835076,0
2,4,99,1.38236,1.70874,-1000,-3.861,1.70874,1
2,3,99,1.39571,0.193765,-1000,-3.861,1.39571,0
2,2,99,0.495606,1.88531,-1000,-3.861,1.88531,1
2,1,99,1.71596,1.65776,-1000,-3.861,1.71596,0
3,20,99,-3.69116,-3.07219,-1000,-3.861,-3.07219,1
3,16,99,-3.57781,-2.15379,-1000,-3.861,-2.15379,1
3,15,99,-3.57067,-4.96159,-1000,-3.861,-3.57067,0
3,13,99,-3.62723,-1.85218,-1000,-3.861,-1.85218,1
3,11,99,-2.70689,-3.56411,-1000,-3.861,-2.70689,0
3,10,99,-3.77608,-1.55363,-1000,-3.861,-1.55363,1
3,9,99,-3.78013,1.1508,-1000,-3.861,1.1508,1
3,8,99,-3.76759,-1.54137,-1000,-3.861,-1.54137,1
3,5,99,-3.77608,-0.0601218,-1000,-3.861,-0.0601218,1
3,4,99,-3.861,0.80461,-1000,-3.861,0.80461,1
3,2,99,1.79901,-3.861,-1000,-3.861,1.79901,0
3,1,99,1.59915,-1.5997,-1000,-3.861,1.59915,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.97024,-0.406805,-1000,-3.60207,-0.406805,1
1,19,98,-3.51931,-0.187476,-1000,-3.60207,-0.187476,1
1,18,98,-0.524693,0.989633,-1000,-3.60207,0.989633,1
1,17,98,0.312758,0.606126,-1000,-3.60207,0.606126,1
1,15,98,1.4323,0.934345,-1000,-3.60207,1.4323,0
1,13,98,0.423479,-0.462098,-1000,-3.60207,0.423479,0
1,12,98,-0.861991,1.25907,-1000,-3.60207,1.25907,1
1,10,98,1.36272,1.48764,-1000,-3.60207,1.48764,1
1,9,98,1.48256,1.45238,-1000,-3.60207,1.48256,0
1,7,98,0.990446,1.50998,-1000,-3.60207,1.50998,1
1,4,98,1.78089,1.78089,-1000,-3.60207,1.78089,0
1,3,98,1.46541,1.46541,-1000,-3.60207,1.46541,0
1,2,98,1.87132,1.91608,-1000,-3.60207,1.91608,1
1,1,98,1.87056,1.94577,-1000,-3.60207,1.94577,1
2,20,98,-3.03935,-1.49532,-1000,-3.60207,-1.49532,1
2,18,98,-2.28554,-1.31189,-1000,-3.60207,-1.31189,1
2,17,98,-1.60151,-1.35442,-1000,-3.60207,-1.35442,1
2,16,98,-1.85941,0.87316,-1000,-3.60207,0.87316,1
2,15,98,-2.6162,-2.4415,-1000,-3.60207,-2.4415,1
2,13,98,-0.636019,-0.3328,-1000,-3.60207,-0.3328,1
2,10,98,1.1853,0.935263,-1000,-3.60207,1.1853,0
2,7,98,0.849816,0.0349926,-1000,-3.60207,0.849816,0
2,4,98,1.42157,1.78089,-1000,-3.60207,1.78089,1
2,3,98,1.46541,0.281697,-1000,-3.60207,1.46541,0
2,2,98,0.57424,1.91608,-1000,-3.60207,1.91608,1
2,1,98,1.8381,1.77728,-1000,-3.60207,1.8381,0
3,20,98,-3.4446,-3.03935,-1000,-3.60207,-3.03935,1
3,16,98,-3.42963,-2.15864,-1000,-3.60207,-2.15864,1
3,15,98,-3.37842,-4.78322,-1000,-3.60207,-3.37842,0
3,13,98,-3.41147,-1.70065,-1000,-3.60207,-1.70065,1
3,11,98,-2.49273,-3.38759,-1000,-3.60207,-2.49273,0
3,10,98,-3.52334,-1.3904,-1000,-3.60207,-1.3904,1
3,9,98,-2.73914,1.19919,-1000,-3.60207,1.19919,1
3,8,98,-2.73665,-1.39827,-1000,-3.60207,-1.39827,1
3,5,98,-3.52334,0.00535883,-1000,-3.60207,0.00535883,1
3,4,98,-3.60207,0.92997,-1000,-3.60207,0.92997,1
3,2,98,1.90779,-3.60207,-1000,-3.60207,1.90779,0
3,1,98,1.72228,-1.39657,-1000,-3.60207,1.72228,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
