Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.65049,-0.120112,-1000,-3.861,-0.120112,1
1,19,99,-0.888959,0.0939851,-1000,-3.861,0.0939851,1
1,18,99,-2.02224,1.09648,-1000,-3.861,1.09648,1
1,17,99,-0.518674,0.452766,-1000,-3.861,0.452766,1
1,15,99,0.135669,0.746268,-1000,-3.861,0.746268,1
1,13,99,1.43397,0.704745,-1000,-3.861,1.43397,0
1,12,99,-0.420871,2.50721,-1000,-3.861,2.50721,1
1,10,99,0.351306,1.74102,-1000,-3.861,1.74102,1
1,9,99,-0.040324,1.18169,-1000,-3.861,1.18169,1
1,7,99,1.53996,1.42052,-1000,-3.861,1.53996,0
1,4,99,1.29872,1.28226,-1000,-3.861,1.29872,0
1,3,99,0.927442,0.927442,-1000,-3.861,0.927442,0
1,2,99,1.60402,1.60402,-1000,-3.861,1.60402,0
1,1,99,0.268839,0.341804,-1000,-3.861,0.341804,1
2,20,99,-1.97417,-1.06863,-1000,-3.861,-1.06863,1
2,18,99,-2.10681,-1.33152,-1000,-3.861,-1.33152,1
2,17,99,-1.15534,-0.831548,-1000,-3.861,-0.831548,1
2,16,99,-1.89603,-1.16265,-1000,-3.861,-1.16265,1
2,15,99,-3.35212,-0.814414,-1000,-3.861,-0.814414,1
2,13,99,0.542981,0.704745,-1000,-3.861,0.704745,1
2,10,99,0.82337,0.321133,-1000,-3.861,0.82337,0
2,8,99,-0.483958,1.42886,-1000,-3.861,1.42886,1
2,7,99,1.42052,0.780251,-1000,-3.861,1.42052,0
2,4,99,0.0516457,1.28226,-1000,-3.861,1.28226,1
2,3,99,-0.0503317,0.927442,-1000,-3.861,0.927442,1
2,2,99,1.60402,-0.128876,-1000,-3.861,1.60402,0
2,1,99,-0.134057,-0.0636554,-1000,-3.861,-0.0636554,1
3,20,99,-3.31766,-3.36038,-1000,-3.861,-3.31766,0
3,16,99,-3.80921,-4.70818,-1000,-3.861,-3.80921,0
3,15,99,-3.45106,-3.42747,-1000,-3.861,-3.42747,1
3,13,99,-3.74894,-0.31659,-1000,-3.861,-0.31659,1
3,11,99,-3.95128,0.4614,-1000,-3.861,0.4614,1
3,10,99,-3.58204,-3.98036,-1000,-3.861,-3.58204,0
