Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.57093,0.360282,-1000,-3.861,0.360282,1
1,19,99,-1.07506,-2.43409,-1000,-3.861,-1.07506,0
1,18,99,-3.35713,0.404314,-1000,-3.861,0.404314,1
1,17,99,-2.25994,-1.32925,-1000,-3.861,-1.32925,1
1,15,99,0.858144,-0.222359,-1000,-3.861,0.858144,0
1,13,99,-1.70209,0.655478,-1000,-3.861,0.655478,1
1,12,99,-2.07367,1.87645,-1000,-3.861,1.87645,1
1,10,99,1.83012,2.06924,-1000,-3.861,2.06924,1
1,9,99,0.857869,1.25618,-1000,-3.861,1.25618,1
1,7,99,1.21318,1.26475,-1000,-3.861,1.26475,1
1,4,99,1.68475,1.68475,-1000,-3.861,1.68475,0
1,3,99,0.844147,0.844147,-1000,-3.861,0.844147,0
1,2,99,1.79914,1.8177,-1000,-3.861,1.8177,1
1,1,99,2.20461,2.08015,-1000,-3.861,2.20461,0
2,20,99,-0.728883,0.154817,-1000,-3.861,0.154817,1
2,18,99,-1.79841,-2.14803,-1000,-3.861,-1.79841,0
2,17,99,-3.12232,-1.17877,-1000,-3.861,-1.17877,1
2,16,99,0.228342,-2.56425,-1000,-3.861,0.228342,0
2,15,99,-0.624988,-0.246461,-1000,-3.861,-0.246461,1
2,13,99,-1.90969,-0.249399,-1000,-3.861,-0.249399,1
2,10,99,0.113607,1.70469,-1000,-3.861,1.70469,1
2,8,99,0.757296,2.00416,-1000,-3.861,2.00416,1
2,7,99,1.26475,0.240985,-1000,-3.861,1.26475,0
2,4,99,0.419723,1.68475,-1000,-3.861,1.68475,1
2,3,99,0.844147,-0.010614,-1000,-3.861,0.844147,0
2,2,99,0.932897,1.42839,-1000,-3.861,1.42839,1
2,1,99,2.08088,0.911301,-1000,-3.861,2.08088,0
3,20,99,-3.30552,-3.92291,-1000,-3.861,-3.30552,0
3,16,99,-3.5359,-3.54396,-1000,-3.861,-3.5359,0
3,15,99,-3.56371,-3.98425,-1000,-3.861,-3.56371,0
3,13,99,-3.68688,-3.861,-1000,-3.861,-3.68688,0
3,11,99,-4.21909,-1.81916,-1000,-3.861,-1.81916,1
3,10,99,-3.91643,2.298,-1000,-3.861,2.298,1
3,9,99,-3.7256,-0.146364,-1000,-3.861,-0.146364,1
3,8,99,-4.0148,1.11595,-1000,-3.861,1.11595,1
3,5,99,-3.89544,-1.15481,-1000,-3.861,-1.15481,1
3,4,99,-3.6351,-0.223819,-1000,-3.861,-0.223819,1
3,2,99,0.935186,-1.3718,-1000,-3.861,0.935186,0
3,1,99,0.911301,0.022186,-1000,-3.861,0.911301,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.55389,0.42883,-1000,-3.60207,0.42883,1
1,19,98,0.740981,-2.36695,-1000,-3.60207,0.740981,0
1,18,98,-1.56849,0.467024,-1000,-3.60207,0.467024,1
1,17,98,0.41824,-1.32079,-1000,-3.60207,0.41824,0
1,15,98,0.917783,-0.201786,-1000,-3.60207,0.917783,0
1,13,98,0.0777524,0.649847,-1000,-3.60207,0.649847,1
1,12,98,0.579787,1.69947,-1000,-3.60207,1.69947,1
1,10,98,1.83435,2.0835,-1000,-3.60207,2.0835,1
1,9,98,0.927926,1.31134,-1000,-3.60207,1.31134,1
1,7,98,1.31463,1.36671,-1000,-3.60207,1.36671,1
1,4,98,1.70658,1.70658,-1000,-3.60207,1.70658,0
1,3,98,0.85852,0.85852,-1000,-3.60207,0.85852,0
1,2,98,1.82204,1.87168,-1000,-3.60207,1.87168,1
1,1,98,2.2775,2.09895,-1000,-3.60207,2.2775,0
2,20,98,-0.705394,0.160194,-1000,-3.60207,0.160194,1
2,18,98,-1.68067,-2.04385,-1000,-3.60207,-1.68067,0
2,17,98,-2.93569,-1.14582,-1000,-3.60207,-1.14582,1
2,16,98,0.251824,-2.53753,-1000,-3.60207,0.251824,0
2,15,98,-0.544442,-0.141123,-1000,-3.60207,-0.141123,1
2,13,98,-0.955439,-0.189137,-1000,-3.60207,-0.189137,1
2,10,98,0.137727,1.70135,-1000,-3.60207,1.70135,1
2,7,98,1.36671,1.15722,-1000,-3.60207,1.36671,0
2,4,98,0.513818,1.70658,-1000,-3.60207,1.70658,1
2,3,98,0.85852,0.0784681,-1000,-3.60207,0.85852,0
2,2,98,0.952803,1.46344,-1000,-3.60207,1.46344,1
2,1,98,2.08772,0.92629,-1000,-3.60207,2.08772,0
3,20,98,-3.16564,-3.84771,-1000,-3.60207,-3.16564,0
3,16,98,-3.53251,-3.5619,-1000,-3.60207,-3.53251,0
3,15,98,-3.38296,-3.95036,-1000,-3.60207,-3.38296,0
3,13,98,-3.57779,-3.60207,-1000,-3.60207,-3.57779,0
3,11,98,-1.44083,-1.66381,-1000,-3.60207,-1.44083,0
3,10,98,-2.84852,2.29494,-1000,-3.60207,2.29494,1
3,9,98,-2.64546,-0.00411731,-1000,-3.60207,-0.00411731,1
3,8,98,-2.08251,1.22614,-1000,-3.60207,1.22614,1
3,5,98,-2.80292,-1.11524,-1000,-3.60207,-1.11524,1
3,4,98,-3.54252,-0.100163,-1000,-3.60207,-0.100163,1
3,2,98,1.01339,-1.2993,-1000,-3.60207,1.01339,0
3,1,98,0.92629,0.15692,-1000,-3.60207,0.92629,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,-0.637228,0.478607,-1000,-3.42571,0.478607,1
