Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.39551,0.0915847,-1000,-3.861,0.0915847,1
1,19,99,-3.98658,-0.216762,-1000,-3.861,-0.216762,1
1,18,99,-3.28412,0.0368996,-1000,-3.861,0.0368996,1
1,17,99,-1.8042,0.0416117,-1000,-3.861,0.0416117,1
1,15,99,-2.75623,-1.11637,-1000,-3.861,-1.11637,1
1,13,99,-1.89301,-0.760756,-1000,-3.861,-0.760756,1
1,12,99,-0.974599,-1.09742,-1000,-3.861,-0.974599,0
1,10,99,0.342972,0.254724,-1000,-3.861,0.342972,0
1,9,99,-1.0133,0.34585,-1000,-3.861,0.34585,1
1,7,99,0.158904,0.0293442,-1000,-3.861,0.158904,0
1,4,99,0.212423,0.286996,-1000,-3.861,0.286996,1
1,3,99,-0.561429,-0.561429,-1000,-3.861,-0.561429,0
1,2,99,0.248684,-0.124531,-1000,-3.861,0.248684,0
1,1,99,0.486895,0.484084,-1000,-3.861,0.486895,0
2,20,99,-2.5981,-1.44562,-1000,-3.861,-1.44562,1
2,18,99,-3.11387,-2.21661,-1000,-3.861,-2.21661,1
2,17,99,-2.77802,-1.02017,-1000,-3.861,-1.02017,1
2,16,99,-2.74842,-0.573643,-1000,-3.861,-0.573643,1
2,15,99,-2.22683,-1.23767,-1000,-3.861,-1.23767,1
2,13,99,-0.800905,-1.0093,-1000,-3.861,-0.800905,0
2,10,99,-0.0120436,-0.752773,-1000,-3.861,-0.0120436,0
2,8,99,-1.43829,-0.807987,-1000,-3.861,-0.807987,1
2,7,99,-0.547739,0.0182564,-1000,-3.861,0.0182564,1
2,4,99,-1.23103,0.17109,-1000,-3.861,0.17109,1
2,3,99,-0.561429,-1.15717,-1000,-3.861,-0.561429,0
2,2,99,-0.286162,-2.51714,-1000,-3.861,-0.286162,0
2,1,99,0.472935,-0.935056,-1000,-3.861,0.472935,0
3,20,99,-3.36272,-4.02435,-1000,-3.861,-3.36272,0
3,16,99,-3.50261,-4.07285,-1000,-3.861,-3.50261,0
3,15,99,-3.37367,-3.41459,-1000,-3.861,-3.37367,0
3,13,99,-3.64641,-1.8513,-1000,-3.861,-1.8513,1
3,11,99,-3.86733,-1.59014,-1000,-3.861,-1.59014,1
3,10,99,-3.63415,0.0506057,-1000,-3.861,0.0506057,1
3,9,99,-3.80668,0.323264,-1000,-3.861,0.323264,1
3,8,99,-4.09972,-1.27746,-1000,-3.861,-1.27746,1
3,5,99,-3.70666,-0.909823,-1000,-3.861,-0.909823,1
3,4,99,-3.36215,-0.541405,-1000,-3.861,-0.541405,1
3,2,99,-3.37301,-3.39024,-1000,-3.861,-3.37301,0
3,1,99,-2.0831,-2.4083,-1000,-3.861,-2.0831,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.04938,0.0816071,-1000,-3.60207,0.0816071,1
1,19,98,-0.412036,-0.0967948,-1000,-3.60207,-0.0967948,1
1,18,98,-0.591054,0.051705,-1000,-3.60207,0.051705,1
1,17,98,-0.870324,0.0865545,-1000,-3.60207,0.0865545,1
1,15,98,-0.495504,-1.05529,-1000,-3.60207,-0.495504,0
1,13,98,-1.8424,-0.708748,-1000,-3.60207,-0.708748,1
1,12,98,-0.477634,-1.01058,-1000,-3.60207,-0.477634,0
1,10,98,0.449495,0.430805,-1000,-3.60207,0.449495,0
1,9,98,-0.0800014,0.383685,-1000,-3.60207,0.383685,1
1,7,98,0.511112,0.380537,-1000,-3.60207,0.511112,0
1,4,98,0.272555,0.341117,-1000,-3.60207,0.341117,1
1,3,98,-0.467004,-0.467004,-1000,-3.60207,-0.467004,0
1,2,98,0.303675,-0.0538542,-1000,-3.60207,0.303675,0
