Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.92382,-2.03455,-1000,-3.861,-2.03455,1
1,19,99,-2.95811,-0.338748,-1000,-3.861,-0.338748,1
1,18,99,-2.3141,0.663091,-1000,-3.861,0.663091,1
1,17,99,-2.2862,-0.756131,-1000,-3.861,-0.756131,1
1,15,99,-2.41408,-1.1537,-1000,-3.861,-1.1537,1
1,13,99,-0.730322,0.193534,-1000,-3.861,0.193534,1
1,12,99,-0.482301,0.277993,-1000,-3.861,0.277993,1
1,10,99,0.586929,0.850234,-1000,-3.861,0.850234,1
1,9,99,0.162979,0.574803,-1000,-3.861,0.574803,1
1,7,99,0.233607,0.0717284,-1000,-3.861,0.233607,0
1,4,99,1.23453,1.05628,-1000,-3.861,1.23453,0
1,3,99,1.29625,1.29625,-1000,-3.861,1.29625,0
1,2,99,0.115486,-0.0320039,-1000,-3.861,0.115486,0
1,1,99,-0.854872,-0.683587,-1000,-3.861,-0.683587,1
2,20,99,-2.59617,-2.60003,-1000,-3.861,-2.59617,0
2,18,99,-2.85714,-0.704991,-1000,-3.861,-0.704991,1
2,17,99,-2.43395,-2.2245,-1000,-3.861,-2.2245,1
2,16,99,-2.11596,-1.56478,-1000,-3.861,-1.56478,1
2,15,99,-2.18621,-1.61073,-1000,-3.861,-1.61073,1
2,13,99,-0.369833,-1.32448,-1000,-3.861,-0.369833,0
2,10,99,-0.850079,0.212477,-1000,-3.861,0.212477,1
2,8,99,0.737274,0.190503,-1000,-3.861,0.737274,0
2,7,99,-0.0605119,-0.313896,-1000,-3.861,-0.0605119,0
2,4,99,-0.234635,1.05628,-1000,-3.861,1.05628,1
2,3,99,-1.09281,1.29625,-1000,-3.861,1.29625,1
2,2,99,-1.04351,-0.243004,-1000,-3.861,-0.243004,1
2,1,99,-2.06565,-0.854872,-1000,-3.861,-0.854872,1
3,20,99,-3.40224,-3.575,-1000,-3.861,-3.40224,0
3,16,99,-3.56874,-2.92679,-1000,-3.861,-2.92679,1
3,15,99,-3.22049,-3.86509,-1000,-3.861,-3.22049,0
3,13,99,-3.68962,-2.50674,-1000,-3.861,-2.50674,1
3,11,99,-3.45833,-1.61029,-1000,-3.861,-1.61029,1
3,10,99,-3.90536,-3.15183,-1000,-3.861,-3.15183,1
3,9,99,-3.8474,0.0393981,-1000,-3.861,0.0393981,1
3,8,99,-3.75461,-1.45134,-1000,-3.861,-1.45134,1
3,5,99,-3.91643,-2.86628,-1000,-3.861,-2.86628,1
3,4,99,-3.23398,0.603605,-1000,-3.861,0.603605,1
3,2,99,-1.13532,-1.06776,-1000,-3.861,-1.06776,1
3,1,99,-1.29868,-1.13807,-1000,-3.861,-1.13807,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
