Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.80536,-0.927492,-1000,-3.861,-0.927492,1
1,19,99,-3.43646,-0.81332,-1000,-3.861,-0.81332,1
1,18,99,-3.79119,-1.28495,-1000,-3.861,-1.28495,1
1,17,99,-2.77969,-0.981106,-1000,-3.861,-0.981106,1
1,15,99,-3.33559,0.460496,-1000,-3.861,0.460496,1
1,13,99,-0.0421147,-0.492988,-1000,-3.861,-0.0421147,0
1,12,99,-2.36264,-0.784834,-1000,-3.861,-0.784834,1
1,10,99,0.0639444,-0.49356,-1000,-3.861,0.0639444,0
1,9,99,-0.80398,-0.200535,-1000,-3.861,-0.200535,1
1,7,99,-0.350654,0.125787,-1000,-3.861,0.125787,1
1,4,99,-0.161976,-0.289136,-1000,-3.861,-0.161976,0
1,3,99,-0.12845,-0.0414237,-1000,-3.861,-0.0414237,1
1,2,99,-0.59147,-1.31741,-1000,-3.861,-0.59147,0
1,1,99,0.605813,0.818426,-1000,-3.861,0.818426,1
2,20,99,-2.62029,-2.0365,-1000,-3.861,-2.0365,1
2,18,99,-2.7991,-2.42689,-1000,-3.861,-2.42689,1
2,17,99,-2.89906,-1.98531,-1000,-3.861,-1.98531,1
2,16,99,-2.58091,-2.23784,-1000,-3.861,-2.23784,1
2,15,99,-2.84023,-2.86958,-1000,-3.861,-2.84023,0
2,13,99,-2.53867,-0.706642,-1000,-3.861,-0.706642,1
2,10,99,-1.69167,-1.37893,-1000,-3.861,-1.37893,1
2,8,99,0.911007,-1.02429,-1000,-3.861,0.911007,0
2,7,99,0.108136,-0.77298,-1000,-3.861,0.108136,0
2,4,99,-2.12232,-0.399763,-1000,-3.861,-0.399763,1
2,3,99,-1.02651,-0.228406,-1000,-3.861,-0.228406,1
2,2,99,-2.15025,-1.65419,-1000,-3.861,-1.65419,1
2,1,99,0.594625,-0.8266,-1000,-3.861,0.594625,0
3,20,99,-3.34921,-3.73654,-1000,-3.861,-3.34921,0
3,16,99,-3.33085,-3.56613,-1000,-3.861,-3.33085,0
3,15,99,-3.63757,-4.24179,-1000,-3.861,-3.63757,0
3,13,99,-3.89195,-2.87393,-1000,-3.861,-2.87393,1
3,11,99,-3.76229,-1.40212,-1000,-3.861,-1.40212,1
3,10,99,-3.92842,-2.63764,-1000,-3.861,-2.63764,1
3,9,99,-3.56569,-1.71057,-1000,-3.861,-1.71057,1
3,8,99,-3.48317,-2.10266,-1000,-3.861,-2.10266,1
3,5,99,-3.79158,-1.05871,-1000,-3.861,-1.05871,1
3,4,99,-2.37176,-1.36054,-1000,-3.861,-1.36054,1
3,2,99,-2.50109,-2.28862,-1000,-3.861,-2.28862,1
3,1,99,-2.06462,-1.98202,-1000,-3.861,-1.98202,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-2.33953,-0.805732,-1000,-3.60207,-0.805732,1
1,19,98,-2.03413,-0.716564,-1000,-3.60207,-0.716564,1
1,18,98,-1.10993,-1.19475,-1000,-3.60207,-1.10993,0
1,17,98,-1.27143,-0.874,-1000,-3.60207,-0.874,1
1,15,98,-1.53459,0.927662,-1000,-3.60207,0.927662,1
1,13,98,0.0460216,-0.399193,-1000,-3.60207,0.0460216,0
1,12,98,-0.526277,-0.682532,-1000,-3.60207,-0.526277,0
1,10,98,0.108635,-0.342059,-1000,-3.60207,0.108635,0
1,9,98,-0.306452,-0.14724,-1000,-3.60207,-0.14724,1
1,7,98,-0.272813,0.213574,-1000,-3.60207,0.213574,1
1,4,98,-0.0569274,-0.177329,-1000,-3.60207,-0.0569274,0
1,3,98,-0.0283089,0.0578219,-1000,-3.60207,0.0578219,1
1,2,98,-0.463128,-1.14373,-1000,-3.60207,-0.463128,0
1,1,98,0.711529,0.910932,-1000,-3.60207,0.910932,1
2,20,98,-2.55022,-1.98369,-1000,-3.60207,-1.98369,1
2,18,98,-2.69134,-2.35572,-1000,-3.60207,-2.35572,1
2,17,98,-2.82923,-1.92097,-1000,-3.60207,-1.92097,1
2,16,98,-2.51541,-2.18721,-1000,-3.60207,-2.18721,1
2,15,98,-2.6713,-2.68632,-1000,-3.60207,-2.6713,0
2,13,98,-2.19646,-0.65831,-1000,-3.60207,-0.65831,1
2,10,98,-1.33346,-0.996898,-1000,-3.60207,-0.996898,1
2,7,98,0.194386,-0.564488,-1000,-3.60207,0.194386,0
2,4,98,-1.64002,-0.286335,-1000,-3.60207,-0.286335,1
2,3,98,-0.941873,-0.128655,-1000,-3.60207,-0.128655,1
2,2,98,-2.07538,-1.4652,-1000,-3.60207,-1.4652,1
2,1,98,0.701285,-0.668487,-1000,-3.60207,0.701285,0
3,20,98,-3.28057,-3.59879,-1000,-3.60207,-3.28057,0
3,16,98,-3.25044,-3.40991,-1000,-3.60207,-3.25044,0
3,15,98,-3.44802,-4.12714,-1000,-3.60207,-3.44802,0
3,13,98,-2.83333,-2.75957,-1000,-3.60207,-2.75957,1
