Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.41201,-1.46552,-1000,-3.861,-1.46552,1
1,19,99,-3.22855,-0.090711,-1000,-3.861,-0.090711,1
1,18,99,-3.71225,-0.345882,-1000,-3.861,-0.345882,1
1,17,99,-2.50906,-0.688691,-1000,-3.861,-0.688691,1
1,15,99,-2.09569,-0.755479,-1000,-3.861,-0.755479,1
1,13,99,-0.946942,0.872847,-1000,-3.861,0.872847,1
1,12,99,-0.704438,0.395944,-1000,-3.861,0.395944,1
1,10,99,0.76564,0.577035,-1000,-3.861,0.76564,0
1,9,99,0.588223,0.837253,-1000,-3.861,0.837253,1
1,7,99,0.565185,0.678123,-1000,-3.861,0.678123,1
1,4,99,0.795477,0.801579,-1000,-3.861,0.801579,1
1,3,99,0.255929,0.255929,-1000,-3.861,0.255929,0
1,2,99,0.375252,0.207021,-1000,-3.861,0.375252,0
1,1,99,0.879719,0.887065,-1000,-3.861,0.887065,1
2,20,99,-2.75038,-2.19329,-1000,-3.861,-2.19329,1
2,18,99,-2.9606,-3.13917,-1000,-3.861,-2.9606,0
2,17,99,-3.09394,-2.73553,-1000,-3.861,-2.73553,1
2,16,99,-1.98668,-1.45656,-1000,-3.861,-1.45656,1
2,15,99,-2.66045,-1.99,-1000,-3.861,-1.99,1
2,13,99,-1.23469,0.759823,-1000,-3.861,0.759823,1
2,10,99,-0.290289,-0.288664,-1000,-3.861,-0.288664,1
2,8,99,-0.138615,-0.477396,-1000,-3.861,-0.138615,0
2,7,99,0.554371,-0.613279,-1000,-3.861,0.554371,0
2,4,99,-0.25872,0.80768,-1000,-3.861,0.80768,1
2,3,99,-1.60278,0.255929,-1000,-3.861,0.255929,1
2,2,99,-0.738818,0.207021,-1000,-3.861,0.207021,1
2,1,99,0.767433,-0.125531,-1000,-3.861,0.767433,0
3,20,99,-3.30702,-3.51854,-1000,-3.861,-3.30702,0
3,16,99,-3.35396,-2.94637,-1000,-3.861,-2.94637,1
3,15,99,-3.13675,-4.05681,-1000,-3.861,-3.13675,0
3,13,99,-3.83094,-3.32495,-1000,-3.861,-3.32495,1
3,11,99,-3.87685,-2.24753,-1000,-3.861,-2.24753,1
3,10,99,-3.99758,-2.70641,-1000,-3.861,-2.70641,1
3,9,99,-3.76134,-0.182394,-1000,-3.861,-0.182394,1
3,8,99,-4.17663,-2.9591,-1000,-3.861,-2.9591,1
3,5,99,-3.33869,-0.365891,-1000,-3.861,-0.365891,1
3,4,99,-3.40023,0.132492,-1000,-3.861,0.132492,1
3,2,99,-1.99117,-0.454608,-1000,-3.861,-0.454608,1
3,1,99,-2.00937,-0.765762,-1000,-3.861,-0.765762,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
