Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-4.13293,-0.480675,-1000,-3.861,-0.480675,1
1,19,99,-3.15048,-0.0400308,-1000,-3.861,-0.0400308,1
1,18,99,-3.54403,1.3719,-1000,-3.861,1.3719,1
1,17,99,-2.4707,0.927128,-1000,-3.861,0.927128,1
1,15,99,-3.2326,-0.078046,-1000,-3.861,-0.078046,1
1,13,99,-1.95554,-0.667111,-1000,-3.861,-0.667111,1
1,12,99,-1.20785,0.483843,-1000,-3.861,0.483843,1
1,10,99,0.869304,1.90155,-1000,-3.861,1.90155,1
1,9,99,0.715716,1.32428,-1000,-3.861,1.32428,1
1,7,99,1.64349,1.6778,-1000,-3.861,1.6778,1
1,4,99,1.52259,1.57262,-1000,-3.861,1.57262,1
1,3,99,1.81863,1.81863,-1000,-3.861,1.81863,0
1,2,99,1.87073,1.93045,-1000,-3.861,1.93045,1
1,1,99,1.77417,1.79772,-1000,-3.861,1.79772,1
2,20,99,-2.83825,-1.20898,-1000,-3.861,-1.20898,1
2,18,99,-3.20048,-1.43036,-1000,-3.861,-1.43036,1
2,17,99,-2.5749,-0.599153,-1000,-3.861,-0.599153,1
2,16,99,-2.80209,-1.75616,-1000,-3.861,-1.75616,1
2,15,99,-1.6003,-2.3663,-1000,-3.861,-1.6003,0
2,13,99,-1.59187,-0.884926,-1000,-3.861,-0.884926,1
2,10,99,-0.596704,-1.29741,-1000,-3.861,-0.596704,0
2,8,99,0.76469,-0.0643794,-1000,-3.861,0.76469,0
2,7,99,1.59127,0.387164,-1000,-3.861,1.59127,0
2,4,99,1.37199,1.47256,-1000,-3.861,1.47256,1
2,3,99,0.748987,1.81863,-1000,-3.861,1.81863,1
2,2,99,1.85938,-0.291189,-1000,-3.861,1.85938,0
2,1,99,1.72451,0.966551,-1000,-3.861,1.72451,0
3,20,99,-3.52069,-4.19162,-1000,-3.861,-3.52069,0
3,16,99,-3.32815,-3.83262,-1000,-3.861,-3.32815,0
3,15,99,-3.59155,-3.98686,-1000,-3.861,-3.59155,0
3,13,99,-3.87214,-3.03847,-1000,-3.861,-3.03847,1
3,11,99,-3.64159,1.3939,-1000,-3.861,1.3939,1
3,10,99,-3.82015,-1.45696,-1000,-3.861,-1.45696,1
3,9,99,-4.07833,-2.08289,-1000,-3.861,-2.08289,1
3,8,99,-3.73048,-1.60943,-1000,-3.861,-1.60943,1
3,5,99,-3.98219,1.93162,-1000,-3.861,1.93162,1
3,4,99,-3.95447,1.01951,-1000,-3.861,1.01951,1
3,2,99,-2.07564,-1.38309,-1000,-3.861,-1.38309,1
3,1,99,-0.350661,-0.151569,-1000,-3.861,-0.151569,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-0.559035,-0.415821,-1000,-3.60207,-0.415821,1
1,19,98,-0.885857,0.0256765,-1000,-3.60207,0.0256765,1
1,18,98,-0.912418,1.28302,-1000,-3.60207,1.28302,1
1,17,98,-0.667546,1.03184,-1000,-3.60207,1.03184,1
1,15,98,-1.41821,0.0481324,-1000,-3.60207,0.0481324,1
1,13,98,-0.888731,-0.40979,-1000,-3.60207,-0.40979,1
1,12,98,0.163701,0.527408,-1000,-3.60207,0.527408,1
1,10,98,0.888784,1.92802,-1000,-3.60207,1.92802,1
1,9,98,0.742832,1.35312,-1000,-3.60207,1.35312,1
1,7,98,1.69187,1.72047,-1000,-3.60207,1.72047,1
1,4,98,1.66412,1.71628,-1000,-3.60207,1.71628,1
1,3,98,1.86146,1.86146,-1000,-3.60207,1.86146,0
1,2,98,1.92626,1.98208,-1000,-3.60207,1.98208,1
1,1,98,1.84799,1.84508,-1000,-3.60207,1.84799,0
2,20,98,-2.74244,-1.13254,-1000,-3.60207,-1.13254,1
2,18,98,-3.12482,-1.38045,-1000,-3.60207,-1.38045,1
2,17,98,-2.56846,-0.560895,-1000,-3.60207,-0.560895,1
2,16,98,-2.74924,-1.74071,-1000,-3.60207,-1.74071,1
2,15,98,-1.47812,-2.26107,-1000,-3.60207,-1.47812,0
2,13,98,-1.06598,-0.469589,-1000,-3.60207,-0.469589,1
2,10,98,-0.508056,-1.31582,-1000,-3.60207,-0.508056,0
2,7,98,1.63814,0.647101,-1000,-3.60207,1.63814,0
2,4,98,1.61196,1.47718,-1000,-3.60207,1.61196,0
2,3,98,0.832308,1.86146,-1000,-3.60207,1.86146,1
2,2,98,1.90322,-0.188032,-1000,-3.60207,1.90322,0
2,1,98,1.77659,1.05973,-1000,-3.60207,1.77659,0
3,20,98,-3.39059,-4.00529,-1000,-3.60207,-3.39059,0
3,16,98,-3.28955,-3.67607,-1000,-3.60207,-3.28955,0
3,15,98,-3.38287,-3.86203,-1000,-3.60207,-3.38287,0
3,13,98,-2.02958,-2.90439,-1000,-3.60207,-2.02958,0
3,11,98,-2.64758,1.48472,-1000,-3.60207,1.48472,1
3,10,98,-2.7826,-1.30616,-1000,-3.60207,-1.30616,1
3,9,98,-1.37191,-1.89803,-1000,-3.60207,-1.37191,0
3,8,98,-3.50951,-1.58269,-1000,-3.60207,-1.58269,1
3,5,98,-2.48725,1.96352,-1000,-3.60207,1.96352,1
3,4,98,-2.86402,1.03144,-1000,-3.60207,1.03144,1
3,2,98,-1.90258,-1.22873,-1000,-3.60207,-1.22873,1
3,1,98,-0.226539,-0.0127997,-1000,-3.60207,-0.0127997,1
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
