Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-1.66996,-0.985604,-1000,-3.861,-0.985604,1
1,19,99,-2.28139,-1.14167,-1000,-3.861,-1.14167,1
1,18,99,-3.80315,-1.17383,-1000,-3.861,-1.17383,1
1,17,99,-3.1042,2.23986,-1000,-3.861,2.23986,1
1,15,99,0.602528,0.758345,-1000,-3.861,0.758345,1
1,13,99,0.330625,0.519787,-1000,-3.861,0.519787,1
1,12,99,0.934231,2.30519,-1000,-3.861,2.30519,1
1,10,99,-2.04703,1.87593,-1000,-3.861,1.87593,1
1,9,99,1.49824,1.5544,-1000,-3.861,1.5544,1
1,7,99,1.15054,1.55082,-1000,-3.861,1.55082,1
1,4,99,1.96657,1.84493,-1000,-3.861,1.96657,0
1,3,99,1.84732,2.07064,-1000,-3.861,2.07064,1
1,2,99,2.10995,2.10995,-1000,-3.861,2.10995,0
1,1,99,2.355,2.25181,-1000,-3.861,2.355,0
2,20,99,-2.72479,-1.3405,-1000,-3.861,-1.3405,1
2,18,99,-2.56829,-2.07762,-1000,-3.861,-2.07762,1
2,17,99,-1.45198,-2.34813,-1000,-3.861,-1.45198,0
2,16,99,-1.40563,-2.35783,-1000,-3.861,-1.40563,0
2,15,99,-1.41438,-2.20573,-1000,-3.861,-1.41438,0
2,13,99,0.712514,-1.72039,-1000,-3.861,0.712514,0
2,10,99,-2.06127,-4.24576,-1000,-3.861,-2.06127,0
2,8,99,-1.05327,-2.21287,-1000,-3.861,-1.05327,0
2,7,99,1.15054,0.874369,-1000,-3.861,1.15054,0
2,4,99,0.054433,1.84493,-1000,-3.861,1.84493,1
2,3,99,1.84732,1.36087,-1000,-3.861,1.84732,0
2,2,99,2.10995,1.03731,-1000,-3.861,2.10995,0
2,1,99,2.33046,2.07642,-1000,-3.861,2.33046,0
3,20,99,-3.41356,-3.36142,-1000,-3.861,-3.36142,1
3,16,99,-3.43012,-3.65511,-1000,-3.861,-3.43012,0
3,15,99,-3.55762,-3.88268,-1000,-3.861,-3.55762,0
3,13,99,-3.44898,-3.43969,-1000,-3.861,-3.43969,1
3,11,99,-3.85251,-1.93852,-1000,-3.861,-1.93852,1
3,10,99,-3.83869,-3.92291,-1000,-3.861,-3.83869,0
3,9,99,-3.84496,1.33004,-1000,-3.861,1.33004,1
3,8,99,-4.09972,-3.37684,-1000,-3.861,-3.37684,1
3,5,99,-2.48858,-1.46265,-1000,-3.861,-1.46265,1
3,4,99,-3.68688,-0.195882,-1000,-3.861,-0.195882,1
3,2,99,-0.378636,-1.34718,-1000,-3.861,-0.378636,0
3,1,99,1.92393,-3.31185,-1000,-3.861,1.92393,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.43456,-0.742069,-1000,-3.60207,-0.742069,1
1,19,98,-0.460799,-1.04489,-1000,-3.60207,-0.460799,0
1,18,98,-1.97455,-1.1295,-1000,-3.60207,-1.1295,1
1,17,98,-0.475799,2.47582,-1000,-3.60207,2.47582,1
1,15,98,0.835888,0.794152,-1000,-3.60207,0.835888,0
1,13,98,1.23951,0.557272,-1000,-3.60207,1.23951,0
1,12,98,1.84428,2.4678,-1000,-3.60207,2.4678,1
1,10,98,-1.80604,2.01857,-1000,-3.60207,2.01857,1
1,9,98,1.5074,1.66372,-1000,-3.60207,1.66372,1
1,7,98,1.3667,1.69276,-1000,-3.60207,1.69276,1
1,4,98,1.9786,1.85622,-1000,-3.60207,1.9786,0
1,3,98,1.90842,2.13094,-1000,-3.60207,2.13094,1
1,2,98,2.14167,2.14167,-1000,-3.60207,2.14167,0
1,1,98,2.40316,2.31519,-1000,-3.60207,2.40316,0
2,20,98,-2.6396,-1.31271,-1000,-3.60207,-1.31271,1
2,18,98,-2.55695,-2.03963,-1000,-3.60207,-2.03963,1
2,17,98,-1.42922,-2.30361,-1000,-3.60207,-1.42922,0
2,16,98,-1.365,-2.3024,-1000,-3.60207,-1.365,0
2,15,98,-1.2865,-2.14001,-1000,-3.60207,-1.2865,0
2,13,98,0.681588,-1.5805,-1000,-3.60207,0.681588,0
2,10,98,-0.92575,-3.00468,-1000,-3.60207,-0.92575,0
2,7,98,1.3667,0.949389,-1000,-3.60207,1.3667,0
2,4,98,0.1241,1.85622,-1000,-3.60207,1.85622,1
2,3,98,1.90842,1.37401,-1000,-3.60207,1.90842,0
2,2,98,2.14167,1.14597,-1000,-3.60207,2.14167,0
2,1,98,2.38692,2.16515,-1000,-3.60207,2.38692,0
3,20,98,-3.26026,-3.22856,-1000,-3.60207,-3.22856,1
3,16,98,-3.25948,-3.61104,-1000,-3.60207,-3.25948,0
3,15,98,-3.37471,-3.77355,-1000,-3.60207,-3.37471,0
3,13,98,-3.37167,-3.35195,-1000,-3.60207,-3.35195,1
3,11,98,-2.81539,-1.83495,-1000,-3.60207,-1.83495,1
3,10,98,-1.97612,-3.84771,-1000,-3.60207,-1.97612,0
3,9,98,-1.92504,1.3366,-1000,-3.60207,1.3366,1
3,8,98,-2.16124,-3.31619,-1000,-3.60207,-2.16124,0
3,5,98,-2.35801,-1.25489,-1000,-3.60207,-1.25489,1
3,4,98,-3.57779,-0.0474352,-1000,-3.60207,-0.0474352,1
3,2,98,-0.226911,-0.975673,-1000,-3.60207,-0.226911,0
3,1,98,1.95504,-3.16281,-1000,-3.60207,1.95504,0
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,0.405468,-0.622686,-1000,-3.42571,0.405468,0
1,19,97,-0.310579,-0.751557,-1000,-3.42571,-0.310579,0
1,18,97,-1.07857,-1.07487,-1000,-3.42571,-1.07487,1
1,17,97,-0.488267,2.61376,-1000,-3.42571,2.61376,1
1,15,97,0.830639,0.836909,-1000,-3.42571,0.836909,1
1,13,97,1.35883,0.807173,-1000,-3.42571,1.35883,0
1,12,97,1.87176,2.54639,-1000,-3.42571,2.54639,1
1,7,97,1.36486,1.68877,-1000,-3.42571,1.68877,1
1,4,97,2.03358,1.93122,-1000,-3.42571,2.03358,0
1,3,97,2.02373,2.22382,-1000,-3.42571,2.22382,1
1,2,97,2.19576,2.19576,-1000,-3.42571,2.19576,0
1,10,97,-0.842543,1.90027,-1000,-3.42571,1.90027,1
1,1,97,2.38719,2.32501,-1000,-3.42571,2.38719,0
2,20,97,-2.44742,-1.2638,-1000,-3.42571,-1.2638,1
2,18,97,-2.55978,-1.99673,-1000,-3.42571,-1.99673,1
2,17,97,-1.37771,-2.22697,-1000,-3.42571,-1.37771,0
