Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-0.377043,1.43112,-1000,-3.861,1.43112,1
1,19,99,-2.81352,0.185992,-1000,-3.861,0.185992,1
1,18,99,-3.59035,-0.0671339,-1000,-3.861,-0.0671339,1
1,17,99,-3.77873,-2.05999,-1000,-3.861,-2.05999,1
1,15,99,2.43438,-1.66629,-1000,-3.861,2.43438,0
1,13,99,0.94077,0.852131,-1000,-3.861,0.94077,0
1,12,99,-1.30725,2.45216,-1000,-3.861,2.45216,1
1,10,99,3.02078,3.35839,-1000,-3.861,3.35839,1
1,9,99,3.35627,3.51586,-1000,-3.861,3.51586,1
1,7,99,3.10711,3.19056,-1000,-3.861,3.19056,1
1,4,99,2.90148,2.90148,-1000,-3.861,2.90148,0
1,3,99,2.81719,2.96843,-1000,-3.861,2.96843,1
1,2,99,2.83048,2.83048,-1000,-3.861,2.83048,0
1,1,99,3.46704,3.51683,-1000,-3.861,3.51683,1
2,20,99,-1.69102,-1.33276,-1000,-3.861,-1.33276,1
2,18,99,-2.79577,-1.01229,-1000,-3.861,-1.01229,1
2,17,99,-0.188292,-0.129042,-1000,-3.861,-0.129042,1
2,16,99,-1.17881,-2.38586,-1000,-3.861,-1.17881,0
2,15,99,-2.36635,-1.15346,-1000,-3.861,-1.15346,1
2,13,99,-0.623903,-0.0962623,-1000,-3.861,-0.0962623,1
2,10,99,1.28694,2.14254,-1000,-3.861,2.14254,1
2,8,99,1.60053,2.13105,-1000,-3.861,2.13105,1
2,7,99,2.59994,3.19056,-1000,-3.861,3.19056,1
2,4,99,1.06378,2.90148,-1000,-3.861,2.90148,1
2,3,99,2.53118,2.81719,-1000,-3.861,2.81719,1
2,2,99,2.83048,2.54947,-1000,-3.861,2.83048,0
2,1,99,3.46589,2.00721,-1000,-3.861,3.46589,0
3,20,99,-3.51177,-3.05442,-1000,-3.861,-3.05442,1
3,16,99,-3.58216,-3.19355,-1000,-3.861,-3.19355,1
3,15,99,-3.47919,-3.8951,-1000,-3.861,-3.47919,0
3,13,99,-3.3818,-4.14416,-1000,-3.861,-3.3818,0
3,11,99,-3.48115,-1.26266,-1000,-3.861,-1.26266,1
3,10,99,-3.7256,-1.22609,-1000,-3.861,-1.22609,1
3,9,99,-3.7256,2.34054,-1000,-3.861,2.34054,1
3,8,99,-4.21909,-0.396529,-1000,-3.861,-0.396529,1
3,5,99,-4.0148,0.699705,-1000,-3.861,0.699705,1
3,4,99,-3.98036,-0.766254,-1000,-3.861,-0.766254,1
3,2,99,0.538584,0.687456,-1000,-3.861,0.687456,1
3,1,99,2.00721,-0.809657,-1000,-3.861,2.00721,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-0.387561,1.50072,-1000,-3.60207,1.50072,1
1,19,98,-0.133218,0.0227184,-1000,-3.60207,0.0227184,1
1,18,98,-1.80371,-0.12257,-1000,-3.60207,-0.12257,1
1,17,98,-2.74955,-1.87446,-1000,-3.60207,-1.87446,1
1,15,98,2.77697,-1.56888,-1000,-3.60207,2.77697,0
1,13,98,0.969889,0.957986,-1000,-3.60207,0.969889,0
1,12,98,0.645234,2.84338,-1000,-3.60207,2.84338,1
1,10,98,3.01941,3.45855,-1000,-3.60207,3.45855,1
1,9,98,3.37663,3.55826,-1000,-3.60207,3.55826,1
1,7,98,3.07952,3.15312,-1000,-3.60207,3.15312,1
1,4,98,2.98568,2.98568,-1000,-3.60207,2.98568,0
1,3,98,2.87057,2.99288,-1000,-3.60207,2.99288,1
1,2,98,2.9177,2.9177,-1000,-3.60207,2.9177,0
1,1,98,3.54715,3.59574,-1000,-3.60207,3.59574,1
2,20,98,-1.71762,-1.32878,-1000,-3.60207,-1.32878,1
2,18,98,-2.80931,-1.06677,-1000,-3.60207,-1.06677,1
2,17,98,-0.120517,-0.132616,-1000,-3.60207,-0.120517,0
2,16,98,-1.06243,-2.18054,-1000,-3.60207,-1.06243,0
2,15,98,-2.20745,-1.03133,-1000,-3.60207,-1.03133,1
2,13,98,-0.541013,-0.0488698,-1000,-3.60207,-0.0488698,1
2,10,98,1.31538,2.14432,-1000,-3.60207,2.14432,1
2,7,98,2.67489,3.15312,-1000,-3.60207,3.15312,1
2,4,98,1.13337,2.98568,-1000,-3.60207,2.98568,1
2,3,98,2.55293,2.87057,-1000,-3.60207,2.87057,1
2,2,98,2.9177,2.61444,-1000,-3.60207,2.9177,0
2,1,98,3.54677,2.16285,-1000,-3.60207,3.54677,0
3,20,98,-3.29158,-3.0611,-1000,-3.60207,-3.0611,1
3,16,98,-3.49052,-3.07114,-1000,-3.60207,-3.07114,1
3,15,98,-3.30886,-3.84241,-1000,-3.60207,-3.30886,0
3,13,98,-3.25975,-4.01309,-1000,-3.60207,-3.25975,0
3,11,98,-3.35766,-1.13535,-1000,-3.60207,-1.13535,1
3,10,98,-2.64546,-1.18152,-1000,-3.60207,-1.18152,1
3,9,98,-2.64546,2.42252,-1000,-3.60207,2.42252,1
3,8,98,-1.44083,-0.40746,-1000,-3.60207,-0.40746,1
3,5,98,-2.08251,0.860455,-1000,-3.60207,0.860455,1
3,4,98,-2.88166,-0.627516,-1000,-3.60207,-0.627516,1
