Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.67372,-1.39165,-1000,-3.861,-1.39165,1
1,19,99,-4.07944,-0.205767,-1000,-3.861,-0.205767,1
1,18,99,-4.20258,0.540569,-1000,-3.861,0.540569,1
1,17,99,-3.38946,-0.0822556,-1000,-3.861,-0.0822556,1
1,15,99,-2.91257,-0.150622,-1000,-3.861,-0.150622,1
1,13,99,-0.085825,0.413879,-1000,-3.861,0.413879,1
1,12,99,-0.450901,0.435067,-1000,-3.861,0.435067,1
1,10,99,-1.1399,-0.223641,-1000,-3.861,-0.223641,1
1,9,99,-1.85226,-0.520903,-1000,-3.861,-0.520903,1
1,7,99,0.113281,0.010496,-1000,-3.861,0.113281,0
1,4,99,0.47785,0.577638,-1000,-3.861,0.577638,1
1,3,99,-0.298903,-0.298903,-1000,-3.861,-0.298903,0
1,2,99,0.451887,0.440086,-1000,-3.861,0.451887,0
1,1,99,0.382811,0.394438,-1000,-3.861,0.394438,1
2,20,99,-2.92802,-1.88583,-1000,-3.861,-1.88583,1
2,18,99,-2.37958,-1.92106,-1000,-3.861,-1.92106,1
2,17,99,-1.97749,-1.93589,-1000,-3.861,-1.93589,1
2,16,99,-2.46178,-2.08712,-1000,-3.861,-2.08712,1
2,15,99,-2.25574,-1.11183,-1000,-3.861,-1.11183,1
2,13,99,-0.745745,-1.75629,-1000,-3.861,-0.745745,0
2,10,99,-1.26808,-0.734126,-1000,-3.861,-0.734126,1
2,8,99,0.0374536,-0.48559,-1000,-3.861,0.0374536,0
2,7,99,-0.150185,-1.41916,-1000,-3.861,-0.150185,0
2,4,99,-0.803436,0.450444,-1000,-3.861,0.450444,1
2,3,99,-1.03392,-0.298903,-1000,-3.861,-0.298903,1
2,2,99,0.440086,-1.37653,-1000,-3.861,0.440086,0
2,1,99,0.382811,-1.08571,-1000,-3.861,0.382811,0
3,20,99,-3.35606,-3.62514,-1000,-3.861,-3.35606,0
3,16,99,-3.44015,-3.4666,-1000,-3.861,-3.44015,0
3,15,99,-3.40047,-3.74182,-1000,-3.861,-3.40047,0
3,13,99,-3.81979,0.115262,-1000,-3.861,0.115262,1
3,11,99,-3.84984,-1.46385,-1000,-3.861,-1.46385,1
3,10,99,-3.7933,-1.78882,-1000,-3.861,-1.78882,1
3,9,99,-3.86616,-1.43587,-1000,-3.861,-1.43587,1
3,8,99,-2.57409,-0.99262,-1000,-3.861,-0.99262,1
3,5,99,-2.88242,-0.924099,-1000,-3.861,-0.924099,1
3,4,99,-3.90487,0.283235,-1000,-3.861,0.283235,1
3,2,99,-2.11587,-2.53205,-1000,-3.861,-2.11587,0
3,1,99,-1.72251,-2.10319,-1000,-3.861,-1.72251,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
