Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-2.12082,0.394492,-1000,-3.861,0.394492,1
1,19,99,-2.46693,1.63853,-1000,-3.861,1.63853,1
1,18,99,-3.18363,0.466145,-1000,-3.861,0.466145,1
1,17,99,-1.60367,-0.0527421,-1000,-3.861,-0.0527421,1
1,15,99,-0.297793,1.26806,-1000,-3.861,1.26806,1
1,13,99,-1.19907,-0.941893,-1000,-3.861,-0.941893,1
1,12,99,0.455721,1.78794,-1000,-3.861,1.78794,1
1,10,99,1.18121,1.19748,-1000,-3.861,1.19748,1
1,9,99,1.7901,1.8221,-1000,-3.861,1.8221,1
1,7,99,1.85049,1.44841,-1000,-3.861,1.85049,0
1,4,99,1.63279,1.77369,-1000,-3.861,1.77369,1
1,3,99,1.86233,1.98027,-1000,-3.861,1.98027,1
1,2,99,1.66313,2.04797,-1000,-3.861,2.04797,1
1,1,99,1.1876,1.16558,-1000,-3.861,1.1876,0
2,20,99,-2.90992,-1.29528,-1000,-3.861,-1.29528,1
2,18,99,-3.12582,-1.81002,-1000,-3.861,-1.81002,1
2,17,99,-1.38828,-1.92538,-1000,-3.861,-1.38828,0
2,16,99,-1.3917,-2.18209,-1000,-3.861,-1.3917,0
2,15,99,-1.82084,-1.03582,-1000,-3.861,-1.03582,1
2,13,99,-0.320204,-0.512316,-1000,-3.861,-0.320204,0
2,10,99,0.0860913,-0.329036,-1000,-3.861,0.0860913,0
2,8,99,1.16323,0.274739,-1000,-3.861,1.16323,0
2,7,99,1.44841,0.765141,-1000,-3.861,1.44841,0
2,4,99,1.60725,1.63279,-1000,-3.861,1.63279,1
2,3,99,1.86233,1.26542,-1000,-3.861,1.86233,0
2,2,99,1.61353,1.38632,-1000,-3.861,1.61353,0
2,1,99,0.597632,0.957117,-1000,-3.861,0.957117,1
3,20,99,-3.50886,-3.51304,-1000,-3.861,-3.50886,0
3,16,99,-3.60837,-4.81113,-1000,-3.861,-3.60837,0
3,15,99,-3.42361,-3.92411,-1000,-3.861,-3.42361,0
3,13,99,-3.91693,-1.42055,-1000,-3.861,-1.42055,1
3,11,99,-3.86348,-3.75203,-1000,-3.861,-3.75203,1
3,10,99,-4.0255,-0.854949,-1000,-3.861,-0.854949,1
3,9,99,-3.89747,-0.214472,-1000,-3.861,-0.214472,1
3,8,99,-3.82911,-1.1039,-1000,-3.861,-1.1039,1
3,5,99,-3.07406,0.150561,-1000,-3.861,0.150561,1
3,4,99,-3.8933,1.51615,-1000,-3.861,1.51615,1
3,2,99,-1.50718,1.04144,-1000,-3.861,1.04144,1
3,1,99,-3.29535,0.741898,-1000,-3.861,0.741898,1
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,8,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,7,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,5,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,3,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,1,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
1,20,98,-1.96652,0.637171,-1000,-3.60207,0.637171,1
1,19,98,-0.225683,1.61971,-1000,-3.60207,1.61971,1
1,18,98,-0.518183,0.564746,-1000,-3.60207,0.564746,1
1,17,98,-0.244813,-0.0102772,-1000,-3.60207,-0.0102772,1
1,15,98,0.674845,1.37681,-1000,-3.60207,1.37681,1
1,13,98,-0.251311,-0.684898,-1000,-3.60207,-0.251311,0
1,12,98,1.39499,1.85143,-1000,-3.60207,1.85143,1
1,10,98,1.27919,1.47925,-1000,-3.60207,1.47925,1
1,9,98,1.85645,2.03236,-1000,-3.60207,2.03236,1
1,7,98,1.88719,1.49162,-1000,-3.60207,1.88719,0
1,4,98,1.74458,1.8809,-1000,-3.60207,1.8809,1
1,3,98,1.8644,1.98873,-1000,-3.60207,1.98873,1
1,2,98,1.69658,2.0859,-1000,-3.60207,2.0859,1
1,1,98,1.35756,1.35773,-1000,-3.60207,1.35773,1
2,20,98,-2.80339,-1.2249,-1000,-3.60207,-1.2249,1
2,18,98,-3.02605,-1.73416,-1000,-3.60207,-1.73416,1
2,17,98,-1.37359,-1.87503,-1000,-3.60207,-1.37359,0
2,16,98,-1.3067,-2.14344,-1000,-3.60207,-1.3067,0
2,15,98,-1.69067,-0.908941,-1000,-3.60207,-0.908941,1
2,13,98,-0.243824,-0.499065,-1000,-3.60207,-0.243824,0
2,10,98,0.603796,-0.238075,-1000,-3.60207,0.603796,0
2,7,98,1.49162,0.819885,-1000,-3.60207,1.49162,0
2,4,98,1.74458,1.62867,-1000,-3.60207,1.74458,0
2,3,98,1.8644,1.24916,-1000,-3.60207,1.8644,0
2,2,98,1.6479,1.42078,-1000,-3.60207,1.6479,0
2,1,98,0.660869,1.16328,-1000,-3.60207,1.16328,1
3,20,98,-3.34198,-3.4384,-1000,-3.60207,-3.34198,0
3,16,98,-3.47008,-4.53576,-1000,-3.60207,-3.47008,0
3,15,98,-3.27816,-3.85955,-1000,-3.60207,-3.27816,0
3,13,98,-2.44096,-1.34037,-1000,-3.60207,-1.34037,1
3,11,98,-2.78636,-3.59677,-1000,-3.60207,-2.78636,0
3,10,98,-2.10762,-0.687343,-1000,-3.60207,-0.687343,1
3,9,98,-2.41083,-0.112993,-1000,-3.60207,-0.112993,1
3,8,98,-2.78994,-1.08293,-1000,-3.60207,-1.08293,1
3,5,98,-2.94204,0.226893,-1000,-3.60207,0.226893,1
3,4,98,-2.86952,1.54401,-1000,-3.60207,1.54401,1
3,2,98,-1.30941,1.13533,-1000,-3.60207,1.13533,1
3,1,98,-3.03855,0.967204,-1000,-3.60207,0.967204,1
4,17,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,16,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,15,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,14,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,13,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,12,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,9,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,8,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,7,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,5,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,3,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
4,1,98,-6.4003,-6.4003,-1000,-3.60207,-3.60207,3
1,20,97,-1.5213,0.702664,-1000,-3.42571,0.702664,1
1,19,97,-0.0198653,1.689,-1000,-3.42571,1.689,1
1,18,97,-0.501584,0.609917,-1000,-3.42571,0.609917,1
1,17,97,0.244826,0.0386837,-1000,-3.42571,0.244826,0
1,15,97,0.732136,1.48237,-1000,-3.42571,1.48237,1
1,13,97,-0.226285,-0.57847,-1000,-3.42571,-0.226285,0
1,12,97,1.51019,1.94663,-1000,-3.42571,1.94663,1
1,7,97,1.94965,1.56421,-1000,-3.42571,1.94965,0
1,4,97,1.69498,1.82993,-1000,-3.42571,1.82993,1
1,3,97,1.81579,1.93866,-1000,-3.42571,1.93866,1
1,2,97,1.7658,2.11329,-1000,-3.42571,2.11329,1
1,10,97,1.79552,1.60802,-1000,-3.42571,1.79552,0
1,1,97,1.69042,1.72443,-1000,-3.42571,1.72443,1
2,20,97,-2.75342,-1.16258,-1000,-3.42571,-1.16258,1
2,18,97,-2.94441,-1.6582,-1000,-3.42571,-1.6582,1
2,17,97,-1.32342,-1.4008,-1000,-3.42571,-1.32342,0
2,16,97,-1.30453,-1.22276,-1000,-3.42571,-1.22276,1
2,15,97,-1.63252,-0.40317,-1000,-3.42571,-0.40317,1
2,13,97,-0.185446,-0.431704,-1000,-3.42571,-0.185446,0
2,12,97,-0.329729,1.38072,-1000,-3.42571,1.38072,1
2,10,97,0.761853,-0.177298,-1000,-3.42571,0.761853,0
2,6,99,0.695578,1.33058,-1000,-3.861,1.33058,1
1,14,97,-1.14364,0.784065,-1000,-3.42571,0.784065,1
2,8,97,1.25571,0.569459,-1000,-3.42571,1.25571,0
2,7,97,1.56421,0.981064,-1000,-3.42571,1.56421,0
1,14,99,-2.13145,0.477343,-1000,-3.861,0.477343,1
2,6,97,0.876843,1.33443,-1000,-3.42571,1.33443,1
2,4,97,1.69498,1.59958,-1000,-3.42571,1.69498,0
2,3,97,1.81579,1.55152,-1000,-3.42571,1.81579,0
2,2,97,1.7241,1.72094,-1000,-3.42571,1.7241,0
2,1,97,1.57775,1.22888,-1000,-3.42571,1.57775,0
3,20,97,-3.21822,-3.38708,-1000,-3.42571,-3.21822,0
3,16,97,-3.34416,-4.47655,-1000,-3.42571,-3.34416,0
3,15,97,-3.17566,-3.74705,-1000,-3.42571,-3.17566,0
3,13,97,-2.34295,-1.20694,-1000,-3.42571,-1.20694,1
3,11,97,-2.66155,-2.58707,-1000,-3.42571,-2.58707,1
3,10,97,-2.0219,-0.588184,-1000,-3.42571,-0.588184,1
3,9,97,-2.34739,-0.0343038,-1000,-3.42571,-0.0343038,1
3,8,97,-2.66811,-1.01303,-1000,-3.42571,-1.01303,1
3,5,97,-2.84006,0.412616,-1000,-3.42571,0.412616,1
3,4,97,-2.74271,1.51141,-1000,-3.42571,1.51141,1
3,2,97,-1.22458,1.14859,-1000,-3.42571,1.14859,1
3,1,97,-2.87219,1.0238,-1000,-3.42571,1.0238,1
4,17,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,16,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,15,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,13,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,12,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,9,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,8,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,7,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,5,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
4,1,97,-5.99677,-5.99677,-1000,-3.42571,-3.42571,3
1,20,96,-0.379739,0.694082,-1000,-3.54136,0.694082,1
1,19,96,-0.0232317,1.74636,-1000,-3.54136,1.74636,1
1,18,96,-0.0454624,0.63562,-1000,-3.54136,0.63562,1
1,17,96,0.660862,0.0532592,-1000,-3.54136,0.660862,0
1,15,96,0.727696,1.3551,-1000,-3.54136,1.3551,1
2,8,98,1.20626,0.295713,-1000,-3.60207,1.20626,0
2,6,98,0.757172,1.35988,-1000,-3.60207,1.35988,1
1,14,96,0.626899,0.792856,-1000,-3.54136,0.792856,1
1,13,96,0.259034,-0.429016,-1000,-3.54136,0.259034,0
1,12,96,1.58903,2.0007,-1000,-3.54136,2.0007,1
1,9,96,2.08492,2.14325,-1000,-3.54136,2.14325,1
1,7,96,2.0436,1.73977,-1000,-3.54136,2.0436,0
1,4,96,1.81784,1.93766,-1000,-3.54136,1.93766,1
1,3,96,2.02981,2.12843,-1000,-3.54136,2.12843,1
1,2,96,1.7927,2.10369,-1000,-3.54136,2.10369,1
1,10,96,2.03311,1.82183,-1000,-3.54136,2.03311,0
1,1,96,2.21038,2.32387,-1000,-3.54136,2.32387,1
2,20,96,-2.72243,-1.12848,-1000,-3.54136,-1.12848,1
2,18,96,-2.87855,-1.62165,-1000,-3.54136,-1.62165,1
2,17,96,-1.29503,-1.37875,-1000,-3.54136,-1.29503,0
2,16,96,-1.27052,-1.19952,-1000,-3.54136,-1.19952,1
2,15,96,-1.62314,-0.377183,-1000,-3.54136,-0.377183,1
2,13,96,-0.0921237,-0.42618,-1000,-3.54136,-0.0921237,0
2,12,96,-0.0721099,1.32319,-1000,-3.54136,1.32319,1
2,10,96,0.815443,-2.34249e-06,-1000,-3.54136,0.815443,0
2,7,96,1.73977,1.01481,-1000,-3.54136,1.73977,0
1,14,98,-1.20323,0.653223,-1000,-3.60207,0.653223,1
2,8,96,1.3161,0.606338,-1000,-3.54136,1.3161,0
2,6,96,1.38576,1.46828,-1000,-3.54136,1.46828,1
2,4,96,1.81784,1.6217,-1000,-3.54136,1.81784,0
2,3,96,2.02981,1.50319,-1000,-3.54136,2.02981,0
2,2,96,1.76256,1.74089,-1000,-3.54136,1.76256,0
2,1,96,2.24696,1.40704,-1000,-3.54136,2.24696,0
3,20,96,-3.21443,-3.31618,-1000,-3.54136,-3.21443,0
3,16,96,-3.32536,-4.55476,-1000,-3.54136,-3.32536,0
3,13,96,-2.38599,-1.18306,-1000,-3.54136,-1.18306,1
3,11,96,-2.67999,-2.62618,-1000,-3.54136,-2.62618,1
