Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.30366,-1.05856,-1000,-3.861,-1.05856,1
1,19,99,-4.02781,0.247481,-1000,-3.861,0.247481,1
1,18,99,-4.24694,-1.75483,-1000,-3.861,-1.75483,1
1,17,99,-2.20829,-1.21395,-1000,-3.861,-1.21395,1
1,15,99,-2.66288,-1.89616,-1000,-3.861,-1.89616,1
1,13,99,-0.74495,0.263784,-1000,-3.861,0.263784,1
1,12,99,-1.05492,0.19654,-1000,-3.861,0.19654,1
1,10,99,0.436162,0.210994,-1000,-3.861,0.436162,0
1,9,99,-0.405057,-0.167351,-1000,-3.861,-0.167351,1
1,7,99,0.714921,0.721934,-1000,-3.861,0.721934,1
1,4,99,0.324124,0.172855,-1000,-3.861,0.324124,0
1,3,99,0.500003,0.547158,-1000,-3.861,0.547158,1
1,2,99,0.856237,0.793401,-1000,-3.861,0.856237,0
1,1,99,0.979513,1.01544,-1000,-3.861,1.01544,1
2,20,99,-2.74903,-1.24886,-1000,-3.861,-1.24886,1
2,18,99,-2.93902,-2.34916,-1000,-3.861,-2.34916,1
2,17,99,-2.93588,-2.47762,-1000,-3.861,-2.47762,1
2,16,99,-2.93548,-2.08298,-1000,-3.861,-2.08298,1
2,15,99,-2.66895,-2.78956,-1000,-3.861,-2.66895,0
2,13,99,-1.64435,-0.763959,-1000,-3.861,-0.763959,1
2,10,99,-0.242313,-0.149294,-1000,-3.861,-0.149294,1
2,8,99,1.07664,-0.937171,-1000,-3.861,1.07664,0
2,7,99,-0.824364,0.762249,-1000,-3.861,0.762249,1
2,4,99,-0.0502691,-0.657695,-1000,-3.861,-0.0502691,0
2,3,99,0.500003,0.438831,-1000,-3.861,0.500003,0
2,2,99,0.461679,0.793401,-1000,-3.861,0.793401,1
2,1,99,0.979513,0.775352,-1000,-3.861,0.979513,0
3,20,99,-3.27326,-3.43183,-1000,-3.861,-3.27326,0
3,16,99,-3.30165,-3.98657,-1000,-3.861,-3.30165,0
3,15,99,-3.45136,-3.87639,-1000,-3.861,-3.45136,0
