Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-0.823046,-0.432701,-1000,-3.861,-0.432701,1
1,19,99,-0.304387,0.536562,-1000,-3.861,0.536562,1
1,18,99,-0.456658,0.240947,-1000,-3.861,0.240947,1
1,17,99,-2.29982,-2.46028,-1000,-3.861,-2.29982,0
1,15,99,1.47915,-0.480314,-1000,-3.861,1.47915,0
1,13,99,1.02534,-0.397704,-1000,-3.861,1.02534,0
1,12,99,-1.92414,1.45511,-1000,-3.861,1.45511,1
1,10,99,0.719391,2.08656,-1000,-3.861,2.08656,1
1,9,99,-2.15169,2.00271,-1000,-3.861,2.00271,1
1,7,99,0.874478,0.874478,-1000,-3.861,0.874478,0
1,4,99,1.98638,1.98638,-1000,-3.861,1.98638,0
1,3,99,2.38065,2.38065,-1000,-3.861,2.38065,0
1,2,99,2.47811,2.3836,-1000,-3.861,2.47811,0
1,1,99,2.23091,2.24511,-1000,-3.861,2.24511,1
2,20,99,-2.72983,-1.63263,-1000,-3.861,-1.63263,1
2,18,99,-0.606768,-2.2193,-1000,-3.861,-0.606768,0
2,17,99,-2.00379,-1.85887,-1000,-3.861,-1.85887,1
2,16,99,-2.51962,-3.40569,-1000,-3.861,-2.51962,0
2,15,99,-1.29653,-2.72764,-1000,-3.861,-1.29653,0
2,13,99,-1.69505,-2.40386,-1000,-3.861,-1.69505,0
2,10,99,1.63449,-0.326836,-1000,-3.861,1.63449,0
2,8,99,2.00318,1.79689,-1000,-3.861,2.00318,0
2,7,99,0.874478,0.674213,-1000,-3.861,0.874478,0
2,4,99,0.794136,1.98638,-1000,-3.861,1.98638,1
2,3,99,2.38065,1.39597,-1000,-3.861,2.38065,0
2,2,99,2.47811,0.0595297,-1000,-3.861,2.47811,0
2,1,99,2.21484,2.24511,-1000,-3.861,2.24511,1
3,20,99,-3.64342,-2.69324,-1000,-3.861,-2.69324,1
3,16,99,-3.62296,-3.62781,-1000,-3.861,-3.62296,0
3,15,99,-3.66922,-4.68079,-1000,-3.861,-3.66922,0
3,13,99,-3.69116,-4.00564,-1000,-3.861,-3.69116,0
3,11,99,-3.8933,-2.38768,-1000,-3.861,-2.38768,1
3,10,99,-3.68902,-2.27395,-1000,-3.861,-2.27395,1
3,9,99,-3.70099,-1.26392,-1000,-3.861,-1.26392,1
3,8,99,-4.21909,0.00800791,-1000,-3.861,0.00800791,1
3,5,99,-3.69116,-0.288058,-1000,-3.861,-0.288058,1
3,4,99,-3.861,0.96189,-1000,-3.861,0.96189,1
3,2,99,-1.38163,-2.64168,-1000,-3.861,-1.38163,0
3,1,99,2.18368,-0.0435267,-1000,-3.861,2.18368,0
4,17,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,16,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,15,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,14,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,13,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,12,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
4,9,99,-6.46563,-6.46563,-1000,-3.861,-3.861,3
