Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,Max_EP,Opt_Choice
1,20,99,-3.42003,-0.591618,-1000,-3.861,-0.591618,1
1,19,99,-3.53384,-0.667433,-1000,-3.861,-0.667433,1
1,18,99,-3.20888,-0.125955,-1000,-3.861,-0.125955,1
1,17,99,-3.34746,-0.081714,-1000,-3.861,-0.081714,1
1,15,99,-2.84388,-0.505657,-1000,-3.861,-0.505657,1
1,13,99,-2.93563,-1.75479,-1000,-3.861,-1.75479,1
1,12,99,-1.60241,-0.132245,-1000,-3.861,-0.132245,1
1,10,99,1.01438,0.873214,-1000,-3.861,1.01438,0
1,9,99,-0.414928,-0.803344,-1000,-3.861,-0.414928,0
1,7,99,0.512047,0.353416,-1000,-3.861,0.512047,0
1,4,99,0.844045,0.844045,-1000,-3.861,0.844045,0
1,3,99,-0.00520526,-0.00520526,-1000,-3.861,-0.00520526,0
1,2,99,0.634898,0.665792,-1000,-3.861,0.665792,1
1,1,99,0.937798,0.957865,-1000,-3.861,0.957865,1
2,20,99,-2.94366,-2.52389,-1000,-3.861,-2.52389,1
2,18,99,-3.08345,-3.0168,-1000,-3.861,-3.0168,1
2,17,99,-3.2823,-2.67222,-1000,-3.861,-2.67222,1
2,16,99,-2.2904,-2.48445,-1000,-3.861,-2.2904,0
2,15,99,-2.77475,-1.74078,-1000,-3.861,-1.74078,1
2,13,99,-1.88366,-1.70533,-1000,-3.861,-1.70533,1
2,10,99,-1.59352,-0.162229,-1000,-3.861,-0.162229,1
2,8,99,0.355074,-0.536978,-1000,-3.861,0.355074,0
2,7,99,0.349781,-0.619847,-1000,-3.861,0.349781,0
2,4,99,-0.138247,0.844045,-1000,-3.861,0.844045,1
2,3,99,-0.429658,-0.00520526,-1000,-3.861,-0.00520526,1
2,2,99,0.302765,0.214036,-1000,-3.861,0.302765,0
2,1,99,0.864318,0.0498529,-1000,-3.861,0.864318,0
3,20,99,-3.53785,-4.10933,-1000,-3.861,-3.53785,0
3,16,99,-3.00908,-4.01734,-1000,-3.861,-3.00908,0
3,15,99,-3.19043,-4.16099,-1000,-3.861,-3.19043,0
3,13,99,-3.6521,-2.99851,-1000,-3.861,-2.99851,1
3,11,99,-4.01096,-1.12231,-1000,-3.861,-1.12231,1
3,10,99,-3.82667,-2.25163,-1000,-3.861,-2.25163,1
3,9,99,-4.05726,-0.710895,-1000,-3.861,-0.710895,1
3,8,99,-1.88045,-2.13661,-1000,-3.861,-1.88045,0
3,5,99,-3.29977,0.479324,-1000,-3.861,0.479324,1
