yardline,drive_count
1,11
2,11
3,9
4,7
5,10
6,15
7,16
8,10
9,15
10,10
11,18
12,20
13,22
14,17
15,23
16,19
17,21
18,25
19,23
20,29
21,29
22,21
23,23
24,37
25,35
26,26
27,39
28,35
29,34
30,42
31,42
32,46
33,39
34,50
35,58
36,42
37,52
38,51
39,51
40,51
41,63
42,63
43,56
44,75
45,98
46,82
47,64
48,79
49,86
50,112
51,98
52,102
53,121
54,118
55,125
56,128
57,156
58,155
59,150
60,230
61,171
62,189
63,180
64,189
65,238
66,222
67,229
68,263
69,267
70,318
71,273
72,289
73,295
74,317
75,5879
76,335
77,357
78,318
79,342
80,917
81,286
82,279
83,279
84,271
85,259
86,248
87,216
88,198
89,211
90,283
91,263
92,191
93,140
94,117
95,109
96,107
97,80
98,118
99,101
