Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.72271,-0.742411,-3.53748,-3.2121,-0,1
1,19,99,-3.53748,-0.601425,-3.53748,-3.2121,-0,1
1,18,99,-3.53748,0.310366,-3.53748,-3.2121,0,1
1,17,99,-1.64653,-0.477448,-3.53748,-3.2121,-0,1
1,15,99,-1.48739,-0.68669,-3.53748,-3.2121,-0,1
1,13,99,-3.53748,-0.71335,-3.53748,-3.2121,-0,1
1,12,99,-3.53748,-1.10826,-3.53748,-3.2121,-3.53748,1
1,10,99,-0.469255,-0.149016,-3.53748,-3.2121,-0.385956,1
1,9,99,-0.153807,0.112859,-3.53748,-3.2121,0,1
1,7,99,0.0752474,0.140773,-3.53748,-3.2121,0,1
1,4,99,0.0353186,0.180783,-3.53748,-3.2121,0,1
1,3,99,0.159314,0.43561,-3.53748,-3.2121,0,1
1,2,99,0.172366,-0.639438,-3.53748,-3.2121,0,0
1,1,99,0.199212,0.802825,-3.53748,-3.2121,0,1
1,20,98,-1.18913,-1.29675,-3.53748,-2.97177,-0,0
1,19,98,0,-0.716123,-3.53748,-2.97177,0,0
1,18,98,-3.34411,0.20401,-3.53748,-2.97177,0,1
1,17,98,-1.5911,-0.539526,-3.53748,-2.97177,-0,1
1,15,98,-0.19702,-0.806908,-3.53748,-2.97177,-0,0
1,13,98,-2.63662,-0.744699,-3.53748,-2.97177,-2.63662,1
1,12,98,-1.73894,-0.716698,-3.53748,-2.97177,-1.12559,1
1,9,98,-0.223826,-0.0719726,-3.53748,-2.97177,-0,1
1,7,98,0.0863579,0.159504,-3.53748,-2.97177,0,1
1,4,98,0.0525276,0.240717,-3.53748,-2.97177,0,1
1,3,98,0.194565,0.478548,-3.53748,-2.97177,0,1
1,2,98,0.228463,-0.58701,-3.53748,-2.97177,0,0
1,1,98,0.252958,0.825746,-3.53748,-2.97177,0,1
1,20,97,-1.89398,-0.924643,-3.53748,-2.69042,-1.89398,1
1,19,97,-1.30117,-0.281123,-3.53748,-2.69042,-0,1
1,18,97,-4.07801,0.414273,-3.53748,-2.69042,0,1
1,17,97,-1.52345,-0.449485,-3.53748,-2.69042,-0,1
1,15,97,-0.558336,-0.969209,-3.53748,-2.69042,-0,0
1,13,97,-2.68619,-0.756751,-3.53748,-2.69042,-2.3003,1
1,12,97,-1.93451,-0.727484,-3.53748,-2.69042,-1.12983,1
1,7,97,0.0977593,0.189763,-3.53748,-2.69042,0,1
1,4,97,0.0981426,0.400807,-3.53748,-2.69042,0,1
1,3,97,0.218734,0.533461,-3.53748,-2.69042,0,1
1,2,97,0.273704,-0.560075,-3.53748,-2.69042,0,0
1,20,96,-0.148119,-0.520846,-3.53748,-2.84936,-0,0
1,19,96,-0.685439,-0.591879,-3.53748,-2.84936,-0.591879,1
1,18,96,-2.15526,0.444562,-3.53748,-2.84936,0,1
1,17,96,-0.909732,-0.378601,-3.53748,-2.84936,-0,1
1,15,96,-0.831338,-1.03756,-3.53748,-2.84936,-1.03756,0
1,13,96,-0.225489,-0.462839,-3.53748,-2.84936,-0.225489,0
1,12,96,-0.957705,-0.505845,-3.53748,-2.84936,-0,1
1,9,96,-0.187871,-0.00499741,-3.53748,-2.84936,-0.00499741,1
1,7,96,0.292915,0.395594,-3.53748,-2.84936,0,1
1,4,96,0.117013,0.464273,-3.53748,-2.84936,0,1
1,3,96,0.265447,0.555263,-3.53748,-2.84936,0,1
1,2,96,0.299849,-0.500989,-3.53748,-2.84936,0,0
1,19,95,0,0.144237,-3.53748,-2.73649,0,1
1,17,95,-0.69558,-0.322667,-3.53748,-2.73649,-0,1
1,15,95,-0.921186,-1.09216,-3.53748,-2.73649,-1.0311,0
