,Score1,Score2,Reward
0,5.3,2.4,58.0
1,5.6,0.8,96.0
2,6.55,2.0,91.0
3,6.2,2.5,74.0
4,6.45,3.1,67.0
5,6.2,2.5,74.0
6,5.45,2.0,69.0
7,5.85,2.9,59.0
8,3.9,1.6,46.0
9,7.05,1.2,117.0
10,7.1,2.0,102.0
11,7.9,2.5,108.0
12,4.7,3.9,16.0
13,3.85,2.7,23.0
14,6.65,1.8,97.0
15,5.4,1.6,76.0
16,4.8,1.9,58.0
17,6.35,2.3,81.0
18,5.4,2.9,50.0
19,6.75,2.8,79.0
20,5.85,2.1,75.0
21,5.35,2.3,61.0
22,7.25,2.8,89.0
23,8.05,2.5,111.0
24,4.4,2.0,48.0
25,6.0,1.6,88.0
26,3.15,2.5,13.0
27,4.35,1.7,53.0
28,4.65,1.7,59.0
29,7.7,2.5,104.0
30,6.45,1.6,97.0
31,6.6,1.5,102.0
32,5.55,1.5,81.0
33,5.85,2.0,77.0
34,5.25,1.6,73.0
35,4.1,1.4,54.0
36,7.65,2.5,103.0
37,7.7,2.1,112.0
38,4.95,2.1,57.0
39,4.8,3.4,28.0
40,5.3,2.3,60.0
41,6.3,1.9,88.0
42,5.8,2.6,64.0
43,8.5,1.8,134.0
44,5.65,1.8,77.0
45,5.45,1.8,73.0
46,2.55,1.5,21.0
47,6.5,1.6,98.0
48,6.3,2.0,86.0
49,6.75,2.2,91.0
50,5.4,2.3,62.0
51,6.1,1.5,92.0
52,4.65,1.3,67.0
53,5.8,1.5,86.0
54,5.45,0.9,91.0
55,5.9,1.5,88.0
56,6.35,2.9,69.0
57,5.7,2.1,72.0
58,5.85,2.1,75.0
59,6.75,1.0,115.0
60,6.5,2.5,80.0
61,6.1,2.7,68.0
62,7.15,1.5,113.0
63,5.85,2.7,63.0
64,5.3,1.5,76.0
65,5.4,3.0,48.0
66,8.15,1.4,135.0
67,5.6,1.8,76.0
68,5.05,1.2,77.0
69,6.3,2.0,86.0
70,6.35,1.7,93.0
71,6.35,2.9,69.0
72,3.9,2.8,22.0
73,4.75,2.4,47.0
74,5.45,2.1,67.0
75,5.3,2.0,66.0
76,6.15,1.3,97.0
77,4.5,2.5,40.0
78,5.3,2.6,54.0
79,4.65,2.8,37.0
80,6.05,1.6,89.0
81,4.8,2.4,48.0
82,7.85,1.9,119.0
83,5.45,1.9,71.0
84,5.45,2.1,67.0
85,5.0,2.0,60.0
86,6.15,1.9,85.0
87,5.9,1.9,80.0
88,7.25,1.0,125.0
89,6.35,1.7,93.0
90,5.0,1.1,78.0
91,5.6,3.2,48.0
92,9.4,2.0,148.0
93,6.45,1.1,107.0
94,6.75,1.7,101.0
95,5.95,1.8,83.0
96,6.25,2.2,81.0
97,7.65,2.2,109.0
98,7.4,2.1,106.0
99,5.15,3.3,37.0
100,5.25,2.6,53.0
101,7.35,2.3,101.0
102,6.45,1.9,91.0
103,6.15,1.6,91.0
104,4.0,2.2,36.0
105,5.65,1.7,79.0
106,7.0,2.0,100.0
107,5.35,2.8,51.0
108,5.8,2.0,76.0
109,8.75,1.8,139.0
110,5.6,1.9,74.0
111,6.1,2.1,80.0
112,6.95,2.4,91.0
113,4.65,1.8,57.0
114,5.0,2.2,56.0
115,4.05,2.3,35.0
116,5.8,2.8,60.0
117,6.15,1.7,89.0
118,5.15,2.1,61.0
119,5.1,1.7,68.0
120,7.25,2.0,105.0
121,6.55,2.5,81.0
122,6.5,1.9,92.0
123,3.0,2.6,8.0
124,5.65,1.5,83.0
125,6.6,1.4,104.0
126,5.4,1.8,72.0
127,5.45,2.1,67.0
128,5.4,1.9,70.0
129,6.45,1.9,91.0
130,6.55,1.8,95.0
131,6.85,1.2,113.0
132,3.9,2.5,28.0
133,5.1,2.8,46.0
134,5.95,2.8,63.0
135,5.25,1.2,81.0
136,4.2,1.8,48.0
137,6.75,2.2,91.0
138,4.85,2.7,43.0
139,6.2,0.9,106.0
140,6.9,1.6,106.0
141,6.05,2.1,79.0
142,7.25,1.7,111.0
143,6.55,1.8,95.0
144,5.4,2.3,62.0
145,7.0,2.1,98.0
146,5.9,1.7,84.0
147,5.65,2.7,59.0
148,6.4,2.9,70.0
149,5.4,1.8,72.0
150,6.95,2.3,93.0
151,6.1,3.0,62.0
152,7.1,2.8,86.0
153,6.2,1.7,90.0
154,6.6,2.5,82.0
155,7.95,1.3,133.0
156,6.25,2.6,73.0
157,4.55,1.9,53.0
158,5.5,2.7,56.0
159,4.25,1.7,51.0
160,4.95,1.6,67.0
161,3.9,2.7,24.0
162,6.2,1.8,88.0
163,4.4,2.3,42.0
164,5.35,2.0,67.0
165,6.1,1.2,98.0
166,3.95,1.4,51.0
167,5.3,2.2,62.0
168,5.65,1.7,79.0
169,5.95,2.9,61.0
170,5.2,1.8,68.0
171,6.35,1.7,93.0
172,4.35,1.6,55.0
173,8.2,2.1,122.0
174,5.0,2.0,60.0
175,8.4,2.0,128.0
176,7.7,2.3,108.0
177,6.2,2.0,84.0
178,5.0,2.0,60.0
179,6.05,1.3,95.0
180,4.75,3.4,27.0
181,5.55,1.4,83.0
182,6.4,1.8,92.0
183,6.05,1.7,87.0
184,5.55,2.5,61.0
185,4.8,1.0,76.0
186,7.8,1.8,120.0
187,8.2,3.6,92.0
188,6.75,2.4,87.0
189,5.25,2.3,59.0
190,6.85,2.5,87.0
191,6.4,1.8,92.0
192,7.25,3.1,83.0
193,6.65,2.6,81.0
194,4.6,2.4,44.0
195,7.4,2.6,96.0
196,6.45,1.7,95.0
197,8.35,1.7,133.0
198,8.5,1.1,148.0
199,5.5,2.8,54.0
200,5.55,1.9,73.0
201,5.25,2.2,61.0
202,6.55,1.7,97.0
203,5.05,2.9,43.0
204,5.1,2.2,58.0
205,6.0,2.2,76.0
206,6.75,3.1,73.0
207,5.6,2.1,70.0
208,5.4,2.4,60.0
209,5.4,1.9,70.0
210,5.2,2.7,50.0
211,4.25,2.4,37.0
212,7.95,2.4,111.0
213,6.3,1.8,90.0
214,5.75,2.5,65.0
215,5.4,4.1,26.0
216,7.6,1.6,120.0
217,6.4,2.4,80.0
218,5.3,2.6,54.0
219,4.5,2.4,42.0
220,6.1,2.0,82.0
221,6.95,1.0,119.0
222,7.45,1.8,113.0
223,5.55,1.5,81.0
224,6.5,1.5,100.0
225,6.6,2.4,84.0
226,4.95,2.4,51.0
227,6.25,1.6,93.0
228,4.15,2.6,31.0
229,7.5,1.9,112.0
230,4.05,3.3,15.0
231,6.2,2.0,84.0
232,6.2,2.4,76.0
233,6.45,1.9,91.0
234,5.85,1.7,83.0
235,5.7,2.5,64.0
236,6.6,1.6,100.0
237,8.95,2.6,127.0
238,6.15,2.1,81.0
239,3.35,1.5,37.0
240,4.4,1.3,62.0
241,6.2,2.2,80.0
242,5.85,2.0,77.0
243,5.45,1.6,77.0
244,6.3,2.4,78.0
245,5.4,2.0,68.0
246,4.75,0.4,87.0
247,5.95,1.3,93.0
248,8.3,1.7,132.0
249,6.2,2.7,70.0
250,6.2,1.7,90.0
251,7.2,2.2,100.0
252,5.25,1.8,69.0
253,6.5,1.7,96.0
254,8.1,2.2,118.0
255,6.65,3.0,73.0
256,8.0,1.3,134.0
257,5.9,2.8,62.0
258,5.35,1.7,73.0
259,6.65,1.4,105.0
260,6.7,2.2,90.0
261,5.9,1.8,82.0
262,5.8,2.3,70.0
263,5.3,2.2,62.0
264,6.8,2.1,94.0
265,6.95,2.2,95.0
