,Score1,Score2
0,43,17
1,15,33
2,17,39
3,20,34
4,12,27
5,27,44
6,29,20
7,16,37
8,13,35
9,33,17
10,19,26
11,34,24
12,16,41
13,38,37
14,17,37
15,23,20
16,20,18
17,12,19
18,36,33
19,23,36
20,23,17
21,28,19
22,34,24
23,22,23
24,27,29
25,32,16
26,24,37
27,26,29
28,31,0
29,27,30
30,17,26
31,24,26
32,19,42
33,27,16
34,41,27
35,34,3
36,25,31
37,20,49
38,15,19
39,10,44
40,28,21
41,36,13
42,41,20
43,32,31
44,50,16
45,37,33
46,40,50
47,39,20
48,26,36
49,30,35
50,3,46
51,43,23
52,24,16
53,39,24
54,33,39
55,12,37
56,33,22
57,21,29
58,32,41
59,27,27
60,30,36
61,33,22
62,27,28
63,19,26
64,40,43
65,27,30
66,27,30
67,33,19
68,30,9
69,30,27
70,22,38
71,16,36
72,20,27
73,30,36
74,16,35
75,21,37
76,10,40
77,25,15
78,23,34
79,37,24
80,39,13
81,39,14
82,13,16
83,19,22
84,15,34
85,24,27
86,13,41
87,48,19
88,39,13
89,29,16
90,6,30
91,22,17
92,24,23
93,35,27
94,29,10
95,33,26
96,20,27
97,33,33
98,36,17
99,30,37
100,27,40
101,33,26
102,25,40
103,32,23
104,27,27
105,42,19
106,30,30
107,38,17
108,16,36
109,6,25
110,37,23
111,30,17
112,39,30
113,30,55
114,23,36
115,6,29
116,40,26
117,22,30
118,20,25
119,30,34
120,10,34
121,36,16
122,16,27
123,20,22
124,28,20
125,32,16
126,40,29
127,45,28
128,44,24
129,21,27
130,19,16
131,26,26
132,16,17
133,43,9
134,26,14
135,56,27
136,41,32
137,16,40
138,38,50
139,26,20
140,10,29
141,38,37
142,23,38
143,7,29
144,27,23
145,43,9
146,30,40
147,43,18
148,24,16
149,27,23
150,20,26
151,33,23
152,27,32
153,40,15
154,16,27
155,37,29
156,31,26
157,10,27
158,28,9
159,21,34
160,32,13
161,16,26
162,16,38
163,13,19
164,23,15
165,43,21
166,30,20
167,12,19
168,35,36
169,27,29
170,26,31
171,27,30
172,31,36
173,26,19
174,40,27
175,48,31
176,33,20
177,37,21
178,29,30
179,40,37
180,16,26
181,23,23
182,10,6
183,28,32
184,26,30
185,32,27
186,34,32
187,22,10
188,13,22
189,34,16
190,30,43
191,45,40
192,30,26
193,45,23
194,16,39
195,23,41
196,40,28
197,39,30
198,13,19
199,20,38
200,20,29
201,9,12
202,36,13
203,16,10
204,26,36
205,10,25
206,17,26
207,20,30
208,34,25
209,16,30
210,19,9
211,22,16
212,29,31
213,25,27
214,35,12
215,30,19
216,23,26
217,26,26
218,27,47
219,16,29
220,17,46
221,40,41
222,41,34
223,13,46
224,47,24
225,6,21
226,16,12
227,17,34
228,23,19
229,22,19
230,24,19
231,23,26
232,17,22
233,9,31
234,23,21
235,36,17
236,27,22
237,34,27
238,36,19
239,9,14
240,12,22
241,35,14
242,56,39
243,30,20
244,12,10
245,31,36
246,22,39
247,20,21
248,31,47
249,33,13
250,20,49
251,35,17
252,35,31
253,20,40
254,32,27
255,16,13
256,23,37
257,34,12
258,29,15
259,44,20
260,17,37
261,13,23
262,30,36
263,47,31
264,30,19
265,31,13
266,27,27
267,28,26
268,9,30
269,23,30
270,33,16
271,23,40
272,17,21
273,57,10
274,20,34
275,31,6
276,33,28
277,26,10
278,22,34
279,40,17
280,27,19
281,26,30
282,17,13
283,38,23
284,37,44
285,10,36
286,27,33
287,16,6
288,23,23
289,17,51
290,19,23
291,37,36
292,28,20
293,13,19
294,27,29
295,31,37
296,30,7
297,24,40
298,24,21
299,16,36
300,28,3
301,47,19
302,34,27
303,32,11
304,33,28
305,32,23
306,18,10
307,19,26
308,13,23
309,45,17
310,33,57
311,27,19
312,14,38
313,6,29
314,41,26
315,27,40
316,27,29
317,27,30
318,19,34
319,54,16
320,29,37
321,26,26
322,25,23
323,24,42
324,27,29
325,34,30
326,25,22
327,33,32
328,20,22
329,17,36
330,30,30
331,23,37
332,31,20
333,32,30
334,28,6
335,20,20
336,53,17
337,23,27
338,54,20
339,16,40
340,19,23
341,27,23
342,37,26
343,27,26
344,24,34
345,41,27
346,30,34
347,22,33
348,20,51
349,27,30
350,17,25
351,29,41
352,12,26
353,34,31
354,30,30
355,7,26
356,16,26
357,16,27
358,16,21
359,12,32
360,53,27
361,21,57
362,20,52
363,24,24
364,34,16
365,9,17
366,18,23
367,27,25
368,30,30
369,22,19
370,7,32
371,36,37
372,30,37
373,29,20
374,30,24
375,30,31
376,27,22
377,39,20
378,42,29
379,32,22
380,51,30
381,32,9
382,22,17
383,40,27
384,23,27
385,44,23
386,22,20
387,20,24
388,13,22
389,26,34
390,30,27
391,42,23
392,30,48
393,25,36
394,9,35
395,10,41
396,27,20
397,22,21
398,12,21
399,20,33
400,19,24
401,56,14
402,30,21
403,19,19
404,10,23
405,33,23
406,50,28
407,9,29
408,36,28
409,33,16
410,33,37
411,28,23
412,24,41
413,24,27
414,19,22
415,0,29
416,25,31
417,26,42
418,34,34
419,0,46
420,34,29
421,35,19
422,21,26
423,39,31
424,22,44
425,37,30
426,29,15
427,16,23
428,23,23
429,14,43
430,26,16
431,54,23
432,28,26
433,0,43
434,17,23
435,26,27
436,47,26
437,30,22
438,16,47
439,20,26
440,30,20
441,36,30
442,31,40
443,23,36
444,19,23
445,12,43
446,53,12
447,20,31
448,36,16
449,20,40
450,14,22
451,40,26
452,24,20
453,56,23
454,23,16
455,17,3
456,23,34
457,36,22
458,40,27
459,34,19
460,44,20
461,23,31
462,37,16
463,16,30
464,26,13
465,26,44
466,20,16
467,32,28
468,13,32
469,20,19
470,6,16
471,27,29
472,39,20
473,25,3
474,23,30
475,13,22
476,45,24
477,19,26
478,37,16
479,21,16
480,19,30
481,17,45
482,40,23
483,23,40
484,23,35
485,30,45
486,26,33
487,31,9
488,26,15
489,36,37
490,16,39
491,13,22
492,24,19
493,20,33
494,17,45
495,20,33
496,32,30
497,14,23
498,9,16
499,13,26
500,27,21
501,13,22
502,39,20
503,20,26
504,22,19
505,7,48
506,20,34
507,23,23
508,20,34
509,24,25
510,33,12
511,12,19
512,20,54
513,9,9
514,16,33
515,41,29
516,16,31
517,13,18
518,18,20
519,26,16
520,21,26
521,30,27
522,7,26
523,23,26
524,20,13
525,16,19
526,27,13
527,10,21
528,6,23
529,3,26
530,40,23
531,33,13
532,22,10
533,33,30
534,12,39
535,16,17
536,26,10
537,37,33
538,48,49
539,29,24
540,24,33
541,30,44
542,23,37
543,24,24
544,10,29
545,14,36
546,24,23
547,24,33
548,23,26
549,22,23
550,29,27
551,22,20
552,24,32
553,43,14
554,26,13
555,27,26
556,12,32
557,13,30
558,6,37
559,17,32
560,26,37
561,36,33
562,25,6
563,24,30
564,40,10
565,27,37
566,27,22
567,13,43
568,20,40
569,19,29
570,28,34
571,16,15
572,44,20
573,23,12
574,51,20
575,29,29
576,41,43
577,43,28
578,26,30
579,17,20
580,32,27
581,12,13
582,19,22
583,30,31
584,6,35
585,29,40
586,36,28
587,36,30
588,25,17
589,29,47
590,7,25
591,39,19
592,23,33
593,23,19
594,24,20
595,24,46
596,22,17
597,28,20
598,16,8
599,51,38
600,26,21
601,30,24
602,39,28
603,42,26
604,43,20
605,31,27
606,21,31
607,33,9
608,30,41
609,40,51
610,25,20
611,12,33
612,17,39
613,33,29
614,45,23
615,26,19
616,13,30
617,22,19
618,30,24
619,29,17
620,24,23
621,43,24
622,26,31
623,32,23
624,33,20
625,14,19
626,13,30
627,35,26
628,30,43
629,23,51
