Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.46318,-1.24974,-3.41916,-3.35117,-1.24974,1
1,19,99,-2.56556,-1.0022,-3.41916,-3.35117,-1.0022,1
1,18,99,-2.88765,-1.33647,-3.41916,-3.35117,-1.33647,1
1,17,99,-1.63421,-0.629671,-3.41916,-3.35117,-0.629671,1
1,15,99,-0.587195,-1.48252,-3.41916,-3.35117,-1.48252,0
1,13,99,-0.936585,-1.15253,-3.41916,-3.35117,-1.15253,0
1,12,99,-0.489105,-0.542837,-3.41916,-3.35117,-0.489105,0
1,10,99,-0.522965,0.187187,-3.41916,-3.35117,-0.522965,1
1,9,99,-0.345862,-0.836037,-3.41916,-3.35117,-0.836037,0
1,7,99,-0.459516,0.0973912,-3.41916,-3.35117,0.0973912,1
1,4,99,-0.322374,-0.0824201,-3.41916,-3.35117,-0.0824201,1
1,3,99,-0.186709,0.19188,-3.41916,-3.35117,0.19188,1
1,2,99,-0.067018,-0.0197487,-3.41916,-3.35117,-0.0197487,1
1,1,99,-1.30952,-0.409643,-3.41916,-3.35117,-0.409643,1
1,20,98,-2.32546,-1.31545,-3.41916,-3.12829,-1.31545,1
1,19,98,-2.24221,-0.872535,-3.41916,-3.12829,-0.872535,1
1,18,98,-2.74915,-1.32678,-3.41916,-3.12829,-1.32678,1
1,17,98,-1.42668,-0.597438,-3.41916,-3.12829,-0.597438,1
1,15,98,-0.550613,-1.17544,-3.41916,-3.12829,-1.17544,0
1,13,98,-0.618803,-1.16061,-3.41916,-3.12829,-0.618803,0
1,12,98,-0.311931,-0.056217,-3.41916,-3.12829,-0.056217,1
1,9,98,-0.0232437,-0.67981,-3.41916,-3.12829,-0.67981,0
1,7,98,-0.446333,0.133912,-3.41916,-3.12829,0.133912,1
1,4,98,-0.236892,0.100454,-3.41916,-3.12829,0.100454,1
1,3,98,0.091236,0.189888,-3.41916,-3.12829,0.189888,1
1,2,98,0.0652671,0.168432,-3.41916,-3.12829,0.168432,1
1,1,98,-1.25992,-0.289466,-3.41916,-3.12829,-0.289466,1
1,20,97,-1.90899,-1.13189,-3.41916,-2.81209,-1.90899,1
1,19,97,-2.13973,-1.10679,-3.41916,-2.81209,-1.10679,1
1,18,97,-2.06765,-1.16714,-3.41916,-2.81209,-1.16714,1
1,17,97,-1.39595,-0.626883,-3.41916,-2.81209,-0.626883,1
1,15,97,-0.411164,-1.29274,-3.41916,-2.81209,-1.29274,0
1,13,97,-0.543416,-1.02991,-3.41916,-2.81209,-1.02991,0
1,12,97,-0.168124,0.0435002,-3.41916,-2.81209,0.0435002,1
1,7,97,-0.359391,0.164477,-3.41916,-2.81209,0.164477,1
1,4,97,-0.174745,0.1734,-3.41916,-2.81209,0.1734,1
1,3,97,0.255537,0.152323,-3.41916,-2.81209,0.152323,0
1,2,97,0.407,0.0209715,-3.41916,-2.81209,0.0209715,0
1,20,96,-1.68546,-0.979797,-3.41916,-2.99602,-0.979797,1
1,19,96,-1.82419,-0.894299,-3.41916,-2.99602,-0.894299,1
1,18,96,-2.10528,-1.37678,-3.41916,-2.99602,-1.37678,1
1,17,96,-1.14276,-0.612641,-3.41916,-2.99602,-0.612641,1
1,15,96,-0.391212,-1.36637,-3.41916,-2.99602,-1.36637,0
1,13,96,-0.506666,-1.04258,-3.41916,-2.99602,-0.506666,0
1,12,96,-0.00170691,0.104209,-3.41916,-2.99602,0.104209,1
1,9,96,0.170395,-0.653139,-3.41916,-2.99602,-0.653139,0
1,7,96,-0.277721,0.221594,-3.41916,-2.99602,0.221594,1
1,4,96,-0.0956548,0.0648575,-3.41916,-2.99602,0.0648575,1
1,3,96,0.105763,0.219591,-3.41916,-2.99602,0.219591,1
1,2,96,0.319155,0.0517406,-3.41916,-2.99602,0.0517406,0
1,19,95,-1.61137,-0.620599,-3.41916,-2.85377,-0.620599,1
1,17,95,-1.30597,-0.840696,-3.41916,-2.85377,-0.840696,1
1,15,95,-0.370123,-1.28766,-3.41916,-2.85377,-1.28766,0
1,13,95,-0.267539,-0.854011,-3.41916,-2.85377,-0.854011,0
1,7,95,-0.255458,0.18533,-3.41916,-2.85377,0.18533,1
1,4,95,-0.0736368,0.181228,-3.41916,-2.85377,0.181228,1
1,2,95,0.25754,0.238148,-3.41916,-2.85377,0.238148,0
1,1,95,0.0917756,-0.12882,-3.41916,-2.85377,-0.12882,0
1,19,94,-1.55116,-0.57388,-3.41916,-2.55553,-0.57388,1
1,17,94,-1.11177,-0.625766,-3.41916,-2.55553,-0.625766,1
1,15,94,-0.396555,-1.1432,-3.41916,-2.55553,-0.396555,0
1,13,94,-0.247011,-0.941299,-3.41916,-2.55553,-0.941299,0
1,7,94,-0.113427,0.361075,-3.41916,-2.55553,0.361075,1
1,4,94,-0.0258043,0.252603,-3.41916,-2.55553,0.252603,1
1,2,94,0.461138,0.217385,-3.41916,-2.55553,0.217385,0
1,1,94,0.0764325,-0.203684,-3.41916,-2.55553,-0.203684,0
1,19,93,-1.523,-0.653699,-3.41916,-2.51688,-0.653699,1
1,17,93,-0.911703,-0.422458,-3.41916,-2.51688,-0.422458,1
1,15,93,-0.675313,-1.49298,-3.41916,-2.51688,-1.49298,0
1,13,93,-0.309739,-0.908495,-3.41916,-2.51688,-0.908495,0
1,7,93,-0.0120787,0.426367,-3.41916,-2.51688,0.426367,1
1,4,93,-0.031819,0.223879,-3.41916,-2.51688,0.223879,1
1,2,93,0.380583,0.204621,-3.41916,-2.51688,0.204621,0
1,1,93,0.20002,-0.18812,-3.41916,-2.51688,-0.18812,0
1,19,92,-1.52063,-0.675462,-6.43894,-2.39982,-0.675462,1
1,17,92,-0.949896,-0.380274,-6.43894,-2.39982,-0.380274,1
1,15,92,-0.366941,-1.04251,-6.43894,-2.39982,-1.04251,0
1,13,92,-0.208671,-0.887239,-6.43894,-2.39982,-0.887239,0
1,7,92,0.0183255,0.343752,-6.43894,-2.39982,0.343752,1
1,4,92,-0.131748,0.209985,-6.43894,-2.39982,0.209985,1
1,2,92,0.297545,0.301375,-6.43894,-2.39982,0.301375,1
1,1,92,0.244517,-0.0652884,-6.43894,-2.39982,-0.0652884,0
1,19,91,-1.45547,-0.537124,-6.29331,-2.45927,-0.537124,1
1,17,91,-0.977648,-0.669,-6.29331,-2.45927,-0.669,1
1,15,91,-0.118873,-0.882067,-6.29331,-2.45927,-0.118873,0
1,13,91,-0.202457,-1.11567,-6.29331,-2.45927,-1.11567,0
1,7,91,0.130108,0.53038,-6.29331,-2.45927,0.53038,1
1,4,91,0.126523,0.344357,-6.29331,-2.45927,0.344357,1
1,2,91,0.305358,0.232878,-6.29331,-2.45927,0.232878,0
1,1,91,0.130785,0.0352613,-6.29331,-2.45927,0.0352613,0
1,19,90,-1.41127,-0.525718,-6.05291,-2.36134,-0.525718,1
1,17,90,-1.05256,-0.677705,-6.05291,-2.36134,-0.677705,1
1,15,90,-0.163452,-0.802903,-6.05291,-2.36134,-0.802903,0
1,13,90,-0.134736,-0.774961,-6.05291,-2.36134,-0.774961,0
1,7,90,0.0508773,0.515352,-6.05291,-2.36134,0.515352,1
1,4,90,0.154283,0.47153,-6.05291,-2.36134,0.47153,1
1,2,90,0.541615,0.366066,-6.05291,-2.36134,0.366066,0
1,1,90,0.23882,-0.0111449,-6.05291,-2.36134,-0.0111449,0
1,19,89,-1.62021,-0.753208,-5.75042,-2.39784,-0.753208,1
1,17,89,-0.848777,-0.225501,-5.75042,-2.39784,-0.848777,1
1,15,89,-0.264765,-0.929402,-5.75042,-2.39784,-0.929402,0
1,13,89,0.0535442,-0.628673,-5.75042,-2.39784,-0.628673,0
1,7,89,0.279869,0.739087,-5.75042,-2.39784,0.739087,1
1,4,89,0.187892,0.400791,-5.75042,-2.39784,0.400791,1
1,2,89,0.593027,0.317083,-5.75042,-2.39784,0.317083,0
1,1,89,0.247537,-0.581708,-5.75042,-2.39784,-0.581708,0
1,19,88,-1.31275,-0.271692,-5.55605,-2.24038,-1.31275,1
1,17,88,-0.873188,-0.303455,-5.55605,-2.24038,-0.303455,1
1,15,88,-0.384618,-1.05009,-5.55605,-2.24038,-1.05009,0
1,13,88,-0.0475317,-0.582382,-5.55605,-2.24038,-0.582382,0
1,7,88,0.220078,0.794407,-5.55605,-2.24038,0.794407,1
1,4,88,0.465342,0.472836,-5.55605,-2.24038,0.472836,1
1,2,88,0.519031,0.547519,-5.55605,-2.24038,0.547519,1
1,1,88,0.353758,0.122258,-5.55605,-2.24038,0.122258,0
1,19,87,-1.10796,-0.248942,-5.60239,-2.09737,-0.248942,1
1,17,87,-1.26013,-0.694703,-5.60239,-2.09737,-0.694703,1
1,15,87,-0.0394201,-0.692534,-5.60239,-2.09737,-0.692534,0
1,13,87,-0.0829994,-0.631015,-5.60239,-2.09737,-0.631015,0
1,7,87,0.429411,0.735193,-5.60239,-2.09737,0.735193,1
1,4,87,0.56438,0.509296,-5.60239,-2.09737,0.509296,0
1,2,87,0.550253,0.50474,-5.60239,-2.09737,0.50474,0
1,1,87,0.38965,0.161952,-5.60239,-2.09737,0.161952,0
1,19,86,-1.14029,-0.384803,-5.61978,-2.01828,-0.384803,1
1,17,86,-0.539691,-0.0430382,-5.61978,-2.01828,-0.539691,1
1,15,86,-0.113112,-0.679144,-5.61978,-2.01828,-0.679144,0
1,13,86,-0.199033,-0.790477,-5.61978,-2.01828,-0.199033,0
