Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.34662,-1.33143,-3.41916,-3.35117,-1.33143,1
1,19,99,-2.59062,-1.40777,-3.41916,-3.35117,-1.40777,1
1,18,99,-2.25483,-0.945923,-3.41916,-3.35117,-0.945923,1
1,17,99,-2.07878,-1.23354,-3.41916,-3.35117,-1.23354,1
1,15,99,-1.26656,-1.44561,-3.41916,-3.35117,-1.44561,0
1,13,99,-1.88946,-0.868911,-3.41916,-3.35117,-0.868911,1
1,12,99,-1.11883,-1.01398,-3.41916,-3.35117,-1.11883,1
1,10,99,-0.727831,-0.583049,-3.41916,-3.35117,-0.583049,1
1,9,99,-0.283356,0.0438116,-3.41916,-3.35117,0.0438116,1
1,7,99,-0.0714311,-0.30237,-3.41916,-3.35117,-0.30237,0
1,4,99,-0.276502,-0.26056,-3.41916,-3.35117,-0.26056,1
1,3,99,-0.297605,-0.252666,-3.41916,-3.35117,-0.252666,1
1,2,99,-0.470604,-0.220068,-3.41916,-3.35117,-0.220068,1
1,1,99,-2.32518,-0.989286,-3.41916,-3.35117,-0.989286,1
1,20,98,-2.14491,-1.394,-3.41916,-3.12829,-1.394,1
1,19,98,-2.30819,-1.21611,-3.41916,-3.12829,-1.21611,1
1,18,98,-2.27875,-1.03493,-3.41916,-3.12829,-1.03493,1
1,17,98,-1.75813,-1.17723,-3.41916,-3.12829,-1.17723,1
1,15,98,-1.05606,-1.46179,-3.41916,-3.12829,-1.46179,0
1,13,98,-1.35913,-0.756128,-3.41916,-3.12829,-1.35913,1
1,12,98,-0.583317,-0.577569,-3.41916,-3.12829,-0.577569,1
1,9,98,-0.255249,0.175401,-3.41916,-3.12829,0.175401,1
1,7,98,-0.0643489,-0.255934,-3.41916,-3.12829,-0.255934,0
1,4,98,-0.27576,-0.153085,-3.41916,-3.12829,-0.153085,1
1,3,98,-0.243601,-0.159651,-3.41916,-3.12829,-0.159651,1
1,2,98,-0.281491,-0.0998341,-3.41916,-3.12829,-0.0998341,1
1,1,98,-2.25405,-0.763706,-3.41916,-3.12829,-0.763706,1
1,20,97,-1.94646,-1.31633,-3.41916,-2.81209,-1.94646,1
1,19,97,-2.23253,-1.23947,-3.41916,-2.81209,-1.23947,1
1,18,97,-1.87851,-0.869592,-3.41916,-2.81209,-0.869592,1
1,17,97,-1.70207,-1.17996,-3.41916,-2.81209,-1.17996,1
1,15,97,-1.05173,-1.24058,-3.41916,-2.81209,-1.24058,0
1,13,97,-1.38641,-0.746353,-3.41916,-2.81209,-0.746353,1
1,12,97,-0.533327,-0.517374,-3.41916,-2.81209,-0.517374,1
1,7,97,-0.0323261,-0.111,-3.41916,-2.81209,-0.111,0
1,4,97,-0.230414,-0.0989332,-3.41916,-2.81209,-0.0989332,1
1,3,97,-0.0947773,-0.143608,-3.41916,-2.81209,-0.143608,0
1,2,97,-0.161873,-0.0719747,-3.41916,-2.81209,-0.0719747,1
1,20,96,-1.88407,-1.16036,-3.41916,-2.99602,-1.16036,1
1,19,96,-2.11701,-1.3139,-3.41916,-2.99602,-1.3139,1
1,18,96,-1.76489,-0.989232,-3.41916,-2.99602,-0.989232,1
1,17,96,-1.51926,-1.00603,-3.41916,-2.99602,-1.00603,1
1,15,96,-0.823127,-1.3024,-3.41916,-2.99602,-1.3024,0
1,13,96,-1.17537,-0.749441,-3.41916,-2.99602,-1.17537,1
1,12,96,-0.478088,-0.442823,-3.41916,-2.99602,-0.442823,1
1,9,96,-0.332547,0.23148,-3.41916,-2.99602,0.23148,1
1,7,96,0.0733364,-0.137597,-3.41916,-2.99602,-0.137597,0
1,4,96,-0.0371135,-0.0127308,-3.41916,-2.99602,-0.0127308,1
1,3,96,-0.0644098,-0.0417833,-3.41916,-2.99602,-0.0417833,1
1,2,96,-0.176909,0.0491404,-3.41916,-2.99602,0.0491404,1
1,19,95,-1.99339,-1.06123,-3.41916,-2.85377,-1.06123,1
1,17,95,-1.53856,-1.06387,-3.41916,-2.85377,-1.06387,1
1,15,95,-0.963496,-1.42721,-3.41916,-2.85377,-1.42721,0
1,13,95,-1.17901,-0.559113,-3.41916,-2.85377,-0.559113,1
1,7,95,0.0289866,-0.162312,-3.41916,-2.85377,-0.162312,0
1,4,95,-0.0659037,0.0752225,-3.41916,-2.85377,0.0752225,1
1,2,95,-0.147357,0.139724,-3.41916,-2.85377,0.139724,1
1,1,95,-0.636204,-0.597104,-3.41916,-2.85377,-0.597104,1
1,19,94,-1.78974,-0.829812,-3.41916,-2.55553,-0.829812,1
1,17,94,-1.56025,-1.04805,-3.41916,-2.55553,-1.04805,1
1,15,94,-0.722845,-1.10778,-3.41916,-2.55553,-1.10778,0
1,13,94,-1.06796,-0.574642,-3.41916,-2.55553,-0.574642,1
1,7,94,-0.0894346,0.00763148,-3.41916,-2.55553,0.00763148,1
1,4,94,-0.0541075,0.0281527,-3.41916,-2.55553,0.0281527,1
1,2,94,0.0274417,0.0813107,-3.41916,-2.55553,0.0813107,1
1,1,94,-0.551645,-0.495912,-3.41916,-2.55553,-0.495912,1
1,19,93,-1.90389,-0.95171,-3.41916,-2.51688,-0.95171,1
1,17,93,-1.3301,-0.875653,-3.41916,-2.51688,-0.875653,1
1,15,93,-0.849044,-1.06133,-3.41916,-2.51688,-1.06133,0
1,13,93,-1.07071,-0.77155,-3.41916,-2.51688,-0.77155,1
1,7,93,0.188801,0.0449384,-3.41916,-2.51688,0.0449384,0
1,4,93,0.0883438,0.129294,-3.41916,-2.51688,0.129294,1
1,2,93,0.0444659,0.212984,-3.41916,-2.51688,0.212984,1
1,1,93,-0.394163,-0.416347,-3.41916,-2.51688,-0.416347,0
1,19,92,-1.81461,-0.943909,-6.43894,-2.39982,-0.943909,1
1,17,92,-1.07636,-0.751328,-6.43894,-2.39982,-0.751328,1
1,15,92,-0.874624,-1.15184,-6.43894,-2.39982,-1.15184,0
1,13,92,-0.971705,-0.565806,-6.43894,-2.39982,-0.565806,1
1,7,92,0.249196,0.114503,-6.43894,-2.39982,0.114503,0
1,4,92,0.00552061,0.105797,-6.43894,-2.39982,0.105797,1
1,2,92,0.0452473,0.164611,-6.43894,-2.39982,0.164611,1
1,1,92,-0.370394,-0.381188,-6.43894,-2.39982,-0.381188,0
1,19,91,-1.60662,-0.58891,-6.29331,-2.45927,-0.58891,1
1,17,91,-1.05697,-0.755901,-6.29331,-2.45927,-0.755901,1
1,15,91,-0.587146,-0.963306,-6.29331,-2.45927,-0.587146,0
1,13,91,-0.897178,-0.501928,-6.29331,-2.45927,-0.501928,1
1,7,91,0.30798,0.208712,-6.29331,-2.45927,0.208712,0
1,4,91,0.112862,0.242574,-6.29331,-2.45927,0.242574,1
1,2,91,0.184865,0.255374,-6.29331,-2.45927,0.255374,1
1,1,91,-0.334884,-0.336051,-6.29331,-2.45927,-0.336051,0
1,19,90,-1.50005,-0.434091,-6.05291,-2.36134,-0.434091,1
1,17,90,-1.04937,-1.04862,-6.05291,-2.36134,-1.04862,1
1,15,90,-0.401509,-0.738182,-6.05291,-2.36134,-0.738182,0
1,13,90,-1.05578,-0.569649,-6.05291,-2.36134,-0.569649,1
1,7,90,0.257947,0.155776,-6.05291,-2.36134,0.155776,0
1,4,90,0.187038,0.296428,-6.05291,-2.36134,0.296428,1
