Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.41864,-1.426,-3.41916,-3.35117,-1.426,1
1,19,99,-2.59499,-0.875999,-3.41916,-3.35117,-0.875999,1
1,18,99,-2.21584,-1.31262,-3.41916,-3.35117,-1.31262,1
1,17,99,-1.8312,-2.05912,-3.41916,-3.35117,-2.05912,0
1,15,99,-1.24243,-1.25505,-3.41916,-3.35117,-1.25505,0
1,13,99,-1.10584,-1.48286,-3.41916,-3.35117,-1.48286,0
1,12,99,-1.10173,-1.31451,-3.41916,-3.35117,-1.10173,0
1,10,99,-1.08137,-0.693302,-3.41916,-3.35117,-1.08137,1
1,9,99,-0.895196,-0.117652,-3.41916,-3.35117,-0.117652,1
1,7,99,-0.92296,-0.778308,-3.41916,-3.35117,-0.778308,1
1,4,99,-0.566423,-0.401481,-3.41916,-3.35117,-0.401481,1
1,3,99,-0.637798,-0.292919,-3.41916,-3.35117,-0.292919,1
1,2,99,-0.869487,-0.4258,-3.41916,-3.35117,-0.4258,1
1,1,99,-0.150763,-1.27853,-3.41916,-3.35117,-1.27853,0
1,20,98,-2.25405,-1.53845,-3.41916,-3.12829,-1.53845,1
1,19,98,-2.21136,-0.576266,-3.41916,-3.12829,-0.576266,1
1,18,98,-2.31178,-1.24169,-3.41916,-3.12829,-1.24169,1
1,17,98,-1.59724,-1.99873,-3.41916,-3.12829,-1.99873,0
1,15,98,-1.27938,-1.29765,-3.41916,-3.12829,-1.29765,0
1,13,98,-0.939434,-1.51629,-3.41916,-3.12829,-0.939434,0
1,12,98,-0.932591,-0.927645,-3.41916,-3.12829,-0.927645,1
1,9,98,-0.673954,-0.0812877,-3.41916,-3.12829,-0.0812877,1
1,7,98,-0.661634,-0.703885,-3.41916,-3.12829,-0.703885,0
1,4,98,-0.43839,-0.29172,-3.41916,-3.12829,-0.29172,1
1,3,98,-0.618538,-0.199474,-3.41916,-3.12829,-0.199474,1
1,2,98,-0.729365,-0.349301,-3.41916,-3.12829,-0.349301,1
1,1,98,-0.45469,-1.15376,-3.41916,-3.12829,-1.15376,0
1,20,97,-1.92773,-1.39967,-3.41916,-2.81209,-1.92773,1
1,19,97,-2.09673,-0.602759,-3.41916,-2.81209,-0.602759,1
1,18,97,-1.72088,-1.08678,-3.41916,-2.81209,-1.08678,1
1,17,97,-1.53609,-1.88679,-3.41916,-2.81209,-1.88679,0
1,15,97,-0.943691,-1.03898,-3.41916,-2.81209,-1.03898,0
1,13,97,-0.774626,-1.40196,-3.41916,-2.81209,-1.40196,0
1,12,97,-0.737793,-0.886356,-3.41916,-2.81209,-0.886356,0
1,7,97,-0.48326,-0.645321,-3.41916,-2.81209,-0.645321,0
1,4,97,-0.405077,-0.240517,-3.41916,-2.81209,-0.240517,1
1,3,97,-0.512635,-0.189835,-3.41916,-2.81209,-0.189835,1
1,2,97,-0.624103,-0.325966,-3.41916,-2.81209,-0.325966,1
1,20,96,-1.77887,-1.37592,-3.41916,-2.99602,-1.37592,1
1,19,96,-1.88109,-0.610635,-3.41916,-2.99602,-0.610635,1
1,18,96,-1.75035,-1.03515,-3.41916,-2.99602,-1.03515,1
1,17,96,-1.2711,-1.73527,-3.41916,-2.99602,-1.73527,0
1,15,96,-0.813102,-1.05239,-3.41916,-2.99602,-1.05239,0
1,13,96,-0.62818,-1.42021,-3.41916,-2.99602,-0.62818,0
1,12,96,-0.452871,-0.813358,-3.41916,-2.99602,-0.813358,0
1,9,96,-0.395027,-0.0030546,-3.41916,-2.99602,-0.0030546,1
1,7,96,-0.48995,-0.642509,-3.41916,-2.99602,-0.642509,0
1,4,96,-0.308195,-0.321391,-3.41916,-2.99602,-0.321391,0
1,3,96,-0.454603,-0.20595,-3.41916,-2.99602,-0.20595,1
1,2,96,-0.472796,-0.339191,-3.41916,-2.99602,-0.339191,1
1,19,95,-1.80395,-0.389379,-3.41916,-2.85377,-0.389379,1
1,17,95,-1.31978,-1.7452,-3.41916,-2.85377,-1.7452,0
1,15,95,-0.908171,-1.09389,-3.41916,-2.85377,-1.09389,0
1,13,95,-0.430027,-1.21941,-3.41916,-2.85377,-1.21941,0
1,7,95,-0.549607,-0.577016,-3.41916,-2.85377,-0.577016,0
1,4,95,-0.34349,-0.114512,-3.41916,-2.85377,-0.114512,1
1,2,95,-0.407321,-0.149,-3.41916,-2.85377,-0.149,1
1,1,95,-0.16347,-0.979102,-3.41916,-2.85377,-0.979102,0
1,19,94,-1.63575,-0.29022,-3.41916,-2.55553,-0.29022,1
1,17,94,-1.35554,-1.80905,-3.41916,-2.55553,-1.80905,0
1,15,94,-0.624216,-0.793485,-3.41916,-2.55553,-0.793485,0
1,13,94,-0.433152,-1.1811,-3.41916,-2.55553,-1.1811,0
1,7,94,-0.327107,-0.545401,-3.41916,-2.55553,-0.545401,0
1,4,94,-0.269166,-0.175097,-3.41916,-2.55553,-0.175097,1
1,2,94,-0.398337,-0.155743,-3.41916,-2.55553,-0.155743,1
1,1,94,-0.1379,-0.888567,-3.41916,-2.55553,-0.888567,0
1,19,93,-1.66444,-0.346507,-3.41916,-2.51688,-0.346507,1
1,17,93,-1.32951,-1.48566,-3.41916,-2.51688,-1.48566,0
1,15,93,-0.700701,-0.954753,-3.41916,-2.51688,-0.954753,0
1,13,93,-0.423022,-1.49751,-3.41916,-2.51688,-1.49751,0
1,7,93,-0.358365,-0.390376,-3.41916,-2.51688,-0.390376,0
1,4,93,-0.383285,-0.103938,-3.41916,-2.51688,-0.103938,1
1,2,93,-0.351476,-0.210252,-3.41916,-2.51688,-0.210252,1
1,1,93,0.0567806,-0.910183,-3.41916,-2.51688,-0.910183,0
1,19,92,-1.55795,-0.298253,-6.43894,-2.39982,-0.298253,1
1,17,92,-1.18129,-1.47502,-6.43894,-2.39982,-1.47502,0
1,15,92,-0.707555,-0.981197,-6.43894,-2.39982,-0.981197,0
1,13,92,-0.230951,-1.12717,-6.43894,-2.39982,-1.12717,0
1,7,92,-0.337744,-0.383157,-6.43894,-2.39982,-0.383157,0
1,4,92,-0.29109,-0.139395,-6.43894,-2.39982,-0.139395,1
1,2,92,-0.293443,-0.0498919,-6.43894,-2.39982,-0.0498919,1
1,1,92,0.0104713,-0.828879,-6.43894,-2.39982,-0.828879,0
1,19,91,-1.42369,-0.389492,-6.29331,-2.45927,-0.389492,1
1,17,91,-1.23062,-1.49355,-6.29331,-2.45927,-1.49355,0
1,15,91,-0.518747,-0.796237,-6.29331,-2.45927,-0.518747,0
1,13,91,-0.313867,-1.06889,-6.29331,-2.45927,-1.06889,0
1,7,91,-0.22462,-0.0709692,-6.29331,-2.45927,-0.0709692,1
1,4,91,-0.214605,-0.106288,-6.29331,-2.45927,-0.106288,1
1,2,91,-0.189676,-0.236649,-6.29331,-2.45927,-0.236649,0
1,1,91,0.0628975,-0.707035,-6.29331,-2.45927,-0.707035,0
1,19,90,-1.38305,-0.490498,-6.05291,-2.36134,-0.490498,1
1,17,90,-1.30336,-1.58006,-6.05291,-2.36134,-1.58006,0
1,15,90,-0.424317,-0.665522,-6.05291,-2.36134,-0.665522,0
1,13,90,-0.504401,-1.02333,-6.05291,-2.36134,-1.02333,0
1,7,90,-0.0956593,0.0121787,-6.05291,-2.36134,0.0121787,1
1,4,90,-0.0608648,0.0271327,-6.05291,-2.36134,0.0271327,1
1,2,90,-0.034827,0.0311283,-6.05291,-2.36134,0.0311283,1
1,1,90,0.00954187,-0.721239,-6.05291,-2.36134,-0.721239,0
1,19,89,-1.5038,-0.524566,-5.75042,-2.39784,-0.524566,1
1,17,89,-1.14262,-1.32284,-5.75042,-2.39784,-1.14262,0
1,15,89,-0.501856,-0.791334,-5.75042,-2.39784,-0.791334,0
1,13,89,-0.234726,-0.958812,-5.75042,-2.39784,-0.958812,0
