Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.54842,-1.82952,-3.41916,-3.35117,-1.82952,1
1,19,99,-2.17675,-1.44645,-3.41916,-3.35117,-1.44645,1
1,18,99,-2.23343,-1.45646,-3.41916,-3.35117,-1.45646,1
1,17,99,-1.64715,-1.43812,-3.41916,-3.35117,-1.43812,1
1,15,99,-1.50004,-1.64723,-3.41916,-3.35117,-1.64723,0
1,13,99,-1.55496,-1.6586,-3.41916,-3.35117,-1.6586,0
1,12,99,-1.19761,-1.66536,-3.41916,-3.35117,-1.19761,0
1,10,99,-1.50369,-0.831202,-3.41916,-3.35117,-1.50369,1
1,9,99,-1.1161,-1.03582,-3.41916,-3.35117,-1.03582,1
1,7,99,-0.841083,-0.716092,-3.41916,-3.35117,-0.716092,1
1,4,99,-0.87371,-0.516295,-3.41916,-3.35117,-0.516295,1
1,3,99,-0.707139,-0.630691,-3.41916,-3.35117,-0.630691,1
1,2,99,-1.17901,-0.707082,-3.41916,-3.35117,-0.707082,1
1,1,99,-0.626685,-1.13401,-3.41916,-3.35117,-1.13401,0
1,20,98,-2.38376,-1.8317,-3.41916,-3.12829,-1.8317,1
1,19,98,-1.89078,-1.37822,-3.41916,-3.12829,-1.37822,1
1,18,98,-2.15327,-1.54121,-3.41916,-3.12829,-1.54121,1
1,17,98,-1.54689,-1.40475,-3.41916,-3.12829,-1.40475,1
1,15,98,-1.40525,-1.38277,-3.41916,-3.12829,-1.38277,1
1,13,98,-1.23934,-1.62705,-3.41916,-3.12829,-1.23934,0
1,12,98,-1.08737,-1.18891,-3.41916,-3.12829,-1.18891,0
1,9,98,-1.08559,-1.00936,-3.41916,-3.12829,-1.00936,1
1,7,98,-0.699849,-0.753868,-3.41916,-3.12829,-0.753868,0
1,4,98,-0.696001,-0.548149,-3.41916,-3.12829,-0.548149,1
1,3,98,-0.565906,-0.631338,-3.41916,-3.12829,-0.631338,0
1,2,98,-0.946138,-0.444785,-3.41916,-3.12829,-0.444785,1
1,1,98,-0.534372,-1.12831,-3.41916,-3.12829,-1.12831,0
1,20,97,-2.00095,-1.74459,-3.41916,-2.81209,-2.00095,1
1,19,97,-1.90777,-1.43858,-3.41916,-2.81209,-1.43858,1
1,18,97,-2.05423,-1.47427,-3.41916,-2.81209,-1.47427,1
1,17,97,-1.40212,-1.3248,-3.41916,-2.81209,-1.3248,1
1,15,97,-1.2039,-1.42026,-3.41916,-2.81209,-1.42026,0
1,13,97,-1.13431,-1.47335,-3.41916,-2.81209,-1.47335,0
1,12,97,-0.991883,-1.08645,-3.41916,-2.81209,-1.08645,0
1,7,97,-0.621719,-0.583086,-3.41916,-2.81209,-0.583086,1
1,4,97,-0.643414,-0.573384,-3.41916,-2.81209,-0.573384,1
