Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,0.553293,3.42077,-1000,-3.35117,3.42077,1
1,19,99,4.61792,2.28623,-1000,-3.35117,4.61792,0
1,18,99,1.73624,6.88453,-1000,-3.35117,6.88453,1
1,17,99,-3.41916,5.76311,-1000,-3.35117,5.76311,1
1,15,99,1.76098,4.54237,-1000,-3.35117,4.54237,1
1,13,99,0.579726,4.66755,-1000,-3.35117,4.66755,1
1,12,99,4.4641,4.45625,-1000,-3.35117,4.4641,0
1,10,99,0.56821,6.88794,-1000,-3.35117,6.88794,1
1,9,99,6.8728,3.33571,-1000,-3.35117,6.8728,0
1,7,99,5.68987,5.66173,-1000,-3.35117,5.68987,0
1,4,99,6.898,6.90688,-1000,-3.35117,6.90688,1
1,3,99,6.89629,6.882,-1000,-3.35117,6.89629,0
1,2,99,6.89372,6.87686,-1000,-3.35117,6.89372,0
1,1,99,6.89206,6.89206,-1000,-3.35117,6.89206,0
2,20,99,-2.22747,2.24688,-1000,-3.35117,2.24688,1
2,18,99,-2.01828,2.36332,-1000,-3.35117,2.36332,1
2,17,99,-2.33139,-0.224223,-1000,-3.35117,-0.224223,1
2,16,99,0.688688,-0.0228231,-1000,-3.35117,0.688688,0
2,15,99,4.48711,2.0686,-1000,-3.35117,4.48711,0
2,13,99,4.49531,4.66755,-1000,-3.35117,4.66755,1
2,10,99,-2.53925,4.31782,-1000,-3.35117,4.31782,1
2,8,99,2.24701,2.02004,-1000,-3.35117,2.24701,0
2,7,99,4.43474,1.94853,-1000,-3.35117,4.43474,0
2,4,99,6.898,4.3503,-1000,-3.35117,6.898,0
2,3,99,4.41386,6.882,-1000,-3.35117,6.882,1
2,2,99,6.87686,4.34203,-1000,-3.35117,6.87686,0
2,1,99,6.88452,6.89206,-1000,-3.35117,6.89206,1
3,20,99,-2.23471,-2.55553,-1000,-3.35117,-2.23471,0
3,16,99,-2.24038,-2.8755,-1000,-3.35117,-2.24038,0
3,15,99,-2.79577,-2.85625,-1000,-3.35117,-2.79577,0
3,13,99,-3.23973,6.945,-1000,-3.35117,6.945,1
3,11,99,-2.72764,1.79692,-1000,-3.35117,1.79692,1
3,10,99,-2.65652,1.75879,-1000,-3.35117,1.75879,1
3,9,99,-2.65652,1.7492,-1000,-3.35117,1.7492,1
3,8,99,2.02004,1.77095,-1000,-3.35117,2.02004,0
3,5,99,2.03969,1.77316,-1000,-3.35117,2.03969,0
3,4,99,1.77971,1.78314,-1000,-3.35117,1.78314,1
3,2,99,1.79099,-3.35117,-1000,-3.35117,1.79099,0
3,1,99,6.89105,1.76598,-1000,-3.35117,6.89105,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,0.587441,3.42881,-1000,-3.12829,3.42881,1
