Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.12979,-0.827107,-3.41916,-3.35117,-0.827107,1
1,19,99,-2.2619,-0.979796,-3.41916,-3.35117,-0.979796,1
1,18,99,-2.43337,-0.0779827,-3.41916,-3.35117,-0.0779827,1
1,17,99,-1.64049,-0.647133,-3.41916,-3.35117,-0.647133,1
1,15,99,-0.952487,-1.12866,-3.41916,-3.35117,-1.12866,0
1,13,99,-1.23925,-0.840677,-3.41916,-3.35117,-0.840677,1
1,12,99,-0.719108,-1.34874,-3.41916,-3.35117,-0.719108,0
1,10,99,-1.1585,-0.365119,-3.41916,-3.35117,-0.365119,1
1,9,99,-1.0719,-0.475526,-3.41916,-3.35117,-0.475526,1
1,7,99,-0.449096,-0.352493,-3.41916,-3.35117,-0.352493,1
1,4,99,-0.603834,-0.0529816,-3.41916,-3.35117,-0.0529816,1
1,3,99,-0.136411,-0.265841,-3.41916,-3.35117,-0.265841,0
1,2,99,-0.462821,-0.323277,-3.41916,-3.35117,-0.323277,1
1,1,99,-1.91685,-1.22326,-3.41916,-3.35117,-1.22326,1
1,20,98,-1.93347,-0.804517,-3.41916,-3.12829,-0.804517,1
1,19,98,-1.77754,-0.741176,-3.41916,-3.12829,-0.741176,1
1,18,98,-2.2693,-0.246678,-3.41916,-3.12829,-0.246678,1
1,17,98,-1.40239,-0.554695,-3.41916,-3.12829,-0.554695,1
1,15,98,-0.735319,-0.9966,-3.41916,-3.12829,-0.9966,0
1,13,98,-0.889166,-0.887687,-3.41916,-3.12829,-0.889166,1
1,12,98,-0.523259,-0.332994,-3.41916,-3.12829,-0.332994,1
1,9,98,-0.555058,-0.192167,-3.41916,-3.12829,-0.192167,1
1,7,98,-0.398304,-0.263242,-3.41916,-3.12829,-0.263242,1
1,4,98,-0.364441,0.0257406,-3.41916,-3.12829,0.0257406,1
1,3,98,-0.269943,-0.201032,-3.41916,-3.12829,-0.201032,1
1,2,98,-0.202563,-0.0932145,-3.41916,-3.12829,-0.0932145,1
1,1,98,-1.94551,-1.07531,-3.41916,-3.12829,-1.07531,1
1,20,97,-1.66841,-0.735166,-3.41916,-2.81209,-1.66841,1
1,19,97,-1.66186,-0.975174,-3.41916,-2.81209,-0.975174,1
1,18,97,-1.69713,0.0607436,-3.41916,-2.81209,0.0607436,1
1,17,97,-1.37352,-0.608062,-3.41916,-2.81209,-0.608062,1
1,15,97,-0.601492,-0.824473,-3.41916,-2.81209,-0.824473,0
1,13,97,-0.733159,-0.712867,-3.41916,-2.81209,-0.712867,1
1,12,97,-0.419303,-0.234562,-3.41916,-2.81209,-0.234562,1
1,7,97,-0.390461,-0.262818,-3.41916,-2.81209,-0.262818,1
1,4,97,-0.458411,0.114047,-3.41916,-2.81209,0.114047,1
1,3,97,-0.0492996,-0.0709802,-3.41916,-2.81209,-0.0709802,0
1,2,97,-0.314138,-0.0642536,-3.41916,-2.81209,-0.0642536,1
1,20,96,-1.326,-0.534922,-3.41916,-2.99602,-0.534922,1
1,19,96,-1.20593,-0.882842,-3.41916,-2.99602,-0.882842,1
1,18,96,-1.64048,-0.084425,-3.41916,-2.99602,-0.084425,1
1,17,96,-0.843654,-0.260686,-3.41916,-2.99602,-0.260686,1
1,15,96,-0.519488,-0.794355,-3.41916,-2.99602,-0.794355,0
1,13,96,-0.598337,-0.55938,-3.41916,-2.99602,-0.598337,1
1,12,96,-0.334224,-0.18779,-3.41916,-2.99602,-0.18779,1
1,9,96,-0.463365,-0.212926,-3.41916,-2.99602,-0.212926,1
1,7,96,-0.366583,-0.110015,-3.41916,-2.99602,-0.110015,1
1,4,96,-0.227853,0.10642,-3.41916,-2.99602,0.10642,1
1,3,96,0.0951703,-0.0655936,-3.41916,-2.99602,-0.0655936,0
1,2,96,-0.0434549,-0.076307,-3.41916,-2.99602,-0.076307,0
1,19,95,-1.04672,-0.519845,-3.41916,-2.85377,-0.519845,1
1,17,95,-1.16336,-0.302592,-3.41916,-2.85377,-0.302592,1
1,15,95,-0.622565,-0.913317,-3.41916,-2.85377,-0.913317,0
1,13,95,-0.390812,-0.403463,-3.41916,-2.85377,-0.403463,0
1,7,95,-0.431685,-0.23638,-3.41916,-2.85377,-0.23638,1
1,4,95,-0.20127,0.241999,-3.41916,-2.85377,0.241999,1
1,2,95,-0.0406889,0.00563747,-3.41916,-2.85377,0.00563747,1
1,1,95,-0.360318,-0.86362,-3.41916,-2.85377,-0.86362,0
1,19,94,-0.962956,-0.506767,-3.41916,-2.55553,-0.506767,1
1,17,94,-0.822282,-0.100024,-3.41916,-2.55553,-0.100024,1
1,15,94,-0.228349,-0.502673,-3.41916,-2.55553,-0.502673,0
1,13,94,-0.298844,-0.344336,-3.41916,-2.55553,-0.344336,0
1,7,94,-0.243659,0.0180493,-3.41916,-2.55553,0.0180493,1
1,4,94,-0.179745,0.140358,-3.41916,-2.55553,0.140358,1
1,2,94,0.0624972,0.133691,-3.41916,-2.55553,0.133691,1
1,1,94,-0.514729,-0.625946,-3.41916,-2.55553,-0.625946,0
1,19,93,-0.97309,-0.581769,-3.41916,-2.51688,-0.581769,1
1,17,93,-0.718019,-0.00778476,-3.41916,-2.51688,-0.00778476,1
1,15,93,-0.470879,-0.61381,-3.41916,-2.51688,-0.61381,0
1,13,93,-0.406244,-0.460699,-3.41916,-2.51688,-0.460699,0
1,7,93,-0.245817,0.0121392,-3.41916,-2.51688,0.0121392,1
1,4,93,-0.19794,0.185572,-3.41916,-2.51688,0.185572,1
1,2,93,0.0543649,0.0326364,-3.41916,-2.51688,0.0326364,0
1,1,93,-0.141407,-0.586786,-3.41916,-2.51688,-0.586786,0
1,19,92,-0.946997,-0.601351,-6.43894,-2.39982,-0.601351,1
1,17,92,-0.71911,0.113137,-6.43894,-2.39982,0.113137,1
1,15,92,-0.341631,-0.507581,-6.43894,-2.39982,-0.507581,0
1,13,92,-0.100885,-0.219712,-6.43894,-2.39982,-0.219712,0
1,7,92,-0.234982,0.0673582,-6.43894,-2.39982,0.0673582,1
1,4,92,-0.0941936,0.206995,-6.43894,-2.39982,0.206995,1
1,2,92,0.132708,0.169448,-6.43894,-2.39982,0.169448,1
1,1,92,-0.106304,-0.571703,-6.43894,-2.39982,-0.571703,0
1,19,91,-1.00478,-0.527249,-6.29331,-2.45927,-0.527249,1
1,17,91,-0.842214,0.0255309,-6.29331,-2.45927,0.0255309,1
1,15,91,-0.124999,-0.337521,-6.29331,-2.45927,-0.124999,0
1,13,91,-0.194372,-0.343844,-6.29331,-2.45927,-0.343844,0
1,7,91,-0.0648206,0.459739,-6.29331,-2.45927,0.459739,1
1,4,91,-0.104259,0.260641,-6.29331,-2.45927,0.260641,1
1,2,91,0.237919,0.0840305,-6.29331,-2.45927,0.0840305,0
1,1,91,-0.0884475,-0.553754,-6.29331,-2.45927,-0.553754,0
1,19,90,-0.97122,-0.645816,-6.05291,-2.36134,-0.645816,1
1,17,90,-1.05334,0.116826,-6.05291,-2.36134,0.116826,1
1,15,90,-0.082226,-0.208428,-6.05291,-2.36134,-0.208428,0
1,13,90,-0.312761,-0.181748,-6.05291,-2.36134,-0.181748,1
1,7,90,0.100722,0.362085,-6.05291,-2.36134,0.362085,1
1,4,90,0.00872415,0.244678,-6.05291,-2.36134,0.244678,1
1,2,90,0.323174,0.136975,-6.05291,-2.36134,0.136975,0
1,1,90,-0.169664,0.0222786,-6.05291,-2.36134,0.0222786,1
1,19,89,-1.12392,-0.617755,-5.75042,-2.39784,-0.617755,1
1,17,89,-0.924339,0.214065,-5.75042,-2.39784,-0.924339,1
1,15,89,-0.171405,-0.336774,-5.75042,-2.39784,-0.336774,0
1,13,89,-0.00672914,-0.00854308,-5.75042,-2.39784,-0.00854308,0
1,7,89,0.309845,0.686746,-5.75042,-2.39784,0.686746,1
1,4,89,-0.158604,0.391053,-5.75042,-2.39784,0.391053,1
1,2,89,0.153079,0.281487,-5.75042,-2.39784,0.281487,1
1,1,89,-0.0460118,-0.0242312,-5.75042,-2.39784,-0.0242312,1
1,19,88,-0.890636,-0.345926,-5.55605,-2.24038,-0.890636,1
1,17,88,-1.03233,0.226093,-5.55605,-2.24038,0.226093,1
1,15,88,-0.208891,-0.303081,-5.55605,-2.24038,-0.303081,0
1,13,88,-0.0474406,0.159783,-5.55605,-2.24038,0.159783,1
1,7,88,0.345953,0.749929,-5.55605,-2.24038,0.749929,1
1,4,88,0.222937,0.356071,-5.55605,-2.24038,0.356071,1
1,2,88,0.254267,0.251798,-5.55605,-2.24038,0.251798,0
1,1,88,-0.0916171,-0.395964,-5.55605,-2.24038,-0.395964,0
1,19,87,-0.808662,-0.305412,-5.60239,-2.09737,-0.305412,1
1,17,87,-1.04822,0.198167,-5.60239,-2.09737,0.198167,1
1,15,87,-0.116375,-0.28829,-5.60239,-2.09737,-0.28829,0
1,13,87,-0.112739,0.109985,-5.60239,-2.09737,0.109985,1
1,7,87,0.215525,0.58712,-5.60239,-2.09737,0.58712,1
1,4,87,0.161067,0.656726,-5.60239,-2.09737,0.656726,1
1,2,87,0.314903,0.389077,-5.60239,-2.09737,0.389077,1
1,1,87,0.0415556,-0.34288,-5.60239,-2.09737,-0.34288,0
1,19,86,-0.808689,-0.311358,-5.61978,-2.01828,-0.311358,1
1,17,86,-0.776494,0.423127,-5.61978,-2.01828,-0.776494,1
1,15,86,-0.243612,-0.333651,-5.61978,-2.01828,-0.243612,0
