Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.52444,-1.90962,-3.41916,-3.35117,-1.90962,1
1,19,99,-2.79128,-0.717521,-3.41916,-3.35117,-0.717521,1
1,18,99,-2.3683,-1.33169,-3.41916,-3.35117,-1.33169,1
1,17,99,-2.1302,-1.95212,-3.41916,-3.35117,-1.95212,1
1,15,99,-1.47446,-1.84122,-3.41916,-3.35117,-1.84122,0
1,13,99,-1.47341,-1.32169,-3.41916,-3.35117,-1.32169,1
1,12,99,-1.31151,-1.0707,-3.41916,-3.35117,-1.31151,1
1,10,99,-1.01596,-0.191105,-3.41916,-3.35117,-1.01596,1
1,9,99,-0.746742,-1.49231,-3.41916,-3.35117,-1.49231,0
1,7,99,-0.401282,-0.508979,-3.41916,-3.35117,-0.508979,0
1,4,99,-0.473922,-0.365284,-3.41916,-3.35117,-0.365284,1
1,3,99,-0.595968,-0.303325,-3.41916,-3.35117,-0.303325,1
1,2,99,-0.272542,-0.184893,-3.41916,-3.35117,-0.184893,1
1,1,99,-1.41042,-0.573447,-3.41916,-3.35117,-0.573447,1
1,20,98,-2.3898,-1.88807,-3.41916,-3.12829,-1.88807,1
1,19,98,-2.5305,-0.665978,-3.41916,-3.12829,-0.665978,1
1,18,98,-2.19398,-1.25348,-3.41916,-3.12829,-1.25348,1
1,17,98,-2.01881,-1.90609,-3.41916,-3.12829,-1.90609,1
1,15,98,-1.63232,-1.69979,-3.41916,-3.12829,-1.69979,0
1,13,98,-1.2868,-1.19526,-3.41916,-3.12829,-1.2868,1
1,12,98,-1.18944,-0.955775,-3.41916,-3.12829,-0.955775,1
1,9,98,-0.772262,-1.53413,-3.41916,-3.12829,-1.53413,0
1,7,98,-0.567918,-0.516005,-3.41916,-3.12829,-0.516005,1
1,4,98,-0.488963,-0.255156,-3.41916,-3.12829,-0.255156,1
1,3,98,-0.552252,-0.201202,-3.41916,-3.12829,-0.201202,1
1,2,98,-0.236268,-0.166972,-3.41916,-3.12829,-0.166972,1
1,1,98,-0.996059,-0.443245,-3.41916,-3.12829,-0.443245,1
1,20,97,-2.12083,-1.68249,-3.41916,-2.81209,-2.12083,1
1,19,97,-2.26008,-0.754524,-3.41916,-2.81209,-0.754524,1
1,18,97,-1.76465,-1.14778,-3.41916,-2.81209,-1.14778,1
1,17,97,-1.92225,-1.88824,-3.41916,-2.81209,-1.88824,1
1,15,97,-1.28675,-1.6624,-3.41916,-2.81209,-1.6624,0
1,13,97,-1.18725,-1.1895,-3.41916,-2.81209,-1.1895,0
1,12,97,-1.04929,-0.806958,-3.41916,-2.81209,-0.806958,1
1,7,97,-0.445885,-0.36031,-3.41916,-2.81209,-0.36031,1
1,4,97,-0.391089,-0.310727,-3.41916,-2.81209,-0.310727,1
1,3,97,-0.293614,-0.394347,-3.41916,-2.81209,-0.394347,0
1,2,97,-0.193509,-0.451285,-3.41916,-2.81209,-0.451285,0
1,20,96,-1.94611,-1.59069,-3.41916,-2.99602,-1.59069,1
1,19,96,-2.09581,-0.706257,-3.41916,-2.99602,-0.706257,1
1,18,96,-1.8121,-1.19443,-3.41916,-2.99602,-1.19443,1
1,17,96,-1.71013,-1.78221,-3.41916,-2.99602,-1.78221,0
1,15,96,-1.18255,-1.6288,-3.41916,-2.99602,-1.6288,0
1,13,96,-1.31785,-1.19757,-3.41916,-2.99602,-1.31785,1
1,12,96,-1.00023,-0.720053,-3.41916,-2.99602,-0.720053,1
1,9,96,-0.540499,-1.4182,-3.41916,-2.99602,-1.4182,0
1,7,96,-0.414865,-0.432231,-3.41916,-2.99602,-0.432231,0
1,4,96,-0.405757,-0.286128,-3.41916,-2.99602,-0.286128,1
1,3,96,-0.190277,-0.286622,-3.41916,-2.99602,-0.286622,0
1,2,96,-0.129125,-0.194175,-3.41916,-2.99602,-0.194175,0
1,19,95,-1.91559,-0.43192,-3.41916,-2.85377,-0.43192,1
1,17,95,-1.68414,-1.73061,-3.41916,-2.85377,-1.73061,0
1,15,95,-1.20661,-1.61276,-3.41916,-2.85377,-1.61276,0
1,13,95,-0.941009,-1.09201,-3.41916,-2.85377,-1.09201,0
1,7,95,-0.479621,-0.40264,-3.41916,-2.85377,-0.40264,1
1,4,95,-0.381303,-0.445021,-3.41916,-2.85377,-0.445021,0
1,2,95,-0.245256,-0.212079,-3.41916,-2.85377,-0.212079,1
1,1,95,-0.434938,-0.454076,-3.41916,-2.85377,-0.454076,0
1,19,94,-1.80871,-0.490963,-3.41916,-2.55553,-0.490963,1
1,17,94,-1.61753,-1.68505,-3.41916,-2.55553,-1.68505,0
1,15,94,-1.05714,-1.42219,-3.41916,-2.55553,-1.42219,0
1,13,94,-0.92291,-1.10459,-3.41916,-2.55553,-1.10459,0
1,7,94,-0.536826,-0.361004,-3.41916,-2.55553,-0.361004,1
1,4,94,-0.370489,-0.429208,-3.41916,-2.55553,-0.429208,0
1,2,94,-0.194588,-0.349799,-3.41916,-2.55553,-0.349799,0
1,1,94,-0.478393,-0.535636,-3.41916,-2.55553,-0.535636,0
1,19,93,-1.79907,-0.437023,-3.41916,-2.51688,-0.437023,1
1,17,93,-1.49113,-1.64294,-3.41916,-2.51688,-1.64294,0
1,15,93,-1.12116,-1.50505,-3.41916,-2.51688,-1.50505,0
1,13,93,-0.842397,-1.12673,-3.41916,-2.51688,-1.12673,0
1,7,93,-0.689365,-0.345414,-3.41916,-2.51688,-0.345414,1
1,4,93,-0.642611,-0.232425,-3.41916,-2.51688,-0.232425,1
1,2,93,-0.183845,-0.284562,-3.41916,-2.51688,-0.284562,0
1,1,93,-0.312009,-0.38257,-3.41916,-2.51688,-0.38257,0
1,19,92,-1.8033,-0.434932,-6.43894,-2.39982,-0.434932,1
1,17,92,-1.53981,-1.51367,-6.43894,-2.39982,-1.51367,1
1,15,92,-1.09914,-1.37499,-6.43894,-2.39982,-1.37499,0
1,13,92,-0.808753,-0.979489,-6.43894,-2.39982,-0.979489,0
1,7,92,-0.574148,-0.257946,-6.43894,-2.39982,-0.257946,1
1,4,92,-0.37313,-0.326767,-6.43894,-2.39982,-0.326767,1
1,2,92,-0.386964,-0.33435,-6.43894,-2.39982,-0.33435,1
1,1,92,-0.420213,-0.492327,-6.43894,-2.39982,-0.492327,0
1,19,91,-1.78261,-0.293232,-6.29331,-2.45927,-0.293232,1
1,17,91,-1.47916,-1.4998,-6.29331,-2.45927,-1.4998,0
1,15,91,-1.02982,-1.27268,-6.29331,-2.45927,-1.02982,0
1,13,91,-0.733496,-0.895999,-6.29331,-2.45927,-0.895999,0
1,7,91,-0.525058,-0.239945,-6.29331,-2.45927,-0.239945,1
1,4,91,-0.35612,-0.494072,-6.29331,-2.45927,-0.494072,0
1,2,91,-0.127219,-0.267775,-6.29331,-2.45927,-0.267775,0
1,1,91,-0.578094,-0.553441,-6.29331,-2.45927,-0.553441,1
1,19,90,-1.79363,-0.762302,-6.05291,-2.36134,-0.762302,1
1,17,90,-1.68239,-1.64631,-6.05291,-2.36134,-1.64631,1
1,15,90,-1.06071,-1.13177,-6.05291,-2.36134,-1.13177,0
1,13,90,-0.830497,-0.693364,-6.05291,-2.36134,-0.693364,1
1,7,90,-0.655398,-0.23038,-6.05291,-2.36134,-0.23038,1
1,4,90,-0.654151,-0.534645,-6.05291,-2.36134,-0.534645,1
1,2,90,-0.0826621,-0.407495,-6.05291,-2.36134,-0.407495,0
1,1,90,-0.397733,-0.493519,-6.05291,-2.36134,-0.493519,0
1,19,89,-1.81318,-0.553743,-5.75042,-2.39784,-0.553743,1
1,17,89,-1.42872,-1.27917,-5.75042,-2.39784,-1.42872,1
1,15,89,-0.976639,-1.25654,-5.75042,-2.39784,-1.25654,0
1,13,89,-0.681818,-0.733265,-5.75042,-2.39784,-0.733265,0
1,7,89,-0.379631,0.0328399,-5.75042,-2.39784,0.0328399,1
1,4,89,-0.522354,-0.530902,-5.75042,-2.39784,-0.530902,0
1,2,89,-0.342188,-0.315324,-5.75042,-2.39784,-0.315324,1
1,1,89,-0.196587,-0.451575,-5.75042,-2.39784,-0.451575,0
1,19,88,-1.7214,-0.448897,-5.55605,-2.24038,-1.7214,1
1,17,88,-1.65667,-1.41612,-5.55605,-2.24038,-1.41612,1
1,15,88,-1.22965,-1.24415,-5.55605,-2.24038,-1.24415,0
1,13,88,-0.715024,-0.703492,-5.55605,-2.24038,-0.703492,1
1,7,88,-0.366345,-0.0644886,-5.55605,-2.24038,-0.0644886,1
1,4,88,-0.566117,-0.449364,-5.55605,-2.24038,-0.449364,1
1,2,88,-0.206061,-0.132703,-5.55605,-2.24038,-0.132703,1
1,1,88,-0.232612,-0.409065,-5.55605,-2.24038,-0.409065,0
1,19,87,-1.5725,-0.311118,-5.60239,-2.09737,-0.311118,1
1,17,87,-1.75518,-1.46693,-5.60239,-2.09737,-1.46693,1
1,15,87,-1.00555,-0.978408,-5.60239,-2.09737,-0.978408,1
1,13,87,-0.684193,-0.726083,-5.60239,-2.09737,-0.726083,0
1,7,87,-0.168711,-0.0905949,-5.60239,-2.09737,-0.0905949,1
1,4,87,-0.551769,-0.560524,-5.60239,-2.09737,-0.560524,0
1,2,87,-0.317745,-0.445036,-5.60239,-2.09737,-0.445036,0
1,1,87,-0.375928,-0.427961,-5.60239,-2.09737,-0.427961,0
1,19,86,-1.55396,-0.3006,-5.61978,-2.01828,-0.3006,1
1,17,86,-1.18232,-1.11681,-5.61978,-2.01828,-1.18232,1
1,15,86,-1.47956,-1.30571,-5.61978,-2.01828,-1.30571,1
1,13,86,-0.918996,-0.7371,-5.61978,-2.01828,-0.918996,1
1,7,86,-0.0922863,0.104466,-5.61978,-2.01828,0.104466,1
1,4,86,-0.260864,-0.435577,-5.61978,-2.01828,-0.435577,0
1,2,86,-0.23464,-0.329357,-5.61978,-2.01828,-0.329357,0
1,1,86,-0.366688,-0.0837106,-5.61978,-2.01828,-0.0837106,1
1,19,85,-0.757337,-0.846853,-5.14185,-2.10808,-0.846853,0
1,17,85,-1.13817,-1.10001,-5.14185,-2.10808,-1.10001,1
1,15,85,-1.37655,-0.857534,-5.14185,-2.10808,-0.857534,1
1,13,85,-0.800763,-0.298596,-5.14185,-2.10808,-0.298596,1
1,7,85,-0.528511,-1.4913,-5.14185,-2.10808,-1.4913,0
1,4,85,-0.0356908,-0.975091,-5.14185,-2.10808,-0.975091,0
1,2,85,-0.394298,-0.511514,-5.14185,-2.10808,-0.511514,0
1,1,85,-0.407893,0.0521957,-5.14185,-2.10808,0.0521957,1
1,19,84,-0.913798,-1.01215,-5.35927,-2.00544,-1.01215,0
1,17,84,-1.05973,-1.13108,-5.35927,-2.00544,-1.13108,0
1,15,84,-0.904997,-0.497586,-5.35927,-2.00544,-0.497586,1
1,13,84,-1.11422,-0.516684,-5.35927,-2.00544,-0.516684,1
1,7,84,-0.454561,-1.56347,-5.35927,-2.00544,-1.56347,0
