Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.33924,-1.51958,-3.41916,-3.35117,-1.51958,1
1,19,99,-2.30199,-0.456373,-3.41916,-3.35117,-0.456373,1
1,18,99,-2.19785,0.0933093,-3.41916,-3.35117,0.0933093,1
1,17,99,-1.62739,-1.20357,-3.41916,-3.35117,-1.20357,1
1,15,99,-0.903691,-1.27939,-3.41916,-3.35117,-1.27939,0
1,13,99,-0.971027,-0.165612,-3.41916,-3.35117,-0.165612,1
1,12,99,-0.883832,-0.517337,-3.41916,-3.35117,-0.883832,1
1,10,99,-0.560401,0.343872,-3.41916,-3.35117,-0.560401,1
1,9,99,-0.561183,0.0398827,-3.41916,-3.35117,0.0398827,1
1,7,99,0.138186,-0.832474,-3.41916,-3.35117,-0.832474,0
1,4,99,0.0776302,0.157203,-3.41916,-3.35117,0.157203,1
1,3,99,0.377037,0.0900535,-3.41916,-3.35117,0.0900535,0
1,2,99,-0.512369,0.13725,-3.41916,-3.35117,0.13725,1
1,1,99,-1.12474,-0.488011,-3.41916,-3.35117,-0.488011,1
1,20,98,-2.17469,-1.54533,-3.41916,-3.12829,-1.54533,1
1,19,98,-2.06013,-0.355999,-3.41916,-3.12829,-0.355999,1
1,18,98,-2.05784,0.0469032,-3.41916,-3.12829,0.0469032,1
1,17,98,-1.26356,-1.08863,-3.41916,-3.12829,-1.08863,1
1,15,98,-0.782622,-1.02754,-3.41916,-3.12829,-1.02754,0
1,13,98,-0.72145,-0.17302,-3.41916,-3.12829,-0.72145,1
1,12,98,-0.569236,-0.406259,-3.41916,-3.12829,-0.406259,1
1,9,98,-0.405327,0.104489,-3.41916,-3.12829,0.104489,1
1,7,98,0.219383,-0.744901,-3.41916,-3.12829,-0.744901,0
1,4,98,0.415284,0.45311,-3.41916,-3.12829,0.45311,1
1,3,98,0.565593,0.327611,-3.41916,-3.12829,0.327611,0
1,2,98,-0.500782,0.683438,-3.41916,-3.12829,0.683438,1
1,1,98,-1.10485,-0.201371,-3.41916,-3.12829,-0.201371,1
1,20,97,-1.77458,-1.40695,-3.41916,-2.81209,-1.77458,1
1,19,97,-1.74597,-0.439843,-3.41916,-2.81209,-0.439843,1
1,18,97,-1.62658,0.131296,-3.41916,-2.81209,0.131296,1
1,17,97,-1.16795,-1.09225,-3.41916,-2.81209,-1.09225,1
1,15,97,-0.679491,-1.07464,-3.41916,-2.81209,-1.07464,0
1,13,97,-0.633686,0.00484311,-3.41916,-2.81209,0.00484311,1
1,12,97,-0.464743,-0.242301,-3.41916,-2.81209,-0.242301,1
1,7,97,0.189216,-0.656136,-3.41916,-2.81209,-0.656136,0
1,4,97,0.336554,0.352913,-3.41916,-2.81209,0.352913,1
1,3,97,0.239353,0.283924,-3.41916,-2.81209,0.283924,1
1,2,97,0.023356,0.354404,-3.41916,-2.81209,0.354404,1
1,20,96,-1.50967,-1.1974,-3.41916,-2.99602,-1.1974,1
1,19,96,-1.47246,-0.328398,-3.41916,-2.99602,-0.328398,1
1,18,96,-1.59533,0.0632071,-3.41916,-2.99602,0.0632071,1
1,17,96,-0.993046,-1.0269,-3.41916,-2.99602,-1.0269,0
1,15,96,-0.383879,-0.992934,-3.41916,-2.99602,-0.992934,0
1,13,96,-0.579377,0.0496686,-3.41916,-2.99602,-0.579377,1
1,12,96,-0.333996,-0.171498,-3.41916,-2.99602,-0.171498,1
1,9,96,-0.135634,0.159304,-3.41916,-2.99602,0.159304,1
1,7,96,0.242383,-0.656759,-3.41916,-2.99602,-0.656759,0
1,4,96,0.318085,0.507222,-3.41916,-2.99602,0.507222,1
1,3,96,0.643566,0.280622,-3.41916,-2.99602,0.280622,0
1,2,96,0.183392,0.619708,-3.41916,-2.99602,0.619708,1
1,19,95,-1.77237,-0.31823,-3.41916,-2.85377,-0.31823,1
1,17,95,-1.11268,-0.969236,-3.41916,-2.85377,-0.969236,1
1,15,95,-0.438418,-1.04991,-3.41916,-2.85377,-1.04991,0
1,13,95,-0.378924,-0.0465329,-3.41916,-2.85377,-0.0465329,1
1,7,95,0.0658819,-0.676863,-3.41916,-2.85377,-0.676863,0
1,4,95,0.491471,0.490182,-3.41916,-2.85377,0.490182,0
1,2,95,0.146982,0.675964,-3.41916,-2.85377,0.675964,1
1,1,95,0.528365,-0.212054,-3.41916,-2.85377,-0.212054,0
