Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.4519,-1.48519,-3.41916,-3.35117,-1.48519,1
1,19,99,-2.8447,-1.11838,-3.41916,-3.35117,-1.11838,1
1,18,99,-1.92602,-1.16216,-3.41916,-3.35117,-1.16216,1
1,17,99,-1.773,-0.953662,-3.41916,-3.35117,-0.953662,1
1,15,99,-1.34488,-1.52195,-3.41916,-3.35117,-1.52195,0
1,13,99,-1.153,-1.77425,-3.41916,-3.35117,-1.77425,0
1,12,99,-0.978834,-1.06618,-3.41916,-3.35117,-0.978834,0
1,10,99,-1.29718,-0.609903,-3.41916,-3.35117,-1.29718,1
1,9,99,-1.14089,-0.393365,-3.41916,-3.35117,-0.393365,1
1,7,99,-0.898025,-0.453714,-3.41916,-3.35117,-0.453714,1
1,4,99,-0.4485,-0.183769,-3.41916,-3.35117,-0.183769,1
1,3,99,-0.381121,-0.569321,-3.41916,-3.35117,-0.569321,0
1,2,99,-0.607806,-0.430726,-3.41916,-3.35117,-0.430726,1
1,1,99,-2.45462,-0.565886,-3.41916,-3.35117,-0.565886,1
1,20,98,-2.3073,-1.47063,-3.41916,-3.12829,-1.47063,1
1,19,98,-2.23994,-0.982527,-3.41916,-3.12829,-0.982527,1
1,18,98,-1.85406,-1.18919,-3.41916,-3.12829,-1.18919,1
1,17,98,-1.44593,-0.855433,-3.41916,-3.12829,-0.855433,1
1,15,98,-1.40767,-1.49931,-3.41916,-3.12829,-1.49931,0
1,13,98,-0.86048,-1.92808,-3.41916,-3.12829,-0.86048,0
1,12,98,-0.909824,-0.718918,-3.41916,-3.12829,-0.718918,1
1,9,98,-0.953359,-0.366201,-3.41916,-3.12829,-0.366201,1
1,7,98,-0.631044,-0.490679,-3.41916,-3.12829,-0.490679,1
1,4,98,-0.390256,-0.146148,-3.41916,-3.12829,-0.146148,1
1,3,98,-0.380371,-0.440355,-3.41916,-3.12829,-0.440355,0
1,2,98,-0.583802,-0.300517,-3.41916,-3.12829,-0.300517,1
1,1,98,-2.42219,-0.321834,-3.41916,-3.12829,-0.321834,1
1,20,97,-1.88645,-1.32974,-3.41916,-2.81209,-1.88645,1
1,19,97,-2.13011,-1.19168,-3.41916,-2.81209,-1.19168,1
1,18,97,-1.45416,-1.05818,-3.41916,-2.81209,-1.05818,1
1,17,97,-1.3765,-0.80459,-3.41916,-2.81209,-0.80459,1
1,15,97,-1.10152,-1.25275,-3.41916,-2.81209,-1.25275,0
1,13,97,-0.732847,-1.64288,-3.41916,-2.81209,-1.64288,0
1,12,97,-0.907834,-0.674578,-3.41916,-2.81209,-0.674578,1
1,7,97,-0.604635,-0.381842,-3.41916,-2.81209,-0.381842,1
1,4,97,-0.417244,-0.178662,-3.41916,-2.81209,-0.178662,1
1,3,97,-0.326407,-0.487121,-3.41916,-2.81209,-0.487121,0
1,2,97,-0.263346,-0.327707,-3.41916,-2.81209,-0.327707,0
1,20,96,-1.80751,-1.19098,-3.41916,-2.99602,-1.19098,1
1,19,96,-1.86379,-0.946288,-3.41916,-2.99602,-0.946288,1
1,18,96,-1.5764,-1.23544,-3.41916,-2.99602,-1.23544,1
1,17,96,-1.23561,-0.896836,-3.41916,-2.99602,-0.896836,1
1,15,96,-0.99239,-1.30424,-3.41916,-2.99602,-1.30424,0
1,13,96,-0.692379,-1.79456,-3.41916,-2.99602,-0.692379,0
1,12,96,-0.806741,-0.533047,-3.41916,-2.99602,-0.533047,1
1,9,96,-0.798558,-0.247637,-3.41916,-2.99602,-0.247637,1
1,7,96,-0.519518,-0.319514,-3.41916,-2.99602,-0.319514,1
1,4,96,-0.306523,-0.175578,-3.41916,-2.99602,-0.175578,1
