Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.33861,-1.21329,-3.41916,-3.35117,-1.21329,1
1,19,99,-2.31332,-1.44939,-3.41916,-3.35117,-1.44939,1
1,18,99,-2.03201,-0.554554,-3.41916,-3.35117,-0.554554,1
1,17,99,-1.23442,-1.39478,-3.41916,-3.35117,-1.39478,0
1,15,99,-0.745944,-2.16401,-3.41916,-3.35117,-2.16401,0
1,13,99,-0.884549,-0.822771,-3.41916,-3.35117,-0.822771,1
1,12,99,-0.802334,-0.951634,-3.41916,-3.35117,-0.802334,0
1,10,99,-0.633687,0.319738,-3.41916,-3.35117,-0.633687,1
1,9,99,-1.4715,-0.61295,-3.41916,-3.35117,-0.61295,1
1,7,99,0.121389,-0.426457,-3.41916,-3.35117,-0.426457,0
1,4,99,0.285625,0.435188,-3.41916,-3.35117,0.435188,1
1,3,99,0.189604,0.395164,-3.41916,-3.35117,0.395164,1
1,2,99,0.192367,0.176882,-3.41916,-3.35117,0.176882,0
1,1,99,-1.09903,-0.409432,-3.41916,-3.35117,-0.409432,1
1,20,98,-2.17547,-1.18306,-3.41916,-3.12829,-1.18306,1
1,19,98,-1.99939,-1.25393,-3.41916,-3.12829,-1.25393,1
1,18,98,-1.98063,-0.578149,-3.41916,-3.12829,-0.578149,1
1,17,98,-0.986441,-1.364,-3.41916,-3.12829,-1.364,0
1,15,98,-0.66566,-1.7658,-3.41916,-3.12829,-1.7658,0
1,13,98,-0.528542,-0.890307,-3.41916,-3.12829,-0.528542,0
1,12,98,-0.269713,-0.125968,-3.41916,-3.12829,-0.125968,1
1,9,98,-0.707228,-0.590663,-3.41916,-3.12829,-0.590663,1
1,7,98,0.0768919,-0.31866,-3.41916,-3.12829,-0.31866,0
1,4,98,0.246577,0.501678,-3.41916,-3.12829,0.501678,1
1,3,98,0.213847,0.300679,-3.41916,-3.12829,0.300679,1
1,2,98,0.297152,0.311588,-3.41916,-3.12829,0.311588,1
1,1,98,-0.81064,-0.369346,-3.41916,-3.12829,-0.369346,1
1,20,97,-1.92715,-1.0461,-3.41916,-2.81209,-1.92715,1
1,19,97,-1.9013,-1.3819,-3.41916,-2.81209,-1.3819,1
1,18,97,-1.65559,-0.522934,-3.41916,-2.81209,-0.522934,1
1,17,97,-1.05047,-1.47729,-3.41916,-2.81209,-1.47729,0
1,15,97,-0.576504,-1.88714,-3.41916,-2.81209,-1.88714,0
1,13,97,-0.410038,-0.653913,-3.41916,-2.81209,-0.653913,0
1,12,97,-0.224958,-0.0433777,-3.41916,-2.81209,-0.0433777,1
1,7,97,0.139424,-0.296191,-3.41916,-2.81209,-0.296191,0
