Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.048,-0.579317,-3.41916,-3.35117,-0.579317,1
1,19,99,-2.03639,0.00141232,-3.41916,-3.35117,0.00141232,1
1,18,99,-1.70136,0.48542,-3.41916,-3.35117,0.48542,1
1,17,99,-1.63695,-0.960734,-3.41916,-3.35117,-0.960734,1
1,15,99,-0.68903,-0.94917,-3.41916,-3.35117,-0.94917,0
1,13,99,-1.49097,0.0514491,-3.41916,-3.35117,0.0514491,1
1,12,99,-0.250315,-0.86877,-3.41916,-3.35117,-0.250315,0
1,10,99,0.209385,-0.343116,-3.41916,-3.35117,0.209385,0
1,9,99,-0.718359,0.509135,-3.41916,-3.35117,0.509135,1
1,7,99,0.077898,0.00640599,-3.41916,-3.35117,0.00640599,0
1,4,99,0.119993,0.317941,-3.41916,-3.35117,0.317941,1
1,3,99,0.340303,0.319746,-3.41916,-3.35117,0.319746,0
1,2,99,0.233139,0.431151,-3.41916,-3.35117,0.431151,1
1,1,99,-1.23285,-0.228698,-3.41916,-3.35117,-0.228698,1
1,20,98,-1.771,-0.693795,-3.41916,-3.12829,-0.693795,1
1,19,98,-1.82222,0.144645,-3.41916,-3.12829,0.144645,1
1,18,98,-1.59657,0.437455,-3.41916,-3.12829,0.437455,1
1,17,98,-1.08717,-0.75661,-3.41916,-3.12829,-0.75661,1
1,15,98,-0.499165,-0.625994,-3.41916,-3.12829,-0.625994,0
1,13,98,-0.876115,0.0454398,-3.41916,-3.12829,-0.876115,1
1,12,98,0.103238,-0.322377,-3.41916,-3.12829,-0.322377,0
1,9,98,-0.334042,0.513856,-3.41916,-3.12829,0.513856,1
1,7,98,0.130787,0.113882,-3.41916,-3.12829,0.113882,0
1,4,98,0.224233,0.437401,-3.41916,-3.12829,0.437401,1
1,3,98,0.449211,0.434661,-3.41916,-3.12829,0.434661,0
1,2,98,0.214754,0.567804,-3.41916,-3.12829,0.567804,1
1,1,98,-1.26095,-0.17346,-3.41916,-3.12829,-0.17346,1
1,20,97,-1.66647,-0.559564,-3.41916,-2.81209,-1.66647,1
1,19,97,-1.29805,0.171791,-3.41916,-2.81209,0.171791,1
1,18,97,-1.35347,0.502876,-3.41916,-2.81209,0.502876,1
1,17,97,-1.10284,-0.77909,-3.41916,-2.81209,-0.77909,1
1,15,97,-0.431565,-0.646078,-3.41916,-2.81209,-0.646078,0
1,13,97,-0.523004,0.190825,-3.41916,-2.81209,0.190825,1
1,12,97,0.151466,-0.230768,-3.41916,-2.81209,-0.230768,0
1,7,97,0.17331,0.228685,-3.41916,-2.81209,0.228685,1
1,4,97,0.383291,0.458866,-3.41916,-2.81209,0.458866,1
1,3,97,0.531154,0.574759,-3.41916,-2.81209,0.574759,1
1,2,97,0.367543,0.717381,-3.41916,-2.81209,0.717381,1
1,20,96,-1.28421,-0.400921,-3.41916,-2.99602,-0.400921,1
1,19,96,-1.39944,0.10375,-3.41916,-2.99602,0.10375,1
1,18,96,-0.919074,0.432118,-3.41916,-2.99602,0.432118,1
1,17,96,-0.919741,-0.647217,-3.41916,-2.99602,-0.647217,1
1,15,96,-0.0412156,-0.564248,-3.41916,-2.99602,-0.564248,0
1,13,96,-0.531105,0.287996,-3.41916,-2.99602,-0.531105,1
1,12,96,0.335729,-0.168168,-3.41916,-2.99602,-0.168168,0
1,9,96,-0.178887,0.682664,-3.41916,-2.99602,0.682664,1
1,7,96,0.300328,0.268496,-3.41916,-2.99602,0.268496,0
1,4,96,0.485414,0.497916,-3.41916,-2.99602,0.497916,1
1,3,96,0.649139,0.636212,-3.41916,-2.99602,0.636212,0
1,2,96,0.585666,0.803386,-3.41916,-2.99602,0.803386,1
1,19,95,-1.37851,0.257784,-3.41916,-2.85377,0.257784,1
1,17,95,-0.814533,-0.672837,-3.41916,-2.85377,-0.672837,1
1,15,95,-0.0644094,-0.608259,-3.41916,-2.85377,-0.608259,0
1,13,95,-0.338078,0.378615,-3.41916,-2.85377,0.378615,1
1,7,95,0.337755,0.297102,-3.41916,-2.85377,0.297102,0
1,4,95,0.509694,0.585773,-3.41916,-2.85377,0.585773,1
1,2,95,0.613997,0.867324,-3.41916,-2.85377,0.867324,1
1,1,95,0.606444,0.0802503,-3.41916,-2.85377,0.0802503,0
1,19,94,-1.16173,0.179269,-3.41916,-2.55553,0.179269,1
1,17,94,-0.889507,-0.542533,-3.41916,-2.55553,-0.542533,1
1,15,94,0.0388277,-0.360247,-3.41916,-2.55553,-0.360247,0
1,13,94,0.00335566,0.478008,-3.41916,-2.55553,0.478008,1
1,7,94,0.465939,0.427294,-3.41916,-2.55553,0.427294,0
1,4,94,0.524785,0.651524,-3.41916,-2.55553,0.651524,1
1,2,94,0.717191,0.917206,-3.41916,-2.55553,0.917206,1
1,1,94,0.565988,0.216545,-3.41916,-2.55553,0.216545,0
