Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.46439,-1.39183,-3.41916,-3.35117,-1.39183,1
1,19,99,-2.57382,-1.27378,-3.41916,-3.35117,-1.27378,1
1,18,99,-2.44848,-1.34315,-3.41916,-3.35117,-1.34315,1
1,17,99,-2.05143,-1.38092,-3.41916,-3.35117,-1.38092,1
1,15,99,-1.38147,-1.65982,-3.41916,-3.35117,-1.65982,0
1,13,99,-1.74617,-1.97052,-3.41916,-3.35117,-1.97052,0
1,12,99,-1.12544,-1.38053,-3.41916,-3.35117,-1.12544,0
1,10,99,-1.23922,-0.736705,-3.41916,-3.35117,-0.736705,1
1,9,99,-0.716548,-1.03325,-3.41916,-3.35117,-1.03325,0
1,7,99,-0.465603,-0.425133,-3.41916,-3.35117,-0.425133,1
1,4,99,-0.661503,-0.160878,-3.41916,-3.35117,-0.160878,1
1,3,99,-0.821855,-0.439311,-3.41916,-3.35117,-0.439311,1
1,2,99,-0.966581,-0.524434,-3.41916,-3.35117,-0.524434,1
1,1,99,-1.17783,-1.32169,-3.41916,-3.35117,-1.32169,0
1,20,98,-2.31274,-1.35176,-3.41916,-3.12829,-1.35176,1
1,19,98,-2.44396,-1.1037,-3.41916,-3.12829,-1.1037,1
1,18,98,-2.29817,-1.3411,-3.41916,-3.12829,-1.3411,1
1,17,98,-1.85394,-1.32029,-3.41916,-3.12829,-1.32029,1
1,15,98,-1.29216,-1.59025,-3.41916,-3.12829,-1.59025,0
1,13,98,-1.41474,-1.97242,-3.41916,-3.12829,-1.41474,0
1,12,98,-0.906725,-1.63662,-3.41916,-3.12829,-1.63662,0
1,9,98,-0.659919,-1.00456,-3.41916,-3.12829,-1.00456,0
1,7,98,-0.331212,-0.321742,-3.41916,-3.12829,-0.321742,1
1,4,98,-0.4087,-0.216322,-3.41916,-3.12829,-0.216322,1
1,3,98,-0.659082,-0.223679,-3.41916,-3.12829,-0.223679,1
1,2,98,-0.72963,-0.439367,-3.41916,-3.12829,-0.439367,1
1,1,98,-0.928369,-1.26906,-3.41916,-3.12829,-1.26906,0
1,20,97,-1.87981,-1.25586,-3.41916,-2.81209,-1.87981,1
1,19,97,-2.2615,-1.37261,-3.41916,-2.81209,-1.37261,1
1,18,97,-2.05245,-1.47215,-3.41916,-2.81209,-1.47215,1
1,17,97,-1.75962,-1.37575,-3.41916,-2.81209,-1.37575,1
1,15,97,-1.19822,-1.52166,-3.41916,-2.81209,-1.52166,0
1,13,97,-1.3024,-1.83402,-3.41916,-2.81209,-1.83402,0
1,12,97,-0.867569,-1.51468,-3.41916,-2.81209,-1.51468,0
1,7,97,-0.292201,-0.26833,-3.41916,-2.81209,-0.26833,1
1,4,97,-0.411207,-0.115497,-3.41916,-2.81209,-0.115497,1
1,3,97,-0.554824,-0.260989,-3.41916,-2.81209,-0.260989,1
1,2,97,-0.372025,-0.519637,-3.41916,-2.81209,-0.519637,0
1,20,96,-1.77884,-1.14758,-3.41916,-2.99602,-1.14758,1
1,19,96,-2.12933,-1.18479,-3.41916,-2.99602,-1.18479,1
1,18,96,-1.81121,-1.21198,-3.41916,-2.99602,-1.21198,1
1,17,96,-1.60226,-1.16722,-3.41916,-2.99602,-1.16722,1
1,15,96,-1.04858,-1.55672,-3.41916,-2.99602,-1.55672,0
1,13,96,-1.3037,-1.82446,-3.41916,-2.99602,-1.3037,0
1,12,96,-0.714606,-1.4055,-3.41916,-2.99602,-1.4055,0
1,9,96,-0.332078,-0.873967,-3.41916,-2.99602,-0.873967,0
1,7,96,-0.150009,-0.193681,-3.41916,-2.99602,-0.193681,0
1,4,96,-0.343166,-0.070431,-3.41916,-2.99602,-0.070431,1
1,3,96,-0.417382,-0.271485,-3.41916,-2.99602,-0.271485,1
1,2,96,-0.285832,-0.27645,-3.41916,-2.99602,-0.27645,1
1,19,95,-1.99164,-0.934913,-3.41916,-2.85377,-0.934913,1
1,17,95,-1.55592,-1.20248,-3.41916,-2.85377,-1.20248,1
1,15,95,-0.942729,-1.54148,-3.41916,-2.85377,-1.54148,0
1,13,95,-1.02605,-1.68049,-3.41916,-2.85377,-1.68049,0
1,7,95,-0.0154858,0.00195732,-3.41916,-2.85377,0.00195732,1
1,4,95,-0.227813,0.00171261,-3.41916,-2.85377,0.00171261,1
1,2,95,-0.20204,-0.202149,-3.41916,-2.85377,-0.202149,0
1,1,95,-0.0652526,-1.02348,-3.41916,-2.85377,-1.02348,0
