Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.16827,-1.03911,-3.41916,-3.35117,-1.03911,1
1,19,99,-2.19386,-1.43395,-3.41916,-3.35117,-1.43395,1
1,18,99,-2.29337,-0.157906,-3.41916,-3.35117,-0.157906,1
1,17,99,-1.30445,-1.08959,-3.41916,-3.35117,-1.08959,1
1,15,99,-0.737373,-1.09499,-3.41916,-3.35117,-1.09499,0
1,13,99,-1.30176,-1.25349,-3.41916,-3.35117,-1.25349,1
1,12,99,-0.696274,-0.42164,-3.41916,-3.35117,-0.696274,1
1,10,99,0.122333,0.191826,-3.41916,-3.35117,0.191826,1
1,9,99,-0.0953934,0.115094,-3.41916,-3.35117,0.115094,1
1,7,99,-0.230111,0.156377,-3.41916,-3.35117,0.156377,1
1,4,99,0.258347,0.602624,-3.41916,-3.35117,0.602624,1
1,3,99,0.129001,0.322148,-3.41916,-3.35117,0.322148,1
1,2,99,-0.62794,0.535281,-3.41916,-3.35117,0.535281,1
1,1,99,-2.78645,-0.776269,-3.41916,-3.35117,-0.776269,1
1,20,98,-1.83431,-1.03813,-3.41916,-3.12829,-1.03813,1
1,19,98,-1.72577,-1.26557,-3.41916,-3.12829,-1.26557,1
1,18,98,-2.22371,-0.154966,-3.41916,-3.12829,-0.154966,1
1,17,98,-0.984771,-0.97275,-3.41916,-3.12829,-0.97275,1
1,15,98,-0.632489,-1.12943,-3.41916,-3.12829,-1.12943,0
1,13,98,-0.687636,-1.26195,-3.41916,-3.12829,-0.687636,0
1,12,98,-0.383906,-0.213062,-3.41916,-3.12829,-0.213062,1
1,9,98,-0.106696,-0.0109308,-3.41916,-3.12829,-0.0109308,1
1,7,98,0.120836,0.247024,-3.41916,-3.12829,0.247024,1
1,4,98,0.332465,0.705026,-3.41916,-3.12829,0.705026,1
1,3,98,0.184842,0.426681,-3.41916,-3.12829,0.426681,1
1,2,98,-0.529758,0.670621,-3.41916,-3.12829,0.670621,1
1,1,98,-2.77601,-0.651625,-3.41916,-3.12829,-0.651625,1
1,20,97,-1.36751,-0.977204,-3.41916,-2.81209,-1.36751,1
1,19,97,-1.17688,-0.99438,-3.41916,-2.81209,-0.99438,1
1,18,97,-1.76598,-0.0718314,-3.41916,-2.81209,-0.0718314,1
1,17,97,-1.09614,-1.025,-3.41916,-2.81209,-1.025,1
1,15,97,-0.472618,-0.857491,-3.41916,-2.81209,-0.857491,0
1,13,97,-0.478049,-1.09231,-3.41916,-2.81209,-1.09231,0
1,12,97,-0.301417,-0.0302328,-3.41916,-2.81209,-0.0302328,1
1,7,97,0.128761,0.309111,-3.41916,-2.81209,0.309111,1
1,4,97,0.370588,0.700044,-3.41916,-2.81209,0.700044,1
1,3,97,0.513495,0.427719,-3.41916,-2.81209,0.427719,0
1,2,97,0.0456367,0.665595,-3.41916,-2.81209,0.665595,1
1,20,96,-1.24958,-0.799078,-3.41916,-2.99602,-0.799078,1
1,19,96,-1.22301,-1.31888,-3.41916,-2.99602,-1.31888,0
1,18,96,-1.46406,-0.249878,-3.41916,-2.99602,-0.249878,1
1,17,96,-0.72769,-0.910132,-3.41916,-2.99602,-0.910132,0
1,15,96,-0.22074,-0.831004,-3.41916,-2.99602,-0.831004,0
1,13,96,-0.448424,-1.07935,-3.41916,-2.99602,-0.448424,0
1,12,96,-0.00994762,0.047457,-3.41916,-2.99602,0.047457,1
1,9,96,0.0680096,0.202938,-3.41916,-2.99602,0.202938,1
1,7,96,0.14992,0.351769,-3.41916,-2.99602,0.351769,1
1,4,96,0.468289,0.800897,-3.41916,-2.99602,0.800897,1
1,3,96,0.580032,0.549137,-3.41916,-2.99602,0.549137,0
1,2,96,0.13636,0.756129,-3.41916,-2.99602,0.756129,1
1,19,95,-1.05345,-1.137,-3.41916,-2.85377,-1.137,0
1,17,95,-0.817396,-0.914269,-3.41916,-2.85377,-0.914269,0
1,15,95,-0.265846,-0.846412,-3.41916,-2.85377,-0.846412,0
1,13,95,-0.445519,-0.981946,-3.41916,-2.85377,-0.981946,0
1,7,95,0.0859082,0.245884,-3.41916,-2.85377,0.245884,1
1,4,95,0.49264,0.863309,-3.41916,-2.85377,0.863309,1
1,2,95,0.185148,0.793293,-3.41916,-2.85377,0.793293,1
1,1,95,-0.393153,-0.447323,-3.41916,-2.85377,-0.447323,0
1,19,94,-0.958643,-1.08142,-3.41916,-2.55553,-1.08142,0
1,17,94,-0.696541,-0.578537,-3.41916,-2.55553,-0.578537,1
1,15,94,-0.0706633,-0.390938,-3.41916,-2.55553,-0.390938,0
1,13,94,-0.312296,-0.788384,-3.41916,-2.55553,-0.788384,0
1,7,94,0.292437,0.482742,-3.41916,-2.55553,0.482742,1
1,4,94,0.530336,0.886569,-3.41916,-2.55553,0.886569,1
1,2,94,0.257814,0.878375,-3.41916,-2.55553,0.878375,1
1,1,94,-0.262069,-0.317701,-3.41916,-2.55553,-0.317701,0
1,19,93,-1.04938,-1.2721,-3.41916,-2.51688,-1.2721,0
1,17,93,-0.48186,-0.659108,-3.41916,-2.51688,-0.48186,0
1,15,93,-0.232751,-0.477025,-3.41916,-2.51688,-0.477025,0
1,13,93,-0.393313,-0.735348,-3.41916,-2.51688,-0.735348,0
1,7,93,0.495615,0.670868,-3.41916,-2.51688,0.670868,1
1,4,93,0.431846,0.863368,-3.41916,-2.51688,0.863368,1
1,2,93,0.318323,0.887519,-3.41916,-2.51688,0.887519,1
1,1,93,-0.216711,-0.291409,-3.41916,-2.51688,-0.291409,0
1,19,92,-0.938893,-1.10131,-6.43894,-2.39982,-1.10131,0
1,17,92,-0.467106,-0.402747,-6.43894,-2.39982,-0.402747,1
1,15,92,-0.159022,-0.376275,-6.43894,-2.39982,-0.376275,0
1,13,92,-0.111414,-0.5793,-6.43894,-2.39982,-0.5793,0
1,7,92,0.399474,0.577977,-6.43894,-2.39982,0.577977,1
1,4,92,0.596223,0.957732,-6.43894,-2.39982,0.957732,1
1,2,92,0.345854,0.979245,-6.43894,-2.39982,0.979245,1
1,1,92,-0.147693,-0.239761,-6.43894,-2.39982,-0.239761,0
1,19,91,-0.781964,-0.888261,-6.29331,-2.45927,-0.888261,0
1,17,91,-0.494606,-0.288428,-6.29331,-2.45927,-0.288428,1
1,15,91,0.132408,-0.203858,-6.29331,-2.45927,0.132408,0
