Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.3231,-1.39919,-3.41916,-3.35117,-1.39919,1
1,19,99,-2.39543,-2.03973,-3.41916,-3.35117,-2.03973,1
1,18,99,-2.02056,-0.816957,-3.41916,-3.35117,-0.816957,1
1,17,99,-1.82757,-1.69714,-3.41916,-3.35117,-1.69714,1
1,15,99,-1.21617,-1.39301,-3.41916,-3.35117,-1.39301,0
1,13,99,-1.39442,-1.40836,-3.41916,-3.35117,-1.40836,0
1,12,99,-1.24817,-1.5531,-3.41916,-3.35117,-1.24817,0
1,10,99,-1.50516,-0.423234,-3.41916,-3.35117,-1.50516,1
1,9,99,-1.04389,-0.430439,-3.41916,-3.35117,-0.430439,1
1,7,99,-0.728648,-0.91589,-3.41916,-3.35117,-0.91589,0
1,4,99,-0.413257,-0.265294,-3.41916,-3.35117,-0.265294,1
1,3,99,-0.56411,-0.580742,-3.41916,-3.35117,-0.580742,0
1,2,99,-0.749089,-0.737747,-3.41916,-3.35117,-0.737747,1
1,1,99,-1.26859,-1.16614,-3.41916,-3.35117,-1.16614,1
1,20,98,-2.01941,-1.4624,-3.41916,-3.12829,-1.4624,1
1,19,98,-2.07304,-1.86191,-3.41916,-3.12829,-1.86191,1
1,18,98,-1.8065,-0.769924,-3.41916,-3.12829,-0.769924,1
1,17,98,-1.49044,-1.61414,-3.41916,-3.12829,-1.61414,0
1,15,98,-1.22641,-1.2356,-3.41916,-3.12829,-1.2356,0
1,13,98,-1.08893,-1.39243,-3.41916,-3.12829,-1.08893,0
1,12,98,-0.954862,-1.22844,-3.41916,-3.12829,-1.22844,0
1,9,98,-0.831355,-0.501489,-3.41916,-3.12829,-0.501489,1
1,7,98,-0.712685,-0.861211,-3.41916,-3.12829,-0.861211,0
1,4,98,-0.417238,-0.2863,-3.41916,-3.12829,-0.2863,1
1,3,98,-0.5121,-0.489375,-3.41916,-3.12829,-0.489375,1
1,2,98,-0.747906,-0.589898,-3.41916,-3.12829,-0.589898,1
1,1,98,-1.3,-1.18721,-3.41916,-3.12829,-1.18721,1
1,20,97,-1.77548,-1.36282,-3.41916,-2.81209,-1.77548,1
1,19,97,-1.77124,-1.36781,-3.41916,-2.81209,-1.36781,1
1,18,97,-1.63293,-0.77744,-3.41916,-2.81209,-0.77744,1
