Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.47823,-1.49575,-3.41916,-3.35117,-1.49575,1
1,19,99,-2.72684,-1.1052,-3.41916,-3.35117,-1.1052,1
1,18,99,-2.23728,-0.807362,-3.41916,-3.35117,-0.807362,1
1,17,99,-1.98929,-1.08138,-3.41916,-3.35117,-1.08138,1
1,15,99,-1.25536,-2.23119,-3.41916,-3.35117,-2.23119,0
1,13,99,-1.34886,-1.25996,-3.41916,-3.35117,-1.25996,1
1,12,99,-1.13083,-1.35967,-3.41916,-3.35117,-1.13083,0
1,10,99,-1.15039,-1.59435,-3.41916,-3.35117,-1.59435,0
1,9,99,-1.27659,-0.808747,-3.41916,-3.35117,-0.808747,1
1,7,99,-1.01544,-0.330616,-3.41916,-3.35117,-0.330616,1
1,4,99,-1.07271,-0.800028,-3.41916,-3.35117,-0.800028,1
1,3,99,-0.803728,-1.37379,-3.41916,-3.35117,-1.37379,0
1,2,99,-1.0607,-0.332338,-3.41916,-3.35117,-0.332338,1
1,1,99,-1.52103,-1.5514,-3.41916,-3.35117,-1.5514,0
1,20,98,-2.1911,-1.43906,-3.41916,-3.12829,-1.43906,1
1,19,98,-2.45981,-1.09125,-3.41916,-3.12829,-1.09125,1
1,18,98,-2.10921,-0.742318,-3.41916,-3.12829,-0.742318,1
1,17,98,-1.5636,-1.09264,-3.41916,-3.12829,-1.09264,1
1,15,98,-1.27531,-1.82596,-3.41916,-3.12829,-1.82596,0
1,13,98,-1.0846,-1.24061,-3.41916,-3.12829,-1.0846,0
1,12,98,-0.866029,-1.10122,-3.41916,-3.12829,-1.10122,0
1,9,98,-1.26986,-0.827788,-3.41916,-3.12829,-0.827788,1
1,7,98,-0.846497,-0.254937,-3.41916,-3.12829,-0.254937,1
1,4,98,-1.13626,-0.703506,-3.41916,-3.12829,-0.703506,1
1,3,98,-0.85148,-1.21594,-3.41916,-3.12829,-1.21594,0
1,2,98,-1.03022,-0.238807,-3.41916,-3.12829,-0.238807,1
1,1,98,-1.41247,-1.42113,-3.41916,-3.12829,-1.42113,0
1,20,97,-1.92288,-1.37508,-3.41916,-2.81209,-1.92288,1
1,19,97,-1.88739,-1.04598,-3.41916,-2.81209,-1.04598,1
1,18,97,-1.84146,-0.726763,-3.41916,-2.81209,-0.726763,1
1,17,97,-1.51121,-0.836605,-3.41916,-2.81209,-0.836605,1
1,15,97,-1.03322,-1.88354,-3.41916,-2.81209,-1.88354,0
1,13,97,-0.876235,-1.02258,-3.41916,-2.81209,-1.02258,0
1,12,97,-0.764247,-0.950639,-3.41916,-2.81209,-0.950639,0
1,7,97,-0.759939,-0.161953,-3.41916,-2.81209,-0.161953,1
1,4,97,-1.00869,-0.666284,-3.41916,-2.81209,-0.666284,1
1,3,97,-0.734079,-1.10238,-3.41916,-2.81209,-1.10238,0
1,2,97,-0.960783,-0.189811,-3.41916,-2.81209,-0.189811,1
1,20,96,-1.70028,-1.17389,-3.41916,-2.99602,-1.17389,1
1,19,96,-1.86459,-0.992161,-3.41916,-2.99602,-0.992161,1
1,18,96,-1.60484,-0.756495,-3.41916,-2.99602,-0.756495,1
