Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.1574,-1.57617,-3.41916,-3.35117,-1.57617,1
1,19,99,-1.95356,-1.05503,-3.41916,-3.35117,-1.05503,1
1,18,99,-2.25515,-0.1034,-3.41916,-3.35117,-0.1034,1
1,17,99,-1.37782,-1.47754,-3.41916,-3.35117,-1.47754,0
1,15,99,-1.06627,-1.06974,-3.41916,-3.35117,-1.06974,0
1,13,99,-1.32411,-0.599797,-3.41916,-3.35117,-0.599797,1
1,12,99,-0.772432,-0.799222,-3.41916,-3.35117,-0.772432,0
1,10,99,-0.429361,-0.76768,-3.41916,-3.35117,-0.76768,0
1,9,99,-0.747783,-0.161273,-3.41916,-3.35117,-0.161273,1
1,7,99,-0.299579,0.450737,-3.41916,-3.35117,0.450737,1
1,4,99,-0.0434659,0.224617,-3.41916,-3.35117,0.224617,1
1,3,99,-0.0996815,0.00544171,-3.41916,-3.35117,0.00544171,1
1,2,99,-0.061321,-0.0128245,-3.41916,-3.35117,-0.0128245,1
1,1,99,-0.296857,-0.41676,-3.41916,-3.35117,-0.41676,0
1,20,98,-1.9419,-1.49548,-3.41916,-3.12829,-1.49548,1
1,19,98,-1.63641,-0.920687,-3.41916,-3.12829,-0.920687,1
1,18,98,-1.41198,-0.134261,-3.41916,-3.12829,-0.134261,1
1,17,98,-1.17073,-1.42462,-3.41916,-3.12829,-1.42462,0
1,15,98,-1.02501,-0.844011,-3.41916,-3.12829,-0.844011,1
1,13,98,-1.03203,-0.811186,-3.41916,-3.12829,-1.03203,1
1,12,98,-0.212654,-0.736907,-3.41916,-3.12829,-0.736907,0
1,9,98,-0.536942,-0.151822,-3.41916,-3.12829,-0.151822,1
1,7,98,0.0212542,0.460859,-3.41916,-3.12829,0.460859,1
1,4,98,-0.0775971,0.357878,-3.41916,-3.12829,0.357878,1
1,3,98,-0.0449435,0.197874,-3.41916,-3.12829,0.197874,1
1,2,98,-0.0531227,-0.0966568,-3.41916,-3.12829,-0.0966568,0
1,1,98,0.00953045,-0.2587,-3.41916,-3.12829,-0.2587,0
1,20,97,-1.69165,-1.39938,-3.41916,-2.81209,-1.69165,1
1,19,97,-1.59224,-0.971831,-3.41916,-2.81209,-0.971831,1
1,18,97,-1.19221,0.145446,-3.41916,-2.81209,0.145446,1
1,17,97,-0.984734,-1.28135,-3.41916,-2.81209,-1.28135,0
1,15,97,-0.732164,-0.791309,-3.41916,-2.81209,-0.791309,0
1,13,97,-0.848199,-0.512618,-3.41916,-2.81209,-0.512618,1
1,12,97,-0.343104,-0.711535,-3.41916,-2.81209,-0.711535,0
1,7,97,0.0579803,0.464347,-3.41916,-2.81209,0.464347,1
1,4,97,0.0398931,0.456907,-3.41916,-2.81209,0.456907,1
1,3,97,0.140164,0.298517,-3.41916,-2.81209,0.298517,1
1,2,97,0.0607201,0.0487435,-3.41916,-2.81209,0.0487435,0
1,20,96,-1.49994,-1.35199,-3.41916,-2.99602,-1.35199,1
1,19,96,-1.43033,-0.943258,-3.41916,-2.99602,-0.943258,1
1,18,96,-1.25065,-0.0289788,-3.41916,-2.99602,-0.0289788,1
1,17,96,-0.946857,-1.32875,-3.41916,-2.99602,-1.32875,0
1,15,96,-0.568576,-0.758866,-3.41916,-2.99602,-0.758866,0
1,13,96,-0.738909,-0.351871,-3.41916,-2.99602,-0.738909,1
1,12,96,-0.0118852,-0.617382,-3.41916,-2.99602,-0.617382,0
1,9,96,-0.390268,0.00749402,-3.41916,-2.99602,0.00749402,1
1,7,96,0.0251787,0.542418,-3.41916,-2.99602,0.542418,1
1,4,96,0.168817,0.408365,-3.41916,-2.99602,0.408365,1
1,3,96,0.189901,0.194095,-3.41916,-2.99602,0.194095,1
1,2,96,0.210679,0.0887442,-3.41916,-2.99602,0.0887442,0
1,19,95,-1.3198,-0.806582,-3.41916,-2.85377,-0.806582,1
1,17,95,-0.998917,-1.32747,-3.41916,-2.85377,-1.32747,0
1,15,95,-0.631349,-0.836991,-3.41916,-2.85377,-0.836991,0
1,13,95,-0.469941,-0.193281,-3.41916,-2.85377,-0.193281,1
1,7,95,0.0492817,0.544557,-3.41916,-2.85377,0.544557,1
1,4,95,0.125147,0.512963,-3.41916,-2.85377,0.512963,1
1,2,95,0.25914,0.278072,-3.41916,-2.85377,0.278072,1
1,1,95,0.0251339,-0.026732,-3.41916,-2.85377,-0.026732,0
1,19,94,-1.26322,-0.737228,-3.41916,-2.55553,-0.737228,1
1,17,94,-0.821919,-1.07483,-3.41916,-2.55553,-1.07483,0
1,15,94,-0.466883,-0.60512,-3.41916,-2.55553,-0.60512,0
1,13,94,-0.361317,-0.200532,-3.41916,-2.55553,-0.200532,1
1,7,94,0.228521,0.601144,-3.41916,-2.55553,0.601144,1
1,4,94,0.100647,0.611706,-3.41916,-2.55553,0.611706,1
1,2,94,0.229346,0.257778,-3.41916,-2.55553,0.257778,1
1,1,94,0.425756,0.0709116,-3.41916,-2.55553,0.0709116,0
1,19,93,-1.32586,-0.81053,-3.41916,-2.51688,-0.81053,1
1,17,93,-0.77286,-1.06539,-3.41916,-2.51688,-1.06539,0
1,15,93,-0.573629,-0.766743,-3.41916,-2.51688,-0.766743,0
1,13,93,-0.394966,-0.326069,-3.41916,-2.51688,-0.326069,1
1,7,93,0.29925,0.687119,-3.41916,-2.51688,0.687119,1
1,4,93,0.184137,0.667836,-3.41916,-2.51688,0.667836,1
1,2,93,0.383052,0.343345,-3.41916,-2.51688,0.343345,0
1,1,93,0.614617,-0.00398867,-3.41916,-2.51688,-0.00398867,0
1,19,92,-1.16074,-0.69754,-6.43894,-2.39982,-0.69754,1
1,17,92,-0.788012,-0.972541,-6.43894,-2.39982,-0.972541,0
1,15,92,-0.409889,-0.513192,-6.43894,-2.39982,-0.513192,0
1,13,92,-0.373763,-0.00553947,-6.43894,-2.39982,-0.00553947,1
1,7,92,0.31455,0.774644,-6.43894,-2.39982,0.774644,1
1,4,92,0.257367,0.6856,-6.43894,-2.39982,0.6856,1
1,2,92,0.416479,0.441741,-6.43894,-2.39982,0.441741,1
1,1,92,0.521359,0.123624,-6.43894,-2.39982,0.123624,0
1,19,91,-1.22113,-0.719641,-6.29331,-2.45927,-0.719641,1
1,17,91,-0.89138,-1.03253,-6.29331,-2.45927,-1.03253,0
1,15,91,-0.321289,-0.446882,-6.29331,-2.45927,-0.321289,0
1,13,91,-0.315987,-0.0949009,-6.29331,-2.45927,-0.0949009,1
1,7,91,0.550212,0.946677,-6.29331,-2.45927,0.946677,1
1,4,91,0.236474,0.689493,-6.29331,-2.45927,0.689493,1
1,2,91,0.399389,0.488914,-6.29331,-2.45927,0.488914,1
1,1,91,0.394434,0.136653,-6.29331,-2.45927,0.136653,0
1,19,90,-1.33358,-0.926295,-6.05291,-2.36134,-0.926295,1
1,17,90,-0.853761,-1.05979,-6.05291,-2.36134,-1.05979,0
1,15,90,-0.285117,-0.475256,-6.05291,-2.36134,-0.475256,0
1,13,90,-0.226836,-0.000849448,-6.05291,-2.36134,-0.000849448,1
1,7,90,0.596639,1.06428,-6.05291,-2.36134,1.06428,1
1,4,90,0.412558,0.872843,-6.05291,-2.36134,0.872843,1
1,2,90,0.434865,0.569789,-6.05291,-2.36134,0.569789,1
1,1,90,0.76908,0.202834,-6.05291,-2.36134,0.202834,0
1,19,89,-1.34176,-1.02761,-5.75042,-2.39784,-1.02761,1
1,17,89,-0.768772,-0.926311,-5.75042,-2.39784,-0.768772,0
1,15,89,-0.322659,-0.547703,-5.75042,-2.39784,-0.547703,0
1,13,89,-0.125375,0.126005,-5.75042,-2.39784,0.126005,1
1,7,89,0.736629,1.10242,-5.75042,-2.39784,1.10242,1
1,4,89,0.52588,0.928367,-5.75042,-2.39784,0.928367,1
1,2,89,0.590876,0.37032,-5.75042,-2.39784,0.37032,0
1,1,89,0.698224,-0.03856,-5.75042,-2.39784,-0.03856,0
1,19,88,-1.05136,-0.438911,-5.55605,-2.24038,-1.05136,1
1,17,88,-0.952755,-1.11552,-5.55605,-2.24038,-1.11552,0
1,15,88,-0.334435,-0.339518,-5.55605,-2.24038,-0.339518,0
1,13,88,-0.188675,0.0563514,-5.55605,-2.24038,0.0563514,1
1,7,88,0.807371,1.2389,-5.55605,-2.24038,1.2389,1
1,4,88,0.623909,0.889727,-5.55605,-2.24038,0.889727,1
1,2,88,0.780943,0.676767,-5.55605,-2.24038,0.676767,0
1,1,88,0.628631,0.289807,-5.55605,-2.24038,0.289807,0
1,19,87,-0.958606,-0.303282,-5.60239,-2.09737,-0.303282,1
1,17,87,-0.90451,-0.970935,-5.60239,-2.09737,-0.970935,0
1,15,87,-0.337518,-0.240481,-5.60239,-2.09737,-0.240481,1
1,13,87,-0.26268,0.0106533,-5.60239,-2.09737,0.0106533,1
1,7,87,0.908318,1.35697,-5.60239,-2.09737,1.35697,1
1,4,87,0.740882,0.990183,-5.60239,-2.09737,0.990183,1
1,2,87,0.697175,0.844846,-5.60239,-2.09737,0.844846,1
1,1,87,0.807357,0.823401,-5.60239,-2.09737,0.823401,1
1,19,86,-0.957043,-0.248357,-5.61978,-2.01828,-0.248357,1
1,17,86,-0.558164,-0.867667,-5.61978,-2.01828,-0.558164,0
1,15,86,-0.54359,-0.4954,-5.61978,-2.01828,-0.4954,1
1,13,86,-0.164435,0.151302,-5.61978,-2.01828,-0.164435,1
1,7,86,1.03954,1.3788,-5.61978,-2.01828,1.3788,1
1,4,86,0.99639,1.09974,-5.61978,-2.01828,1.09974,1
1,2,86,0.921846,0.564473,-5.61978,-2.01828,0.564473,0
1,1,86,0.751889,0.462002,-5.61978,-2.01828,0.462002,0
1,19,85,-0.398741,0.488786,-5.14185,-2.10808,0.488786,1
1,17,85,-0.363777,-0.760293,-5.14185,-2.10808,-0.760293,0
1,15,85,-0.563278,-0.433532,-5.14185,-2.10808,-0.433532,1
1,13,85,0.062279,0.542427,-5.14185,-2.10808,0.542427,1
1,7,85,0.861053,1.00442,-5.14185,-2.10808,1.00442,1
1,4,85,1.09874,0.119635,-5.14185,-2.10808,0.119635,0
1,2,85,1.1877,0.434909,-5.14185,-2.10808,0.434909,0
1,1,85,0.79012,1.32741,-5.14185,-2.10808,1.32741,1
1,19,84,-0.39441,0.0272618,-5.35927,-2.00544,0.0272618,1
1,17,84,-0.373545,-0.713607,-5.35927,-2.00544,-0.713607,0
1,15,84,-0.114295,0.0367114,-5.35927,-2.00544,0.0367114,1
1,13,84,-0.12277,0.229597,-5.35927,-2.00544,0.229597,1
1,7,84,0.929125,1.05533,-5.35927,-2.00544,1.05533,1
1,4,84,1.16447,-0.00828146,-5.35927,-2.00544,-0.00828146,0
1,2,84,1.18024,0.488557,-5.35927,-2.00544,0.488557,0
1,1,84,0.86918,1.34405,-5.35927,-2.00544,1.34405,1
1,19,83,0.0855016,0.501501,-5.22327,-1.89942,0.0855016,1
1,17,83,-0.420198,-0.821281,-5.22327,-1.89942,-0.821281,0
1,15,83,-0.0272542,0.0872165,-5.22327,-1.89942,0.0872165,1
1,13,83,-0.465923,0.286336,-5.22327,-1.89942,0.286336,1
1,7,83,1.06276,1.09706,-5.22327,-1.89942,1.09706,1
1,4,83,1.26614,0.0974792,-5.22327,-1.89942,0.0974792,0
1,2,83,1.30806,0.571041,-5.22327,-1.89942,0.571041,0
1,1,83,0.924066,1.44958,-5.22327,-1.89942,1.44958,1
1,19,82,-0.229861,0.573535,-5.04662,-1.89873,0.573535,1
1,17,82,-0.592847,-0.810618,-5.04662,-1.89873,-0.592847,0
1,15,82,0.00616634,0.0393685,-5.04662,-1.89873,0.0393685,1
1,13,82,0.158688,0.454643,-5.04662,-1.89873,0.454643,1
1,9,82,1.15617,0.548503,-5.04662,-1.89873,0.548503,0
1,7,82,0.937704,1.12377,-5.04662,-1.89873,1.12377,1
1,4,82,1.19538,-0.0324173,-5.04662,-1.89873,-0.0324173,0
1,2,82,1.36542,0.615877,-5.04662,-1.89873,0.615877,0
1,1,82,1.12937,1.60257,-5.04662,-1.89873,1.60257,1
1,19,81,-0.128406,0.259637,-4.70389,-1.77463,0.259637,1
