Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.17316,-1.62161,-3.41916,-3.35117,-1.62161,1
1,19,99,-2.67121,-1.02401,-3.41916,-3.35117,-1.02401,1
1,18,99,-2.43063,-1.29911,-3.41916,-3.35117,-1.29911,1
1,17,99,-2.04442,-1.56139,-3.41916,-3.35117,-1.56139,1
1,15,99,-1.07572,-1.23521,-3.41916,-3.35117,-1.23521,0
1,13,99,-1.38564,-1.65353,-3.41916,-3.35117,-1.65353,0
1,12,99,-1.10804,-1.33708,-3.41916,-3.35117,-1.10804,0
1,10,99,-1.21119,-0.737741,-3.41916,-3.35117,-1.21119,1
1,9,99,-1.19946,-1.19173,-3.41916,-3.35117,-1.19173,1
1,7,99,-0.908192,-1.01501,-3.41916,-3.35117,-1.01501,0
1,4,99,-1.09794,-0.649391,-3.41916,-3.35117,-0.649391,1
1,3,99,-0.83411,-0.967082,-3.41916,-3.35117,-0.967082,0
1,2,99,-0.687324,-0.524171,-3.41916,-3.35117,-0.524171,1
1,1,99,-0.288473,-1.29838,-3.41916,-3.35117,-1.29838,0
1,20,98,-1.85783,-1.54454,-3.41916,-3.12829,-1.54454,1
1,19,98,-2.19232,-0.790878,-3.41916,-3.12829,-0.790878,1
1,18,98,-2.53372,-1.32185,-3.41916,-3.12829,-1.32185,1
1,17,98,-1.75182,-1.50644,-3.41916,-3.12829,-1.50644,1
1,15,98,-1.523,-1.61727,-3.41916,-3.12829,-1.61727,0
1,13,98,-1.21961,-1.53444,-3.41916,-3.12829,-1.21961,0
1,12,98,-1.04545,-1.09055,-3.41916,-3.12829,-1.09055,0
1,9,98,-1.18484,-0.681382,-3.41916,-3.12829,-0.681382,1
1,7,98,-0.709537,-0.948566,-3.41916,-3.12829,-0.948566,0
1,4,98,-1.10755,-0.504359,-3.41916,-3.12829,-0.504359,1
1,3,98,-0.787344,-0.781761,-3.41916,-3.12829,-0.781761,1
1,2,98,-0.660774,-0.613719,-3.41916,-3.12829,-0.613719,1
1,1,98,-0.08424,-1.11512,-3.41916,-3.12829,-1.11512,0
1,20,97,-1.53283,-1.48126,-3.41916,-2.81209,-1.53283,1
1,19,97,-1.70028,-0.771807,-3.41916,-2.81209,-0.771807,1
1,18,97,-2.09748,-1.1742,-3.41916,-2.81209,-1.1742,1
1,17,97,-1.86506,-1.61138,-3.41916,-2.81209,-1.61138,1
1,15,97,-0.85771,-1.01142,-3.41916,-2.81209,-1.01142,0
1,13,97,-1.07319,-1.5608,-3.41916,-2.81209,-1.5608,0
1,12,97,-1.04131,-0.841515,-3.41916,-2.81209,-0.841515,1
1,7,97,-0.618308,-1.03878,-3.41916,-2.81209,-1.03878,0
1,4,97,-0.997595,-0.541375,-3.41916,-2.81209,-0.541375,1
1,3,97,-0.786154,-0.828615,-3.41916,-2.81209,-0.828615,0
1,2,97,-0.474697,-0.796481,-3.41916,-2.81209,-0.796481,0
1,20,96,-1.28198,-1.3979,-3.41916,-2.99602,-1.3979,0
1,19,96,-1.52304,-0.72923,-3.41916,-2.99602,-0.72923,1
1,18,96,-1.70427,-1.17114,-3.41916,-2.99602,-1.17114,1
1,17,96,-1.39614,-1.47,-3.41916,-2.99602,-1.47,0
1,15,96,-0.713962,-0.933799,-3.41916,-2.99602,-0.933799,0
1,13,96,-1.14323,-1.57368,-3.41916,-2.99602,-1.14323,0
