Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15201,-1.08873,-3.41916,-3.35117,-1.08873,1
1,19,99,-2.03515,-1.0478,-3.41916,-3.35117,-1.0478,1
1,18,99,-1.91691,-1.09651,-3.41916,-3.35117,-1.09651,1
1,17,99,-1.5619,-2.13239,-3.41916,-3.35117,-2.13239,0
1,15,99,-1.40632,-1.51869,-3.41916,-3.35117,-1.51869,0
1,13,99,-1.60736,-1.07194,-3.41916,-3.35117,-1.07194,1
1,12,99,-1.15291,-1.60916,-3.41916,-3.35117,-1.15291,0
1,10,99,-1.30509,-0.821193,-3.41916,-3.35117,-1.30509,1
1,9,99,-0.985966,-0.539529,-3.41916,-3.35117,-0.539529,1
1,7,99,0.278285,-0.508124,-3.41916,-3.35117,-0.508124,0
1,4,99,-0.789301,-0.430899,-3.41916,-3.35117,-0.430899,1
1,3,99,-1.05636,-0.57399,-3.41916,-3.35117,-0.57399,1
1,2,99,-0.73309,-0.577531,-3.41916,-3.35117,-0.577531,1
1,1,99,-0.842669,-0.951511,-3.41916,-3.35117,-0.951511,0
1,20,98,-1.88661,-1.109,-3.41916,-3.12829,-1.109,1
1,19,98,-1.65039,-0.893396,-3.41916,-3.12829,-0.893396,1
1,18,98,-1.91002,-1.18092,-3.41916,-3.12829,-1.18092,1
1,17,98,-1.28437,-2.00866,-3.41916,-3.12829,-2.00866,0
1,15,98,-1.50301,-1.25969,-3.41916,-3.12829,-1.25969,1
1,13,98,-1.23262,-1.17677,-3.41916,-3.12829,-1.23262,1
1,12,98,-0.86797,-1.13452,-3.41916,-3.12829,-1.13452,0
1,9,98,-0.813782,-0.502576,-3.41916,-3.12829,-0.502576,1
1,7,98,0.398335,-0.374251,-3.41916,-3.12829,-0.374251,0
1,4,98,-0.787769,-0.365122,-3.41916,-3.12829,-0.365122,1
1,3,98,-1.02592,-0.574825,-3.41916,-3.12829,-0.574825,1
1,2,98,-0.709273,-0.521684,-3.41916,-3.12829,-0.521684,1
1,1,98,-0.604687,-0.956865,-3.41916,-3.12829,-0.956865,0
1,20,97,-1.55206,-0.978561,-3.41916,-2.81209,-1.55206,1
1,19,97,-1.48951,-0.886811,-3.41916,-2.81209,-0.886811,1
1,18,97,-1.49668,-0.940484,-3.41916,-2.81209,-0.940484,1
1,17,97,-1.28638,-2.05454,-3.41916,-2.81209,-2.05454,0
1,15,97,-1.22282,-1.27138,-3.41916,-2.81209,-1.27138,0
1,13,97,-0.930445,-0.901684,-3.41916,-2.81209,-0.901684,1
1,12,97,-0.802044,-1.13065,-3.41916,-2.81209,-1.13065,0
1,7,97,0.365007,-0.298535,-3.41916,-2.81209,-0.298535,0
1,4,97,-0.759299,-0.439571,-3.41916,-2.81209,-0.439571,1
1,3,97,-0.869725,-0.564378,-3.41916,-2.81209,-0.564378,1
1,2,97,-0.349291,-0.527417,-3.41916,-2.81209,-0.527417,0
1,20,96,-1.57596,-0.964449,-3.41916,-2.99602,-0.964449,1
