Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.53284,-0.999442,-3.41916,-3.35117,-0.999442,1
1,19,99,-1.73917,-0.708303,-3.41916,-3.35117,-0.708303,1
1,18,99,-1.91128,-0.66065,-3.41916,-3.35117,-0.66065,1
1,17,99,-1.24389,-1.57837,-3.41916,-3.35117,-1.57837,0
1,15,99,-0.616399,-1.29535,-3.41916,-3.35117,-1.29535,0
1,13,99,-0.355007,0.0386176,-3.41916,-3.35117,0.0386176,1
1,12,99,-0.178327,-0.824233,-3.41916,-3.35117,-0.178327,0
1,10,99,0.153033,1.00582,-3.41916,-3.35117,1.00582,1
1,9,99,-0.0561556,0.265377,-3.41916,-3.35117,0.265377,1
1,7,99,0.66953,0.648659,-3.41916,-3.35117,0.648659,0
1,4,99,0.692369,1.05601,-3.41916,-3.35117,1.05601,1
1,3,99,0.549164,0.87578,-3.41916,-3.35117,0.87578,1
1,2,99,0.575975,0.950469,-3.41916,-3.35117,0.950469,1
1,1,99,-1.21099,-0.173566,-3.41916,-3.35117,-0.173566,1
1,20,98,-2.40615,-0.967371,-3.41916,-3.12829,-0.967371,1
1,19,98,-1.33113,-0.368164,-3.41916,-3.12829,-0.368164,1
1,18,98,-1.48048,-0.468438,-3.41916,-3.12829,-0.468438,1
1,17,98,-1.01934,-1.42627,-3.41916,-3.12829,-1.42627,0
1,15,98,-0.490493,-0.424177,-3.41916,-3.12829,-0.424177,1
1,13,98,-0.159223,-0.0450845,-3.41916,-3.12829,-0.159223,1
1,12,98,0.133973,-0.00751228,-3.41916,-3.12829,-0.00751228,0
1,9,98,-0.0755538,0.258291,-3.41916,-3.12829,0.258291,1
1,7,98,0.792868,0.710841,-3.41916,-3.12829,0.710841,0
1,4,98,0.750956,1.05949,-3.41916,-3.12829,1.05949,1
1,3,98,0.629421,0.974458,-3.41916,-3.12829,0.974458,1
1,2,98,0.886458,0.725866,-3.41916,-3.12829,0.725866,0
1,1,98,-1.20411,-0.331869,-3.41916,-3.12829,-0.331869,1
1,20,97,-1.58029,-0.913244,-3.41916,-2.81209,-1.58029,1
1,19,97,-1.33836,-0.678199,-3.41916,-2.81209,-0.678199,1
1,18,97,-1.17233,-0.39117,-3.41916,-2.81209,-0.39117,1
1,17,97,-0.873064,-1.4474,-3.41916,-2.81209,-1.4474,0
1,15,97,-0.338579,-1.11935,-3.41916,-2.81209,-1.11935,0
1,13,97,-0.0101338,0.0547503,-3.41916,-2.81209,0.0547503,1
1,12,97,0.203779,0.0514592,-3.41916,-2.81209,0.0514592,0
1,7,97,0.895281,0.95249,-3.41916,-2.81209,0.95249,1
1,4,97,0.710173,0.892817,-3.41916,-2.81209,0.892817,1
1,3,97,0.858864,0.879861,-3.41916,-2.81209,0.879861,1
1,2,97,0.747093,0.953362,-3.41916,-2.81209,0.953362,1
1,20,96,-1.3905,-0.808148,-3.41916,-2.99602,-0.808148,1
1,19,96,-1.1301,-0.601788,-3.41916,-2.99602,-0.601788,1
1,18,96,-1.04967,-0.470032,-3.41916,-2.99602,-0.470032,1
1,17,96,-0.743688,-1.37996,-3.41916,-2.99602,-1.37996,0
1,15,96,-0.0508012,-1.19378,-3.41916,-2.99602,-1.19378,0
1,13,96,0.000189211,0.172397,-3.41916,-2.99602,0.000189211,1
1,12,96,0.339935,0.0326473,-3.41916,-2.99602,0.0326473,0
1,9,96,0.265708,0.389183,-3.41916,-2.99602,0.389183,1
