Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.12743,-1.07123,-3.41916,-3.35117,-1.07123,1
1,19,99,-1.8798,-0.749057,-3.41916,-3.35117,-0.749057,1
1,18,99,-2.29066,-0.760221,-3.41916,-3.35117,-0.760221,1
1,17,99,-1.75446,-1.1751,-3.41916,-3.35117,-1.1751,1
1,15,99,-0.967424,-1.3154,-3.41916,-3.35117,-1.3154,0
1,13,99,-1.15658,-0.849449,-3.41916,-3.35117,-0.849449,1
1,12,99,-1.17286,-1.10637,-3.41916,-3.35117,-1.17286,1
1,10,99,-0.52315,-0.445643,-3.41916,-3.35117,-0.52315,1
1,9,99,-0.164038,-0.354011,-3.41916,-3.35117,-0.354011,0
1,7,99,-0.284489,-0.0287311,-3.41916,-3.35117,-0.0287311,1
1,4,99,-0.138127,-0.153248,-3.41916,-3.35117,-0.153248,0
1,3,99,-0.0599372,-0.0254918,-3.41916,-3.35117,-0.0254918,1
1,2,99,-0.683066,-0.0939305,-3.41916,-3.35117,-0.0939305,1
1,1,99,-0.259617,-1.26948,-3.41916,-3.35117,-1.26948,0
1,20,98,-1.8984,-1.00039,-3.41916,-3.12829,-1.00039,1
1,19,98,-1.74939,-0.60938,-3.41916,-3.12829,-0.60938,1
1,18,98,-2.05634,-0.786423,-3.41916,-3.12829,-0.786423,1
1,17,98,-1.54783,-1.19907,-3.41916,-3.12829,-1.19907,1
1,15,98,-0.953717,-1.25645,-3.41916,-3.12829,-1.25645,0
1,13,98,-0.959835,-0.839863,-3.41916,-3.12829,-0.959835,1
1,12,98,-0.990166,-0.131573,-3.41916,-3.12829,-0.131573,1
1,9,98,-0.378787,-0.224731,-3.41916,-3.12829,-0.224731,1
1,7,98,-0.206739,0.0278952,-3.41916,-3.12829,0.0278952,1
1,4,98,-0.135574,0.309904,-3.41916,-3.12829,0.309904,1
1,3,98,0.0815967,0.346689,-3.41916,-3.12829,0.346689,1
1,2,98,-0.539508,0.174732,-3.41916,-3.12829,0.174732,1
1,1,98,-0.431129,-1.02679,-3.41916,-3.12829,-1.02679,0
1,20,97,-1.53014,-1.02548,-3.41916,-2.81209,-1.53014,1
1,19,97,-1.27322,-0.700831,-3.41916,-2.81209,-0.700831,1
1,18,97,-1.64777,-0.750409,-3.41916,-2.81209,-0.750409,1
1,17,97,-1.40978,-1.27227,-3.41916,-2.81209,-1.27227,1
1,15,97,-0.77237,-1.14829,-3.41916,-2.81209,-1.14829,0
1,13,97,-0.860399,-0.767621,-3.41916,-2.81209,-0.767621,1
1,12,97,-0.724052,-0.141516,-3.41916,-2.81209,-0.141516,1
1,7,97,-0.0346974,0.104194,-3.41916,-2.81209,0.104194,1
1,4,97,-0.17235,0.169954,-3.41916,-2.81209,0.169954,1
1,3,97,0.030828,0.168286,-3.41916,-2.81209,0.168286,1
1,2,97,-0.487526,0.180623,-3.41916,-2.81209,0.180623,1
1,20,96,-1.23664,-0.671833,-3.41916,-2.99602,-0.671833,1
1,19,96,-1.38931,-0.610584,-3.41916,-2.99602,-0.610584,1
1,18,96,-1.47702,-0.604594,-3.41916,-2.99602,-0.604594,1
1,17,96,-1.20901,-1.04959,-3.41916,-2.99602,-1.04959,1
1,15,96,-0.623082,-1.18759,-3.41916,-2.99602,-1.18759,0
1,13,96,-0.920181,-0.807595,-3.41916,-2.99602,-0.920181,1
1,12,96,-0.614421,-0.197691,-3.41916,-2.99602,-0.197691,1
1,9,96,-0.293257,-0.270611,-3.41916,-2.99602,-0.270611,1
1,7,96,-0.107142,-0.0408625,-3.41916,-2.99602,-0.0408625,1
1,4,96,0.114761,0.256454,-3.41916,-2.99602,0.256454,1
1,3,96,0.279988,0.279464,-3.41916,-2.99602,0.279464,0
1,2,96,-0.136987,-0.1156,-3.41916,-2.99602,-0.1156,1
1,19,95,-1.32782,-0.335222,-3.41916,-2.85377,-0.335222,1
1,17,95,-1.17384,-0.996709,-3.41916,-2.85377,-0.996709,1
1,15,95,-0.613971,-1.15468,-3.41916,-2.85377,-1.15468,0
1,13,95,-0.610544,-0.654236,-3.41916,-2.85377,-0.654236,0
1,7,95,0.106162,0.102654,-3.41916,-2.85377,0.102654,0
1,4,95,-0.0478444,0.272547,-3.41916,-2.85377,0.272547,1
1,2,95,-0.153753,0.462509,-3.41916,-2.85377,0.462509,1
1,1,95,0.210482,-0.867888,-3.41916,-2.85377,-0.867888,0
1,19,94,-1.05023,-0.289322,-3.41916,-2.55553,-0.289322,1
1,17,94,-1.12246,-0.898002,-3.41916,-2.55553,-0.898002,1
1,15,94,-0.467033,-0.796837,-3.41916,-2.55553,-0.796837,0
1,13,94,-0.5787,-0.493437,-3.41916,-2.55553,-0.493437,1
1,7,94,-0.149086,0.242489,-3.41916,-2.55553,0.242489,1
1,4,94,0.0405964,0.369409,-3.41916,-2.55553,0.369409,1
1,2,94,-0.141603,0.233657,-3.41916,-2.55553,0.233657,1
1,1,94,0.164584,-0.738208,-3.41916,-2.55553,-0.738208,0
1,19,93,-1.34674,-0.429897,-3.41916,-2.51688,-0.429897,1
1,17,93,-0.84454,-0.701385,-3.41916,-2.51688,-0.701385,1
1,15,93,-0.504568,-0.850396,-3.41916,-2.51688,-0.850396,0
1,13,93,-0.586795,-0.48594,-3.41916,-2.51688,-0.48594,1
1,7,93,0.060652,0.192405,-3.41916,-2.51688,0.192405,1
1,4,93,-0.114665,0.245312,-3.41916,-2.51688,0.245312,1
1,2,93,-0.102895,0.268631,-3.41916,-2.51688,0.268631,1
1,1,93,0.430601,-0.65436,-3.41916,-2.51688,-0.65436,0
1,19,92,-1.3337,-0.349736,-6.43894,-2.39982,-0.349736,1
1,17,92,-0.672271,-0.643125,-6.43894,-2.39982,-0.643125,1
1,15,92,-0.531879,-0.84047,-6.43894,-2.39982,-0.84047,0
1,13,92,-0.395886,-0.365988,-6.43894,-2.39982,-0.365988,1
1,7,92,0.0929142,0.221214,-6.43894,-2.39982,0.221214,1
1,4,92,0.189935,0.381117,-6.43894,-2.39982,0.381117,1
1,2,92,0.00697373,0.34681,-6.43894,-2.39982,0.34681,1
1,1,92,0.384397,-0.672804,-6.43894,-2.39982,-0.672804,0
1,19,91,-1.1314,-0.174076,-6.29331,-2.45927,-0.174076,1
1,17,91,-0.818305,-0.675142,-6.29331,-2.45927,-0.675142,1
1,15,91,-0.18078,-0.413894,-6.29331,-2.45927,-0.18078,0
1,13,91,-0.394453,-0.328749,-6.29331,-2.45927,-0.328749,1
1,7,91,0.290544,0.553814,-6.29331,-2.45927,0.553814,1
1,4,91,0.111945,0.289609,-6.29331,-2.45927,0.289609,1
1,2,91,-0.237533,0.112446,-6.29331,-2.45927,0.112446,1
1,1,91,0.399771,-0.611175,-6.29331,-2.45927,-0.611175,0
1,19,90,-0.932418,-0.154732,-6.05291,-2.36134,-0.154732,1
1,17,90,-0.873747,-0.701272,-6.05291,-2.36134,-0.701272,1
1,15,90,0.00735736,-0.470579,-6.05291,-2.36134,-0.470579,0
1,13,90,-0.486175,-0.386868,-6.05291,-2.36134,-0.386868,1
1,7,90,0.2359,0.502491,-6.05291,-2.36134,0.502491,1
1,4,90,0.119978,0.540636,-6.05291,-2.36134,0.540636,1
1,2,90,0.340588,0.364889,-6.05291,-2.36134,0.364889,1
1,1,90,0.509233,-0.549668,-6.05291,-2.36134,-0.549668,0
1,19,89,-1.02152,-0.0395691,-5.75042,-2.39784,-0.0395691,1
1,17,89,-0.664376,-0.505697,-5.75042,-2.39784,-0.664376,1
1,15,89,-0.104736,-0.631809,-5.75042,-2.39784,-0.631809,0
1,13,89,-0.0420023,-0.15378,-5.75042,-2.39784,-0.15378,0
1,7,89,0.383456,0.560833,-5.75042,-2.39784,0.560833,1
1,4,89,0.188892,0.384104,-5.75042,-2.39784,0.384104,1
1,2,89,0.00410303,0.329987,-5.75042,-2.39784,0.329987,1
1,1,89,0.538496,0.0672195,-5.75042,-2.39784,0.0672195,0
1,19,88,-0.797185,0.162425,-5.55605,-2.24038,-0.797185,1
1,17,88,-0.828216,-0.569468,-5.55605,-2.24038,-0.569468,1
1,15,88,-0.108782,-0.530231,-5.55605,-2.24038,-0.530231,0
1,13,88,0.131177,-0.0939045,-5.55605,-2.24038,-0.0939045,0
1,7,88,0.457885,0.714232,-5.55605,-2.24038,0.714232,1
1,4,88,0.49256,0.376885,-5.55605,-2.24038,0.376885,0
1,2,88,0.0962095,0.363874,-5.55605,-2.24038,0.363874,1
1,1,88,0.197451,-0.488417,-5.55605,-2.24038,-0.488417,0
1,19,87,-0.71577,0.297516,-5.60239,-2.09737,0.297516,1
1,17,87,-0.769721,-0.397579,-5.60239,-2.09737,-0.397579,1
1,15,87,0.0807437,-0.342556,-5.60239,-2.09737,-0.342556,0
1,13,87,0.084868,-0.174694,-5.60239,-2.09737,-0.174694,0
1,7,87,0.407844,0.511412,-5.60239,-2.09737,0.511412,1
1,4,87,0.459007,0.469158,-5.60239,-2.09737,0.469158,1
1,2,87,0.075863,0.534493,-5.60239,-2.09737,0.534493,1
