Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,2.97843,-1.63662,-1000,-3.35117,2.97843,0
1,19,99,3.01931,6.14863,-1000,-3.35117,6.14863,1
1,18,99,-2.57708,5.9124,-1000,-3.35117,5.9124,1
1,17,99,-3.41916,3.65019,-1000,-3.35117,3.65019,1
1,15,99,2.47499,4.73304,-1000,-3.35117,4.73304,1
1,13,99,4.77048,3.43675,-1000,-3.35117,4.77048,0
1,12,99,0.156736,1.41632,-1000,-3.35117,1.41632,1
1,10,99,4.79032,4.19699,-1000,-3.35117,4.79032,0
1,9,99,5.73108,5.95292,-1000,-3.35117,5.95292,1
1,7,99,6.18011,5.8483,-1000,-3.35117,6.18011,0
1,4,99,5.52579,5.52579,-1000,-3.35117,5.52579,0
1,3,99,5.66383,5.1714,-1000,-3.35117,5.66383,0
1,2,99,5.3623,5.4394,-1000,-3.35117,5.4394,1
1,1,99,5.24185,5.24185,-1000,-3.35117,5.24185,0
2,20,99,-1.66465,-2.23471,-1000,-3.35117,-1.66465,0
2,18,99,-2.43603,1.99721,-1000,-3.35117,1.99721,1
2,17,99,-2.40651,-1.79887,-1000,-3.35117,-1.79887,1
2,16,99,1.73778,-2.9727,-1000,-3.35117,1.73778,0
2,15,99,2.15466,1.82783,-1000,-3.35117,2.15466,0
2,13,99,-0.393967,5.65925,-1000,-3.35117,5.65925,1
2,10,99,3.64449,0.0803208,-1000,-3.35117,3.64449,0
2,8,99,3.90723,1.57695,-1000,-3.35117,3.90723,0
2,7,99,5.99967,6.18011,-1000,-3.35117,6.18011,1
2,4,99,5.52579,5.24554,-1000,-3.35117,5.52579,0
2,3,99,5.66383,5.41183,-1000,-3.35117,5.66383,0
2,2,99,1.16526,5.3623,-1000,-3.35117,5.3623,1
2,1,99,5.24185,5.20853,-1000,-3.35117,5.24185,0
3,20,99,-2.23471,-2.77577,-1000,-3.35117,-2.23471,0
3,16,99,-2.52623,-2.8755,-1000,-3.35117,-2.52623,0
3,15,99,-2.79577,-3.35117,-1000,-3.35117,-2.79577,0
3,13,99,-3.08163,5.80201,-1000,-3.35117,5.80201,1
3,11,99,-3.20759,-2.68532,-1000,-3.35117,-2.68532,1
3,10,99,-3.38516,-3.35117,-1000,-3.35117,-3.35117,1
3,9,99,-2.45927,1.61021,-1000,-3.35117,1.61021,1
