Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.09439,-1.1078,-3.41916,-3.35117,-1.1078,1
1,19,99,-1.85686,-0.578912,-3.41916,-3.35117,-0.578912,1
1,18,99,-1.9535,-0.82286,-3.41916,-3.35117,-0.82286,1
1,17,99,-1.94522,-1.54756,-3.41916,-3.35117,-1.54756,1
1,15,99,-0.772245,-1.57586,-3.41916,-3.35117,-1.57586,0
1,13,99,-0.779633,-0.819323,-3.41916,-3.35117,-0.819323,0
1,12,99,-0.948184,-0.608689,-3.41916,-3.35117,-0.948184,1
1,10,99,-0.167993,-0.655787,-3.41916,-3.35117,-0.655787,0
1,9,99,-0.205543,-0.244774,-3.41916,-3.35117,-0.244774,0
1,7,99,0.0442389,0.0051551,-3.41916,-3.35117,0.0051551,0
1,4,99,-0.229754,0.0507752,-3.41916,-3.35117,0.0507752,1
1,3,99,-0.26097,0.050573,-3.41916,-3.35117,0.050573,1
1,2,99,-0.313331,-0.260606,-3.41916,-3.35117,-0.260606,1
1,1,99,-2.30844,-0.66127,-3.41916,-3.35117,-0.66127,1
1,20,98,-1.82032,-1.08437,-3.41916,-3.12829,-1.08437,1
1,19,98,-1.54079,-0.372133,-3.41916,-3.12829,-0.372133,1
1,18,98,-1.75016,-0.790157,-3.41916,-3.12829,-0.790157,1
1,17,98,-1.36007,-1.47623,-3.41916,-3.12829,-1.47623,0
1,15,98,-0.778634,-1.55001,-3.41916,-3.12829,-1.55001,0
1,13,98,-0.598473,-0.801928,-3.41916,-3.12829,-0.598473,0
1,12,98,-0.396799,-0.361824,-3.41916,-3.12829,-0.361824,1
1,9,98,-0.178819,-0.17219,-3.41916,-3.12829,-0.17219,1
1,7,98,0.165445,-0.0148414,-3.41916,-3.12829,-0.0148414,0
1,4,98,-0.0740934,0.098994,-3.41916,-3.12829,0.098994,1
1,3,98,-0.123751,0.0952973,-3.41916,-3.12829,0.0952973,1
1,2,98,-0.271665,-0.120581,-3.41916,-3.12829,-0.120581,1
1,1,98,-2.33023,-0.548835,-3.41916,-3.12829,-0.548835,1
1,20,97,-1.58687,-0.982073,-3.41916,-2.81209,-1.58687,1
1,19,97,-1.5159,-0.483114,-3.41916,-2.81209,-0.483114,1
1,18,97,-1.48987,-0.841195,-3.41916,-2.81209,-0.841195,1
1,17,97,-1.31207,-1.39192,-3.41916,-2.81209,-1.39192,0
1,15,97,-0.612405,-1.3464,-3.41916,-2.81209,-1.3464,0
1,13,97,-0.444199,-0.689315,-3.41916,-2.81209,-0.689315,0
1,12,97,-0.288153,-0.268855,-3.41916,-2.81209,-0.268855,1
1,7,97,0.0828472,0.0930584,-3.41916,-2.81209,0.0930584,1
1,4,97,0.0448521,0.307281,-3.41916,-2.81209,0.307281,1
1,3,97,0.12816,0.288757,-3.41916,-2.81209,0.288757,1
1,2,97,0.0113707,-0.0402405,-3.41916,-2.81209,-0.0402405,0
1,20,96,-1.42795,-0.853225,-3.41916,-2.99602,-0.853225,1
1,19,96,-1.20033,-0.329576,-3.41916,-2.99602,-0.329576,1
1,18,96,-1.30255,-0.560683,-3.41916,-2.99602,-0.560683,1
1,17,96,-1.20303,-1.22495,-3.41916,-2.99602,-1.22495,0
1,15,96,-0.414955,-1.3571,-3.41916,-2.99602,-1.3571,0
1,13,96,-0.440809,-0.656818,-3.41916,-2.99602,-0.440809,0
1,12,96,-0.129008,-0.110893,-3.41916,-2.99602,-0.110893,1
1,9,96,-0.122434,-0.0809591,-3.41916,-2.99602,-0.0809591,1
1,7,96,0.173526,0.0748983,-3.41916,-2.99602,0.0748983,0
1,4,96,0.0411374,0.389809,-3.41916,-2.99602,0.389809,1
1,3,96,0.240954,0.249293,-3.41916,-2.99602,0.249293,1
1,2,96,0.161979,0.0513355,-3.41916,-2.99602,0.0513355,0
1,19,95,-1.15817,-0.222393,-3.41916,-2.85377,-0.222393,1
1,17,95,-1.07312,-1.2066,-3.41916,-2.85377,-1.2066,0
1,15,95,-0.524147,-1.34892,-3.41916,-2.85377,-1.34892,0
1,13,95,-0.16622,-0.557002,-3.41916,-2.85377,-0.557002,0
1,7,95,0.0421444,-0.00912747,-3.41916,-2.85377,-0.00912747,0
1,4,95,0.197132,0.311073,-3.41916,-2.85377,0.311073,1
1,2,95,0.344035,0.173758,-3.41916,-2.85377,0.173758,0
1,1,95,-0.103549,-0.240393,-3.41916,-2.85377,-0.240393,0
1,19,94,-0.92272,0.0083754,-3.41916,-2.55553,0.0083754,1
1,17,94,-1.13968,-1.32217,-3.41916,-2.55553,-1.32217,0
1,15,94,-0.397753,-1.09663,-3.41916,-2.55553,-1.09663,0
1,13,94,-0.109542,-0.430724,-3.41916,-2.55553,-0.430724,0
1,7,94,0.183834,0.212027,-3.41916,-2.55553,0.212027,1
1,4,94,0.272985,0.415213,-3.41916,-2.55553,0.415213,1
1,2,94,0.324672,0.455402,-3.41916,-2.55553,0.455402,1
1,1,94,-0.0466083,-0.180393,-3.41916,-2.55553,-0.180393,0
1,19,93,-1.04831,-0.0578292,-3.41916,-2.51688,-0.0578292,1
1,17,93,-1.23954,-1.05739,-3.41916,-2.51688,-1.05739,1
1,15,93,-0.364546,-1.12309,-3.41916,-2.51688,-1.12309,0
1,13,93,-0.072994,-0.40417,-3.41916,-2.51688,-0.40417,0
1,7,93,0.276169,0.325945,-3.41916,-2.51688,0.325945,1
1,4,93,0.176073,0.31057,-3.41916,-2.51688,0.31057,1
1,2,93,0.470244,0.305485,-3.41916,-2.51688,0.305485,0
1,1,93,0.145098,-0.0925775,-3.41916,-2.51688,-0.0925775,0
1,19,92,-0.97616,0.0973888,-6.43894,-2.39982,0.0973888,1
1,17,92,-0.689008,-0.947192,-6.43894,-2.39982,-0.947192,0
1,15,92,-0.410161,-1.00566,-6.43894,-2.39982,-0.410161,0
1,13,92,0.0583675,-0.308025,-6.43894,-2.39982,-0.308025,0
1,7,92,0.351835,0.371121,-6.43894,-2.39982,0.371121,1
1,4,92,0.297816,0.333404,-6.43894,-2.39982,0.333404,1
1,2,92,0.493864,0.692444,-6.43894,-2.39982,0.692444,1
1,1,92,0.0263169,-0.0697913,-6.43894,-2.39982,-0.0697913,0
1,19,91,-1.02577,0.0864134,-6.29331,-2.45927,0.0864134,1
1,17,91,-0.82164,-0.894849,-6.29331,-2.45927,-0.894849,0
1,15,91,-0.37349,-1.05701,-6.29331,-2.45927,-0.37349,0
1,13,91,0.0501445,-0.308433,-6.29331,-2.45927,-0.308433,0
1,7,91,0.520447,0.55357,-6.29331,-2.45927,0.55357,1
1,4,91,0.25709,0.445108,-6.29331,-2.45927,0.445108,1
1,2,91,0.353915,0.332175,-6.29331,-2.45927,0.332175,0
1,1,91,0.146698,-0.049991,-6.29331,-2.45927,-0.049991,0
1,19,90,-1.12987,-0.0810907,-6.05291,-2.36134,-0.0810907,1
1,17,90,-0.744378,-0.852406,-6.05291,-2.36134,-0.852406,0
1,15,90,-0.0191771,-0.796582,-6.05291,-2.36134,-0.796582,0
1,13,90,-0.207256,-0.278438,-6.05291,-2.36134,-0.278438,0
