Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.88758,-0.99718,-3.41916,-3.35117,-0.99718,1
1,19,99,-1.94697,-0.28919,-3.41916,-3.35117,-0.28919,1
1,18,99,-1.62103,-0.127265,-3.41916,-3.35117,-0.127265,1
1,17,99,-1.85816,-0.363459,-3.41916,-3.35117,-0.363459,1
1,15,99,-0.885266,-1.01004,-3.41916,-3.35117,-1.01004,0
1,13,99,-0.29302,-0.215452,-3.41916,-3.35117,-0.215452,1
1,12,99,-0.830868,-0.335258,-3.41916,-3.35117,-0.830868,1
1,10,99,-0.00925681,0.767951,-3.41916,-3.35117,0.767951,1
1,9,99,-0.60047,0.406292,-3.41916,-3.35117,0.406292,1
1,7,99,0.454598,0.210207,-3.41916,-3.35117,0.210207,0
1,4,99,0.657158,0.71006,-3.41916,-3.35117,0.71006,1
1,3,99,0.393385,0.436482,-3.41916,-3.35117,0.436482,1
1,2,99,0.449015,1.08429,-3.41916,-3.35117,1.08429,1
1,1,99,-0.031288,-0.350154,-3.41916,-3.35117,-0.350154,0
1,20,98,-1.62318,-0.985513,-3.41916,-3.12829,-0.985513,1
1,19,98,-1.61971,-0.237599,-3.41916,-3.12829,-0.237599,1
1,18,98,-1.18411,-0.107567,-3.41916,-3.12829,-0.107567,1
1,17,98,-1.13452,-0.151286,-3.41916,-3.12829,-0.151286,1
1,15,98,-0.808527,-0.840291,-3.41916,-3.12829,-0.840291,0
1,13,98,-0.218829,-0.34748,-3.41916,-3.12829,-0.218829,0
1,12,98,-0.529533,0.00998222,-3.41916,-3.12829,0.00998222,1
1,9,98,0.112777,0.451998,-3.41916,-3.12829,0.451998,1
1,7,98,0.488243,0.31223,-3.41916,-3.12829,0.31223,0
1,4,98,0.826538,0.734873,-3.41916,-3.12829,0.734873,0
1,3,98,0.425185,0.925768,-3.41916,-3.12829,0.925768,1
1,2,98,0.65396,1.44551,-3.41916,-3.12829,1.44551,1
1,1,98,-0.0547948,-0.373962,-3.41916,-3.12829,-0.373962,0
1,20,97,-1.2495,-0.967517,-3.41916,-2.81209,-1.2495,1
1,19,97,-1.52179,-0.476849,-3.41916,-2.81209,-0.476849,1
1,18,97,-1.35211,-0.0981385,-3.41916,-2.81209,-0.0981385,1
1,17,97,-1.02695,-0.0320809,-3.41916,-2.81209,-0.0320809,1
1,15,97,-0.654128,-0.801494,-3.41916,-2.81209,-0.801494,0
1,13,97,0.0902694,-0.164252,-3.41916,-2.81209,-0.164252,0
1,12,97,-0.52192,0.0403587,-3.41916,-2.81209,0.0403587,1
1,7,97,0.478153,0.293783,-3.41916,-2.81209,0.293783,0
1,4,97,0.624113,0.872079,-3.41916,-2.81209,0.872079,1
1,3,97,0.741218,0.631941,-3.41916,-2.81209,0.631941,0
1,2,97,0.676624,0.957911,-3.41916,-2.81209,0.957911,1
1,20,96,-0.935165,-0.718124,-3.41916,-2.99602,-0.718124,1
1,19,96,-1.1493,-0.341484,-3.41916,-2.99602,-0.341484,1
1,18,96,-1.12234,0.00568481,-3.41916,-2.99602,0.00568481,1
1,17,96,-0.967268,-0.131489,-3.41916,-2.99602,-0.131489,1
1,15,96,-0.153586,-0.646839,-3.41916,-2.99602,-0.646839,0
1,13,96,0.216004,-0.0696473,-3.41916,-2.99602,0.216004,0
1,12,96,-0.341462,0.121708,-3.41916,-2.99602,0.121708,1
1,9,96,0.191623,0.44509,-3.41916,-2.99602,0.44509,1
1,7,96,0.639509,0.310559,-3.41916,-2.99602,0.310559,0
1,4,96,0.9091,0.945387,-3.41916,-2.99602,0.945387,1
1,3,96,1.07813,0.875385,-3.41916,-2.99602,0.875385,0
1,2,96,0.862159,1.00286,-3.41916,-2.99602,1.00286,1
1,19,95,-0.964215,-0.0643603,-3.41916,-2.85377,-0.0643603,1
1,17,95,-0.991906,-0.0785954,-3.41916,-2.85377,-0.0785954,1
1,15,95,-0.167803,-0.715714,-3.41916,-2.85377,-0.715714,0
1,13,95,0.248329,0.00151019,-3.41916,-2.85377,0.00151019,0
1,7,95,0.515595,0.429074,-3.41916,-2.85377,0.429074,0
1,4,95,0.771373,0.8084,-3.41916,-2.85377,0.8084,1
1,2,95,0.819398,0.925165,-3.41916,-2.85377,0.925165,1
1,1,95,0.863646,-0.133465,-3.41916,-2.85377,-0.133465,0
1,19,94,-0.880867,-0.220463,-3.41916,-2.55553,-0.220463,1
1,17,94,-0.989832,0.00555399,-3.41916,-2.55553,0.00555399,1
1,15,94,-0.22679,-0.517298,-3.41916,-2.55553,-0.517298,0
1,13,94,0.612821,0.177809,-3.41916,-2.55553,0.177809,0
1,7,94,0.543666,0.318886,-3.41916,-2.55553,0.318886,0
1,4,94,0.763612,1.15776,-3.41916,-2.55553,1.15776,1
1,2,94,0.93387,0.976498,-3.41916,-2.55553,0.976498,1
1,1,94,0.527152,0.105432,-3.41916,-2.55553,0.105432,0
1,19,93,-0.974091,-0.246013,-3.41916,-2.51688,-0.246013,1
1,17,93,-0.674001,0.177379,-3.41916,-2.51688,0.177379,1
1,15,93,-0.257376,-0.538913,-3.41916,-2.51688,-0.538913,0
1,13,93,0.689595,0.186768,-3.41916,-2.51688,0.186768,0
1,7,93,0.532341,0.291984,-3.41916,-2.51688,0.291984,0
1,4,93,0.72769,1.02021,-3.41916,-2.51688,1.02021,1
1,2,93,1.08798,0.761726,-3.41916,-2.51688,0.761726,0
1,1,93,1.12279,0.0896465,-3.41916,-2.51688,0.0896465,0
1,19,92,-0.844971,-0.104808,-6.43894,-2.39982,-0.104808,1
1,17,92,-0.705969,0.188263,-6.43894,-2.39982,0.188263,1
1,15,92,-0.119829,-0.419154,-6.43894,-2.39982,-0.419154,0
1,13,92,0.572471,0.217206,-6.43894,-2.39982,0.217206,0
1,7,92,0.482628,0.344032,-6.43894,-2.39982,0.344032,0
1,4,92,0.813685,1.12014,-6.43894,-2.39982,1.12014,1
1,2,92,1.1138,1.03315,-6.43894,-2.39982,1.03315,0
1,1,92,1.0736,0.0952815,-6.43894,-2.39982,0.0952815,0
1,19,91,-0.853203,-0.105463,-6.29331,-2.45927,-0.105463,1
1,17,91,-0.846084,0.20448,-6.29331,-2.45927,0.20448,1
1,15,91,0.0782106,-0.287716,-6.29331,-2.45927,0.0782106,0
1,13,91,0.566726,0.251738,-6.29331,-2.45927,0.251738,0
1,7,91,0.590209,0.468809,-6.29331,-2.45927,0.468809,0
1,4,91,0.685575,1.09053,-6.29331,-2.45927,1.09053,1
1,2,91,1.14334,1.05571,-6.29331,-2.45927,1.05571,0
1,1,91,0.933526,0.174875,-6.29331,-2.45927,0.174875,0
1,19,90,-0.909831,-0.30794,-6.05291,-2.36134,-0.30794,1
1,17,90,-0.70662,0.00175811,-6.05291,-2.36134,0.00175811,1
1,15,90,-0.123148,-0.315289,-6.05291,-2.36134,-0.315289,0
1,13,90,0.619067,0.345405,-6.05291,-2.36134,0.345405,0
1,7,90,0.694888,0.56548,-6.05291,-2.36134,0.56548,0
1,4,90,0.825055,0.898716,-6.05291,-2.36134,0.898716,1
1,2,90,1.22669,1.02311,-6.05291,-2.36134,1.02311,0
1,1,90,1.36594,-0.0434342,-6.05291,-2.36134,-0.0434342,0
1,19,89,-0.758612,-0.0700746,-5.75042,-2.39784,-0.0700746,1
1,17,89,-0.722153,0.265945,-5.75042,-2.39784,-0.722153,1
1,15,89,-0.16177,-0.329442,-5.75042,-2.39784,-0.329442,0
1,13,89,0.893032,0.441906,-5.75042,-2.39784,0.441906,0
1,7,89,0.63558,0.530274,-5.75042,-2.39784,0.530274,0
1,4,89,0.787881,0.880024,-5.75042,-2.39784,0.880024,1
1,2,89,0.916364,1.17066,-5.75042,-2.39784,1.17066,1
