Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.29151,-1.17834,-3.41916,-3.35117,-1.17834,1
1,19,99,-2.27058,-1.21181,-3.41916,-3.35117,-1.21181,1
1,18,99,-2.09816,-0.981551,-3.41916,-3.35117,-0.981551,1
1,17,99,-1.81026,-0.746902,-3.41916,-3.35117,-0.746902,1
1,15,99,-1.12301,-1.22275,-3.41916,-3.35117,-1.22275,0
1,13,99,-0.643353,-1.37302,-3.41916,-3.35117,-1.37302,0
1,12,99,-0.472367,-0.499092,-3.41916,-3.35117,-0.472367,0
1,10,99,-0.446159,-0.227594,-3.41916,-3.35117,-0.446159,1
1,9,99,-0.157746,-0.0430394,-3.41916,-3.35117,-0.0430394,1
1,7,99,0.0662426,0.645848,-3.41916,-3.35117,0.645848,1
1,4,99,0.24476,0.176587,-3.41916,-3.35117,0.176587,0
1,3,99,0.172221,0.289642,-3.41916,-3.35117,0.289642,1
1,2,99,-0.880519,-0.0286917,-3.41916,-3.35117,-0.0286917,1
1,1,99,0.248429,-0.327685,-3.41916,-3.35117,-0.327685,0
1,20,98,-2.14572,-1.36295,-3.41916,-3.12829,-1.36295,1
1,19,98,-1.97663,-0.973978,-3.41916,-3.12829,-0.973978,1
1,18,98,-1.99693,-0.961539,-3.41916,-3.12829,-0.961539,1
1,17,98,-1.39874,-0.724718,-3.41916,-3.12829,-0.724718,1
1,15,98,-0.931042,-1.17172,-3.41916,-3.12829,-1.17172,0
1,13,98,-0.453595,-1.39952,-3.41916,-3.12829,-0.453595,0
1,12,98,-0.32923,-0.168211,-3.41916,-3.12829,-0.168211,1
1,9,98,-0.0684445,-0.0264143,-3.41916,-3.12829,-0.0264143,1
1,7,98,0.12491,0.667636,-3.41916,-3.12829,0.667636,1
1,4,98,0.029479,0.235105,-3.41916,-3.12829,0.235105,1
1,3,98,0.0271321,0.205416,-3.41916,-3.12829,0.205416,1
1,2,98,-0.702834,0.421201,-3.41916,-3.12829,0.421201,1
1,1,98,0.501203,-0.443544,-3.41916,-3.12829,-0.443544,0
1,20,97,-1.791,-1.11047,-3.41916,-2.81209,-1.791,1
1,19,97,-1.74687,-1.12835,-3.41916,-2.81209,-1.12835,1
1,18,97,-1.68745,-0.79181,-3.41916,-2.81209,-0.79181,1
1,17,97,-1.30839,-0.73393,-3.41916,-2.81209,-0.73393,1
1,15,97,-0.841452,-1.03059,-3.41916,-2.81209,-1.03059,0
1,13,97,-0.397891,-1.24037,-3.41916,-2.81209,-1.24037,0
1,12,97,-0.311189,-0.134876,-3.41916,-2.81209,-0.134876,1
1,7,97,0.222357,0.77381,-3.41916,-2.81209,0.77381,1
1,4,97,0.261038,0.258218,-3.41916,-2.81209,0.258218,0
1,3,97,0.253741,0.30342,-3.41916,-2.81209,0.30342,1
1,2,97,0.0189024,0.2265,-3.41916,-2.81209,0.2265,1
1,20,96,-1.68244,-0.973631,-3.41916,-2.99602,-0.973631,1
1,19,96,-1.70958,-0.986229,-3.41916,-2.99602,-0.986229,1
1,18,96,-1.5977,-0.897092,-3.41916,-2.99602,-0.897092,1
1,17,96,-1.05437,-0.414513,-3.41916,-2.99602,-0.414513,1
1,15,96,-0.693824,-1.08218,-3.41916,-2.99602,-1.08218,0
1,13,96,-0.155639,-1.22938,-3.41916,-2.99602,-0.155639,0
1,12,96,-0.151388,-0.249089,-3.41916,-2.99602,-0.249089,0
1,9,96,0.103314,-0.0462554,-3.41916,-2.99602,-0.0462554,0
1,7,96,0.259049,0.824802,-3.41916,-2.99602,0.824802,1
1,4,96,0.422228,0.278678,-3.41916,-2.99602,0.278678,0
1,3,96,0.191905,0.370721,-3.41916,-2.99602,0.370721,1
1,2,96,0.170813,0.511938,-3.41916,-2.99602,0.511938,1
1,19,95,-1.54199,-0.790316,-3.41916,-2.85377,-0.790316,1
1,17,95,-1.20472,-0.516491,-3.41916,-2.85377,-0.516491,1
1,15,95,-0.703587,-1.10269,-3.41916,-2.85377,-1.10269,0
1,13,95,-0.0531489,-1.13527,-3.41916,-2.85377,-1.13527,0
1,7,95,0.220946,0.766589,-3.41916,-2.85377,0.766589,1
1,4,95,0.237213,0.29935,-3.41916,-2.85377,0.29935,1
1,2,95,-0.11711,0.364812,-3.41916,-2.85377,0.364812,1
1,1,95,0.612568,-0.215234,-3.41916,-2.85377,-0.215234,0
1,19,94,-1.40148,-0.61131,-3.41916,-2.55553,-0.61131,1
1,17,94,-1.11851,-0.347445,-3.41916,-2.55553,-0.347445,1
1,15,94,-0.531823,-0.733115,-3.41916,-2.55553,-0.733115,0
1,13,94,-0.0385737,-0.812676,-3.41916,-2.55553,-0.812676,0
1,7,94,0.270782,0.841811,-3.41916,-2.55553,0.841811,1
1,4,94,0.492466,0.481053,-3.41916,-2.55553,0.481053,0
1,2,94,0.377324,0.465308,-3.41916,-2.55553,0.465308,1
1,1,94,0.538041,0.0135186,-3.41916,-2.55553,0.0135186,0
1,19,93,-1.50498,-0.752281,-3.41916,-2.51688,-0.752281,1
1,17,93,-1.00582,-0.215181,-3.41916,-2.51688,-0.215181,1
1,15,93,-0.740049,-0.883226,-3.41916,-2.51688,-0.883226,0
