DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.0350704
1-19,99,-0.192059
1-18,99,-0.295899
1-17,99,-0.192493
1-15,99,0.0514005
1-13,99,-0.00127305
1-12,99,0.0948084
1-10,99,0.157196
1-7,99,0.440053
1-4,99,0.947455
1-3,99,0.936511
1-2,99,1.48771
1-1,99,1.50694
2-16,99,-0.10166
1-20,98,-0.0561397
1-19,98,-0.165177
1-18,98,-0.0409813
1-17,98,-0.0557024
1-15,98,-0.0129853
1-13,98,0.0627661
1-12,98,0.145006
1-10,98,0.20566
1-7,98,0.451035
1-4,98,1.01026
1-3,98,1.07702
1-2,98,1.39368
1-1,98,1.79457
2-16,98,-0.0689241
1-20,97,0.0210937
1-19,97,0.000532788
1-18,97,0.09237
1-17,97,-0.0500922
1-15,97,0.12416
1-13,97,0.134931
1-12,97,0.191717
1-7,97,0.505518
1-4,97,1.09199
1-3,97,1.04671
1-2,97,1.46005
1-10,97,0.215919
1-1,97,1.77785
2-16,97,0.0460568
1-20,96,0.0271875
1-19,96,0.000829103
1-18,96,0.0941128
1-17,96,0.0390725
1-15,96,0.149329
1-13,96,0.0856105
1-12,96,0.25874
1-7,96,0.466822
1-4,96,1.13809
1-3,96,1.16607
1-2,96,1.42687
1-10,96,0.271263
1-1,96,1.77006
3-20,99,0.0028134
2-16,96,0.0472985
1-19,95,0.0161969
1-17,95,0.0500818
2-17,97,0.00949332
2-17,99,-0.052543
1-15,95,0.175554
1-13,95,0.142559
1-7,95,0.648179
1-4,95,1.15669
2-4,98,0.990452
1-2,95,1.43039
1-1,95,1.72657
3-20,98,0.00355391
2-16,95,0.04746
2-20,98,0.00438474
1-19,94,0.0193254
1-17,94,0.0376695
1-15,94,0.17173
1-13,94,0.183318
2-12,96,0.228996
1-7,94,0.687934
1-4,94,1.06612
1-2,94,1.52186
1-1,94,1.8918
2-16,94,0.0550773
1-19,93,0.0232217
2-18,99,0.0239439
1-17,93,0.0506094
1-15,93,0.172727
1-13,93,0.160018
2-13,99,-0.126814
1-7,93,0.656769
1-4,93,1.17139
2-3,97,1.10362
1-2,93,1.60145
1-1,93,1.73951
2-16,93,0.0499225
3-13,95,0.102863
1-19,92,0.0203628
2-18,98,0.0880458
1-17,92,0.0635617
1-15,92,0.221419
2-15,97,0.0812607
1-13,92,0.183006
1-7,92,0.71555
1-4,92,1.20934
1-2,92,1.57408
1-1,92,1.95107
3-20,95,0.00686945
2-16,92,0.0567915
2-20,99,-0.139555
1-19,91,0.0221844
2-18,97,0.100883
1-17,91,0.0543992
1-15,91,0.22265
1-13,91,0.179139
1-7,91,0.657574
2-7,99,0.196259
1-4,91,1.23935
2-4,94,1.10264
2-4,99,1.096
2-3,98,1.18818
1-2,91,1.58339
2-2,98,1.30524
1-1,91,1.90029
3-20,94,0.0056797
2-16,91,0.0667205
3-15,99,-0.0226202
3-10,99,0.162836
3-2,98,1.15049
1-19,90,0.0249766
2-18,96,0.10842
1-17,90,0.052254
2-17,98,-0.0112627
1-15,90,0.183348
1-13,90,0.221035
2-10,96,0.254542
2-8,99,0.226209
1-7,90,0.758654
1-14,99,0.0375148
2-6,97,0.544166
1-4,90,1.25752
2-4,92,1.2155
1-2,90,1.59662
2-2,95,1.5088
1-1,90,1.7919
2-1,99,1.53763
2-1,98,1.63165
3-20,93,0.0068887
2-16,90,0.0630563
3-16,99,-0.0849336
3-10,98,0.114255
3-1,96,1.78408
4-15,99,-0.052423
4-9,98,0.178942
4-3,99,0.675063
2-20,97,-0.00652922
1-19,89,0.0286508
1-17,89,0.0487139
1-15,89,0.197274
2-15,98,0.0287872
1-13,89,0.226369
2-13,97,0.122041
2-12,97,0.116832
2-10,94,0.283812
1-14,97,0.101412
2-6,99,0.423549
2-8,97,0.239277
1-7,89,0.720983
1-4,89,1.15219
2-4,96,1.05747
1-2,89,1.6403
1-1,89,1.95863
2-1,96,1.76424
3-20,96,0.00401662
3-20,97,0.00341469
3-20,92,0.019266
2-16,89,0.0619507
3-13,99,-0.0406437
3-11,98,0.0337924
3-10,96,0.239066
3-9,97,0.334656
3-9,98,0.339356
3-5,99,0.789349
3-4,97,0.997941
3-2,97,1.22804
4-17,99,0.00571986
4-16,99,-0.0495306
4-15,98,0.0435194
4-13,96,0.031647
4-13,99,-0.0550281
4-13,98,0.00620081
4-9,99,0.165068
4-3,98,0.593191
4-1,99,1.27747
2-20,93,0.0197069
2-20,92,0.0178912
1-19,88,0.023853
1-17,88,0.0525805
1-15,88,0.231063
2-15,95,0.154648
2-15,96,0.0695808
2-15,99,0.0333198
1-13,88,0.226773
2-13,94,0.143675
2-13,96,0.0826973
2-10,99,0.121174
2-10,97,0.281982
2-10,98,0.143922
1-7,88,0.782513
2-7,98,0.363481
2-7,91,0.596064
1-4,88,1.25546
2-4,95,1.04551
2-3,96,1.10826
2-3,99,0.890525
1-2,88,1.6107
2-2,96,1.32905
1-1,88,1.95653
2-1,97,1.73895
2-16,88,0.083035
3-16,97,0.0296176
3-11,99,0.0334444
3-9,94,0.350954
3-8,99,0.227182
3-4,99,0.956274
3-2,99,1.30806
3-1,98,1.68205
4-15,97,0.0132949
4-5,97,0.846633
2-20,96,0.0161302
2-20,95,0.0252233
2-20,89,0.0271418
1-19,87,0.0288585
1-17,87,0.063226
2-17,95,0.0303515
2-17,96,-0.00940814
1-15,87,0.242488
2-15,94,0.149257
2-14,90,0.1843
1-13,87,0.192063
2-13,98,0.0517023
2-9,95,0.383493
1-14,96,0.143587
2-6,98,0.514838
2-8,98,0.197818
1-7,87,0.78311
2-7,96,0.518787
2-7,97,0.510978
