DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.0350704
1-19,99,-0.396376
1-18,99,-0.361423
1-17,99,-0.192493
1-15,99,-0.225561
1-13,99,-0.00127305
1-12,99,-0.0158159
1-10,99,0.0583731
1-9,99,0.288328
1-7,99,0.176884
1-4,99,0.809815
1-3,99,0.768358
1-2,99,1.00418
1-1,99,1.50694
2-20,99,-0.268059
2-18,99,0.0239439
2-17,99,-0.052543
2-16,99,-0.10166
2-15,99,-0.0109204
2-13,99,-0.148378
2-10,99,0.121174
2-8,99,0.0604982
2-7,99,0.160694
2-4,99,0.720748
2-3,99,0.746904
2-2,99,1.22357
2-1,99,1.48958
3-20,99,0.0028134
3-16,99,-0.0849336
3-15,99,-0.0226202
3-13,99,-0.0406437
3-11,99,0.0334444
3-10,99,0.162836
3-9,99,0.267207
3-8,99,0.227182
3-5,99,0.789349
3-4,99,0.956274
3-2,99,1.21854
3-1,99,1.33362
4-17,99,0.00571986
4-16,99,-0.0495306
4-15,99,-0.098464
4-14,99,0.032133
4-13,99,-0.0550281
4-12,99,0.00661492
4-9,99,0.165068
4-8,99,0.118947
4-7,99,-0.160463
4-5,99,0.911229
4-3,99,0.629486
4-1,99,1.27747
1-20,98,-0.0577729
1-19,98,-0.271244
1-18,98,-0.0409813
1-17,98,-0.0557024
1-15,98,-0.0218454
1-13,98,0.0466793
1-12,98,0.0379719
1-10,98,0.20566
1-9,98,0.265162
1-7,98,0.420252
1-4,98,1.01026
1-3,98,0.90557
1-2,98,1.39368
1-1,98,1.42126
2-20,98,-0.110396
2-18,98,0.0880458
2-17,98,-0.0112627
2-16,98,-0.0815762
2-15,98,0.0287872
2-13,98,0.0410767
2-10,98,0.143922
2-7,98,0.363481
2-4,98,0.88438
2-3,98,0.993781
2-2,98,1.30524
2-1,98,1.63165
3-20,98,0.00355391
3-16,98,-0.0170941
3-15,98,-0.0213526
3-13,98,0.0174303
3-11,98,0.0337924
3-10,98,0.114255
3-9,98,0.339356
3-8,98,0.266855
3-5,98,0.891815
3-4,98,1.02803
3-2,98,1.15049
3-1,98,1.34265
4-17,98,0.0103691
4-16,98,-0.0431384
4-15,98,0.0435194
4-14,98,0.0307796
4-13,98,0.00620081
4-12,98,0.0196399
4-9,98,0.178942
4-8,98,0.153284
4-7,98,-0.333687
4-5,98,0.845462
4-3,98,0.527073
4-1,98,1.45066
1-20,97,0.0210937
1-19,97,-0.156323
1-18,97,0.09237
1-17,97,-0.0500922
1-15,97,0.0562962
1-13,97,0.134931
1-12,97,0.17244
1-7,97,0.493929
1-4,97,0.998474
1-3,97,1.04671
1-2,97,1.46005
1-10,97,0.215919
1-1,97,1.68379
2-20,97,-0.00652922
2-18,97,0.100883
2-17,97,0.00949332
2-16,97,0.0460568
2-15,97,0.0812607
2-13,97,0.122041
2-12,97,0.100519
2-10,97,0.281982
2-6,99,0.329559
1-14,97,0.0285037
2-8,97,0.122739
2-7,97,0.471071
1-14,99,-0.090331
2-6,97,0.544166
2-4,97,0.976075
2-3,97,1.10362
2-2,97,1.41429
2-1,97,1.73895
3-20,97,0.00341469
3-16,97,0.0296176
3-15,97,0.0459083
3-13,97,0.0424527
3-11,97,0.087961
3-10,97,0.238874
3-9,97,0.334656
3-8,97,0.325936
3-5,97,0.809832
3-4,97,0.997941
3-2,97,1.22804
3-1,97,1.60163
4-17,97,0.00889313
4-16,97,0.0110883
4-15,97,-0.00791899
4-13,97,0.0374808
4-12,97,0.00188981
4-9,97,0.188992
4-8,97,0.195102
4-7,97,-0.011317
4-5,97,0.846633
4-1,97,1.25994
1-20,96,0.0242817
1-19,96,-0.186189
1-18,96,0.0941128
1-17,96,0.0390725
1-15,96,0.149329
2-8,98,0.181183
2-6,98,0.514838
1-14,96,0.143587
1-13,96,0.0786272
1-12,96,0.25874
1-9,96,0.448455
1-7,96,0.443559
1-4,96,1.13809
1-3,96,1.09614
1-2,96,1.42687
1-10,96,0.271263
1-1,96,1.77006
2-20,96,0.0161302
2-18,96,0.10842
2-17,96,-0.00940814
2-16,96,0.0472985
2-15,96,0.0695808
2-13,96,0.0826973
2-12,96,0.228996
2-10,96,0.254542
2-7,96,0.454227
1-14,98,-0.0915195
2-8,96,0.241269
2-6,96,0.559248
2-4,96,1.00876
2-3,96,1.03612
2-2,96,1.32786
2-1,96,1.7066
3-20,96,0.00401662
3-16,96,0.0252242
3-13,96,0.0180234
3-11,96,0.138121
3-10,96,0.239066
3-9,96,0.314313
3-8,96,0.267639
3-5,96,0.969707
3-4,96,0.947361
3-2,96,1.26777
3-1,96,1.66566
4-17,96,0.0123777
4-16,96,0.0111623
4-15,96,-0.0327019
4-13,96,0.031647
4-12,96,0.0452409
4-9,96,0.238364
4-8,96,0.13605
4-7,96,-0.308748
4-5,96,0.887366
4-1,96,1.43295
1-19,95,0.0161969
1-17,95,-0.00348954
1-15,95,0.157256
1-13,95,0.142559
1-7,95,0.648179
1-4,95,1.15371
1-2,95,1.43039
1-1,95,1.72657
2-20,95,0.0168174
2-17,95,0.0303515
2-16,95,0.04746
2-15,95,0.154648
2-14,95,0.107308
2-13,95,0.0896143
2-10,95,0.282771
2-9,95,0.383493
2-7,95,0.571907
2-4,95,1.04551
2-2,95,1.5088
2-1,95,1.69218
3-20,95,0.00686945
3-18,95,0.0807489
3-16,95,0.0281878
3-13,95,0.102863
3-11,95,0.157346
3-10,95,0.271897
3-9,95,0.367845
3-8,95,0.278059
3-6,95,0.587044
3-5,95,1.025
3-4,95,1.11794
3-2,95,1.32261
3-7,99,0.252147
3-1,95,1.5269
4-16,95,0.0137878
4-13,95,0.0300859
4-12,95,0.137978
4-9,95,0.2393
4-5,95,0.956149
4-3,95,0.954629
4-2,95,1.1786
4-1,95,1.44519
1-19,94,0.0160069
1-17,94,0.0376695
1-15,94,0.17173
1-13,94,0.144389
1-7,94,0.687934
1-4,94,1.06612
1-2,94,1.52186
1-1,94,1.58703
2-20,94,0.02336
2-17,94,0.0311805
2-16,94,0.0550773
2-15,94,0.149257
2-14,94,0.135991
2-13,94,0.143675
2-10,94,0.283812
2-9,94,0.397884
2-7,94,0.585254
2-4,94,1.07111
2-2,94,1.47835
2-1,94,1.81068
3-20,94,0.0056797
3-18,94,0.0941243
3-16,94,0.036923
3-13,94,0.0722858
3-11,94,0.195885
3-10,94,0.258649
3-9,94,0.350954
3-8,94,0.308088
3-6,94,0.590781
3-5,94,0.963434
3-4,94,1.12413
3-2,94,1.4174
3-7,98,0.239347
3-1,94,1.84032
4-18,94,0.0482967
4-16,94,0.00996466
4-13,94,0.0392051
4-12,94,0.115213
4-9,94,0.246683
4-5,94,0.944722
4-3,94,0.846538
4-1,94,1.49683
1-19,93,0.0174938
1-17,93,0.0506094
1-15,93,0.172727
1-13,93,0.160018
1-7,93,0.57119
1-4,93,1.17139
1-2,93,1.50323
1-1,93,1.72583
2-20,93,0.0165932
2-17,93,0.0295962
2-16,93,0.0499225
2-15,93,0.139224
2-14,93,0.144213
2-13,93,0.148978
2-10,93,0.302307
2-7,93,0.595209
2-4,93,1.22526
2-2,93,1.43856
2-1,93,1.82212
3-20,93,0.0068887
3-18,93,0.104083
3-16,93,0.0358814
3-13,93,0.0913232
3-11,93,0.219894
3-10,93,0.244036
3-9,93,0.34138
3-8,93,0.322295
3-6,93,0.589174
3-5,93,0.986218
3-4,93,1.19074
3-2,93,1.39483
3-7,97,0.390871
3-1,93,1.82415
4-16,93,0.0134911
4-13,93,0.0357717
4-12,93,0.138741
4-9,93,0.257213
4-5,93,0.90427
4-3,93,0.887838
4-11,96,0.0541564
4-2,93,1.15097
4-1,93,1.51019
1-19,92,0.0200253
1-17,92,0.0600526
1-15,92,0.195411
1-13,92,0.183006
1-7,92,0.675708
1-4,92,1.20934
1-2,92,1.35781
1-1,92,1.95107
2-20,92,0.0178912
2-17,92,0.0449856
2-16,92,0.0567915
2-15,92,0.165629
2-14,92,0.135904
2-13,92,0.14726
2-10,92,0.321973
2-7,92,0.598477
2-4,92,1.16235
2-2,92,1.50094
2-1,92,1.83551
3-20,92,0.00617496
3-18,92,0.126263
3-16,92,0.0373396
3-13,92,0.107975
3-11,92,0.222556
3-10,92,0.284191
3-9,92,0.387195
3-8,92,0.368047
3-6,92,0.656592
3-5,92,0.984401
3-4,92,1.11837
3-2,92,1.36851
3-7,96,0.338278
3-1,92,1.6807
4-16,92,0.0180207
4-13,92,0.0391901
4-12,92,0.106426
4-9,92,0.2553
4-5,92,0.940435
4-3,92,0.870742
4-11,97,0.0751324
4-2,92,1.18712
4-1,92,1.41734
1-19,91,0.0213321
1-17,91,0.0543992
1-15,91,0.188805
1-13,91,0.179139
1-7,91,0.657574
1-4,91,1.10815
1-2,91,1.58339
1-1,91,1.75629
2-20,91,0.0206672
2-17,91,0.0355642
2-16,91,0.0536769
2-15,91,0.157223
2-14,91,0.130813
2-13,91,0.167347
2-10,91,0.304315
2-7,91,0.596064
2-4,91,1.12812
2-2,91,1.52451
2-1,91,1.83765
3-20,91,0.00957417
3-18,91,0.108107
3-16,91,0.0401936
4-18,97,0.0160404
3-13,91,0.107062
3-11,91,0.21199
3-10,91,0.292049
3-9,91,0.360961
