DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.106665
1-19,99,-0.159835
1-18,99,-0.358523
1-17,99,-0.152009
1-15,99,-0.0359574
1-13,99,-0.0383145
1-12,99,-0.0230944
1-10,99,0.0821018
1-9,99,0.0818198
1-7,99,0.262628
1-4,99,0.662266
1-3,99,0.716884
1-2,99,0.899198
1-1,99,1.19971
2-20,99,-0.285914
2-18,99,-0.0406833
2-17,99,-0.121378
2-16,99,-0.22018
2-15,99,-0.104944
2-13,99,0.0496233
2-10,99,0.0388972
2-8,99,0.105363
2-7,99,0.20364
2-4,99,0.664188
2-3,99,0.768915
2-2,99,0.866422
2-1,99,1.27719
3-20,99,0.00257542
3-16,99,0.0424378
3-15,99,0.0153368
3-13,99,0.0197563
3-11,99,-0.0824078
3-10,99,0.16158
3-9,99,0.128609
3-8,99,0.227186
3-5,99,0.711091
3-4,99,0.706426
3-2,99,0.778285
3-1,99,1.15271
4-17,99,0.00951243
4-16,99,0.0199295
4-15,99,-0.0393615
4-14,99,0.025756
4-13,99,-0.0260537
4-12,99,-0.0677185
4-9,99,0.024298
4-8,99,0.132021
4-7,99,0.0652744
4-5,99,0.771973
4-3,99,0.585494
4-1,99,0.980667
1-20,98,-0.0624024
1-19,98,-0.0895236
1-18,98,-0.163488
1-17,98,-0.0828037
1-15,98,0.0298172
1-13,98,0.0016118
1-12,98,0.109408
1-10,98,0.158533
1-9,98,0.197439
1-7,98,0.353467
1-4,98,0.767761
1-3,98,0.860614
1-2,98,0.980877
1-1,98,1.28071
2-20,98,-0.121618
2-18,98,0.0592536
2-17,98,-0.0969706
2-16,98,-0.0465239
2-15,98,-0.0307445
2-13,98,0.0341358
2-10,98,0.151092
2-7,98,0.311939
2-4,98,0.738199
2-3,98,0.859596
2-2,98,1.0112
2-1,98,1.40953
3-20,98,0.00277614
3-16,98,0.0421154
3-15,98,0.0205089
3-13,98,0.0747986
3-11,98,-0.000715677
3-10,98,0.148932
3-9,98,0.203592
3-8,98,0.275046
3-5,98,0.805649
3-4,98,0.780774
3-2,98,0.859823
3-1,98,1.24755
4-17,98,0.00930326
4-16,98,0.0226231
4-15,98,-0.0229158
4-14,98,0.0263319
4-13,98,0.036652
4-12,98,-0.0104128
4-9,98,0.0920888
4-8,98,0.185872
4-7,98,0.0982107
4-5,98,0.796243
4-3,98,0.774676
4-1,98,1.06857
1-20,97,0.0201902
1-19,97,-0.0295181
1-18,97,0.0575739
1-17,97,-0.0126776
1-15,97,0.105727
1-13,97,0.0809362
1-12,97,0.153017
1-7,97,0.444817
1-4,97,0.862164
1-3,97,0.929632
1-2,97,1.03916
1-10,97,0.206314
1-1,97,1.3913
2-20,97,-0.0318968
2-18,97,0.0629593
2-17,97,-0.0106888
2-16,97,0.0166532
2-15,97,0.0182799
2-13,97,0.0660396
2-12,97,0.133505
2-10,97,0.224224
2-6,99,0.289586
1-14,97,0.0700937
2-8,97,0.270401
2-7,97,0.390566
1-14,99,-0.0912871
2-6,97,0.483472
2-4,97,0.827206
2-3,97,0.930081
2-2,97,0.995141
2-1,97,1.41075
3-20,97,0.00269926
3-16,97,0.0409688
3-15,97,0.0455332
3-13,97,0.0786024
3-11,97,0.0340049
3-10,97,0.222336
3-9,97,0.215897
3-8,97,0.305631
3-5,97,0.843994
3-4,97,0.847898
3-2,97,0.905841
3-1,97,1.29972
4-17,97,0.012448
4-16,97,0.020707
4-15,97,-0.0120532
4-13,97,0.0398248
4-12,97,0.020067
4-9,97,0.0815359
4-8,97,0.191547
4-7,97,0.231945
4-5,97,0.81064
4-1,97,1.09855
1-20,96,0.0262258
1-19,96,-0.00653513
1-18,96,0.0621518
1-17,96,-0.0136709
1-15,96,0.142251
2-8,98,0.158984
2-6,98,0.422287
1-14,96,0.0942123
1-13,96,0.107753
1-12,96,0.17392
1-9,96,0.272066
1-7,96,0.497121
1-4,96,0.891162
1-3,96,0.973823
1-2,96,1.10206
1-10,96,0.238763
1-1,96,1.43616
2-20,96,0.0111957
2-18,96,0.0687894
2-17,96,-0.0267744
2-16,96,0.0567087
2-15,96,0.0563122
2-13,96,0.0827404
2-12,96,0.189716
2-10,96,0.214544
2-7,96,0.440939
1-14,98,0.0156821
2-8,96,0.33448
2-6,96,0.496307
2-4,96,0.895209
2-3,96,0.975136
2-2,96,1.10066
2-1,96,1.471
3-20,96,0.00328893
3-16,96,0.0447894
3-13,96,0.0791089
3-11,96,0.11884
3-10,96,0.224982
3-9,96,0.23779
3-8,96,0.310603
3-5,96,0.858241
3-4,96,0.888992
3-2,96,0.948637
3-1,96,1.3597
4-17,96,0.0102372
4-16,96,0.0186898
4-15,96,-0.0186868
4-13,96,0.0368915
4-12,96,0.0328463
4-9,96,0.143006
4-8,96,0.189514
4-7,96,0.263469
4-5,96,0.820546
4-1,96,1.17414
1-19,95,0.0031657
1-17,95,0.015279
1-15,95,0.154685
1-13,95,0.128523
1-7,95,0.520997
1-4,95,0.922067
1-2,95,1.1041
1-1,95,1.49042
2-20,95,0.0120542
2-17,95,0.0329387
2-16,95,0.0624783
2-15,95,0.130118
2-14,95,0.0909623
2-13,95,0.124204
2-10,95,0.260277
2-9,95,0.284411
2-7,95,0.489572
2-4,95,0.910534
2-2,95,1.11316
2-1,95,1.52303
3-20,95,0.00443961
3-18,95,0.0544316
3-16,95,0.0455562
3-13,95,0.0798083
3-11,95,0.173073
3-10,95,0.239411
3-9,95,0.268255
3-8,95,0.320533
3-6,95,0.50941
3-5,95,0.871893
3-4,95,0.880119
3-2,95,1.01009
3-7,99,0.17451
3-1,95,1.39383
4-16,95,0.0206934
4-13,95,0.0430104
