Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.189,-0.947719,-3.41916,-3.35117,-0.947719,1
1,19,99,-2.02539,-0.423789,-3.41916,-3.35117,-0.423789,1
1,18,99,-2.59387,-0.0852417,-3.41916,-3.35117,-0.0852417,1
1,17,99,-1.19667,-0.1602,-3.41916,-3.35117,-0.1602,1
1,15,99,-0.571179,-0.50441,-3.41916,-3.35117,-0.50441,1
1,13,99,-0.697363,-0.512748,-3.41916,-3.35117,-0.512748,1
1,12,99,-1.32421,-0.974226,-3.41916,-3.35117,-1.32421,1
1,10,99,-0.68665,-0.00807155,-3.41916,-3.35117,-0.00807155,1
1,9,99,0.056053,0.381791,-3.41916,-3.35117,0.381791,1
1,7,99,0.414354,0.295544,-3.41916,-3.35117,0.295544,0
1,4,99,0.315669,0.651083,-3.41916,-3.35117,0.651083,1
1,3,99,0.215224,0.388498,-3.41916,-3.35117,0.388498,1
1,2,99,-0.00451558,0.624087,-3.41916,-3.35117,0.624087,1
1,1,99,-1.2277,-0.0628687,-3.41916,-3.35117,-0.0628687,1
1,20,98,-1.99157,-0.999488,-3.41916,-3.12829,-0.999488,1
1,19,98,-1.78824,-0.25772,-3.41916,-3.12829,-0.25772,1
1,18,98,-2.50951,-0.0974505,-3.41916,-3.12829,-0.0974505,1
1,17,98,-0.888161,-0.036601,-3.41916,-3.12829,-0.036601,1
1,15,98,-0.602506,-0.578005,-3.41916,-3.12829,-0.578005,1
1,13,98,-0.550155,-0.705972,-3.41916,-3.12829,-0.550155,0
1,12,98,-0.613279,-0.0955024,-3.41916,-3.12829,-0.0955024,1
1,9,98,0.0907084,0.520626,-3.41916,-3.12829,0.520626,1
1,7,98,0.417594,0.413523,-3.41916,-3.12829,0.413523,0
1,4,98,0.286069,0.644363,-3.41916,-3.12829,0.644363,1
1,3,98,0.308103,0.423507,-3.41916,-3.12829,0.423507,1
1,2,98,0.0933612,0.694818,-3.41916,-3.12829,0.694818,1
1,1,98,-0.831937,0.0867282,-3.41916,-3.12829,0.0867282,1
1,20,97,-1.61357,-0.852719,-3.41916,-2.81209,-1.61357,1
1,19,97,-1.50487,-0.456878,-3.41916,-2.81209,-0.456878,1
1,18,97,-1.67577,-0.149862,-3.41916,-2.81209,-0.149862,1
1,17,97,-0.857866,-0.0450432,-3.41916,-2.81209,-0.0450432,1
1,15,97,-0.321,-0.300463,-3.41916,-2.81209,-0.300463,1
1,13,97,-0.312684,-0.34035,-3.41916,-2.81209,-0.34035,0
1,12,97,-0.634257,-0.0489632,-3.41916,-2.81209,-0.0489632,1
1,7,97,0.387556,0.510604,-3.41916,-2.81209,0.510604,1
1,4,97,0.417359,0.778081,-3.41916,-2.81209,0.778081,1
1,3,97,0.363454,0.516667,-3.41916,-2.81209,0.516667,1
1,2,97,0.54681,0.66988,-3.41916,-2.81209,0.66988,1
1,20,96,-1.42695,-0.789481,-3.41916,-2.99602,-0.789481,1
1,19,96,-1.48596,-0.334441,-3.41916,-2.99602,-0.334441,1
1,18,96,-1.55852,-0.261794,-3.41916,-2.99602,-0.261794,1
1,17,96,-0.826765,-0.148048,-3.41916,-2.99602,-0.148048,1
1,15,96,0.0256047,-0.185394,-3.41916,-2.99602,-0.185394,0
1,13,96,-0.0934238,-0.379759,-3.41916,-2.99602,-0.0934238,0
1,12,96,-0.37928,0.0262479,-3.41916,-2.99602,0.0262479,1
1,9,96,0.0792648,0.56424,-3.41916,-2.99602,0.56424,1
1,7,96,0.605498,0.60151,-3.41916,-2.99602,0.60151,0
1,4,96,0.440594,0.781037,-3.41916,-2.99602,0.781037,1
1,3,96,0.4678,0.563411,-3.41916,-2.99602,0.563411,1
1,2,96,0.599176,0.764907,-3.41916,-2.99602,0.764907,1
1,19,95,-1.37403,-0.153958,-3.41916,-2.85377,-0.153958,1
1,17,95,-1.00902,-0.192136,-3.41916,-2.85377,-0.192136,1
1,15,95,-0.114965,-0.320337,-3.41916,-2.85377,-0.320337,0
1,13,95,0.0452092,-0.0905236,-3.41916,-2.85377,-0.0905236,0
