Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.32037,-1.24838,-3.41916,-3.35117,-1.24838,1
1,19,99,-1.89767,-0.994015,-3.41916,-3.35117,-0.994015,1
1,18,99,-1.83816,-1.19826,-3.41916,-3.35117,-1.19826,1
1,17,99,-1.98856,-2.13533,-3.41916,-3.35117,-2.13533,0
1,15,99,-1.31913,-2.30274,-3.41916,-3.35117,-2.30274,0
1,13,99,-1.32399,-0.875671,-3.41916,-3.35117,-0.875671,1
1,12,99,-1.29452,-1.31262,-3.41916,-3.35117,-1.29452,0
1,10,99,-1.179,-0.306143,-3.41916,-3.35117,-0.306143,1
1,9,99,-0.669668,-0.577009,-3.41916,-3.35117,-0.577009,1
1,7,99,-0.196836,-0.219562,-3.41916,-3.35117,-0.219562,0
1,4,99,-0.379341,-0.186772,-3.41916,-3.35117,-0.186772,1
1,3,99,-0.326682,-0.131644,-3.41916,-3.35117,-0.131644,1
1,2,99,-0.378449,-0.569203,-3.41916,-3.35117,-0.569203,0
1,1,99,-0.0290389,-1.17808,-3.41916,-3.35117,-1.17808,0
1,20,98,-2.21032,-1.18538,-3.41916,-3.12829,-1.18538,1
1,19,98,-1.563,-0.838995,-3.41916,-3.12829,-0.838995,1
1,18,98,-1.62694,-1.22609,-3.41916,-3.12829,-1.22609,1
1,17,98,-1.69092,-2.02156,-3.41916,-3.12829,-2.02156,0
1,15,98,-1.20136,-2.09833,-3.41916,-3.12829,-2.09833,0
1,13,98,-1.22158,-0.855674,-3.41916,-3.12829,-1.22158,1
1,12,98,-1.13511,-1.1743,-3.41916,-3.12829,-1.1743,0
1,9,98,-0.597239,-0.584983,-3.41916,-3.12829,-0.584983,1
1,7,98,-0.0350379,-0.232792,-3.41916,-3.12829,-0.232792,0
1,4,98,-0.147176,0.06448,-3.41916,-3.12829,0.06448,1
1,3,98,-0.173822,0.0417099,-3.41916,-3.12829,0.0417099,1
1,2,98,-0.164845,-0.135236,-3.41916,-3.12829,-0.135236,1
1,1,98,-0.179047,-0.920041,-3.41916,-3.12829,-0.920041,0
1,20,97,-1.99425,-1.17056,-3.41916,-2.81209,-1.99425,1
1,19,97,-1.39504,-0.86589,-3.41916,-2.81209,-0.86589,1
1,18,97,-1.51471,-1.15692,-3.41916,-2.81209,-1.15692,1
1,17,97,-1.5203,-1.98948,-3.41916,-2.81209,-1.98948,0
1,15,97,-0.968116,-2.07115,-3.41916,-2.81209,-2.07115,0
1,13,97,-1.10104,-0.746947,-3.41916,-2.81209,-0.746947,1
1,12,97,-0.946014,-1.10298,-3.41916,-2.81209,-1.10298,0
1,7,97,0.135428,-0.0176124,-3.41916,-2.81209,-0.0176124,0
1,4,97,-0.0711326,0.144234,-3.41916,-2.81209,0.144234,1
1,3,97,-0.164442,-0.141017,-3.41916,-2.81209,-0.141017,1
1,2,97,-0.291677,-0.166117,-3.41916,-2.81209,-0.166117,1
1,20,96,-1.7513,-0.965731,-3.41916,-2.99602,-0.965731,1
1,19,96,-1.28968,-0.77813,-3.41916,-2.99602,-0.77813,1
1,18,96,-1.35516,-1.04887,-3.41916,-2.99602,-1.04887,1
1,17,96,-1.41838,-1.88061,-3.41916,-2.99602,-1.88061,0
1,15,96,-0.779609,-2.05709,-3.41916,-2.99602,-2.05709,0
1,13,96,-0.795409,-0.462973,-3.41916,-2.99602,-0.795409,1
1,12,96,-0.820152,-1.00243,-3.41916,-2.99602,-1.00243,0
1,9,96,-0.304812,-0.441064,-3.41916,-2.99602,-0.441064,0
1,7,96,0.116406,0.235673,-3.41916,-2.99602,0.235673,1
1,4,96,0.0882388,0.00201721,-3.41916,-2.99602,0.00201721,0
1,3,96,-0.0330306,0.0286315,-3.41916,-2.99602,0.0286315,1
1,2,96,-0.232519,-0.0147156,-3.41916,-2.99602,-0.0147156,1
1,19,95,-1.33688,-0.742263,-3.41916,-2.85377,-0.742263,1
1,17,95,-1.35048,-1.78679,-3.41916,-2.85377,-1.78679,0
1,15,95,-0.833266,-2.15189,-3.41916,-2.85377,-2.15189,0
1,13,95,-0.472922,-0.309089,-3.41916,-2.85377,-0.309089,1
1,7,95,0.0488999,0.176659,-3.41916,-2.85377,0.176659,1
1,4,95,-0.0599536,0.0901187,-3.41916,-2.85377,0.0901187,1
1,2,95,-0.226527,-0.0339405,-3.41916,-2.85377,-0.0339405,1
1,1,95,-0.0804201,-0.75903,-3.41916,-2.85377,-0.75903,0
1,19,94,-1.16949,-0.597255,-3.41916,-2.55553,-0.597255,1
1,17,94,-1.34685,-1.65731,-3.41916,-2.55553,-1.65731,0
1,15,94,-0.67417,-1.45396,-3.41916,-2.55553,-1.45396,0
1,13,94,-0.468638,-0.268633,-3.41916,-2.55553,-0.268633,1
1,7,94,0.183995,0.107462,-3.41916,-2.55553,0.107462,0
1,4,94,-0.259801,0.0623996,-3.41916,-2.55553,0.0623996,1
1,2,94,-0.251366,-0.143593,-3.41916,-2.55553,-0.143593,1
1,1,94,0.0393005,-0.534501,-3.41916,-2.55553,-0.534501,0
1,19,93,-1.22782,-0.573873,-3.41916,-2.51688,-0.573873,1
1,17,93,-1.13223,-1.42693,-3.41916,-2.51688,-1.42693,0
1,15,93,-0.63051,-1.42691,-3.41916,-2.51688,-1.42691,0
1,13,93,-0.626251,-0.466834,-3.41916,-2.51688,-0.466834,1
1,7,93,0.197162,-0.0362002,-3.41916,-2.51688,-0.0362002,0
1,4,93,-0.0317331,0.212049,-3.41916,-2.51688,0.212049,1
1,2,93,0.00319441,-0.0991177,-3.41916,-2.51688,-0.0991177,0
1,1,93,0.460515,-0.6329,-3.41916,-2.51688,-0.6329,0
1,19,92,-1.17985,-0.506257,-6.43894,-2.39982,-0.506257,1
1,17,92,-1.16747,-1.42475,-6.43894,-2.39982,-1.42475,0
1,15,92,-0.677291,-1.33573,-6.43894,-2.39982,-1.33573,0
1,13,92,-0.391615,-0.131535,-6.43894,-2.39982,-0.131535,1
1,7,92,0.382013,0.128525,-6.43894,-2.39982,0.128525,0
1,4,92,0.160646,0.12025,-6.43894,-2.39982,0.12025,0
1,2,92,-0.0888379,-0.0814992,-6.43894,-2.39982,-0.0814992,1
1,1,92,0.0442538,-0.755012,-6.43894,-2.39982,-0.755012,0
1,19,91,-1.02375,-0.266771,-6.29331,-2.45927,-0.266771,1
1,17,91,-1.11288,-1.30332,-6.29331,-2.45927,-1.30332,0
1,15,91,-0.516377,-1.16045,-6.29331,-2.45927,-0.516377,0
1,13,91,-0.269883,-0.0735282,-6.29331,-2.45927,-0.0735282,1
1,7,91,0.377202,0.382225,-6.29331,-2.45927,0.382225,1
1,4,91,0.0470127,0.131135,-6.29331,-2.45927,0.131135,1
1,2,91,-0.113957,0.161471,-6.29331,-2.45927,0.161471,1
1,1,91,0.235267,-0.669484,-6.29331,-2.45927,-0.669484,0
1,19,90,-1.04729,-0.332188,-6.05291,-2.36134,-0.332188,1
1,17,90,-1.10463,-1.36223,-6.05291,-2.36134,-1.36223,0
1,15,90,-0.566147,-1.08722,-6.05291,-2.36134,-1.08722,0
1,13,90,-0.400212,-0.0945826,-6.05291,-2.36134,-0.0945826,1
1,7,90,0.690781,0.383224,-6.05291,-2.36134,0.383224,0
1,4,90,-0.0758136,-0.177576,-6.05291,-2.36134,-0.177576,0
1,2,90,0.154147,0.00287467,-6.05291,-2.36134,0.00287467,0
1,1,90,0.269745,-0.652217,-6.05291,-2.36134,-0.652217,0
1,19,89,-1.0686,-0.179157,-5.75042,-2.39784,-0.179157,1
1,17,89,-0.8744,-1.13437,-5.75042,-2.39784,-0.8744,0
1,15,89,-0.467071,-1.20897,-5.75042,-2.39784,-1.20897,0
1,13,89,-0.111398,-0.0108898,-5.75042,-2.39784,-0.0108898,1
1,7,89,0.77587,0.38822,-5.75042,-2.39784,0.38822,0
1,4,89,-0.057836,-0.0928527,-5.75042,-2.39784,-0.0928527,0
1,2,89,0.0125419,-0.0350342,-5.75042,-2.39784,-0.0350342,0
1,1,89,0.696752,0.3012,-5.75042,-2.39784,0.3012,0
1,19,88,-0.883968,0.0801062,-5.55605,-2.24038,-0.883968,1
1,17,88,-1.09656,-1.22872,-5.55605,-2.24038,-1.22872,0
1,15,88,-0.532868,-1.03944,-5.55605,-2.24038,-1.03944,0
1,13,88,-0.20656,0.0331896,-5.55605,-2.24038,0.0331896,1
1,7,88,0.937475,0.44788,-5.55605,-2.24038,0.44788,0
1,4,88,-0.0335675,0.160891,-5.55605,-2.24038,0.160891,1
1,2,88,-0.114974,-0.128352,-5.55605,-2.24038,-0.128352,0
1,1,88,0.176683,-0.435422,-5.55605,-2.24038,-0.435422,0
1,19,87,-0.738608,0.140985,-5.60239,-2.09737,0.140985,1
1,17,87,-0.910359,-0.812225,-5.60239,-2.09737,-0.812225,1
1,15,87,-0.327081,-0.855632,-5.60239,-2.09737,-0.855632,0
1,13,87,-0.0874823,0.109703,-5.60239,-2.09737,0.109703,1
1,7,87,0.673066,0.570005,-5.60239,-2.09737,0.570005,0
1,4,87,0.401795,0.49212,-5.60239,-2.09737,0.49212,1
1,2,87,-0.0614713,0.102783,-5.60239,-2.09737,0.102783,1
1,1,87,0.158925,-0.593719,-5.60239,-2.09737,-0.593719,0
1,19,86,-0.8002,0.106263,-5.61978,-2.01828,0.106263,1
1,17,86,-0.460169,-0.649703,-5.61978,-2.01828,-0.460169,0
1,15,86,-0.542766,-1.02769,-5.61978,-2.01828,-1.02769,0
1,13,86,0.0421552,0.111301,-5.61978,-2.01828,0.0421552,1
1,7,86,0.999317,0.734433,-5.61978,-2.01828,0.734433,0
1,4,86,0.805316,0.500516,-5.61978,-2.01828,0.500516,0
1,2,86,0.319294,0.205275,-5.61978,-2.01828,0.205275,0
1,1,86,0.0886726,-0.551182,-5.61978,-2.01828,-0.551182,0
1,19,85,-0.509004,-0.728303,-5.14185,-2.10808,-0.728303,0
1,17,85,0.3614,-0.572308,-5.14185,-2.10808,-0.572308,0
1,15,85,-0.478656,0.0971473,-5.14185,-2.10808,0.0971473,1
1,13,85,-0.171193,0.390922,-5.14185,-2.10808,0.390922,1
1,7,85,0.558642,-0.0488144,-5.14185,-2.10808,-0.0488144,0
1,4,85,0.653952,0.307865,-5.14185,-2.10808,0.307865,0
1,2,85,0.871509,0.0562702,-5.14185,-2.10808,0.0562702,0
1,1,85,0.265488,0.509608,-5.14185,-2.10808,0.509608,1
1,19,84,-0.676122,-0.766092,-5.35927,-2.00544,-0.766092,0
1,17,84,0.308129,-0.595264,-5.35927,-2.00544,-0.595264,0
1,15,84,-0.270243,0.383507,-5.35927,-2.00544,0.383507,1
1,13,84,-0.46216,0.170328,-5.35927,-2.00544,0.170328,1
1,7,84,0.566801,-0.0224508,-5.35927,-2.00544,-0.0224508,0
1,4,84,0.646373,0.364472,-5.35927,-2.00544,0.364472,0
1,2,84,0.683595,0.171505,-5.35927,-2.00544,0.171505,0
1,1,84,0.468992,0.819478,-5.35927,-2.00544,0.819478,1
1,19,83,-0.104381,-0.512441,-5.22327,-1.89942,-0.104381,0
1,17,83,0.561256,-0.745799,-5.22327,-1.89942,-0.745799,0
1,15,83,-0.195589,0.386765,-5.22327,-1.89942,0.386765,1
1,13,83,-0.115968,0.293469,-5.22327,-1.89942,0.293469,1
1,7,83,0.709493,0.115022,-5.22327,-1.89942,0.115022,0
1,4,83,0.525263,0.408444,-5.22327,-1.89942,0.408444,0
1,2,83,0.692095,0.103463,-5.22327,-1.89942,0.103463,0
1,1,83,0.574856,0.873778,-5.22327,-1.89942,0.873778,1
1,19,82,-0.202214,-0.553527,-5.04662,-1.89873,-0.553527,0
1,17,82,0.399563,-0.888187,-5.04662,-1.89873,0.399563,0
1,15,82,-0.256895,0.325238,-5.04662,-1.89873,0.325238,1
1,13,82,0.0823638,0.43796,-5.04662,-1.89873,0.43796,1
1,9,82,0.376938,0.0766426,-5.04662,-1.89873,0.0766426,0
1,7,82,0.774608,0.108148,-5.04662,-1.89873,0.108148,0
1,4,82,0.645876,0.429111,-5.04662,-1.89873,0.429111,0
1,2,82,0.667381,0.0674178,-5.04662,-1.89873,0.0674178,0
1,1,82,0.561143,1.23151,-5.04662,-1.89873,1.23151,1
1,19,81,-0.378962,-0.584574,-4.70389,-1.77463,-0.584574,0
