Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.31634,-1.26153,-3.41916,-3.35117,-1.26153,1
1,19,99,-2.21441,-0.827055,-3.41916,-3.35117,-0.827055,1
1,18,99,-2.32727,-1.01421,-3.41916,-3.35117,-1.01421,1
1,17,99,-2.65137,-2.18269,-3.41916,-3.35117,-2.18269,1
1,15,99,-1.13342,-1.45283,-3.41916,-3.35117,-1.45283,0
1,13,99,-1.48166,-1.1078,-3.41916,-3.35117,-1.1078,1
1,12,99,-1.30872,-0.927941,-3.41916,-3.35117,-1.30872,1
1,10,99,-1.36004,-0.813804,-3.41916,-3.35117,-1.36004,1
1,9,99,-1.02177,-0.530464,-3.41916,-3.35117,-0.530464,1
1,7,99,-0.769646,-0.551391,-3.41916,-3.35117,-0.551391,1
1,4,99,-0.647538,-0.454606,-3.41916,-3.35117,-0.454606,1
1,3,99,-0.774585,-0.533007,-3.41916,-3.35117,-0.533007,1
1,2,99,-0.50497,-0.118542,-3.41916,-3.35117,-0.118542,1
1,1,99,-1.41788,-0.89992,-3.41916,-3.35117,-0.89992,1
1,20,98,-2.1695,-1.13009,-3.41916,-3.12829,-1.13009,1
1,19,98,-1.93383,-0.664198,-3.41916,-3.12829,-0.664198,1
1,18,98,-2.11837,-1.28349,-3.41916,-3.12829,-1.28349,1
1,17,98,-2.44859,-2.13024,-3.41916,-3.12829,-2.13024,1
1,15,98,-1.31378,-1.69336,-3.41916,-3.12829,-1.69336,0
1,13,98,-1.31058,-0.982251,-3.41916,-3.12829,-1.31058,1
1,12,98,-1.14008,-0.585095,-3.41916,-3.12829,-0.585095,1
1,9,98,-0.780506,-0.795659,-3.41916,-3.12829,-0.795659,0
1,7,98,-0.729274,-0.556908,-3.41916,-3.12829,-0.556908,1
1,4,98,-0.650759,-0.430707,-3.41916,-3.12829,-0.430707,1
1,3,98,-0.798254,-0.563708,-3.41916,-3.12829,-0.563708,1
1,2,98,-0.453187,-0.245531,-3.41916,-3.12829,-0.245531,1
1,1,98,-1.38696,-0.807184,-3.41916,-3.12829,-0.807184,1
1,20,97,-2.12242,-1.34319,-3.41916,-2.81209,-2.12242,1
1,19,97,-2.05493,-1.04346,-3.41916,-2.81209,-1.04346,1
1,18,97,-1.86594,-1.02906,-3.41916,-2.81209,-1.02906,1
1,17,97,-2.45175,-1.91924,-3.41916,-2.81209,-1.91924,1
1,15,97,-0.952751,-1.30649,-3.41916,-2.81209,-1.30649,0
1,13,97,-1.17466,-0.954959,-3.41916,-2.81209,-0.954959,1
1,12,97,-0.845601,-0.471441,-3.41916,-2.81209,-0.471441,1
1,7,97,-0.650545,-0.433679,-3.41916,-2.81209,-0.433679,1
